date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,3.84,3.8799,3.33,3.62,213513.0
2020-04-23,3.75,3.91,3.45,3.84,390637.0
2020-04-22,3.38,3.75,3.0001,3.68,519481.0
2020-04-21,3.48,3.78,3.08,3.25,2622655.0
2020-04-20,2.96,3.2433,2.96,3.09,150079.0
2020-04-17,2.9075,2.97,2.87,2.97,29793.0
2020-04-16,2.9899,2.9899,2.85,2.88,20873.0
2020-04-15,2.83,2.955,2.7598,2.91,84122.0
2020-04-14,2.75,2.9,2.75,2.83,63854.0
2020-04-13,2.78,2.86,2.73,2.73,28498.0
2020-04-09,2.91,2.9597,2.7,2.82,53884.0
2020-04-08,2.66,2.94,2.66,2.88,91746.0
2020-04-07,2.72,2.8274,2.64,2.68,44085.0
2020-04-06,2.92,3.156,2.68,2.71,99125.0
2020-04-03,2.56,2.97,2.4,2.9,140073.0
2020-04-02,2.47,2.7,2.45,2.56,56509.0
2020-04-01,2.66,2.8,2.47,2.55,63845.0
2020-03-31,2.81,2.94,2.65,2.8,54191.0
2020-03-30,3.22,3.22,2.81,2.87,126911.0
2020-03-27,2.92,3.28,2.71,3.24,175459.0
2020-03-26,3.16,3.35,3.05,3.08,105876.0
2020-03-25,2.82,3.37,2.8,3.1,465237.0
2020-03-24,2.84,2.965,2.54,2.78,127652.0
2020-03-23,2.75,3.06,2.48,2.65,192354.0
2020-03-20,2.5,2.95,2.5,2.58,128893.0
2020-03-19,2.27,2.55,2.13,2.48,92941.0
2020-03-18,2.31,2.55,2.19,2.22,119453.0
2020-03-17,2.3,2.42,2.17,2.38,94112.0
2020-03-16,2.49,2.63,2.15,2.17,177474.0
2020-03-13,3.09,3.09,2.38,2.68,187724.0
2020-03-12,2.8,2.9,2.53,2.73,184560.0
2020-03-11,3.32,3.32,2.96,3.03,154251.0
2020-03-10,3.51,3.66,3.15,3.43,116385.0
2020-03-09,3.6,3.78,3.3,3.36,137654.0
2020-03-06,3.92,4.0904,3.77,3.83,108337.0
2020-03-05,4.25,4.41,4.0501,4.07,86010.0
2020-03-04,3.91,4.3,3.9,4.25,214487.0
2020-03-03,4.01,4.05,3.65,3.72,104446.0
2020-03-02,3.79,4.06,3.72,3.91,208404.0
2020-02-28,3.58,3.91,3.52,3.71,96363.0
2020-02-27,3.88,4.02,3.47,3.63,173421.0
2020-02-26,3.9,4.0499,3.75,3.82,134363.0
2020-02-25,4.15,4.27,3.85,3.9,164088.0
2020-02-24,4.23,4.4172,4.05,4.16,143165.0
2020-02-21,4.35,4.44,4.24,4.27,99655.0
2020-02-20,4.24,4.4,4.08,4.37,247091.0
2020-02-19,4.21,4.3,4.11,4.21,280264.0
2020-02-18,4.09,4.3,3.99,4.22,434383.0
2020-02-14,4.22,4.3,3.95,4.02,190584.0
