date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,24.6,25.81,24.16,24.92,167022.0
2020-03-30,22.74,24.53,22.69,24.53,171943.0
2020-03-27,23.56,23.81,22.495,22.7,116733.0
2020-03-26,22.88,24.61,21.82,24.22,143967.0
2020-03-25,22.91,24.21,21.58,22.86,172200.0
2020-03-24,21.3,24.2,21.3,23.05,159741.0
2020-03-23,21.1,22.34,18.76,21.03,220632.0
2020-03-20,23.69,24.39,21.22,21.39,238538.0
2020-03-19,25.04,25.42,22.49,23.68,207708.0
2020-03-18,24.12,25.985,23.175,25.09,184967.0
2020-03-17,22.17,25.64,21.7,25.37,203999.0
2020-03-16,24.4,24.44,21.9,22.08,196903.0
2020-03-13,22.44,24.59,22.005,24.45,296907.0
2020-03-12,25.09,25.4193,21.24,21.38,222727.0
2020-03-11,26.49,27.03,25.48,26.1,194145.0
2020-03-10,26.82,27.16,25.58,26.94,283514.0
2020-03-09,27.13,27.79,26.33,26.55,174160.0
2020-03-06,28.28,29.21,27.4,28.0,147468.0
2020-03-05,29.25,29.6694,28.3,28.84,110099.0
2020-03-04,29.14,29.67,29.02,29.59,61478.0
2020-03-03,29.22,29.22,28.32,28.9,103874.0
2020-03-02,28.38,29.16,28.04,29.03,146288.0
2020-02-28,29.23,29.3191,28.01,28.5,203344.0
2020-02-27,29.21,29.74,27.7,29.735,234600.0
2020-02-26,29.82,30.12,29.36,29.49,97617.0
2020-02-25,29.9,30.41,29.51,29.78,165771.0
2020-02-24,29.8,30.248,29.46,30.05,142328.0
2020-02-21,30.72,30.72,30.1,30.38,85781.0
2020-02-20,30.69,31.0,30.485,30.74,118294.0
2020-02-19,30.36,30.83,29.99,30.65,138618.0
2020-02-18,30.09,30.39,29.885,30.28,91230.0
2020-02-14,29.82,30.27,29.73,30.11,75439.0
2020-02-13,30.2,30.8215,29.7,29.84,104365.0
2020-02-12,29.37,30.39,29.34,30.25,246993.0
2020-02-11,28.48,29.4,28.48,29.3,117848.0
2020-02-10,29.3,30.37,28.15,28.495,369982.0
2020-02-07,28.14,32.37,28.0,29.29,957751.0
2020-02-06,36.7,37.68,35.93,36.39,82661.0
2020-02-05,36.35,36.72,36.25,36.64,99691.0
2020-02-04,36.05,36.62,35.85,36.15,91751.0
2020-02-03,36.15,36.83,35.4645,35.84,78007.0
