date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,10.65,10.65,10.65,10.65,12.0
2020-04-23,10.65,10.65,10.65,10.65,0.0
2020-04-22,10.65,10.65,10.65,10.65,200.0
2020-04-21,10.65,10.65,10.65,10.65,83.0
2020-04-20,10.65,10.65,10.65,10.65,1039.0
2020-04-17,10.52,10.5726,10.52,10.52,5607.0
2020-04-16,10.52,10.52,10.52,10.52,1.0
2020-04-15,10.52,10.52,10.52,10.52,0.0
2020-04-14,10.52,10.52,10.52,10.52,0.0
2020-04-13,10.52,10.52,10.52,10.52,1.0
2020-04-09,10.52,10.52,10.52,10.52,1883.0
2020-04-08,10.51,10.51,10.51,10.51,0.0
2020-04-07,10.51,10.51,10.51,10.51,0.0
2020-04-06,10.51,10.51,10.51,10.51,282.0
2020-04-03,10.45,10.45,10.45,10.45,182.0
2020-04-02,10.56,10.56,10.56,10.56,0.0
2020-04-01,10.54,10.56,10.54,10.56,431276.0
2020-03-31,10.57,10.57,10.57,10.57,0.0
2020-03-30,10.55,10.565,10.55,10.565,252.0
2020-03-27,10.5023,10.5023,10.3801,10.45,39500.0
2020-03-26,10.55,10.55,10.55,10.55,0.0
2020-03-25,10.52,10.55,10.52,10.55,25000.0
2020-03-24,10.3473,10.3473,10.3473,10.3473,42.0
2020-03-23,10.3973,10.3973,10.3473,10.3473,1900.0
2020-03-20,10.4,10.4,10.4,10.4,0.0
2020-03-19,10.4,10.4,10.4,10.4,0.0
2020-03-18,10.4,10.4,10.4,10.4,70000.0
2020-03-17,10.536,10.536,10.536,10.536,48264.0
2020-03-16,10.536,10.536,10.536,10.536,20.0
2020-03-13,10.536,10.536,10.536,10.536,6.0
2020-03-12,10.5,10.5525,10.5,10.536,15076.0
2020-03-11,10.5306,10.5527,10.5,10.5525,19561.0
2020-03-10,10.5,10.51,10.5,10.5,25765.0
2020-03-09,10.55,10.55,10.52,10.52,200100.0
2020-03-06,10.6,10.6,10.6,10.6,0.0
2020-03-05,10.6,10.6,10.6,10.6,0.0
2020-03-04,10.595,10.595,10.595,10.595,82.0
2020-03-03,10.6,10.6,10.6,10.6,0.0
2020-03-02,10.6,10.6,10.6,10.6,0.0
2020-02-28,10.6,10.6,10.6,10.6,0.0
2020-02-27,10.6,10.6,10.6,10.6,0.0
2020-02-26,10.595,10.595,10.595,10.595,82.0
2020-02-25,10.6,10.6,10.6,10.6,0.0
2020-02-24,10.6,10.6,10.6,10.6,0.0
2020-02-21,10.6,10.6,10.6,10.6,0.0
2020-02-20,10.6,10.6,10.6,10.6,0.0
2020-02-19,10.55,10.595,10.55,10.595,2000.0
2020-02-18,10.5,10.5,10.5,10.5,0.0
2020-02-14,10.5,10.5,10.5,10.5,0.0
2020-02-13,10.5,10.5,10.5,10.5,0.0
2020-02-12,10.5,10.5,10.5,10.5,0.0
2020-02-11,10.5,10.5,10.5,10.5,0.0
2020-02-10,10.5,10.5,10.5,10.5,0.0
2020-02-07,10.5,10.5,10.5,10.5,0.0
2020-02-06,10.5,10.5,10.5,10.5,0.0
2020-02-04,10.5,10.5,10.5,10.5,0.0
2020-02-03,10.5,10.5,10.5,10.5,0.0
2020-01-31,10.5,10.5,10.5,10.5,0.0
2020-01-29,10.5,10.5,10.5,10.5,0.0
2020-01-28,10.5,10.5,10.5,10.5,0.0
2020-01-27,10.5,10.5,10.5,10.5,0.0
2020-01-24,10.5,10.5,10.5,10.5,19.0
2020-01-23,10.5,10.5,10.5,10.5,0.0
2020-01-22,10.5,10.5,10.5,10.5,55.0
2020-01-21,10.5,10.5,10.5,10.5,0.0
2020-01-17,10.5,10.5,10.5,10.5,1024.0
2020-01-16,10.43,10.43,10.43,10.43,0.0
2020-01-15,10.43,10.43,10.43,10.43,275.0
