date,1. open,2. high,3. low,4. close,5. volume
2020-04-23,10.6,10.6,10.6,10.6,0.0
2020-04-22,10.6,10.6,10.6,10.6,0.0
2020-04-21,10.6,10.6,10.6,10.6,0.0
2020-04-20,10.6,10.6,10.6,10.6,0.0
2020-04-17,10.6,10.6,10.6,10.6,0.0
2020-04-16,10.6,10.6,10.6,10.6,0.0
2020-04-15,10.6,10.6,10.6,10.6,0.0
2020-04-14,10.6,10.6,10.6,10.6,0.0
2020-04-13,10.6,10.6,10.6,10.6,0.0
2020-04-09,10.6,10.6,10.6,10.6,0.0
2020-04-08,10.6,10.6,10.6,10.6,0.0
2020-04-07,10.55,10.6028,10.55,10.6028,1000.0
2020-04-06,10.7,10.7,10.7,10.7,0.0
2020-04-03,10.7,10.7,10.7,10.7,0.0
2020-04-02,10.7,10.7,10.7,10.7,0.0
2020-04-01,10.7,10.7,10.7,10.7,0.0
2020-03-31,10.7,10.7,10.7,10.7,0.0
2020-03-30,10.7,10.7,10.7,10.7,0.0
2020-03-27,10.7,10.7,10.7,10.7,76.0
2020-03-26,10.7,10.7,10.7,10.7,0.0
2020-03-25,10.7,10.7,10.7,10.7,0.0
2020-03-24,10.7,10.7,10.7,10.7,0.0
2020-03-23,10.7,10.7,10.7,10.7,0.0
2020-03-20,10.7,10.7,10.7,10.7,0.0
2020-03-19,10.7,10.7,10.7,10.7,0.0
2020-03-18,10.7,10.7,10.7,10.7,0.0
2020-03-17,10.7,10.7,10.7,10.7,0.0
2020-03-16,10.7,10.7,10.7,10.7,0.0
2020-03-13,10.7,10.7,10.7,10.7,0.0
2020-03-12,10.7,10.7,10.7,10.7,2.0
2020-03-11,10.7,10.7,10.7,10.7,0.0
2020-03-10,10.7,10.7,10.7,10.7,0.0
2020-03-09,10.25,10.7,10.25,10.7,900.0
2020-03-06,10.65,10.65,10.65,10.65,0.0
2020-03-05,10.65,10.65,10.65,10.65,0.0
2020-03-04,10.65,10.65,10.65,10.65,0.0
2020-03-03,10.65,10.65,10.65,10.65,0.0
2020-03-02,10.65,10.65,10.65,10.65,0.0
2020-02-28,10.65,10.65,10.65,10.65,0.0
2020-02-27,10.65,10.65,10.65,10.65,0.0
2020-02-26,10.65,10.65,10.65,10.65,0.0
2020-02-25,10.65,10.65,10.65,10.65,0.0
2020-02-24,10.65,10.65,10.65,10.65,8.0
2020-02-21,10.65,10.65,10.65,10.65,0.0
2020-02-20,10.65,10.65,10.65,10.65,0.0
2020-02-19,10.65,10.65,10.65,10.65,0.0
2020-02-18,10.65,10.65,10.65,10.65,0.0
2020-02-14,10.65,10.65,10.65,10.65,0.0
2020-02-13,10.65,10.65,10.65,10.65,0.0
2020-02-12,10.65,10.65,10.65,10.65,0.0
2020-02-11,10.65,10.65,10.65,10.65,0.0
2020-02-10,10.65,10.65,10.65,10.65,0.0
2020-02-07,10.65,10.65,10.65,10.65,0.0
2020-02-06,10.65,10.65,10.65,10.65,0.0
2020-02-04,10.65,10.65,10.65,10.65,0.0
2020-02-03,10.65,10.65,10.65,10.65,0.0
2020-01-31,10.65,10.65,10.65,10.65,0.0
2020-01-29,10.65,10.65,10.65,10.65,0.0
2020-01-28,10.65,10.65,10.65,10.65,0.0
2020-01-27,10.65,10.65,10.65,10.65,0.0
2020-01-24,10.65,10.65,10.65,10.65,0.0
2020-01-23,10.65,10.65,10.65,10.65,0.0
2020-01-22,10.65,10.65,10.65,10.65,0.0
2020-01-21,10.65,10.65,10.65,10.65,0.0
2020-01-17,10.65,10.65,10.65,10.65,0.0
2020-01-16,10.65,10.65,10.65,10.65,0.0
2020-01-15,10.65,10.65,10.65,10.65,0.0
2020-01-14,10.65,10.65,10.65,10.65,924.0
2020-01-13,10.36,10.36,10.36,10.36,0.0
2020-01-10,10.36,10.36,10.36,10.36,0.0
2020-01-09,10.36,10.36,10.36,10.36,70950.0
2020-01-08,10.36,10.36,10.36,10.36,0.0
2020-01-07,10.36,10.36,10.36,10.36,0.0
2020-01-06,10.36,10.36,10.36,10.36,0.0
2020-01-03,10.36,10.36,10.36,10.36,0.0
2020-01-02,10.36,10.36,10.36,10.36,0.0
2019-12-31,10.36,10.36,10.36,10.36,0.0
2019-12-30,10.36,10.36,10.36,10.36,0.0
2019-12-27,10.36,10.36,10.36,10.36,0.0
2019-12-26,10.36,10.36,10.36,10.36,0.0
2019-12-24,10.36,10.36,10.36,10.36,0.0
2019-12-23,10.36,10.36,10.36,10.36,100.0
2019-12-20,10.25,10.25,10.25,10.25,0.0
2019-12-19,10.55,10.55,10.25,10.25,1000.0
2019-12-18,10.55,10.55,10.55,10.55,100.0
2019-12-17,10.5,10.5,10.5,10.5,0.0
2019-12-16,10.5,10.5,10.5,10.5,0.0
2019-12-13,10.5,10.5,10.5,10.5,100.0
2019-12-12,10.57,10.57,10.57,10.57,0.0
2019-12-11,10.57,10.57,10.57,10.57,0.0
2019-12-10,10.57,10.57,10.57,10.57,0.0
2019-12-09,10.57,10.57,10.57,10.57,0.0
2019-12-06,10.57,10.57,10.57,10.57,0.0
2019-12-05,10.57,10.57,10.57,10.57,0.0
2019-12-04,10.57,10.57,10.57,10.57,0.0
2019-12-03,10.57,10.57,10.57,10.57,0.0
2019-12-02,10.57,10.57,10.57,10.57,0.0
2019-11-29,10.57,10.57,10.57,10.57,0.0
2019-11-27,10.57,10.57,10.57,10.57,5000.0
2019-11-26,10.55,10.55,10.55,10.55,0.0
2019-11-25,10.55,10.55,10.55,10.55,2.0
2019-11-22,10.55,10.55,10.55,10.55,0.0
2019-11-21,10.56,10.56,10.55,10.55,300.0
2019-11-20,10.57,10.57,10.57,10.57,0.0
2019-11-19,10.5701,10.5709,10.5701,10.5709,300.0
2019-11-18,10.57,10.57,10.57,10.57,0.0
2019-11-15,10.57,10.57,10.57,10.57,0.0
2019-11-14,10.57,10.57,10.57,10.57,0.0
2019-11-13,10.57,10.57,10.57,10.57,0.0
2019-11-12,10.57,10.57,10.57,10.57,0.0
2019-11-11,10.57,10.57,10.57,10.57,0.0
2019-11-08,10.57,10.57,10.57,10.57,0.0
2019-11-07,10.57,10.57,10.57,10.57,0.0
2019-11-06,10.57,10.57,10.57,10.57,0.0
2019-11-05,10.57,10.57,10.57,10.57,0.0
2019-11-04,10.57,10.57,10.57,10.57,0.0
2019-11-01,10.57,10.57,10.57,10.57,0.0
2019-10-31,10.57,10.57,10.57,10.57,0.0
2019-10-30,10.57,10.57,10.57,10.57,0.0
2019-10-29,10.57,10.57,10.57,10.57,0.0
2019-10-28,10.57,10.57,10.57,10.57,100.0
2019-10-25,10.58,10.58,10.58,10.58,0.0
2019-10-24,10.55,10.58,10.55,10.58,705.0
2019-10-23,10.62,10.62,10.62,10.62,0.0
2019-10-22,10.62,10.62,10.62,10.62,0.0
2019-10-21,10.62,10.62,10.62,10.62,0.0
2019-10-18,10.62,10.62,10.62,10.62,0.0
2019-10-17,10.62,10.62,10.62,10.62,0.0
2019-10-16,10.62,10.62,10.62,10.62,0.0
2019-10-15,10.62,10.62,10.62,10.62,0.0
2019-10-14,10.62,10.62,10.62,10.62,0.0
2019-10-11,10.62,10.62,10.62,10.62,0.0
2019-10-10,10.62,10.62,10.62,10.62,400.0
2019-10-09,10.57,10.57,10.57,10.57,0.0
2019-10-08,10.57,10.57,10.57,10.57,0.0
2019-10-07,10.57,10.57,10.57,10.57,0.0
2019-10-04,10.57,10.57,10.57,10.57,0.0
2019-10-03,10.57,10.57,10.57,10.57,0.0
2019-10-02,10.57,10.57,10.57,10.57,0.0
2019-10-01,10.57,10.57,10.57,10.57,5.0
2019-09-30,10.57,10.57,10.57,10.57,0.0
2019-09-27,10.57,10.57,10.57,10.57,0.0
2019-09-26,10.57,10.57,10.57,10.57,0.0
2019-09-25,10.57,10.57,10.57,10.57,0.0
2019-09-24,10.57,10.57,10.57,10.57,0.0
2019-09-23,10.57,10.57,10.57,10.57,0.0
2019-09-20,10.57,10.57,10.57,10.57,0.0
2019-09-19,10.57,10.57,10.57,10.57,0.0
2019-09-18,10.57,10.57,10.57,10.57,0.0
2019-09-17,10.57,10.57,10.57,10.57,0.0
2019-09-16,10.57,10.57,10.57,10.57,0.0
2019-09-13,10.57,10.57,10.57,10.57,107.0
2019-09-12,10.57,10.57,10.57,10.57,0.0
2019-09-11,10.57,10.57,10.57,10.57,1000.0
2019-09-10,10.55,10.55,10.55,10.55,0.0
2019-09-09,10.57,10.57,10.55,10.55,200.0
2019-09-06,10.6,10.6,10.6,10.6,0.0
2019-09-05,10.6,10.6,10.6,10.6,0.0
2019-09-04,10.6,10.6,10.6,10.6,0.0
2019-09-03,10.6,10.6,10.6,10.6,0.0
2019-08-30,10.6028,10.6028,10.6028,10.6028,100.0
2019-08-29,10.42,10.42,10.42,10.42,0.0
2019-08-28,10.42,10.42,10.42,10.42,0.0
2019-08-27,10.42,10.42,10.42,10.42,0.0
2019-08-26,10.42,10.42,10.42,10.42,0.0
2019-08-23,10.42,10.42,10.42,10.42,0.0
2019-08-22,10.42,10.42,10.42,10.42,0.0
2019-08-21,10.42,10.42,10.42,10.42,0.0
2019-08-20,10.42,10.42,10.42,10.42,0.0
2019-08-19,10.42,10.42,10.42,10.42,0.0
2019-08-16,10.42,10.42,10.42,10.42,5400.0
2019-08-15,10.39,10.39,10.39,10.39,20.0
2019-08-14,10.4,10.4,10.39,10.39,500.0
2019-08-13,10.4,10.4,10.4,10.4,300.0
2019-08-12,10.4,10.4,10.4,10.4,300.0
2019-08-09,10.4,10.4,10.4,10.4,300.0
2019-08-08,10.4,10.4,10.4,10.4,300.0
2019-08-07,10.4,10.4,10.4,10.4,300.0
2019-08-06,10.42,10.42,10.4,10.41,1000.0
2019-08-05,10.42,10.42,10.4,10.41,1000.0
2019-08-02,10.42,10.42,10.4,10.41,1000.0
2019-08-01,10.42,10.42,10.4,10.41,1000.0
2019-07-31,10.4243,10.4243,10.4,10.4079,1000.0
2019-07-30,10.4,10.4,10.4,10.4,0.0
2019-07-29,10.4,10.4,10.4,10.4,0.0
2019-07-26,10.4,10.4,10.4,10.4,0.0
2019-07-25,10.48,10.51,10.4,10.4,9222.0
2019-07-24,10.36,10.36,10.36,10.36,4500.0
2019-07-23,10.35,10.35,10.35,10.35,0.0
2019-07-22,10.35,10.35,10.35,10.35,0.0
