date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,10.0,10.0,10.0,10.0,10.0
2020-04-23,10.0,10.0,10.0,10.0,1.0
2020-04-21,10.0,10.0,10.0,10.0,250.0
2020-04-20,10.0,10.0,10.0,10.0,475.0
2020-04-17,10.04,10.04,10.01,10.01,304.0
2020-04-16,10.0,10.047,10.0,10.01,10300.0
2020-04-14,10.0,10.0,10.0,10.0,1350.0
2020-04-13,10.0,10.1,10.0,10.1,21944.0
2020-04-09,10.0,10.0,10.0,10.0,3000.0
2020-04-07,9.77,9.95,9.77,9.95,876.0
2020-04-06,9.8,10.0,9.6626,10.0,1337.0
2020-04-03,9.9,9.9,9.9,9.9,302.0
2020-04-02,9.9,9.9,9.9,9.9,177.0
2020-04-01,9.813,9.9,9.813,9.9,5641.0
2020-03-31,9.9379,9.9985,9.8992,9.9985,2309.0
2020-03-30,10.0,10.0,9.6904,9.8,476.0
2020-03-27,9.85,9.85,9.85,9.85,188.0
2020-03-26,9.7267,9.9,9.7267,9.9,17907.0
2020-03-25,9.35,9.93,9.35,9.9,14252.0
2020-03-23,9.8999,9.8999,9.8999,9.8999,150.0
2020-03-20,9.65,9.65,8.82,9.32,6180.0
2020-03-19,9.65,9.7,9.65,9.7,25621.0
2020-03-18,9.65,9.65,9.65,9.65,301.0
2020-03-17,9.7,9.93,9.7,9.71,23100.0
2020-03-16,9.89,9.89,9.8,9.8,5644.0
2020-03-13,10.01,10.01,9.9,9.95,55465.0
2020-03-12,10.1,10.1073,10.0,10.01,406329.0
2020-03-11,10.25,10.25,10.15,10.15,33068.0
2020-03-10,10.2,10.25,10.2,10.25,64312.0
2020-03-09,10.27,10.3,10.2,10.2,131925.0
2020-03-06,10.1,10.25,10.1,10.25,419345.0
