date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,30.55,30.55,30.5409,30.5409,200.0
2020-04-23,31.17,32.96,31.17,32.96,1695.0
2020-04-22,31.4673,31.4673,31.4673,31.4673,200.0
2020-04-21,32.937,32.937,32.937,32.937,0.0
2020-04-20,32.937,32.937,32.937,32.937,0.0
2020-04-17,32.937,32.937,32.937,32.937,0.0
2020-04-16,32.9373,32.9373,32.9373,32.9373,173.0
2020-04-15,32.9373,32.9373,32.9373,32.9373,100.0
2020-04-14,33.06,33.16,33.06,33.16,501.0
2020-04-13,31.0,31.0,31.0,31.0,2.0
2020-04-09,31.0,31.0,31.0,31.0,72.0
2020-04-08,31.0,31.0,31.0,31.0,1.0
2020-04-07,31.0,31.0,31.0,31.0,0.0
2020-04-06,31.0,31.0,31.0,31.0,0.0
2020-04-03,31.0,31.0,31.0,31.0,0.0
2020-04-02,31.0,31.0,31.0,31.0,47.0
2020-04-01,31.0,31.0,31.0,31.0,0.0
2020-03-31,31.0,31.0,31.0,31.0,108.0
2020-03-30,31.0,31.0,31.0,31.0,13.0
2020-03-27,31.0,31.0,31.0,31.0,130.0
2020-03-26,31.0,31.0,31.0,31.0,39.0
2020-03-25,31.0,31.0,31.0,31.0,344.0
2020-03-24,26.37,26.4991,26.37,26.4991,350.0
2020-03-23,24.49,24.49,24.49,24.49,18.0
2020-03-20,24.49,24.49,24.49,24.49,81.0
2020-03-19,25.0,25.8495,24.49,24.49,782.0
2020-03-18,30.63,30.63,30.63,30.63,107.0
2020-03-17,30.63,30.63,30.63,30.63,224.0
2020-03-16,33.81,33.81,33.81,33.81,112.0
2020-03-13,34.2,34.42,34.2,34.42,200.0
2020-03-12,36.5777,36.5777,35.66,35.66,751.0
2020-03-11,41.41,41.41,41.41,41.41,6.0
2020-03-10,41.41,41.41,41.41,41.41,116.0
2020-03-09,44.6,44.6,44.6,44.6,0.0
2020-03-06,44.6,44.6,44.6,44.6,17.0
2020-03-05,44.6,44.6,44.6,44.6,44.0
2020-03-04,44.6,44.6,44.6,44.6,52.0
2020-03-03,44.6,44.6,44.6,44.6,6.0
2020-03-02,44.6,44.6,44.6,44.6,552.0
2020-02-28,50.89,50.89,50.89,50.89,12.0
2020-02-27,50.89,50.89,50.89,50.89,53.0
