date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.4847,0.4847,0.425,0.47,658587.0
2020-04-23,0.4253,0.5,0.4011,0.4997,3280333.0
2020-04-22,0.43,0.43,0.4,0.4198,109827.0
2020-04-21,0.4313,0.45,0.38,0.418,342894.0
2020-04-20,0.42,0.4449,0.42,0.43,175536.0
2020-04-17,0.46,0.46,0.42,0.4251,220067.0
2020-04-16,0.448,0.49,0.4156,0.43,835641.0
2020-04-15,0.4526,0.4614,0.4061,0.445,173455.0
2020-04-14,0.4537,0.47,0.4003,0.4454,157777.0
2020-04-13,0.46,0.4601,0.4302,0.442,128211.0
2020-04-09,0.48,0.487,0.44,0.4599,154345.0
2020-04-08,0.4701,0.5,0.43,0.4798,227106.0
2020-04-07,0.51,0.57,0.4701,0.495,1044328.0
2020-04-06,0.504,0.5165,0.45,0.5,914891.0
2020-04-03,0.46,0.47,0.44,0.4595,39766.0
2020-04-02,0.4058,0.4649,0.4058,0.4501,208057.0
2020-04-01,0.46,0.48,0.3904,0.4,85275.0
2020-03-31,0.4981,0.4999,0.4,0.45,99260.0
2020-03-30,0.525,0.525,0.4601,0.49,85088.0
2020-03-27,0.5138,0.54,0.4898,0.5,125444.0
2020-03-26,0.51,0.54,0.5,0.52,89566.0
2020-03-25,0.53,0.53,0.488,0.5,88436.0
2020-03-24,0.4832,0.54,0.45,0.5164,136358.0
2020-03-23,0.5271,0.56,0.45,0.45,97331.0
2020-03-20,0.4646,0.589,0.44,0.5163,115927.0
2020-03-19,0.401,0.48,0.401,0.48,85933.0
2020-03-18,0.49,0.52,0.38,0.3963,49189.0
2020-03-17,0.51,0.52,0.4801,0.4802,73718.0
2020-03-16,0.3522,0.5496,0.3522,0.4884,135966.0
2020-03-13,0.616,0.623,0.525,0.595,89091.0
2020-03-12,0.69,0.69,0.5223,0.54,162450.0
2020-03-11,0.739,0.7759,0.7,0.715,60646.0
2020-03-10,0.73,0.75,0.72,0.74,52710.0
2020-03-09,0.78,0.78,0.63,0.717,161541.0
2020-03-06,0.9192,0.93,0.87,0.89,82023.0
2020-03-05,0.95,0.95,0.89,0.9098,58971.0
2020-03-04,0.9,0.91,0.865,0.91,27822.0
2020-03-03,0.91,0.92,0.85,0.9,81176.0
2020-03-02,0.8663,0.92,0.86,0.8761,59798.0
2020-02-28,0.85,0.8999,0.83,0.8597,141583.0
