date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,9.69,9.69,9.69,9.69,58004.0
2020-03-30,9.7,9.7,9.7,9.7,142.0
2020-03-27,9.44,9.7,9.44,9.7,7317.0
2020-03-26,9.55,9.5522,9.55,9.5522,763.0
2020-03-25,9.55,9.65,9.5274,9.65,851.0
2020-03-24,9.56,9.79,9.4535,9.69,11611.0
2020-03-23,9.4,9.4,9.1718,9.325,360481.0
2020-03-20,9.52,9.52,9.3,9.4534,138731.0
2020-03-19,9.7403,9.7999,9.47,9.51,21192.0
2020-03-18,9.89,9.91,8.56,8.57,15795.0
2020-03-17,9.4001,9.9,9.4001,9.6,26654.0
2020-03-16,9.61,9.65,9.55,9.6,105110.0
2020-03-13,9.71,9.78,9.64,9.65,8224.0
2020-03-12,9.652,9.71,9.65,9.7,136151.0
2020-03-11,9.79,9.7901,9.79,9.7901,1130.0
2020-03-10,9.74,9.82,9.7,9.8,61786.0
2020-03-09,9.84,9.9,9.5001,9.82,352230.0
2020-03-06,9.86,9.86,9.86,9.86,0.0
2020-03-05,9.86,9.86,9.86,9.86,13500.0
2020-03-04,9.8,9.9,9.8,9.9,22500.0
2020-03-03,9.8,9.8,9.8,9.8,10.0
2020-03-02,9.8,9.8,9.8,9.8,25.0
2020-02-28,9.8,9.82,9.8,9.8,20500.0
2020-02-27,9.86,9.86,9.86,9.86,500.0
2020-02-26,9.85,9.85,9.85,9.85,12264.0
2020-02-25,9.85,9.85,9.85,9.85,638.0
2020-02-24,9.85,9.85,9.85,9.85,1.0
2020-02-21,9.85,9.85,9.85,9.85,12.0
2020-02-20,9.85,9.85,9.85,9.85,0.0
2020-02-19,9.85,9.85,9.85,9.85,706.0
2020-02-18,9.86,9.8824,9.85,9.8824,1183.0
2020-02-14,9.95,9.95,9.9007,9.91,32056.0
2020-02-13,9.95,9.95,9.95,9.95,2.0
2020-02-12,9.95,9.95,9.95,9.95,0.0
2020-02-11,9.95,9.95,9.95,9.95,0.0
2020-02-10,9.95,9.95,9.95,9.95,8.0
2020-02-07,9.9,9.95,9.88,9.95,2796.0
2020-02-06,9.81,9.81,9.81,9.81,0.0
2020-02-04,9.81,9.81,9.81,9.81,375.0
2020-02-03,9.81,9.81,9.81,9.81,0.0
2020-01-31,9.81,9.81,9.81,9.81,100.0
2020-01-30,9.8176,9.85,9.8176,9.85,1320.0
2020-01-29,9.85,9.85,9.83,9.8498,508.0
2020-01-28,9.84,9.84,9.84,9.84,0.0
2020-01-27,9.84,9.84,9.84,9.84,6.0
2020-01-24,9.84,9.84,9.84,9.84,100200.0
2020-01-23,9.84,9.84,9.84,9.84,50000.0
2020-01-22,9.82,9.82,9.82,9.82,75241.0
2020-01-21,9.83,9.83,9.83,9.83,5200.0
2020-01-17,9.8,9.9,9.8,9.9,636.0
2020-01-16,9.9,9.9,9.9,9.9,11.0
2020-01-15,9.85,9.9,9.85,9.9,1048.0
2020-01-14,9.87,9.87,9.87,9.87,510.0
2020-01-13,9.8,9.88,9.8,9.88,6306.0
2020-01-10,9.8,9.8,9.8,9.8,6.0
2020-01-09,9.8,9.8,9.8,9.8,223669.0
2020-01-08,9.76,9.76,9.76,9.76,2930.0
2020-01-07,9.77,9.77,9.75,9.75,35515.0
2020-01-06,9.75,9.77,9.75,9.77,43946.0
2020-01-03,9.76,9.77,9.73,9.7458,3900.0
2020-01-02,9.74,9.74,9.74,9.74,19761.0
2019-12-31,9.73,9.74,9.73,9.74,3305.0
2019-12-30,9.74,9.74,9.74,9.74,4.0
2019-12-27,9.7138,9.74,9.71,9.74,21993.0
2019-12-26,9.75,9.75,9.75,9.75,13.0
2019-12-24,9.75,9.75,9.75,9.75,0.0
2019-12-23,9.75,9.75,9.75,9.75,1000.0
2019-12-20,9.7177,9.75,9.71,9.75,2500.0
2019-12-19,9.73,9.73,9.72,9.72,272.0
2019-12-18,9.72,9.74,9.72,9.73,2445.0
2019-12-17,9.75,9.75,9.72,9.72,3804.0
2019-12-16,9.7,9.75,9.7,9.75,225333.0
2019-12-13,7.72,9.75,7.72,9.7,1176.0
2019-12-12,9.75,9.75,9.65,9.7,800700.0
