date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,12.67,13.09,12.59,12.94,1377249.0
2020-04-08,11.86,12.3139,11.86,12.24,187537.0
2020-04-07,11.78,12.1,11.66,11.69,195723.0
2020-04-06,11.08,11.49,11.08,11.3962,96661.0
2020-04-03,11.18,11.29,10.6701,10.84,71073.0
2020-04-02,11.15,11.455,11.05,11.21,149378.0
2020-04-01,11.45,11.58,11.0551,11.2,232427.0
2020-03-31,11.74,11.81,11.55,11.73,213372.0
2020-03-30,11.79,11.79,11.3817,11.73,378946.0
2020-03-27,11.88,11.98,11.56,11.81,252744.0
2020-03-26,11.32,12.3975,11.32,11.955,260035.0
2020-03-25,10.65,11.56,10.58,11.3,673719.0
2020-03-24,10.23,10.62,10.23,10.43,1139076.0
2020-03-23,10.71,10.71,9.81,10.0,496314.0
2020-03-20,11.0,11.56,10.6163,10.81,251856.0
2020-03-19,10.04,11.04,9.1605,10.8,273705.0
2020-03-18,11.18,11.2601,9.0124,9.69,550109.0
2020-03-17,12.3,12.3,11.23,11.8,1123565.0
2020-03-16,12.38,12.847,11.63,12.41,1203485.0
2020-03-13,13.02,13.6023,12.9,13.51,1299891.0
2020-03-12,13.83,13.83,12.51,13.0178,437134.0
2020-03-11,14.96,14.96,14.4,14.61,240882.0
2020-03-10,15.03,15.1795,14.52,15.11,171273.0
2020-03-09,15.56,15.58,14.75,14.8,548666.0
2020-03-06,16.5,16.5,16.05,16.24,368968.0
2020-03-05,16.78,16.9,16.5,16.59,190294.0
2020-03-04,16.89,16.9619,16.59,16.93,869299.0
2020-03-03,17.07,17.2999,16.68,16.72,1361814.0
2020-03-02,16.74,17.0,16.5785,17.0,193232.0
2020-02-28,16.61,16.61,16.2964,16.61,234552.0
2020-02-27,17.07,17.1697,16.74,16.81,497622.0
2020-02-26,17.49,17.57,17.31,17.3132,165492.0
2020-02-25,17.95,17.95,17.44,17.4838,115461.0
2020-02-24,18.07,18.07,17.9035,17.94,193310.0
2020-02-21,18.24,18.32,18.18,18.22,90996.0
2020-02-20,18.38,18.49,18.35,18.46,104749.0
2020-02-19,18.51,18.51,18.3703,18.3703,112663.0
2020-02-18,18.46,18.4838,18.4,18.46,86310.0
2020-02-14,18.49,18.56,18.4073,18.45,80321.0
2020-02-13,18.51,18.51,18.4549,18.48,76785.0
2020-02-12,18.49,18.5297,18.4701,18.5109,113612.0
2020-02-11,18.35,18.44,18.35,18.4,134660.0
2020-02-10,18.41,18.4119,18.3,18.325,71172.0
2020-02-07,18.38,18.4315,18.3501,18.38,140540.0
2020-02-06,18.58,18.58,18.4201,18.44,275663.0
2020-02-05,18.46,18.5784,18.459,18.53,174402.0
2020-02-04,18.42,18.48,18.39,18.39,105366.0
2020-02-03,18.29,18.361,18.27,18.28,85933.0
2020-01-31,18.43,18.43,18.226,18.2501,122365.0
2020-01-30,18.38,18.44,18.32,18.44,78384.0
2020-01-29,18.45,18.52,18.44,18.4509,123893.0
2020-01-28,18.41,18.48,18.3932,18.44,206705.0
2020-01-27,18.38,18.41,18.3,18.39,114781.0
2020-01-24,18.74,18.74,18.46,18.5224,105912.0
2020-01-23,18.79,18.79,18.61,18.7047,137021.0
2020-01-22,18.88,18.88,18.76,18.7743,104514.0
2020-01-21,18.92,19.0,18.9,18.91,120442.0
2020-01-17,19.01,19.06,18.97,19.0,101424.0
2020-01-16,18.99,19.05,18.99,19.0305,94987.0
2020-01-15,18.93,18.99,18.86,18.97,87880.0
2020-01-14,18.87,18.93,18.8208,18.9147,138279.0
2020-01-13,18.81,18.88,18.7515,18.87,87833.0
2020-01-10,18.76,18.81,18.7565,18.7746,100640.0
2020-01-09,18.88,18.88,18.7649,18.81,124209.0
2020-01-08,18.85,18.88,18.8002,18.82,183998.0
2020-01-07,18.85,18.85,18.7603,18.8394,91321.0
2020-01-06,18.68,18.87,18.68,18.845,96607.0
2020-01-03,18.78,18.83,18.7445,18.8,202861.0
2020-01-02,18.86,18.86,18.7401,18.82,76218.0
2019-12-31,18.76,18.8,18.7112,18.79,104694.0
2019-12-30,18.8,18.8,18.6973,18.7078,102219.0
2019-12-27,18.84,18.8937,18.773,18.7944,82984.0
2019-12-26,18.75,18.84,18.75,18.815,51666.0
2019-12-24,18.77,18.78,18.7205,18.755,69859.0
2019-12-23,18.74,18.76,18.69,18.76,103942.0
2019-12-20,18.72,18.8,18.7029,18.75,76132.0
2019-12-19,18.7,18.71,18.66,18.695,73344.0
2019-12-18,18.63,18.68,18.58,18.68,79435.0
2019-12-17,18.56,18.5996,18.52,18.57,116924.0
2019-12-16,18.44,18.52,18.44,18.48,105159.0
2019-12-13,18.42,18.45,18.341,18.3982,72464.0
2019-12-12,18.46,18.575,18.4273,18.51,101284.0
2019-12-11,18.51,18.51,18.4242,18.47,79471.0
2019-12-10,18.38,18.48,18.3709,18.4602,61317.0
2019-12-09,18.36,18.42,18.33,18.4061,109317.0
2019-12-06,18.34,18.39,18.34,18.3543,70658.0
2019-12-05,18.28,18.3069,18.2255,18.26,86060.0
2019-12-04,18.27,18.325,18.255,18.28,82259.0
2019-12-03,18.23,18.23,18.1355,18.22,75284.0
2019-12-02,18.39,18.4128,18.2582,18.27,90839.0
2019-11-29,18.42,18.42,18.35,18.37,58250.0
2019-11-27,18.37,18.42,18.3445,18.4,82599.0
2019-11-26,18.42,18.42,18.31,18.31,82128.0
2019-11-25,18.28,18.38,18.28,18.38,105881.0
2019-11-22,18.29,18.3141,18.22,18.2846,97819.0
2019-11-21,18.26,18.26,18.16,18.2303,80760.0
2019-11-20,18.4,18.4194,18.2976,18.33,103726.0
2019-11-19,18.51,18.521,18.4,18.4,98181.0
2019-11-18,18.51,18.52,18.46,18.4765,85016.0
2019-11-15,18.5,18.55,18.4658,18.55,90815.0
2019-11-14,18.5,18.5128,18.45,18.45,97754.0
2019-11-13,18.49,18.52,18.45,18.49,126627.0
2019-11-12,18.57,18.6197,18.51,18.54,63868.0
2019-11-11,18.51,18.591,18.51,18.53,56177.0
2019-11-08,18.57,18.63,18.54,18.63,53643.0
2019-11-07,18.67,18.74,18.6,18.6,71986.0
2019-11-06,18.71,18.724,18.625,18.67,95994.0
2019-11-05,18.69,18.7174,18.6313,18.6932,80868.0
2019-11-04,18.68,18.74,18.68,18.69,91721.0
2019-11-01,18.51,18.63,18.51,18.63,100965.0
