date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,3.18,3.37,3.0,3.29,843943.0
2020-03-30,3.725,3.73,2.96,3.11,1419396.0
2020-03-27,4.09,4.21,3.5,3.94,831950.0
2020-03-26,3.55,4.99,3.25,4.09,1269951.0
2020-03-25,3.79,3.86,2.9999,3.24,1692121.0
2020-03-24,3.35,3.5673,3.17,3.43,853765.0
2020-03-23,3.19,3.355,2.71,3.02,846937.0
2020-03-20,2.87,3.7,2.87,3.13,1417157.0
2020-03-19,2.8,3.21,2.32,2.7,1023780.0
2020-03-18,3.39,3.55,2.39,2.89,793227.0
2020-03-17,3.72,4.47,3.2,3.4,955284.0
2020-03-16,3.92,4.097,3.53,3.72,890113.0
2020-03-13,4.01,4.95,3.46,4.72,1491108.0
2020-03-12,4.14,4.4,3.63,3.73,781420.0
2020-03-11,5.31,5.35,4.47,4.53,379760.0
2020-03-10,5.44,5.59,4.803,5.43,605015.0
2020-03-09,5.27,5.5,5.02,5.19,418762.0
2020-03-06,5.11,5.77,5.0,5.76,533871.0
2020-03-05,5.87,5.898,5.2,5.34,606497.0
2020-03-04,5.9,6.08,5.65,6.06,369225.0
2020-03-03,5.93,6.18,5.65,5.81,307548.0
2020-03-02,5.71,6.13,5.7,5.95,399171.0
2020-02-28,5.75,5.95,5.66,5.77,329448.0
2020-02-27,6.14,6.3755,5.85,5.9,519249.0
2020-02-26,6.75,6.82,6.26,6.3,237988.0
2020-02-25,7.25,7.25,6.68,6.7,430813.0
2020-02-24,7.38,7.44,7.11,7.24,292051.0
2020-02-21,7.7,7.8,7.6,7.68,293258.0
2020-02-20,7.61,7.91,7.55,7.77,278099.0
2020-02-19,7.74,7.77,7.57,7.61,142204.0
2020-02-18,7.95,8.02,7.55,7.69,190814.0
2020-02-14,8.09,8.15,7.855,7.94,190837.0
2020-02-13,8.3,8.31,7.99,8.09,108324.0
2020-02-12,8.51,8.64,8.29,8.35,172013.0
2020-02-11,7.95,8.5802,7.37,8.46,612688.0
2020-02-10,7.81,7.94,7.53,7.91,261242.0
2020-02-07,8.2,8.25,7.6,7.805,284760.0
2020-02-06,8.43,8.5,8.17,8.25,154311.0
2020-02-05,8.33,8.49,8.255,8.35,162273.0
2020-02-04,8.41,8.45,8.17,8.24,203916.0
2020-02-03,8.6,8.72,8.11,8.29,203251.0
2020-01-31,8.62,8.77,8.445,8.54,416880.0
2020-01-30,8.52,8.7,8.42,8.66,155407.0
2020-01-29,8.7,8.89,8.45,8.6,134340.0
2020-01-28,8.74,8.8562,8.425,8.64,219580.0
2020-01-27,9.0,9.0292,8.69,8.71,356321.0
2020-01-24,9.4,9.4,9.07,9.21,115403.0
2020-01-23,9.1,9.4,8.82,9.37,187947.0
2020-01-22,9.09,9.1,8.98,9.0,138722.0
2020-01-21,9.3,9.3,8.96,9.07,200845.0
2020-01-17,9.44,9.49,9.16,9.27,215455.0
2020-01-16,9.01,9.46,9.01,9.36,247338.0
2020-01-15,8.9,9.08,8.85,8.96,181431.0
2020-01-14,8.68,9.08,8.68,8.865,303320.0
2020-01-13,8.65,8.78,8.5646,8.7,217281.0
2020-01-10,8.78,8.79,8.58,8.64,161550.0
2020-01-09,8.73,8.94,8.72,8.785,161649.0
2020-01-08,8.55,8.9,8.531,8.69,276529.0
2020-01-07,8.56,8.6699,8.52,8.58,172431.0
2020-01-06,8.56,8.76,8.52,8.56,233074.0
2020-01-03,8.75,8.85,8.53,8.69,281513.0
2020-01-02,8.96,9.1,8.78,8.84,248146.0
2019-12-31,8.9,9.14,8.9,8.94,241098.0
2019-12-30,9.09,9.15,8.87,8.95,272258.0
2019-12-27,9.43,9.43,8.9933,9.14,296025.0
2019-12-26,9.5,9.65,9.35,9.41,216825.0
2019-12-24,9.43,9.64,9.23,9.52,186345.0
2019-12-23,9.0,9.605,8.99,9.4,696664.0
2019-12-20,9.0,9.0,8.82,8.98,725046.0
2019-12-19,8.86,9.02,8.71,8.98,548305.0
2019-12-18,8.86,9.0175,8.68,8.76,424911.0
2019-12-17,8.82,8.88,8.48,8.81,1285071.0
