date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,9.57,10.45,9.39,10.45,28439.0
2020-03-30,8.96,10.0395,8.96,9.89,14492.0
2020-03-27,9.89,10.636,8.798,8.97,19465.0
2020-03-26,9.42,10.51,9.0,10.51,17100.0
2020-03-25,9.7,10.2,8.163,9.43,40776.0
2020-03-24,7.5,9.48,7.5,9.48,64463.0
2020-03-23,8.51,8.51,6.52,7.37,51546.0
2020-03-20,9.94,10.0,8.76,9.33,42244.0
2020-03-19,10.23,10.23,9.875,10.0,50942.0
2020-03-18,11.31,12.12,10.2,10.2,113336.0
2020-03-17,10.48,13.65,9.9718,13.65,22655.0
2020-03-16,9.39,11.25,9.25,10.04,17218.0
2020-03-13,11.59,11.83,11.25,11.44,16363.0
2020-03-12,11.5,11.7664,10.79,10.79,166112.0
2020-03-11,12.0,12.26,11.9,11.98,11081.0
2020-03-10,12.04,12.72,11.6801,12.05,20435.0
2020-03-09,13.35,13.35,11.26,11.68,18043.0
2020-03-06,13.35,14.0,13.35,13.4,7712.0
2020-03-05,14.04,14.04,13.1,13.44,12136.0
2020-03-04,14.0,14.31,14.0,14.3,15335.0
2020-03-03,14.47,14.47,13.7,13.79,13965.0
2020-03-02,14.0,14.5995,14.0,14.43,23393.0
2020-02-28,14.0,14.75,13.91,13.99,22086.0
2020-02-27,14.78,14.8,13.755,14.65,15812.0
2020-02-26,15.0,15.05,14.95,14.99,6295.0
2020-02-25,15.15,15.19,14.51,14.99,10595.0
2020-02-24,15.25,15.25,14.9,14.99,10852.0
2020-02-21,15.69,15.75,15.395,15.47,7116.0
2020-02-20,15.37,15.54,15.365,15.54,5234.0
2020-02-19,15.3,15.37,15.12,15.28,2514.0
2020-02-18,15.35,15.62,15.17,15.45,5728.0
2020-02-14,15.64,15.75,15.41,15.46,4683.0
2020-02-13,15.74,15.74,15.74,15.74,1466.0
2020-02-12,15.61,15.75,15.61,15.745,5646.0
2020-02-11,15.7777,15.94,15.75,15.75,2611.0
2020-02-10,15.41,15.9,15.1711,15.9,2165.0
2020-02-07,15.97,15.97,15.6572,15.75,13092.0
2020-02-06,15.87,15.89,15.8,15.8,8459.0
2020-02-05,15.5,16.0,15.5,15.9,17348.0
2020-02-04,15.51,15.78,15.17,15.78,19470.0
2020-02-03,15.12,15.73,15.12,15.53,8203.0
2020-01-31,15.1001,15.73,15.1001,15.12,18150.0
2020-01-30,15.72,15.74,15.5101,15.7,11948.0
2020-01-29,15.87,15.89,15.76,15.76,2833.0
2020-01-28,16.13,16.13,15.6201,15.96,5732.0
2020-01-27,15.76,16.09,15.5115,15.76,6946.0
2020-01-24,16.12,16.55,15.95,15.96,4671.0
2020-01-23,15.68,16.33,15.25,16.13,12519.0
2020-01-22,16.04,16.04,15.5599,15.8,6546.0
2020-01-21,16.59,16.59,16.12,16.16,4941.0
2020-01-17,16.65,16.65,16.286,16.44,11784.0
2020-01-16,16.47,16.64,16.42,16.48,5318.0
2020-01-15,16.43,16.72,16.1805,16.34,10669.0
2020-01-14,16.44,16.48,16.1723,16.34,8218.0
2020-01-13,16.94,16.94,16.45,16.57,13564.0
2020-01-10,16.99,16.99,16.6143,16.65,19487.0
2020-01-09,17.0,17.15,16.52,16.91,6303.0
2020-01-08,16.96,16.96,16.64,16.68,3137.0
2020-01-07,16.905,17.16,16.74,16.99,15187.0
2020-01-06,17.075,17.32,16.9938,17.22,9192.0
2020-01-03,17.26,17.26,16.93,16.94,3492.0
2020-01-02,17.39,17.4,17.15,17.32,19918.0
2019-12-31,17.32,17.48,17.32,17.46,8881.0
2019-12-30,16.6428,17.4,16.6428,17.23,12614.0
2019-12-27,17.39,17.39,16.97,17.05,10923.0
2019-12-26,17.26,17.75,16.54,17.38,33706.0
2019-12-24,17.17,17.4,17.15,17.38,20572.0
2019-12-23,17.11,17.2,16.96,17.17,22242.0
2019-12-20,16.84,17.0,16.71,17.0,90251.0
2019-12-19,16.83,16.9,16.5756,16.9,18112.0
2019-12-18,16.89,16.9,16.82,16.87,9769.0
2019-12-17,16.79,16.87,16.6794,16.85,11911.0
2019-12-16,16.25,16.94,16.16,16.86,16222.0
2019-12-13,15.8547,16.25,15.76,16.07,14193.0
2019-12-12,15.87,15.95,15.81,15.93,21894.0
2019-12-11,15.88,15.88,15.6878,15.83,5594.0
2019-12-10,15.91,15.92,15.83,15.88,6247.0
2019-12-09,15.72,16.01,15.65,15.86,22450.0
2019-12-06,15.6475,15.77,15.52,15.71,28528.0
2019-12-05,15.5,15.81,15.5,15.69,3311.0
2019-12-04,15.7,15.82,15.63,15.68,217050.0
2019-12-03,15.51,15.55,15.22,15.46,8794.0
2019-12-02,15.73,15.75,15.6,15.64,6016.0
2019-11-29,15.5823,15.74,15.5823,15.74,2177.0
2019-11-27,15.78,15.78,15.637,15.75,14182.0
2019-11-26,15.59,15.75,15.5,15.5,11767.0
2019-11-25,15.7156,15.83,15.5,15.57,14393.0
2019-11-22,15.79,15.85,15.74,15.75,1965.0
2019-11-21,15.87,15.91,15.73,15.73,19292.0
2019-11-20,15.69,15.94,15.65,15.85,23956.0
2019-11-19,15.68,15.8,15.5,15.8,10126.0
2019-11-18,15.65,15.68,15.5,15.61,5865.0
2019-11-15,15.79,15.8,15.67,15.67,4911.0
2019-11-14,15.4,15.76,15.4,15.68,4807.0
2019-11-13,15.585,15.7,15.25,15.7,4302.0
2019-11-12,15.5775,15.7535,15.5001,15.52,8216.0
2019-11-11,15.61,15.65,15.52,15.6,6763.0
2019-11-08,15.57,15.8,15.52,15.61,6705.0
2019-11-07,15.8,15.91,15.5,15.8,11309.0
2019-11-06,15.7826,15.88,15.73,15.73,2779.0
2019-11-05,15.8,15.98,15.8,15.96,6564.0
2019-11-04,15.88,15.91,15.58,15.91,14372.0
2019-11-01,15.65,15.76,15.63,15.76,3092.0
2019-10-31,15.88,15.88,15.55,15.64,4288.0
2019-10-30,16.25,16.25,15.65,16.05,11230.0
2019-10-29,15.83,15.85,15.6175,15.82,6333.0
2019-10-28,15.49,15.85,15.1,15.8,4241.0
2019-10-25,15.69,15.69,15.32,15.55,4889.0
2019-10-24,15.77,15.803,15.5,15.78,3942.0
2019-10-23,15.61,15.75,15.4693,15.75,1983.0
2019-10-22,15.54,15.76,15.47,15.71,12871.0
2019-10-21,15.33,15.55,15.32,15.54,25134.0
2019-10-18,15.26,15.51,15.145,15.45,13240.0
2019-10-17,15.44,15.44,15.0601,15.37,7370.0
2019-10-16,15.48,15.48,15.2403,15.45,3257.0
2019-10-15,15.29,15.525,15.09,15.4,13783.0
2019-10-14,15.46,15.47,15.27,15.37,3559.0
2019-10-11,15.52,15.545,15.33,15.39,5617.0
2019-10-10,15.4,15.485,15.26,15.35,5349.0
2019-10-09,15.47,15.55,15.27,15.27,7836.0
2019-10-08,15.54,15.68,15.44,15.5,30215.0
2019-10-07,15.22,15.69,15.22,15.55,17618.0
2019-10-04,15.3609,15.46,15.03,15.26,8775.0
2019-10-03,15.3,15.3,15.2,15.2,1927.0
2019-10-02,15.46,15.6,15.4387,15.44,8907.0
2019-10-01,15.61,15.71,15.31,15.4,3553.0
2019-09-30,15.66,15.75,15.36,15.46,29162.0
2019-09-27,15.56,15.7,15.55,15.55,8907.0
2019-09-26,15.55,15.7,15.4695,15.51,7987.0
2019-09-25,15.42,15.75,14.98,15.69,37936.0
2019-09-24,15.9092,15.9092,15.42,15.42,39295.0
2019-09-23,15.61,15.8,15.412,15.63,11443.0
2019-09-20,15.23,15.99,15.23,15.85,27971.0
2019-09-19,15.18,15.61,15.1,15.28,21890.0
2019-09-18,15.45,15.52,15.3,15.3,14011.0
2019-09-17,15.39,15.67,15.35,15.35,12502.0
2019-09-16,15.5,15.63,15.43,15.44,11213.0
2019-09-13,15.6,15.85,15.37,15.48,10336.0
2019-09-12,16.25,16.25,15.21,15.68,33113.0
2019-09-11,15.24,16.065,15.1984,15.84,12276.0
2019-09-10,14.99,15.23,14.99,15.09,4769.0
2019-09-09,15.39,15.39,14.7827,14.95,18895.0
