date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,25.7999,25.7999,24.2,24.87,127890.0
2020-04-23,24.1,25.75,24.1,24.92,7278.0
2020-04-22,23.48,25.07,23.48,24.51,13591.0
2020-04-21,23.14,24.18,22.81,23.48,12494.0
2020-04-20,23.36,24.64,23.36,24.35,5917.0
2020-04-17,23.89,24.61,23.63,24.12,13935.0
2020-04-16,25.31,26.325,22.86,23.31,15976.0
2020-04-15,25.5032,25.76,24.56,25.33,9036.0
2020-04-14,27.11,27.11,25.8,25.8,4032.0
2020-04-13,28.59,29.395,26.66,26.66,11184.0
2020-04-09,29.3,29.3,27.87,29.15,11636.0
2020-04-08,27.55,27.55,26.86,27.37,9971.0
2020-04-07,27.8,28.0,26.47,26.95,10910.0
2020-04-06,26.26,27.49,26.0227,27.49,13391.0
2020-04-03,26.23,26.23,24.0,25.36,19120.0
2020-04-02,25.58,26.98,25.55,26.19,7683.0
2020-04-01,26.19,26.52,25.46,26.17,14233.0
2020-03-31,27.88,28.2,26.89,28.2,15544.0
2020-03-30,25.77,28.28,25.77,28.25,8147.0
2020-03-27,29.7,29.7,26.76,26.77,16319.0
2020-03-26,27.22,29.76,27.22,29.76,24722.0
2020-03-25,26.82,27.55,25.39,26.71,11673.0
2020-03-24,25.31,26.63,25.281,26.63,14697.0
2020-03-23,27.54,27.54,22.24,23.33,18692.0
2020-03-20,28.13,28.13,24.75,27.54,25298.0
2020-03-19,26.6,29.44,25.36,29.44,13487.0
2020-03-18,28.05,28.05,25.59,26.5,70604.0
2020-03-17,23.68,28.72,23.68,28.4,20638.0
2020-03-16,24.71,26.5,23.68,23.68,9727.0
2020-03-13,27.18,27.53,25.64,26.72,25656.0
2020-03-12,25.86,27.5,25.33,25.37,20331.0
2020-03-11,30.67,30.67,28.57,28.78,5396.0
2020-03-10,31.3,31.36,29.64,30.81,12232.0
2020-03-09,31.92,31.92,30.22,30.58,12816.0
2020-03-06,33.38,34.12,32.984,33.94,13525.0
2020-03-05,34.63,34.64,33.77,34.5,11902.0
2020-03-04,34.8,35.5,34.24,35.5,9040.0
2020-03-03,34.8581,35.01,34.0,34.69,17511.0
2020-03-02,33.53,35.21,33.53,35.21,7933.0
2020-02-28,33.87,34.36,32.87,33.5,28803.0
2020-02-27,35.38,35.82,34.54,34.54,12868.0
2020-02-26,36.11,36.62,35.75,35.75,4713.0
2020-02-25,36.93,37.03,35.91,35.91,9656.0
2020-02-24,37.36,37.37,37.16,37.32,7140.0
2020-02-21,38.07,38.07,37.7,37.97,4562.0
2020-02-20,37.59,38.05,37.59,38.0,9369.0
2020-02-19,37.65,37.77,37.6,37.74,8429.0
2020-02-18,37.3,37.78,37.3,37.58,9225.0
2020-02-14,38.16,38.16,37.85,37.85,4174.0
2020-02-13,38.08,38.16,37.96,38.16,3456.0
2020-02-12,37.88,38.08,37.8,37.86,7448.0
2020-02-11,37.75,38.19,37.72,37.76,13764.0
2020-02-10,37.64,37.78,37.5,37.53,2383.0
2020-02-07,37.32,37.705,37.25,37.57,7097.0
2020-02-06,37.83,37.83,37.46,37.47,9543.0
2020-02-05,37.75,37.78,37.43,37.78,9450.0
2020-02-04,37.62,37.84,37.38,37.39,5211.0
2020-02-03,37.59,37.59,37.28,37.36,6346.0
2020-01-31,37.39,37.46,36.77,37.23,17511.0
2020-01-30,36.84,37.69,36.84,37.6,9719.0
2020-01-29,37.21,37.21,36.78,37.0,12413.0
2020-01-28,37.28,37.58,37.02,37.3,11179.0
2020-01-27,37.93,38.08,37.15,37.19,27301.0
2020-01-24,38.425,38.62,38.11,38.31,6664.0
2020-01-23,38.15,38.7,38.06,38.63,25653.0
2020-01-22,38.71,38.71,38.1,38.29,12770.0
2020-01-21,38.76,38.77,38.51,38.51,7877.0
2020-01-17,39.38,39.38,38.79,38.79,12182.0
2020-01-16,38.92,39.38,38.82,39.16,7843.0
2020-01-15,39.02,39.06,38.8,38.85,10512.0
2020-01-14,38.95,39.11,38.8,39.08,7915.0
2020-01-13,38.78,39.14,38.72,39.14,6145.0
2020-01-10,38.89,38.97,38.71,38.85,8489.0
2020-01-09,39.29,39.37,39.02,39.05,3841.0
2020-01-08,39.05,39.38,39.05,39.22,7607.0
2020-01-07,39.04,39.05,38.81,38.86,16648.0
2020-01-06,39.24,39.26,38.98,39.15,11993.0
2020-01-03,39.16,39.52,39.06,39.33,8942.0
2020-01-02,39.8,39.8,38.99,39.3,28157.0
2019-12-31,39.93,39.98,39.59,39.67,14687.0
2019-12-30,39.67,39.79,39.54,39.71,11234.0
2019-12-27,39.86,39.86,39.46,39.58,10619.0
2019-12-26,39.98,39.98,39.55,39.7,5666.0
2019-12-24,39.6349,39.75,39.52,39.73,7037.0
2019-12-23,39.88,39.96,39.59,39.72,29197.0
2019-12-20,39.98,40.15,39.71,40.15,62744.0
2019-12-19,39.65,40.04,39.65,40.03,9390.0
2019-12-18,39.89,39.96,39.48,39.57,16552.0
2019-12-17,39.43,39.85,39.4,39.85,70225.0
2019-12-16,39.15,39.69,39.15,39.35,27806.0
2019-12-13,39.1,39.39,38.98,39.24,14583.0
2019-12-12,39.0,39.29,39.0,39.26,26628.0
2019-12-11,39.46,39.46,38.98,39.15,21722.0
2019-12-10,39.3598,39.42,39.19,39.36,9140.0
2019-12-09,39.42,39.61,39.38,39.38,9589.0
2019-12-06,39.62,39.95,39.41,39.41,12819.0
2019-12-05,39.49,39.5,39.23,39.33,16260.0
2019-12-04,39.28,39.58,39.24,39.24,11009.0
2019-12-03,38.56,39.21,38.56,39.21,5664.0
2019-12-02,39.75,39.81,39.3005,39.36,13760.0
2019-11-29,39.4,39.68,39.4,39.65,2333.0
2019-11-27,39.74,39.75,39.52,39.53,6377.0
2019-11-26,39.82,39.87,39.58,39.71,6408.0
2019-11-25,39.58,40.0,39.38,39.73,11163.0
2019-11-22,39.25,39.54,39.16,39.34,4438.0
2019-11-21,39.61,39.61,39.2,39.25,3452.0
2019-11-20,39.5,39.71,39.3,39.48,16423.0
2019-11-19,39.75,39.75,39.6,39.68,14283.0
2019-11-18,39.64,39.8,39.61,39.69,8190.0
2019-11-15,40.08,40.08,39.65,39.86,8042.0
2019-11-14,39.94,40.07,39.82,39.88,5616.0
2019-11-13,40.07,40.27,39.95,39.97,13630.0
2019-11-12,39.96,40.27,39.96,40.23,8450.0
2019-11-11,39.83,40.09,39.82,39.97,7706.0
2019-11-08,39.81,40.2,39.81,39.99,20388.0
2019-11-07,40.25,40.29,39.91,40.08,45318.0
2019-11-06,39.96,40.48,39.8,40.2,37077.0
2019-11-05,40.61,40.61,39.76,39.97,72826.0
2019-11-04,39.83,39.95,39.56,39.95,100854.0
2019-11-01,39.71,39.99,39.54,39.73,89466.0
2019-10-31,39.26,40.0,39.26,39.89,112204.0
2019-10-30,37.35,39.71,37.35,39.56,583286.0
2019-10-29,32.75,33.2,32.75,32.9,3471.0
2019-10-28,32.3527,33.055,32.2687,32.84,4879.0
2019-10-25,32.3487,32.6,32.302,32.36,4947.0
2019-10-24,32.35,32.5,32.26,32.36,2512.0
2019-10-23,32.43,32.73,32.37,32.37,2219.0
2019-10-22,32.73,32.73,31.53,32.29,7236.0
2019-10-21,30.97,32.35,30.97,32.1,5642.0
2019-10-18,30.92,31.2,30.8,31.07,4044.0
2019-10-17,31.21,31.35,30.6916,31.12,8136.0
2019-10-16,31.21,31.21,31.21,31.21,645.0
2019-10-15,30.52,31.21,30.52,31.21,1413.0
2019-10-14,30.61,30.74,30.5,30.74,1722.0
2019-10-11,30.3,31.205,30.3,30.56,3037.0
2019-10-10,30.5,30.53,30.23,30.23,4871.0
2019-10-09,30.0,30.47,29.9,30.01,3691.0
2019-10-08,30.26,30.665,29.9,29.9,5280.0
2019-10-07,30.0,30.55,29.9,30.21,4268.0
2019-10-04,29.85,30.08,29.8,30.08,2973.0
2019-10-03,30.02,30.39,29.5,29.87,3406.0
2019-10-02,30.76,30.76,30.18,30.18,1614.0
2019-10-01,31.8,31.82,31.12,31.12,2376.0
2019-09-30,32.12,32.12,31.52,31.52,3958.0
2019-09-27,32.03,32.03,31.6,31.6,3379.0
2019-09-26,32.52,32.52,31.5645,31.68,5555.0
2019-09-25,31.79,32.32,30.09,31.6,5387.0
2019-09-24,31.81,31.85,31.7,31.7,2923.0
2019-09-23,32.38,32.38,30.65,32.01,8180.0
2019-09-20,32.05,32.48,32.05,32.48,29226.0
2019-09-19,32.74,32.79,32.1,32.1,4475.0
2019-09-18,32.4,32.65,32.14,32.45,9599.0
2019-09-17,32.3,32.42,32.1,32.1,8401.0
2019-09-16,32.18,32.7,32.08,32.21,12154.0
2019-09-13,32.02,32.45,31.7,32.04,6092.0
2019-09-12,31.24,32.0,31.24,31.85,6723.0
2019-09-11,31.06,31.85,31.01,31.49,10919.0
2019-09-10,30.77,31.2,30.77,31.0,9985.0
2019-09-09,30.43,31.06,30.43,30.99,4787.0
2019-09-06,30.65,30.65,30.01,30.08,5317.0
2019-09-05,30.75,30.75,30.42,30.52,4441.0
2019-09-04,29.97,30.13,29.76,30.13,4218.0
2019-09-03,30.22,30.22,29.72,29.72,5227.0
2019-08-30,30.77,30.77,29.81,30.17,3684.0
2019-08-29,30.47,30.88,30.0,30.44,3157.0
2019-08-28,30.25,30.41,30.01,30.23,3666.0
2019-08-27,30.5,30.57,30.0,30.0,7838.0
2019-08-26,30.5024,30.695,30.36,30.38,8740.0
2019-08-23,31.61,31.92,30.34,30.36,7143.0
2019-08-22,31.87,31.89,31.0,31.49,4662.0
2019-08-21,32.0984,32.185,31.52,31.56,8419.0
2019-08-20,31.9,32.06,31.9,31.97,6140.0
2019-08-19,31.68,32.25,31.68,31.91,11683.0
2019-08-16,32.14,32.25,31.35,31.52,9552.0
