date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,8.56,8.92,8.56,8.82,48433.0
2020-04-08,8.86,8.86,8.43,8.49,28867.0
2020-04-07,9.03,9.082,8.54,8.61,50619.0
2020-04-06,8.49,8.74,8.2846,8.51,75078.0
2020-04-03,7.59,8.19,7.48,7.96,54775.0
2020-04-02,7.7,7.85,7.48,7.57,52044.0
2020-04-01,7.94,8.145,7.54,7.57,41702.0
2020-03-31,7.96,8.49,7.92,8.04,117411.0
2020-03-30,7.75,8.0,7.6601,7.89,106228.0
2020-03-27,7.64,8.02,7.54,7.83,38288.0
2020-03-26,7.73,7.99,7.71,7.89,95561.0
2020-03-25,7.47,7.78,7.3757,7.58,57245.0
2020-03-24,7.34,7.53,7.19,7.37,28505.0
2020-03-23,6.65,7.24,6.56,6.86,51341.0
2020-03-20,7.3007,7.35,6.76,6.87,39122.0
2020-03-19,6.49,7.46,6.375,7.25,67118.0
2020-03-18,6.67,6.88,6.3142,6.4,102623.0
2020-03-17,6.95,7.26,6.5,7.1,98112.0
2020-03-16,7.0,7.4685,6.9,6.95,78755.0
2020-03-13,7.15,7.53,7.15,7.51,81566.0
2020-03-12,7.38,7.58,7.0,7.19,77949.0
2020-03-11,8.5,8.69,8.04,8.11,89508.0
2020-03-10,8.5,8.74,8.5,8.66,52342.0
2020-03-09,8.58,8.58,8.1601,8.35,84878.0
2020-03-06,9.23,9.54,9.1111,9.27,49386.0
2020-03-05,9.26,9.56,9.26,9.53,47191.0
2020-03-04,9.67,9.9,9.595,9.77,35562.0
2020-03-03,9.95,9.95,9.68,9.76,23654.0
2020-03-02,9.69,9.89,9.26,9.83,47493.0
2020-02-28,9.8,9.8199,9.4103,9.75,53970.0
2020-02-27,10.02,10.025,9.54,9.91,67550.0
2020-02-26,10.44,10.44,10.1,10.22,12177.0
2020-02-25,10.33,10.37,10.17,10.1701,31780.0
2020-02-24,10.36,10.45,10.16,10.35,76278.0
2020-02-21,10.92,11.09,10.91,11.03,12402.0
2020-02-20,11.07,11.16,10.87,11.01,18994.0
2020-02-19,11.2,11.22,11.02,11.02,11431.0
2020-02-18,11.5,11.5,11.13,11.195,26690.0
2020-02-14,11.27,11.525,11.27,11.5,45658.0
2020-02-13,10.9,11.4,10.9,11.4,38530.0
2020-02-12,10.65,11.53,10.65,11.17,68855.0
2020-02-11,10.93,10.94,10.84,10.84,29887.0
2020-02-10,11.0,11.0,10.81,10.85,18296.0
2020-02-07,11.1,11.1,10.8307,11.0,11808.0
2020-02-06,10.8,10.98,10.8,10.98,18389.0
2020-02-05,10.9,10.91,10.72,10.8,17654.0
2020-02-04,10.73,10.875,10.73,10.87,34447.0
2020-02-03,10.73,10.73,10.5,10.66,34979.0
2020-01-31,10.92,10.92,10.7,10.9,10330.0
2020-01-30,10.89,10.95,10.85,10.95,11892.0
2020-01-29,11.04,11.05,10.86,10.86,14664.0
2020-01-28,10.71,10.99,10.67,10.99,15718.0
2020-01-27,10.59,10.77,10.1989,10.68,43448.0
2020-01-24,11.39,11.46,11.065,11.13,17080.0
2020-01-23,11.07,11.34,11.07,11.32,28095.0
2020-01-22,11.17,11.17,10.99,11.06,64059.0
2020-01-21,10.88,11.0211,10.83,10.87,51920.0
2020-01-17,10.55,10.55,10.4101,10.51,8975.0
2020-01-16,10.59,10.59,10.46,10.54,12249.0
2020-01-15,10.59,10.65,10.43,10.6,33324.0
2020-01-14,10.6,10.64,10.52,10.61,17623.0
2020-01-13,10.5,10.6437,10.5,10.58,26639.0
2020-01-10,10.46,10.47,10.4008,10.4434,12685.0
2020-01-09,10.43,10.47,10.3101,10.44,18427.0
2020-01-08,10.24,10.39,10.23,10.34,19102.0
2020-01-07,10.22,10.24,10.075,10.24,11704.0
2020-01-06,10.02,10.15,10.0127,10.15,21948.0
2020-01-03,9.98,10.05,9.79,9.98,16617.0
2020-01-02,9.89,10.07,9.89,9.99,12465.0
2019-12-31,9.68,9.85,9.68,9.78,25115.0
2019-12-30,9.72,9.77,9.51,9.67,59473.0
2019-12-27,9.81,9.9,9.78,9.78,10470.0
2019-12-26,9.75,9.85,9.75,9.84,12555.0
2019-12-24,9.89,9.89,9.75,9.75,9307.0
2019-12-23,9.75,9.9,9.75,9.78,24344.0
2019-12-20,9.85,10.0,9.85,9.91,8367.0
2019-12-19,10.01,10.01,9.75,9.9,38874.0
2019-12-18,10.02,10.09,9.85,9.95,20100.0
2019-12-17,9.99,10.16,9.97,10.08,35592.0
2019-12-16,9.87,9.95,9.83,9.95,26283.0
2019-12-13,9.93,10.11,9.7,9.86,20311.0
2019-12-12,9.85,9.949,9.74,9.9,22350.0
2019-12-11,9.87,9.91,9.8,9.85,7307.0
2019-12-10,9.79,9.87,9.72,9.87,14577.0
2019-12-09,9.83,9.83,9.75,9.75,15798.0
2019-12-06,9.84,9.95,9.8,9.885,8556.0
2019-12-05,9.75,9.96,9.73,9.96,27148.0
2019-12-04,9.99,9.99,9.82,9.82,10990.0
2019-12-03,10.0,10.0,9.82,9.86,23718.0
2019-12-02,10.09,10.09,9.92,10.07,35824.0
2019-11-29,10.19,10.23,10.0127,10.12,5742.0
2019-11-27,10.0,10.25,10.0,10.18,24079.0
2019-11-26,10.01,10.14,10.01,10.07,13562.0
2019-11-25,10.49,10.49,9.7,9.99,110010.0
2019-11-22,10.18,10.345,10.04,10.27,13223.0
2019-11-21,10.29,10.29,10.0634,10.17,31098.0
2019-11-20,10.3,10.32,10.04,10.28,30941.0
2019-11-19,9.92,10.3,9.92,10.29,183195.0
2019-11-18,9.67,9.86,9.67,9.82,26383.0
2019-11-15,9.89,9.93,9.74,9.76,55977.0
2019-11-14,9.55,9.9,9.38,9.79,327109.0
2019-11-13,8.78,9.05,8.78,9.05,11073.0
2019-11-12,8.9784,9.1,8.95,9.08,19096.0
2019-11-11,8.71,9.045,8.71,9.0238,22888.0
2019-11-08,9.0,9.1103,8.83,8.83,20921.0
2019-11-07,9.0,9.2,9.0,9.05,10741.0
2019-11-06,9.26,9.31,9.0,9.0,41204.0
2019-11-05,9.6,9.6,9.415,9.47,11396.0
2019-11-04,9.55,9.55,9.4059,9.5,21501.0
2019-11-01,9.49,9.5,9.43,9.5,18657.0
2019-10-31,9.39,9.42,9.34,9.35,25500.0
2019-10-30,9.37,9.44,9.3247,9.44,12685.0
2019-10-29,9.4,9.6488,9.31,9.4256,34713.0
2019-10-28,9.19,9.41,9.1268,9.36,35785.0
2019-10-25,9.0626,9.18,9.0324,9.18,5622.0
2019-10-24,9.12,9.19,9.01,9.14,10353.0
2019-10-23,9.14,9.2,9.03,9.05,14201.0
2019-10-22,9.07,9.2,9.07,9.15,7441.0
2019-10-21,8.99,9.17,8.99,9.16,14407.0
2019-10-18,9.1,9.1,8.94,9.01,5284.0
2019-10-17,9.035,9.186,8.9601,9.17,17663.0
2019-10-16,8.9597,9.0955,8.9597,9.06,7272.0
2019-10-15,9.03,9.09,8.96,9.09,20393.0
2019-10-14,8.87,9.06,8.87,9.01,6221.0
2019-10-11,9.1,9.2,8.91,8.91,28913.0
2019-10-10,9.0,9.08,8.9201,8.97,207093.0
2019-10-09,9.09,9.09,8.92,8.92,4424.0
2019-10-08,9.025,9.18,8.912,9.1,5007.0
2019-10-07,9.07,9.18,9.021,9.06,25392.0
2019-10-04,9.05,9.18,9.0,9.14,11745.0
2019-10-03,9.1,9.22,9.02,9.05,15999.0
2019-10-02,9.12,9.23,9.0,9.14,17376.0
2019-10-01,9.23,9.32,9.0605,9.29,22531.0
2019-09-30,9.18,9.28,9.14,9.19,31283.0
2019-09-27,8.93,9.2902,8.93,9.23,44085.0
2019-09-26,8.94,9.06,8.9145,8.93,25535.0
2019-09-25,8.87,9.01,8.85,9.01,20259.0
2019-09-24,8.88,9.03,8.82,8.85,34243.0
2019-09-23,9.01,9.024,8.82,8.9,55316.0
2019-09-20,9.22,9.26,9.02,9.02,23374.0
2019-09-19,9.14,9.25,9.12,9.2,13622.0
2019-09-18,9.22,9.26,9.13,9.21,16253.0
2019-09-17,9.02,9.26,9.02,9.18,45063.0
2019-09-16,9.19,9.19,9.02,9.02,16775.0
2019-09-13,9.27,9.37,9.11,9.28,23017.0
2019-09-12,9.35,9.35,9.19,9.19,28853.0
2019-09-11,9.38,9.48,9.29,9.42,24061.0
2019-09-10,9.47,9.47,9.25,9.3,28146.0
2019-09-09,9.5,9.5,9.37,9.4,52757.0
2019-09-06,9.34,9.47,9.2873,9.4101,29958.0
2019-09-05,9.63,9.63,9.23,9.275,39697.0
2019-09-04,9.39,9.63,9.38,9.58,367333.0
2019-09-03,9.3,9.44,9.2,9.36,37359.0
2019-08-30,9.86,9.9,9.4418,9.45,92474.0
2019-08-29,9.02,9.6,8.995,9.5,417777.0
2019-08-28,8.85,9.0,8.71,8.95,40764.0
2019-08-27,9.1,9.1,8.9,9.01,7156.0
2019-08-26,9.04,9.08,8.86,9.04,15737.0
2019-08-23,9.15,9.34,9.04,9.2,69582.0
2019-08-22,8.9,9.15,8.85,9.15,25112.0
2019-08-21,8.85,8.96,8.81,8.88,40785.0
2019-08-20,9.09,9.09,8.77,8.98,60859.0
2019-08-19,9.19,9.19,9.09,9.09,20492.0
2019-08-16,9.1,9.26,9.09,9.12,13873.0
2019-08-15,8.69,9.1,8.63,9.095,39937.0
2019-08-14,8.79,8.83,8.51,8.61,202804.0
2019-08-13,8.99,9.0,8.78,8.95,10027.0
2019-08-12,8.75,9.0,8.75,8.98,12101.0
2019-08-09,8.92,8.92,8.55,8.8,17654.0
2019-08-08,8.94,8.99,8.91,8.91,7590.0
2019-08-07,8.825,8.9,8.825,8.9,1407.0
2019-08-06,8.7,8.93,8.7,8.93,6515.0
2019-08-05,8.7,8.71,8.51,8.7,13864.0
2019-08-02,8.844,9.095,8.61,8.71,13562.0
2019-08-01,9.2,9.2,8.95,9.04,4443.0
2019-07-31,9.17,9.17,9.1,9.17,3748.0
2019-07-30,8.98,9.17,8.9553,9.17,9119.0
2019-07-29,9.1,9.1,8.73,8.93,16407.0
2019-07-26,8.95,9.14,8.95,9.09,5368.0
2019-07-25,9.09,9.18,8.98,8.98,5651.0
2019-07-24,9.11,9.18,9.03,9.12,11825.0
2019-07-23,9.03,9.13,8.85,9.13,7728.0
2019-07-22,8.96,8.97,8.78,8.9,6425.0
2019-07-19,9.19,9.19,8.8488,8.985,2981.0
2019-07-18,9.03,9.18,8.71,9.18,63751.0
2019-07-17,9.05,9.13,8.9874,9.13,13305.0
2019-07-16,9.04,9.04,8.85,8.96,6731.0
2019-07-15,8.97,9.03,8.7,8.88,12381.0
2019-07-12,8.7134,9.0,8.7134,9.0,2641.0
2019-07-11,9.04,9.04,8.74,8.86,15328.0
2019-07-10,8.83,9.0,8.83,8.86,5158.0
2019-07-09,9.01,9.08,8.85,8.87,14135.0
2019-07-08,9.08,9.15,9.0101,9.03,12193.0
2019-07-05,9.02,9.18,9.02,9.18,5080.0
2019-07-03,9.2,9.2,9.105,9.125,1624.0
2019-07-02,9.08,9.2,9.06,9.19,5602.0
2019-07-01,9.18,9.26,9.01,9.1,18109.0
2019-06-28,9.02,9.03,8.89,8.97,17214.0
2019-06-27,8.96,9.08,8.95,9.01,6058.0
2019-06-26,8.94,9.02,8.87,8.88,3399.0
2019-06-25,8.9989,9.01,8.8333,8.89,12505.0
2019-06-24,8.8,9.13,8.8,8.96,77777.0
2019-06-21,8.6,8.73,8.5,8.71,62261.0
2019-06-20,8.61,8.6258,8.3516,8.61,19308.0
2019-06-19,8.48,8.5842,8.47,8.58,33929.0
