date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,14.51,14.75,13.665,14.75,31286.0
2020-04-08,13.75,14.42,13.065,14.09,26417.0
2020-04-07,13.62,13.82,12.55,13.3,39074.0
2020-04-06,13.51,13.89,12.59,13.43,31196.0
2020-04-03,13.18,13.81,12.12,12.68,23800.0
2020-04-02,11.5,13.06,11.5,13.04,27648.0
2020-04-01,13.37,13.7,11.46,11.51,66810.0
2020-03-31,13.95,14.4,13.09,14.0,63945.0
2020-03-30,13.67,14.0,13.11,13.99,31505.0
2020-03-27,13.51,13.81,12.69,13.6,56635.0
2020-03-26,12.56,14.0,12.56,13.99,40499.0
2020-03-25,12.45,13.17,11.87,12.43,56656.0
2020-03-24,12.13,12.57,11.4301,12.39,48860.0
2020-03-23,11.4,11.56,10.14,10.89,61342.0
2020-03-20,11.15,12.38,10.86,11.34,308803.0
2020-03-19,9.18,12.0,9.14,10.8,93714.0
2020-03-18,10.32,11.5,9.21,9.38,103527.0
2020-03-17,10.53,11.0,10.0,10.5,76921.0
2020-03-16,12.04,12.04,10.34,10.4,109604.0
2020-03-13,11.0,12.96,11.0,12.68,91351.0
2020-03-12,10.9,11.3,9.67,10.91,102034.0
2020-03-11,12.58,13.4899,11.58,11.73,53960.0
2020-03-10,13.35,13.78,11.55,12.91,137408.0
2020-03-09,13.85,14.9899,12.84,12.99,80170.0
2020-03-06,15.31,16.48,15.29,16.06,47556.0
2020-03-05,16.57,16.68,15.8314,16.17,29309.0
2020-03-04,17.14,17.155,16.16,16.88,51850.0
2020-03-03,16.38,17.64,15.54,16.85,45439.0
2020-03-02,16.64,16.64,15.72,16.41,103520.0
2020-02-28,15.21,16.8,14.53,16.56,128456.0
2020-02-27,16.17,16.4952,15.31,15.79,80384.0
2020-02-26,17.04,18.91,16.53,16.54,126252.0
2020-02-25,18.59,19.1873,16.37,17.01,108067.0
2020-02-24,16.14,19.73,15.86,18.45,127818.0
2020-02-21,17.18,17.59,16.605,16.62,48468.0
2020-02-20,18.08,18.21,16.58,17.03,61632.0
2020-02-19,17.34,18.31,17.13,18.09,73230.0
2020-02-18,16.77,17.25,16.77,17.23,44420.0
2020-02-14,17.11,17.94,16.68,16.9,67731.0
2020-02-13,16.32,17.48,15.91,17.06,87448.0
2020-02-12,17.33,17.38,16.37,16.4,79902.0
2020-02-11,16.58,17.37,16.03,17.19,98622.0
2020-02-10,16.0,16.9,16.0,16.53,75151.0
2020-02-07,16.15,16.2,15.15,16.08,87564.0
2020-02-06,17.73,17.8233,16.21,16.33,61315.0
2020-02-05,16.35,18.39,15.54,17.57,146520.0
2020-02-04,15.56,16.34,15.47,16.32,97477.0
2020-02-03,15.82,16.3123,15.35,15.41,117952.0
2020-01-31,16.81,17.4061,15.7,15.725,116682.0
2020-01-30,17.85,18.08,16.67,16.87,130930.0
2020-01-29,18.09,18.9,17.87,18.01,143294.0
2020-01-28,17.2,18.44,17.2,18.09,115135.0
2020-01-27,17.11,17.57,16.59,17.17,58400.0
2020-01-24,19.34,19.4,17.49,17.54,63062.0
2020-01-23,18.68,19.97,18.36,19.26,98186.0
2020-01-22,19.37,19.948,19.0,19.21,50250.0
2020-01-21,20.33,21.42,17.6801,19.22,172909.0
2020-01-17,21.58,22.24,19.83,20.23,236648.0
2020-01-16,18.9,22.2635,18.7467,21.58,314384.0
2020-01-15,17.93,18.94,17.8287,18.74,106693.0
