date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,2.18,2.18,2.0,2.06,22565.0
2020-04-23,2.5,2.5038,1.96,2.15,112721.0
2020-04-22,1.848,2.5577,1.7901,2.5,291356.0
2020-04-21,1.8,1.8,1.7568,1.76,3241.0
2020-04-20,1.6985,1.74,1.6601,1.7289,17843.0
2020-04-17,1.6739,1.68,1.6739,1.68,4079.0
2020-04-16,1.625,1.72,1.625,1.65,3739.0
2020-04-15,1.78,1.85,1.664,1.735,5957.0
2020-04-14,1.85,1.8601,1.7707,1.7707,13102.0
2020-04-13,1.7394,1.83,1.7136,1.82,13604.0
2020-04-09,1.695,1.695,1.605,1.605,1145.0
2020-04-08,1.51,1.5778,1.41,1.55,8567.0
2020-04-07,1.6869,1.6869,1.51,1.5618,6168.0
2020-04-06,1.587,1.65,1.5,1.59,17285.0
2020-04-03,1.85,1.85,1.7342,1.74,9746.0
2020-04-02,1.84,1.84,1.8,1.8,2024.0
2020-04-01,1.935,1.935,1.8,1.875,9037.0
2020-03-31,1.9,1.932,1.9,1.92,1305.0
2020-03-30,1.9772,1.9772,1.9772,1.9772,416.0
2020-03-27,2.0,2.0,1.8,1.9535,5479.0
2020-03-26,2.0196,2.085,1.86,1.99,8216.0
2020-03-25,1.97,2.17,1.97,2.08,5498.0
2020-03-24,2.14,2.14,1.94,1.96,6206.0
2020-03-23,1.75,1.8,1.75,1.75,4290.0
2020-03-20,1.9125,1.9125,1.66,1.66,3282.0
2020-03-19,1.82,2.19,1.82,1.83,5299.0
2020-03-18,1.64,1.64,1.6,1.605,20120.0
2020-03-17,1.62,1.7217,1.6,1.642,9659.0
2020-03-16,1.6525,1.6525,1.62,1.62,4295.0
2020-03-13,1.85,1.85,1.61,1.6847,13816.0
2020-03-12,1.75,1.9,1.75,1.85,26439.0
2020-03-11,2.4,2.4,1.89,1.89,21420.0
2020-03-10,2.17,2.4515,2.17,2.33,21086.0
2020-03-09,0.57,2.68,0.57,2.12,36316.0
2020-03-06,2.85,2.85,2.7,2.83,11581.0
2020-03-05,2.97,3.0255,2.7,2.7,25461.0
2020-03-04,2.9896,3.08,2.9242,3.08,5820.0
2020-03-03,3.03,3.13,2.88,2.89,48510.0
2020-03-02,2.984,3.12,2.93,3.0797,6170.0
2020-02-28,2.95,3.0395,2.76,2.92,10362.0
2020-02-27,3.0501,3.19,2.84,3.02,37642.0
2020-02-26,3.11,3.42,3.11,3.28,11672.0
2020-02-25,3.65,3.65,3.1,3.1,40883.0
2020-02-24,3.02,3.39,3.02,3.39,38064.0
2020-02-21,3.0638,3.071,2.9,3.02,8325.0
2020-02-20,3.0,3.09,3.0,3.08,3495.0
2020-02-19,2.97,3.1,2.9507,3.0716,9191.0
2020-02-18,2.83,2.99,2.8,2.97,10084.0
2020-02-14,2.8712,2.99,2.8,2.8,6556.0
2020-02-13,2.9,2.9,2.7,2.76,57783.0
2020-02-12,3.06,3.166,2.9044,2.95,16249.0
2020-02-11,3.0122,3.1,3.0,3.05,12799.0
2020-02-10,3.32,3.32,3.0,3.0401,21811.0
2020-02-07,3.23,3.3648,3.1728,3.2759,5153.0
2020-02-06,3.37,3.37,3.17,3.241,11024.0
2020-02-05,3.42,3.6192,3.32,3.38,10970.0
2020-02-04,3.2994,3.75,3.2994,3.4,28249.0
2020-02-03,3.32,3.4,3.0,3.38,44594.0
2020-01-31,3.66,3.66,3.1,3.41,41204.0
2020-01-30,4.07,4.1242,3.45,3.66,66445.0
2020-01-29,4.27,4.27,4.06,4.09,19861.0
2020-01-28,4.33,4.45,4.18,4.2,11423.0
2020-01-27,4.25,4.3531,4.1,4.3,15865.0
2020-01-24,4.35,4.4384,4.1874,4.25,37446.0
2020-01-23,4.52,4.52,4.33,4.35,41788.0
2020-01-22,4.83,4.83,4.41,4.55,50192.0
2020-01-21,4.31,4.76,4.2925,4.69,63962.0
2020-01-17,4.12,4.3876,4.12,4.34,47998.0
2020-01-16,4.25,4.38,4.16,4.16,16390.0
2020-01-15,4.18,4.37,4.1,4.29,16828.0
2020-01-14,4.49,4.5003,4.15,4.15,31745.0
2020-01-13,4.28,4.4895,4.04,4.43,44185.0
2020-01-10,4.45,4.45,4.007,4.19,58843.0
2020-01-09,4.35,4.57,4.3,4.397,16208.0
2020-01-08,4.76,4.8,4.31,4.32,119345.0
2020-01-07,4.55,4.8278,4.54,4.8,128476.0
2020-01-06,4.37,4.8,4.25,4.51,149111.0
2020-01-03,4.22,4.45,4.22,4.35,66395.0
2020-01-02,4.86,4.86,4.15,4.37,204118.0
2019-12-31,5.82,5.82,4.3273,4.78,510163.0
2019-12-30,6.0,11.9,5.35,5.46,2914582.0
