date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,24.49,24.49,23.1747,24.22,5905.0
2020-04-23,23.22,23.75,22.1112,23.5,27376.0
2020-04-22,23.98,24.48,22.687,23.0,18373.0
2020-04-21,23.13,23.41,22.5,22.55,11452.0
2020-04-20,24.5,25.175,23.51,23.51,5032.0
2020-04-17,24.83,25.5,24.798,25.48,6275.0
2020-04-16,25.5,25.5,23.32,24.31,11281.0
2020-04-15,26.35,27.15,24.43,24.62,8567.0
2020-04-14,26.8002,27.37,26.46,26.6,5976.0
2020-04-13,26.47,27.45,26.42,26.42,7967.0
2020-04-09,26.485,26.82,26.3,26.82,8676.0
2020-04-08,26.6,26.65,26.28,26.53,17070.0
2020-04-07,27.5,27.78,26.15,26.72,14381.0
2020-04-06,24.68,27.18,24.6,26.95,28333.0
2020-04-03,24.97,25.24,23.9487,24.2,15216.0
2020-04-02,23.0,25.11,23.0,24.72,11224.0
2020-04-01,23.8,23.9,22.72,22.9,13513.0
2020-03-31,23.89,24.73,23.8101,24.73,9652.0
2020-03-30,23.32,23.9,22.94,23.78,12456.0
2020-03-27,22.75,23.41,22.5,22.7,10829.0
2020-03-26,22.86,23.69,22.86,23.43,14981.0
2020-03-25,24.36,24.36,23.05,23.26,9780.0
2020-03-24,23.62,24.9889,22.5,24.73,17130.0
2020-03-23,22.09,22.43,20.0,21.7,21873.0
2020-03-20,25.54,25.635,23.2,23.34,27047.0
2020-03-19,24.3,26.4,20.54,25.75,21434.0
2020-03-18,27.54,27.54,23.55,24.4,24095.0
2020-03-17,27.04,28.25,26.415,28.25,18657.0
2020-03-16,26.5,28.09,25.75,25.76,14964.0
2020-03-13,25.52,29.0,25.52,29.0,39706.0
2020-03-12,26.9,27.7189,24.5,25.03,26825.0
2020-03-11,29.2,29.2,27.23,27.53,23530.0
2020-03-10,30.54,30.9643,28.53,29.54,18859.0
2020-03-09,28.64,30.23,26.35,30.01,20672.0
2020-03-06,30.89,31.97,30.16,30.56,11808.0
2020-03-05,30.88,31.98,30.88,31.6,22389.0
2020-03-04,30.9,31.75,30.435,31.62,14761.0
2020-03-03,31.1,31.25,30.11,30.71,11511.0
2020-03-02,30.4,30.7,30.257,30.69,9015.0
2020-02-28,30.01,30.68,29.995,30.19,14870.0
2020-02-27,31.3,31.33,30.65,30.65,11420.0
2020-02-26,31.38,31.99,31.38,31.54,3742.0
2020-02-25,32.16,32.33,31.26,31.47,9370.0
2020-02-24,32.22,32.22,30.818,31.95,9874.0
2020-02-21,32.04,32.65,32.01,32.5,17401.0
2020-02-20,31.84,32.1,31.74,31.99,8116.0
2020-02-19,32.06,32.06,31.6096,31.92,10511.0
2020-02-18,32.29,32.38,31.5,32.25,4090.0
2020-02-14,32.4,32.7,31.8,32.23,9808.0
2020-02-13,31.92,32.4,31.92,32.4,16762.0
2020-02-12,31.67,32.0,31.56,31.94,18435.0
2020-02-11,31.44,31.56,31.3473,31.55,14233.0
