date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,10.35,10.35,10.35,10.35,1640.0
2020-04-08,10.2,10.2,10.2,10.2,0.0
2020-04-07,10.2,10.2,10.2,10.2,0.0
2020-04-06,10.2,10.2,10.2,10.2,0.0
2020-04-03,10.2,10.2,10.2,10.2,0.0
2020-04-02,10.2,10.2,10.2,10.2,0.0
2020-04-01,10.2,10.2,10.2,10.2,0.0
2020-03-31,10.2,10.2,10.2,10.2,10350.0
2020-03-30,10.2,10.2,10.2,10.2,0.0
2020-03-27,10.2,10.2,10.1,10.2,501100.0
2020-03-26,10.2,10.2,10.2,10.2,100.0
2020-03-25,10.2,10.2,10.2,10.2,500.0
2020-03-24,10.2,10.2,10.2,10.2,1800.0
2020-03-23,10.4,10.4,10.4,10.4,0.0
2020-03-20,10.4,10.4,10.4,10.4,0.0
2020-03-19,10.4,10.4,10.4,10.4,0.0
2020-03-18,10.4,10.4,10.4,10.4,0.0
2020-03-17,10.4,10.4,10.4,10.4,100.0
2020-03-16,10.4437,10.4437,10.4437,10.4437,100.0
2020-03-13,10.3,10.3,10.3,10.3,0.0
2020-03-12,10.3,10.3,10.3,10.3,600.0
2020-03-11,10.55,10.55,10.55,10.55,0.0
2020-03-10,10.6,10.6,9.84,10.55,1100.0
2020-03-09,10.8,10.8,10.8,10.8,0.0
2020-03-06,10.8,10.8,10.8,10.8,0.0
2020-03-05,10.8,10.8,10.8,10.8,0.0
2020-03-04,10.8,10.8,10.8,10.8,0.0
2020-03-03,10.8,10.8,10.8,10.8,0.0
2020-03-02,10.8,10.8,10.8,10.8,0.0
2020-02-28,10.8,10.8,10.8,10.8,0.0
2020-02-27,10.8,10.8,10.8,10.8,0.0
2020-02-26,10.8,10.8,10.8,10.8,0.0
2020-02-25,10.8,10.8,10.8,10.8,0.0
2020-02-24,10.8,10.8,10.8,10.8,0.0
2020-02-21,10.8,10.8,10.8,10.8,0.0
2020-02-20,10.8,10.8,10.8,10.8,0.0
2020-02-19,10.8,10.8,10.8,10.8,0.0
2020-02-18,10.8,10.8,10.8,10.8,0.0
2020-02-14,10.8,10.8,10.8,10.8,0.0
2020-02-13,10.8,10.8,10.8,10.8,0.0
2020-02-12,10.8,10.8,10.8,10.8,0.0
