date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,12.03,12.03,11.75,11.79,17791.0
2020-04-08,12.05,12.09,11.58,11.58,301.0
2020-04-07,11.52,12.58,11.08,12.58,2333.0
2020-04-06,12.04,12.04,10.9019,11.48,4329.0
2020-04-03,11.72,11.72,11.72,11.72,93.0
2020-04-02,11.72,11.72,11.72,11.72,197.0
2020-04-01,12.18,12.18,11.06,11.72,2314.0
2020-03-31,12.25,12.25,11.4,12.24,6312.0
2020-03-30,11.6,11.64,11.6,11.64,840.0
2020-03-27,12.49,12.49,11.63,11.64,1941.0
2020-03-26,12.45,12.45,11.12,11.8,4658.0
2020-03-25,12.26,12.26,11.3,11.8,1856.0
2020-03-24,11.5,11.98,10.66,11.8,15797.0
2020-03-23,11.41,11.59,9.96,10.99,7081.0
2020-03-20,12.39,12.59,12.21,12.3,4949.0
2020-03-19,11.08,12.75,11.06,11.8,10363.0
2020-03-18,12.2,12.2,11.15,11.49,7300.0
2020-03-17,12.0,12.7,11.05,12.69,10375.0
2020-03-16,12.0,12.0,11.0,11.89,12185.0
2020-03-13,12.87,13.15,12.87,13.15,2130.0
2020-03-12,10.82,13.23,10.82,12.61,3228.0
2020-03-11,13.3901,14.01,13.3901,13.7,10198.0
2020-03-10,13.65,14.005,13.6,13.975,3893.0
2020-03-09,13.74,14.9399,12.9545,13.446,10214.0
2020-03-06,15.0889,15.0889,14.52,14.52,503.0
2020-03-05,15.0,15.07,14.85,15.01,3388.0
2020-03-04,15.0483,15.19,14.96,15.18,1174.0
2020-03-03,15.37,15.47,15.2,15.2,432.0
2020-03-02,15.33,15.89,14.955,15.3,4053.0
2020-02-28,15.95,15.95,14.8,15.14,6321.0
2020-02-27,15.5,15.95,15.5,15.95,1273.0
2020-02-26,16.35,16.35,16.11,16.21,3045.0
2020-02-25,16.45,16.6,16.27,16.6,808.0
2020-02-24,16.8,16.85,16.5,16.55,180798.0
2020-02-21,17.24,17.25,17.09,17.2,28271.0
2020-02-20,17.2,17.25,17.2,17.25,5276.0
2020-02-19,17.2,17.24,17.07,17.24,8901.0
2020-02-18,17.17,17.28,17.17,17.25,2406.0
2020-02-14,17.3,17.3,17.3,17.3,509.0
2020-02-13,17.22,17.32,16.71,17.25,71372.0
2020-02-12,17.28,17.28,17.2,17.26,13613.0
2020-02-11,17.11,17.28,16.8,16.81,11742.0
2020-02-10,17.25,17.35,16.76,17.32,5929.0
2020-02-07,16.99,17.35,16.99,17.21,17330.0
2020-02-06,16.99,17.02,16.54,16.54,4925.0
2020-02-05,17.0,17.0,16.3403,16.64,10371.0
2020-02-04,17.0,17.35,16.5565,16.83,5437.0
2020-02-03,17.29,17.29,16.71,16.71,4162.0
2020-01-31,17.25,17.38,16.22,17.34,83708.0
2020-01-30,17.33,17.33,17.12,17.12,1833.0
2020-01-29,17.4,17.6,17.4,17.59,5367.0
2020-01-28,17.4,17.45,17.4,17.45,1869.0
2020-01-27,17.17,17.17,17.17,17.17,485.0
2020-01-24,17.5,17.5,17.48,17.48,512.0
2020-01-23,17.39,17.42,17.31,17.35,10653.0
2020-01-22,17.31,17.43,17.29,17.42,3295.0
2020-01-21,17.45,17.45,17.28,17.41,4205.0
2020-01-17,17.53,17.55,17.45,17.45,1946.0
2020-01-16,17.6,17.6,17.485,17.55,3524.0
2020-01-15,17.25,17.5,17.25,17.5,2870.0
2020-01-14,17.44,17.55,17.44,17.45,7061.0
2020-01-13,17.065,17.53,17.065,17.51,5447.0
2020-01-10,17.29,17.5,17.27,17.5,9621.0
2020-01-09,17.4139,17.49,17.34,17.41,16958.0
2020-01-08,17.53,17.55,17.41,17.5,17926.0
2020-01-07,17.8,17.8,17.48,17.58,8783.0
2020-01-06,17.5,17.75,17.5,17.72,14738.0
2020-01-03,17.78,17.88,17.59,17.59,7174.0
2020-01-02,17.98,17.98,17.86,17.86,7024.0
2019-12-31,17.68,18.0,17.68,18.0,3176.0
2019-12-30,17.8014,17.95,17.67,17.82,15503.0
2019-12-27,17.99,17.99,17.87,17.87,2589.0
2019-12-26,17.97,18.0,17.78,17.91,16477.0
2019-12-24,17.72,17.91,17.67,17.67,4892.0
2019-12-23,17.78,18.0,17.725,17.865,40734.0
2019-12-20,17.77,18.18,17.35,17.35,112471.0
2019-12-19,17.04,18.505,17.04,17.8,434960.0
2019-12-18,15.3,15.49,15.2,15.2,9033.0
2019-12-17,15.362,15.362,15.06,15.1,10958.0
2019-12-16,15.0,15.25,14.535,15.1,11284.0
2019-12-13,15.5,15.5,15.375,15.375,405.0
2019-12-12,15.2655,15.5,15.15,15.5,2380.0
2019-12-11,15.1,15.1,15.05,15.05,2672.0
2019-12-10,15.25,15.45,15.0,15.1,4036.0
2019-12-09,15.01,15.25,15.0,15.09,6294.0
2019-12-06,15.346,15.346,15.0,15.0,4889.0
2019-12-05,15.2,15.2,15.2,15.2,431.0
2019-12-04,15.5,15.5,15.25,15.25,1700.0
2019-12-03,15.5,15.5,15.4,15.4,1104.0
2019-12-02,15.5,15.5,15.5,15.5,210.0
2019-11-29,15.5,15.5,15.5,15.5,100.0
2019-11-27,15.47,15.47,15.47,15.47,0.0
2019-11-26,15.5,15.5,15.47,15.47,394.0
2019-11-25,14.76,15.071,14.76,15.0333,19184.0
