date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,15.0,15.23,13.54,14.69,164949.0
2020-04-23,15.07,15.725,15.04,15.62,88379.0
2020-04-22,15.25,15.96,14.88,14.95,137489.0
2020-04-21,14.81,15.35,14.46,15.15,100968.0
2020-04-20,15.56,16.13,15.14,15.38,80248.0
2020-04-17,15.2,16.14,15.2,16.02,204542.0
2020-04-16,15.56,15.83,14.25,14.57,128388.0
2020-04-15,15.68,16.11,15.49,15.57,88280.0
2020-04-14,17.27,17.39,15.82,16.44,109515.0
2020-04-13,17.47,17.76,16.76,16.81,101284.0
2020-04-09,16.16,18.15,16.16,17.58,263422.0
2020-04-08,17.78,17.78,16.95,17.52,184100.0
2020-04-07,17.68,18.02,16.85,17.27,127442.0
2020-04-06,16.32,17.17,16.29,17.01,159421.0
2020-04-03,15.81,16.28,15.2,15.62,182198.0
2020-04-02,15.75,16.32,15.71,16.15,171883.0
2020-04-01,16.72,16.75,15.96,16.01,181377.0
2020-03-31,17.15,17.87,16.99,17.49,319861.0
2020-03-30,16.94,17.37,16.54,17.27,92524.0
2020-03-27,16.77,17.97,16.22,16.77,80802.0
2020-03-26,16.31,17.66,16.26,17.51,161473.0
2020-03-25,16.04,16.95,15.89,16.31,289077.0
2020-03-24,15.32,16.5336,15.29,16.03,161730.0
2020-03-23,15.49,16.26,13.81,14.88,265343.0
2020-03-20,16.14,16.45,15.34,15.39,271222.0
2020-03-19,13.8,16.49,13.6,16.27,215457.0
2020-03-18,16.55,16.62,13.22,14.01,183154.0
2020-03-17,16.86,17.78,16.31,17.46,191778.0
2020-03-16,17.68,19.29,16.67,16.67,194728.0
2020-03-13,18.92,19.85,18.06,19.85,188387.0
2020-03-12,18.81,19.41,17.35,18.22,188004.0
2020-03-11,20.22,20.68,19.35,19.5,125460.0
2020-03-10,20.85,21.2376,19.73,20.91,98849.0
2020-03-09,21.38,22.4399,19.84,19.99,111625.0
2020-03-06,22.1,23.18,22.1,22.8,104736.0
2020-03-05,23.71,23.78,22.94,23.17,66415.0
2020-03-04,24.26,24.42,23.71,24.2,87222.0
2020-03-03,24.78,25.0,23.92,24.05,125872.0
2020-03-02,23.82,25.01,23.55,24.85,70752.0
2020-02-28,24.25,25.015,23.26,23.82,146107.0
2020-02-27,24.61,25.69,24.61,24.9,81012.0
2020-02-26,25.44,25.46,24.99,25.11,35441.0
2020-02-25,26.08,26.12,25.19,25.27,100729.0
2020-02-24,26.01,26.22,25.66,26.11,60079.0
2020-02-21,26.98,27.07,26.59,26.78,48853.0
2020-02-20,26.67,26.98,26.65,26.98,36766.0
2020-02-19,26.7,26.8,26.64,26.67,33124.0
2020-02-18,26.61,26.76,26.36,26.58,31676.0
2020-02-14,26.98,27.21,26.66,26.78,36096.0
2020-02-13,26.6,27.04,26.6,27.03,37419.0
2020-02-12,27.52,27.52,27.0,27.09,32536.0
2020-02-11,27.24,27.43,27.13,27.24,41771.0
2020-02-10,27.3,27.3,26.94,27.02,36712.0
2020-02-07,27.25,27.34,27.06,27.12,35499.0
2020-02-06,27.81,27.81,27.31,27.32,38893.0
2020-02-05,27.3,27.73,27.3,27.66,50184.0
2020-02-04,27.03,27.2665,26.95,26.98,50944.0
2020-02-03,26.59,27.0,26.5547,26.78,65009.0
2020-01-31,26.87,26.94,26.34,26.42,79664.0
2020-01-30,26.4,27.07,26.4,27.07,53225.0
2020-01-29,26.85,27.1735,26.62,26.69,73456.0
