date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,16.82,17.3,16.72,17.0,256605.0
2020-04-23,16.78,17.14,16.4007,16.58,145531.0
2020-04-22,17.08,17.28,16.75,16.77,152403.0
2020-04-21,16.15,17.32,15.75,17.03,593432.0
2020-04-20,16.04,17.0,16.04,16.4,246951.0
2020-04-17,16.52,16.6925,15.68,16.34,247366.0
2020-04-16,15.81,16.6,15.14,15.98,205841.0
2020-04-15,15.34,16.21,14.91,15.84,154566.0
2020-04-14,15.98,16.25,15.29,15.77,164838.0
2020-04-13,15.02,15.98,14.73,15.74,114516.0
2020-04-09,14.96,15.49,14.77,15.06,180068.0
2020-04-08,14.23,14.75,13.85,14.6,233197.0
2020-04-07,14.21,14.5,13.735,13.95,157649.0
2020-04-06,12.89,13.98,12.89,13.84,202106.0
2020-04-03,12.73,13.5169,12.09,12.28,173999.0
2020-04-02,12.7,12.9,12.22,12.79,140445.0
2020-04-01,13.09,13.25,12.18,12.59,220190.0
2020-03-31,13.98,14.39,12.69,13.29,174652.0
2020-03-30,14.44,14.52,13.73,14.08,249740.0
2020-03-27,13.97,14.695,13.61,14.12,142052.0
2020-03-26,13.57,14.78,13.5,14.42,176090.0
2020-03-25,13.01,13.89,13.01,13.43,135294.0
2020-03-24,13.12,13.3,12.6,13.29,188027.0
2020-03-23,13.4,13.46,11.52,12.33,225273.0
2020-03-20,12.84,13.95,12.22,13.03,705411.0
2020-03-19,11.4,12.87,10.43,12.66,292538.0
2020-03-18,11.09,12.05,9.86,11.37,323366.0
2020-03-17,11.71,11.9529,10.51,11.91,352307.0
2020-03-16,11.53,12.64,11.061,11.31,445099.0
2020-03-13,12.03,13.67,11.12,13.67,278039.0
2020-03-12,12.5,12.5,10.57,11.4,364446.0
2020-03-11,14.5,14.8,13.13,13.22,212821.0
2020-03-10,16.25,16.67,13.6,14.7,301728.0
2020-03-09,16.62,17.045,15.54,15.69,292273.0
2020-03-06,17.53,19.1229,16.94,17.36,303364.0
2020-03-05,17.95,18.67,17.7,17.98,353965.0
2020-03-04,17.49,18.27,17.2,18.26,310178.0
2020-03-03,16.77,17.5,16.47,17.12,219681.0
2020-03-02,16.08,17.2,15.78,16.84,364311.0
2020-02-28,15.05,16.205,14.86,16.09,330749.0
2020-02-27,16.66,17.27,15.51,15.66,445720.0
2020-02-26,16.91,17.32,16.23,16.44,257945.0
2020-02-25,17.28,17.4,16.59,16.78,281747.0
2020-02-24,17.32,17.46,16.6535,17.13,247948.0
2020-02-21,16.5,18.38,16.45,17.825,542558.0
2020-02-20,15.51,16.52,15.45,16.49,375022.0
2020-02-19,14.64,16.0,14.43,15.58,430350.0
2020-02-18,14.5,14.98,14.3636,14.52,192810.0
2020-02-14,13.93,14.72,13.87,14.5,285661.0
2020-02-13,14.69,15.0,13.72,13.85,256963.0
2020-02-12,15.36,15.48,14.66,14.71,184997.0
2020-02-11,15.7,15.81,14.95,15.29,246281.0
2020-02-10,15.84,15.98,15.54,15.56,157908.0
2020-02-07,16.34,16.405,15.76,15.84,112121.0
2020-02-06,16.55,16.63,15.66,16.44,250100.0
2020-02-05,16.55,16.75,15.5,16.42,278915.0
2020-02-04,15.59,16.5,15.38,16.34,721293.0
2020-02-03,15.04,16.0755,14.92,15.23,418300.0
2020-01-31,13.87,15.31,13.87,14.94,537773.0
2020-01-30,14.06,14.34,13.73,13.93,152724.0
2020-01-29,14.0,14.2496,13.83,14.18,265485.0
2020-01-28,13.56,14.12,13.37,13.95,174099.0
2020-01-27,13.18,13.88,12.89,13.45,239865.0
2020-01-24,14.45,14.45,13.03,13.55,305119.0
2020-01-23,13.71,14.5,13.42,14.37,426487.0
2020-01-22,14.62,14.67,13.46,13.81,256852.0
2020-01-21,13.66,14.83,13.4,14.45,414401.0
2020-01-17,14.07,14.42,13.58,13.71,224724.0
2020-01-16,13.83,14.22,13.68,13.97,154379.0
2020-01-15,13.74,14.26,13.5,13.76,122281.0
2020-01-14,14.32,14.37,12.94,13.75,390391.0
2020-01-13,13.82,15.05,13.12,14.38,486472.0
2020-01-10,14.72,14.75,13.76,13.81,272583.0
2020-01-09,14.12,14.95,13.75,14.72,491683.0
2020-01-08,13.5,14.12,13.285,13.97,283527.0
2020-01-07,13.0,13.63,12.57,13.515,360281.0
2020-01-06,13.53,13.54,12.99,13.09,279869.0
2020-01-03,13.64,13.92,13.3917,13.63,331789.0
2020-01-02,14.06,14.25,13.17,13.84,494079.0
2019-12-31,14.2,14.2512,13.88,13.985,417738.0
2019-12-30,14.04,14.3101,13.73,14.205,277847.0
2019-12-27,14.16,14.18,13.2289,13.95,318885.0
2019-12-26,13.75,14.5196,13.49,14.19,322510.0
2019-12-24,13.72,13.75,13.05,13.68,290866.0
2019-12-23,12.55,13.87,12.3,13.71,649871.0
2019-12-20,12.69,13.35,12.18,12.53,925952.0
2019-12-19,10.96,12.72,10.8215,12.69,879596.0
2019-12-18,10.65,10.94,10.35,10.905,608898.0
2019-12-17,10.82,11.05,10.56,10.72,364366.0
2019-12-16,10.56,11.04,10.25,10.81,294147.0
2019-12-13,11.14,11.43,10.35,10.69,180293.0
2019-12-12,11.05,11.65,10.86,11.16,189647.0
2019-12-11,11.24,11.32,10.86,11.15,341165.0
2019-12-10,12.63,12.92,11.185,11.28,337699.0
2019-12-09,12.46,12.65,11.98,12.49,456616.0
2019-12-06,12.04,12.75,11.94,12.24,265268.0
2019-12-05,12.78,12.9394,11.435,11.84,341994.0
2019-12-04,11.85,12.97,11.76,12.73,390557.0
2019-12-03,11.38,11.95,10.75,11.92,366311.0
2019-12-02,12.89,13.1797,10.64,11.67,628741.0
2019-11-29,11.36,14.05,11.15,13.03,883730.0
2019-11-27,11.39,11.67,11.04,11.13,377248.0
2019-11-26,10.9,11.61,10.85,11.26,628833.0
2019-11-25,9.99,10.75,9.81,10.72,531716.0
2019-11-22,9.98,10.652,9.43,9.83,645539.0
2019-11-21,8.63,10.18,8.6,10.09,1502685.0
2019-11-20,8.01,8.39,7.88,8.27,181757.0
2019-11-19,7.25,8.36,7.176,8.11,308265.0
2019-11-18,7.91,8.25,6.89,7.225,318475.0
2019-11-15,7.02,7.68,7.02,7.26,247434.0
2019-11-14,7.17,7.53,6.8,7.0,299119.0
2019-11-13,8.34,8.56,7.1,7.18,439843.0
2019-11-12,9.26,9.31,8.66,8.74,97855.0
2019-11-11,9.18,9.4,8.86,9.22,146852.0
2019-11-08,8.52,9.77,8.44,9.16,300781.0
2019-11-07,8.54,8.6562,8.4,8.49,54795.0
2019-11-06,8.91,8.92,8.51,8.51,72469.0
2019-11-05,8.39,8.97,8.15,8.86,168906.0
2019-11-04,8.99,8.99,8.36,8.39,164286.0
2019-11-01,8.51,8.98,8.46,8.875,137079.0
2019-10-31,8.38,8.49,8.27,8.46,79895.0
2019-10-30,8.02,8.46,7.91,8.45,148063.0
2019-10-29,8.41,8.4925,7.87,8.12,268049.0
2019-10-28,8.68,8.68,8.33,8.49,227634.0
2019-10-25,8.67,8.88,8.5,8.73,72858.0
2019-10-24,9.13,9.18,8.54,8.67,151052.0
2019-10-23,8.85,9.13,8.599,9.04,333843.0
2019-10-22,8.39,9.16,8.31,8.86,440124.0
2019-10-21,7.9,8.31,7.82,8.31,265819.0
2019-10-18,7.34,7.9,7.33,7.86,326294.0
2019-10-17,7.16,7.47,7.16,7.39,240210.0
2019-10-16,7.0,7.35,6.85,7.26,114996.0
2019-10-15,6.65,7.27,6.6257,7.04,189761.0
2019-10-14,6.79,6.83,6.64,6.68,59219.0
2019-10-11,6.94,7.25,6.79,6.84,154341.0
2019-10-10,6.77,6.94,6.74,6.84,100516.0
2019-10-09,6.81,6.84,6.66,6.76,65352.0
2019-10-08,6.64,6.95,6.58,6.8,76120.0
2019-10-07,6.63,6.8,6.57,6.7,59080.0
2019-10-04,6.5,6.75,6.29,6.69,112897.0
2019-10-03,6.44,6.61,6.16,6.44,52801.0
2019-10-02,6.42,6.545,6.18,6.44,119852.0
2019-10-01,6.59,6.81,6.3703,6.47,96330.0
2019-09-30,6.62,6.75,6.4,6.59,78147.0
2019-09-27,6.7,6.77,6.56,6.62,110597.0
2019-09-26,6.75,6.7765,6.42,6.67,120331.0
2019-09-25,6.85,7.12,6.55,6.78,193004.0
2019-09-24,7.15,7.1864,6.7,6.88,114868.0
2019-09-23,6.89,7.234,6.73,7.15,142755.0
2019-09-20,6.26,7.0,6.26,6.89,213379.0
2019-09-19,6.22,6.8675,6.1,6.27,211331.0
2019-09-18,6.41,6.4469,6.07,6.2,70740.0
2019-09-17,6.15,6.56,6.15,6.4,110094.0
2019-09-16,6.2,6.44,6.09,6.14,66234.0
2019-09-13,5.72,6.44,5.545,6.27,257211.0
2019-09-12,5.59,5.83,5.41,5.71,60528.0
2019-09-11,5.53,5.61,5.3138,5.61,32282.0
2019-09-10,5.43,5.6,5.32,5.5,71142.0
2019-09-09,5.23,5.61,5.23,5.46,74803.0
2019-09-06,4.98,5.35,4.86,5.22,72836.0
2019-09-05,5.07,5.09,4.77,4.96,99918.0
2019-09-04,5.07,5.19,4.99,5.01,101860.0
2019-09-03,4.94,5.11,4.88,5.01,85513.0
2019-08-30,5.05,5.18,4.91,5.03,132686.0
2019-08-29,5.03,5.125,4.95,5.03,64373.0
2019-08-28,4.99,5.17,4.955,5.01,39737.0
2019-08-27,5.1,5.2,4.94,5.01,53699.0
2019-08-26,5.02,5.21,4.8,5.02,76652.0
2019-08-23,4.76,5.0,4.51,5.0,117131.0
2019-08-22,5.27,5.27,4.71,4.78,138815.0
2019-08-21,5.05,5.349,5.05,5.24,51909.0
2019-08-20,5.08,5.08,4.9,5.0,89351.0
2019-08-19,5.12,5.2,5.0,5.09,42303.0
2019-08-16,5.05,5.2099,4.965,5.06,80131.0
2019-08-15,4.65,5.08,4.53,5.03,115895.0
2019-08-14,4.85,4.86,4.53,4.6,151327.0
2019-08-13,5.09,5.18,4.84,4.97,196593.0
2019-08-12,5.04,5.22,4.92,5.01,95560.0
2019-08-09,5.4,5.52,5.0,5.18,117818.0
2019-08-08,5.38,5.655,5.37,5.43,124483.0
2019-08-07,5.41,5.45,5.21,5.34,155075.0
2019-08-06,5.77,6.1,5.34,5.46,132163.0
2019-08-05,6.31,6.31,5.52,5.72,120345.0
2019-08-02,6.71,6.71,6.29,6.49,66693.0
2019-08-01,6.58,6.84,6.555,6.74,95330.0
2019-07-31,6.75,7.0,6.56,6.57,102938.0
2019-07-30,6.5,6.94,6.45,6.76,75107.0
2019-07-29,6.86,6.86,6.59,6.6,53139.0
2019-07-26,6.99,7.1,6.75,6.86,72608.0
2019-07-25,7.15,7.26,6.95,6.98,75265.0
2019-07-24,7.16,7.33,6.935,7.2,53265.0
2019-07-23,7.5,7.5,6.8,7.18,96256.0
2019-07-22,7.41,7.56,7.27,7.47,52611.0
2019-07-19,7.57,7.59,7.35,7.4,49474.0
2019-07-18,7.51,7.68,7.46,7.59,58383.0
2019-07-17,7.5,7.6,7.27,7.51,62236.0
2019-07-16,7.14,7.67,7.06,7.5,92005.0
2019-07-15,7.24,7.3166,7.03,7.17,43851.0
2019-07-12,7.24,7.61,7.03,7.28,88372.0
2019-07-11,7.2,7.43,7.05,7.32,100930.0
2019-07-10,7.32,7.39,7.05,7.18,68822.0
2019-07-09,7.36,7.47,7.24,7.28,74783.0
2019-07-08,7.8,7.8,7.37,7.45,148248.0
2019-07-05,7.85,7.945,7.62,7.82,64761.0
2019-07-03,7.96,8.08,7.7,7.83,103726.0
2019-07-02,8.52,8.77,7.77,7.94,162195.0
2019-07-01,8.39,8.54,8.22,8.46,138850.0
2019-06-28,7.85,8.55,7.82,8.35,909109.0
2019-06-27,7.83,8.09,7.76,7.8,124561.0
2019-06-26,7.88,8.0,7.7,7.8,72573.0
2019-06-25,8.15,8.15,7.7907,7.85,97978.0
2019-06-24,8.47,8.51,8.095,8.13,109854.0
2019-06-21,7.99,8.56,7.36,8.28,274440.0
2019-06-20,8.22,8.365,7.79,8.03,89475.0
2019-06-19,7.68,8.12,7.68,8.06,77755.0
2019-06-18,7.63,7.731,7.54,7.68,65413.0
2019-06-17,7.15,7.55,7.15,7.51,94884.0
2019-06-14,7.25,7.33,7.04,7.13,111796.0
2019-06-13,7.17,7.3852,7.02,7.29,80473.0
2019-06-12,7.08,7.21,6.89,7.2,72563.0
2019-06-11,7.42,7.42,6.98,7.1,77698.0
2019-06-10,7.49,7.53,7.28,7.34,72491.0
2019-06-07,7.61,7.62,7.2199,7.48,79503.0
2019-06-06,7.56,7.7843,6.82,7.54,148072.0
2019-06-05,7.85,7.9038,7.61,7.65,93901.0
2019-06-04,7.94,8.03,7.71,7.89,99511.0
2019-06-03,8.06,8.1299,7.42,7.83,99052.0
2019-05-31,8.27,8.4581,7.82,8.06,99358.0
2019-05-30,8.31,8.5799,8.175,8.42,190183.0
2019-05-29,8.35,8.43,7.98,8.21,129104.0
2019-05-28,8.25,8.545,8.13,8.38,138162.0
2019-05-24,7.84,8.4899,7.79,8.11,129342.0
2019-05-23,7.55,7.85,7.4893,7.79,65123.0
2019-05-22,7.41,7.75,7.41,7.6,62989.0
2019-05-21,7.75,7.75,7.25,7.49,91271.0
2019-05-20,7.43,7.69,7.2944,7.62,58569.0
2019-05-17,7.66,7.9,7.347,7.47,104843.0
2019-05-16,7.74,7.845,7.08,7.73,239596.0
2019-05-15,7.22,7.75,7.0853,7.66,73112.0
2019-05-14,7.18,7.4,7.01,7.29,75731.0
2019-05-13,7.2,7.32,6.69,6.96,76760.0
2019-05-10,7.4,7.49,7.2,7.46,42446.0
2019-05-09,7.15,7.48,7.1,7.41,47967.0
2019-05-08,6.9,7.48,6.7838,7.28,75546.0
2019-05-07,6.88,6.96,6.75,6.85,56226.0
2019-05-06,6.83,7.1,6.76,6.95,69160.0
2019-05-03,6.99,7.21,6.99,7.11,134314.0
2019-05-02,7.21,7.21,6.46,6.93,148562.0
2019-05-01,7.36,7.36,7.02,7.21,103985.0
2019-04-30,7.1,7.36,7.1,7.35,226224.0
2019-04-29,6.84,7.38,6.77,7.15,217433.0
2019-04-26,6.73,6.9,6.68,6.75,50213.0
2019-04-25,6.41,6.72,6.21,6.67,150257.0
2019-04-24,6.48,6.5,6.26,6.43,33653.0
2019-04-23,6.15,6.62,6.15,6.42,116226.0
2019-04-22,6.3,6.3,6.04,6.15,28099.0
2019-04-18,6.06,6.28,5.9,6.28,35836.0
2019-04-17,6.38,6.57,5.83,6.105,76103.0
2019-04-16,6.21,6.47,6.21,6.35,22772.0
2019-04-15,6.17,6.21,6.02,6.21,41703.0
2019-04-12,6.58,6.64,6.18,6.2,50928.0
2019-04-11,6.66,6.66,6.49,6.51,29914.0
2019-04-10,6.49,6.7,6.3596,6.67,59716.0
2019-04-09,6.65,6.7,6.48,6.48,78523.0
2019-04-08,6.99,6.99,6.64,6.7,83511.0
2019-04-05,6.81,7.0,6.76,6.92,100413.0
2019-04-04,6.28,6.8,6.28,6.77,222248.0
2019-04-03,6.23,6.48,6.09,6.28,108539.0
2019-04-02,6.0508,6.4,5.9656,6.2,156715.0
2019-04-01,6.01,6.14,5.7,5.83,98895.0
2019-03-29,5.79,6.34,5.42,5.81,144471.0
2019-03-28,5.5,5.79,5.423,5.765,91181.0
2019-03-27,5.54,5.63,5.12,5.56,43579.0
2019-03-26,5.52,5.56,5.3698,5.55,19302.0
2019-03-25,5.44,5.52,5.19,5.51,51116.0
2019-03-22,5.65,5.7,5.28,5.43,54000.0
2019-03-21,5.6,5.75,5.58,5.73,32067.0
2019-03-20,5.4274,5.78,5.3086,5.67,164945.0
2019-03-19,5.31,5.64,5.28,5.49,39887.0
2019-03-18,5.66,5.66,5.31,5.31,37246.0
2019-03-15,5.35,5.75,5.31,5.69,135045.0
2019-03-14,5.39,5.635,5.3225,5.34,37325.0
2019-03-13,5.34,5.632,5.31,5.46,27165.0
2019-03-12,5.63,5.69,5.25,5.28,42343.0
2019-03-11,5.36,5.84,5.27,5.63,108343.0
2019-03-08,5.17,5.49,5.17,5.36,48297.0
2019-03-07,5.18,5.3,4.9748,5.24,30386.0
2019-03-06,5.28,5.32,5.0,5.15,43975.0
2019-03-05,4.75,5.29,4.67,5.24,62729.0
2019-03-04,5.02,5.07,4.68,4.75,58068.0
2019-03-01,4.97,5.15,4.91,4.93,99591.0
2019-02-28,5.36,5.36,4.9401,4.96,101781.0
2019-02-27,5.4,5.46,5.06,5.1,81447.0
2019-02-26,5.27,5.5,5.16,5.41,83998.0
2019-02-25,5.17,5.28,5.09,5.25,44913.0
2019-02-22,5.062,5.25,4.96,5.17,64569.0
2019-02-21,4.77,5.2,4.75,5.12,47431.0
2019-02-20,4.8,4.81,4.64,4.76,32130.0
2019-02-19,4.68,4.85,4.64,4.8,30594.0
2019-02-15,4.51,4.73,4.51,4.66,49706.0
2019-02-14,4.63,4.74,4.46,4.5,52399.0
2019-02-13,4.61,4.7,4.5573,4.69,11636.0
2019-02-12,4.57,4.69,4.42,4.6,29353.0
2019-02-11,4.52,4.61,4.41,4.5,28650.0
2019-02-08,4.63,4.93,4.44,4.59,47245.0
2019-02-07,4.83,4.8642,4.54,4.58,19839.0
2019-02-06,4.69,4.93,4.6,4.91,15712.0
2019-02-05,5.0,5.0,4.69,4.71,47810.0
2019-02-04,4.82,5.0,4.31,4.99,54589.0
2019-02-01,4.75,4.88,4.58,4.85,46684.0
2019-01-31,4.44,4.87,4.44,4.74,79248.0
2019-01-30,4.29,4.5,4.255,4.45,58263.0
2019-01-29,4.19,4.31,4.19,4.26,28037.0
2019-01-28,4.29,4.4171,4.13,4.19,427297.0
2019-01-25,4.42,4.575,4.26,4.31,21840.0
2019-01-24,4.2,4.48,4.1003,4.37,32753.0
2019-01-23,4.23,4.23,4.07,4.18,50523.0
2019-01-22,4.14,4.3169,4.115,4.2,91081.0
2019-01-18,4.49,4.5533,4.13,4.22,104034.0
2019-01-17,4.71,4.75,4.33,4.47,130542.0
2019-01-16,4.4,4.86,4.4,4.73,87259.0
2019-01-15,4.42,4.69,4.42,4.52,49152.0
2019-01-14,4.29,4.47,4.29,4.4,42289.0
2019-01-11,4.41,4.49,4.36,4.4,40398.0
2019-01-10,4.42,4.5,4.3215,4.42,25680.0
2019-01-09,4.51,4.595,4.45,4.48,67112.0
2019-01-08,4.64,4.64,4.3336,4.49,61641.0
2019-01-07,4.55,4.7,4.5,4.56,45474.0
2019-01-04,4.13,4.53,4.13,4.47,66633.0
2019-01-03,4.21,4.29,3.99,4.02,41640.0
2019-01-02,4.01,4.325,3.815,4.22,36670.0
2018-12-31,3.7,4.17,3.7,4.04,112265.0
2018-12-28,3.64,3.76,3.46,3.6,102984.0
2018-12-27,3.69,3.76,3.54,3.65,62720.0
2018-12-26,3.4,3.85,3.3,3.72,171536.0
2018-12-24,3.27,3.52,3.19,3.47,49078.0
2018-12-21,3.61,3.68,3.3,3.35,319753.0
2018-12-20,3.94,4.0048,3.59,3.59,162749.0
2018-12-19,4.15,4.28,4.0,4.0,80825.0
2018-12-18,4.54,4.67,4.04,4.13,166595.0
2018-12-17,4.51,4.75,4.48,4.53,100235.0
2018-12-14,4.73,4.79,4.46,4.56,78663.0
2018-12-13,4.53,5.15,4.41,4.8,204765.0
2018-12-12,4.4,4.88,4.38,4.545,129545.0
2018-12-11,4.4,4.5468,4.15,4.28,196535.0
2018-12-10,4.4,4.47,4.2701,4.34,62736.0
2018-12-07,4.5,4.68,4.37,4.39,53331.0
2018-12-06,4.57,4.6461,4.35,4.46,88605.0
2018-12-04,4.81,4.89,4.6,4.71,80062.0
2018-12-03,5.16,5.16,4.75,4.9,139476.0
2018-11-30,4.76,5.16,4.76,5.15,188141.0
2018-11-29,4.82,5.15,4.8,4.9,84796.0
2018-11-28,4.8,5.08,4.72,4.81,93005.0
2018-11-27,4.6,4.96,4.4,4.77,152111.0
2018-11-26,4.62,4.89,4.62,4.7,165760.0
2018-11-23,4.61,4.79,4.46,4.59,23374.0
2018-11-21,4.58,4.8,4.43,4.67,51149.0
2018-11-20,4.68,4.68,4.4521,4.54,111660.0
2018-11-19,4.75,5.01,4.54,4.63,119272.0
2018-11-16,4.71,5.08,4.7,4.74,174931.0
2018-11-15,4.38,4.64,4.35,4.61,53618.0
2018-11-14,4.14,4.51,4.14,4.4,49109.0
2018-11-13,4.59,5.03,4.3,4.57,34375.0
2018-11-12,4.59,4.83,4.5107,4.59,28783.0
2018-11-09,5.0,5.0,4.505,4.59,58665.0
2018-11-08,5.13,5.23,4.95,5.07,89472.0
2018-11-07,4.67,5.1799,4.67,5.11,124760.0
2018-11-06,4.76,4.76,4.53,4.62,26891.0
2018-11-05,4.47,4.83,4.45,4.76,87826.0
2018-11-02,4.42,4.98,4.28,4.45,62856.0
2018-11-01,4.29,4.69,4.1507,4.39,72993.0
2018-10-31,4.09,4.32,4.08,4.28,63893.0
2018-10-30,3.94,4.12,3.9,4.1,59481.0
2018-10-29,4.12,4.13,3.87,4.0,119491.0
2018-10-26,4.11,4.16,3.95,4.11,140257.0
2018-10-25,4.23,4.38,4.05,4.19,133225.0
2018-10-24,4.53,4.5474,4.05,4.18,401511.0
2018-10-23,4.72,4.7404,4.27,4.52,210757.0
2018-10-22,4.85,4.94,4.61,4.81,226231.0
2018-10-19,5.12,5.23,4.8,4.85,175690.0
2018-10-18,5.34,5.38,5.0,5.1,235127.0
2018-10-17,5.38,5.445,5.26,5.35,68310.0
2018-10-16,5.46,5.6,5.32,5.41,77723.0
2018-10-15,5.33,5.47,5.11,5.44,107708.0
2018-10-12,5.45,5.48,5.15,5.36,114053.0
2018-10-11,5.53,5.53,5.1,5.3,280575.0
2018-10-10,5.6,5.66,5.5,5.51,176094.0
2018-10-09,5.54,5.7,5.52,5.59,184484.0
2018-10-08,5.83,5.83,5.29,5.5,261341.0
2018-10-05,5.44,5.59,5.32,5.48,424737.0
2018-10-04,5.58,5.61,5.41,5.42,204660.0
2018-10-03,5.58,5.7176,5.55,5.59,192588.0
2018-10-02,5.73,5.8995,5.375,5.56,359440.0
2018-10-01,5.39,6.05,5.39,5.68,456080.0
2018-09-28,5.4,5.5,5.2918,5.39,266311.0
2018-09-27,5.28,5.45,5.08,5.34,361889.0
2018-09-26,5.33,5.4636,5.21,5.3,216282.0
2018-09-25,5.48,5.54,4.99,5.21,284609.0
2018-09-24,5.42,5.5376,5.211,5.5,428030.0
2018-09-21,5.82,5.99,5.25,5.52,2545610.0
2018-09-20,5.74,6.18,5.62,5.79,1502738.0
2018-09-19,6.41,7.35,5.85,6.25,7083647.0
2018-09-18,4.0,4.17,4.0,4.1,100512.0
2018-09-17,4.06,4.18,4.05,4.07,67246.0
2018-09-14,4.16,4.2554,4.05,4.07,45692.0
2018-09-13,4.12,4.35,4.1,4.17,41246.0
2018-09-12,4.26,4.27,4.06,4.12,97406.0
2018-09-11,4.51,4.51,4.17,4.27,64074.0
2018-09-10,4.84,4.84,4.36,4.52,74816.0
2018-09-07,4.85,4.915,4.75,4.84,52326.0
2018-09-06,5.23,5.23,4.89,4.95,38829.0
2018-09-05,5.3,5.32,5.11,5.22,16950.0
2018-09-04,5.7,5.7,5.22,5.29,39664.0
2018-08-31,5.98,6.0,5.69,5.76,33408.0
2018-08-30,5.51,5.99,5.4032,5.98,43733.0
2018-08-29,5.33,5.5,5.1352,5.5,53132.0
2018-08-28,4.96,5.32,4.94,5.26,129954.0
2018-08-27,5.05,5.07,4.95,4.98,94717.0
2018-08-24,5.06,5.2,5.01,5.1,35363.0
2018-08-23,5.2,5.24,4.96,5.07,77529.0
2018-08-22,5.13,5.35,5.0967,5.25,58511.0
2018-08-21,4.93,5.28,4.93,5.11,142673.0
2018-08-20,5.19,5.225,5.05,5.08,38899.0
2018-08-17,4.97,5.25,4.9001,5.2,34140.0
2018-08-16,4.97,5.08,4.9133,4.99,33087.0
2018-08-15,5.18,5.18,4.8853,4.97,89137.0
2018-08-14,4.87,5.24,4.81,5.21,81131.0
2018-08-13,5.36,5.37,4.8,4.87,89741.0
2018-08-10,5.29,5.41,5.026,5.33,39291.0
2018-08-09,5.19,5.46,5.15,5.3,115097.0
2018-08-08,5.04,5.35,4.95,5.19,29651.0
2018-08-07,5.0,5.22,5.0,5.05,34807.0
2018-08-06,5.23,5.31,5.05,5.08,49418.0
2018-08-03,5.48,5.6599,5.33,5.35,54250.0
2018-08-02,5.2,5.58,5.2,5.5,34635.0
2018-08-01,5.18,5.25,5.04,5.21,36505.0
2018-07-31,4.95,5.22,4.92,5.18,39003.0
2018-07-30,5.05,5.065,4.95,4.96,21730.0
2018-07-27,5.28,5.29,5.0,5.07,34719.0
2018-07-26,5.0,5.32,5.0,5.27,75565.0
2018-07-25,5.06,5.19,5.02,5.07,38513.0
2018-07-24,5.12,5.5,5.03,5.08,79504.0
2018-07-23,4.97,5.2,4.93,5.14,134885.0
2018-07-20,5.02,5.08,4.91,5.0,73069.0
2018-07-19,4.88,5.18,4.76,5.03,126654.0
2018-07-18,4.98,5.23,4.87,4.9,82443.0
2018-07-17,4.97,5.13,4.91,4.98,72869.0
2018-07-16,5.16,5.26,4.87,5.0,161856.0
2018-07-13,5.11,5.22,4.84,5.19,73201.0
2018-07-12,4.84,5.12,4.6901,5.09,68421.0
2018-07-11,4.75,4.87,4.611,4.8,43657.0
2018-07-10,5.15,5.259,4.76,4.79,90016.0
2018-07-09,5.25,5.449,5.16,5.2,48144.0
2018-07-06,5.47,5.62,5.15,5.23,53872.0
