date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.79,1.79,1.54,1.7469,39762.0
2020-04-23,1.7899,1.7899,1.61,1.6401,53232.0
2020-04-22,1.7,1.9245,1.5429,1.8,174258.0
2020-04-21,1.57,1.6907,1.5,1.6498,49608.0
2020-04-20,1.5,2.36,1.4956,1.72,659313.0
2020-04-17,1.54,1.55,1.4301,1.49,14594.0
2020-04-16,1.41,1.52,1.41,1.43,9283.0
2020-04-15,1.54,1.54,1.4001,1.45,13226.0
2020-04-14,1.57,1.57,1.42,1.5,23415.0
2020-04-13,1.42,1.63,1.4,1.51,15630.0
2020-04-09,1.59,1.6118,1.41,1.4844,31943.0
2020-04-08,1.51,1.6793,1.46,1.54,35060.0
2020-04-07,1.2199,1.45,1.2199,1.43,28352.0
2020-04-06,1.27,1.3772,1.2151,1.3,31854.0
2020-04-03,1.26,1.3443,1.1759,1.27,10370.0
2020-04-02,1.55,1.61,1.26,1.3,20587.0
2020-04-01,1.89,1.89,1.5692,1.57,3060.0
2020-03-31,1.92,2.1844,1.7,1.7999,43954.0
2020-03-30,1.77,1.98,1.77,1.98,14453.0
2020-03-27,1.58,1.72,1.58,1.69,17853.0
2020-03-26,1.73,1.73,1.58,1.6558,14570.0
2020-03-25,1.73,1.7414,1.5831,1.69,13240.0
2020-03-24,1.35,1.73,1.35,1.68,17038.0
2020-03-23,1.5,1.5,1.303,1.39,7960.0
2020-03-20,1.51,1.7799,1.42,1.45,29512.0
2020-03-19,1.2372,1.54,1.2372,1.502,27659.0
2020-03-18,1.38,1.4575,0.862,1.2156,46934.0
2020-03-17,1.7,1.7,1.43,1.53,6862.0
2020-03-16,1.88,1.88,1.53,1.61,16346.0
2020-03-13,2.38,2.38,1.74,1.87,48487.0
2020-03-12,2.16,2.46,1.68,2.46,114184.0
2020-03-11,2.59,3.26,2.3811,3.12,197434.0
2020-03-10,2.2293,2.61,2.2293,2.5613,30666.0
2020-03-09,2.44,2.44,2.15,2.41,37342.0
2020-03-06,2.44,2.5827,2.43,2.4671,24603.0
2020-03-05,2.51,2.64,2.43,2.52,38996.0
2020-03-04,2.88,2.97,2.2801,2.3,87024.0
2020-03-03,2.3,3.681,2.2575,2.83,549027.0
2020-03-02,0.53,0.5481,0.5025,0.54,57630.0
2020-02-28,0.5384,0.5384,0.4901,0.515,98943.0
2020-02-27,0.589,0.6,0.5,0.5408,163887.0
2020-02-26,0.59,0.6,0.5601,0.6,72110.0
2020-02-25,0.5909,0.6,0.58,0.6,31070.0
2020-02-24,0.62,0.62,0.5812,0.6009,92185.0
2020-02-21,0.62,0.64,0.6101,0.6282,43405.0
2020-02-20,0.61,0.62,0.61,0.6102,79944.0
2020-02-19,0.6225,0.6799,0.62,0.62,38718.0
2020-02-18,0.61,0.6875,0.6,0.6229,63478.0
2020-02-14,0.6026,0.6322,0.58,0.6101,134901.0
2020-02-13,0.6986,0.6986,0.62,0.6301,305304.0
2020-02-12,0.7612,0.77,0.56,0.5729,733086.0
2020-02-11,0.79,0.809,0.741,0.77,99575.0
2020-02-10,0.74,0.82,0.74,0.7963,288080.0
2020-02-07,0.76,0.7603,0.7235,0.7235,72600.0
2020-02-06,0.7309,0.78,0.72,0.7408,86424.0
2020-02-05,0.7389,0.75,0.711,0.74,36421.0
2020-02-04,0.74,0.7739,0.7236,0.732,51692.0
2020-02-03,0.759,0.759,0.7021,0.7542,72023.0
2020-01-31,0.7318,0.7548,0.72,0.7239,41882.0
2020-01-30,0.75,0.78,0.73,0.74,136068.0
2020-01-29,0.729,0.84,0.71,0.78,539508.0
2020-01-28,0.76,0.785,0.725,0.743,179138.0
2020-01-27,0.75,0.7983,0.74,0.7631,156159.0
2020-01-24,0.831,0.8499,0.7711,0.7983,175463.0
2020-01-23,0.889,0.889,0.831,0.8523,166996.0
2020-01-22,0.946,0.95,0.8509,0.89,188000.0
2020-01-21,0.95,0.95,0.8312,0.86,155298.0
2020-01-17,0.91,0.95,0.87,0.9,151702.0
2020-01-16,0.9,0.9499,0.9,0.9096,201014.0
2020-01-15,0.95,0.95,0.88,0.8936,383330.0
2020-01-14,0.76,1.03,0.75,1.0,902563.0
2020-01-13,0.8501,0.88,0.74,0.77,695648.0
2020-01-10,0.89,0.9,0.8302,0.8529,554739.0
2020-01-09,0.95,0.95,0.866,0.9339,1755236.0
2020-01-08,1.11,1.38,1.01,1.04,21827675.0
2020-01-07,0.6665,0.71,0.6665,0.6813,71067.0
2020-01-06,0.71,0.7136,0.641,0.6787,189598.0
2020-01-03,0.7,0.71,0.69,0.7,119540.0
2020-01-02,0.83,0.83,0.7,0.7186,184212.0
2019-12-31,0.69,0.71,0.6801,0.6893,150123.0
2019-12-30,0.65,0.6893,0.65,0.6878,273292.0
2019-12-27,0.65,0.6599,0.621,0.65,243980.0
2019-12-26,0.7337,0.7375,0.651,0.6599,565059.0
2019-12-24,0.645,0.726,0.6301,0.716,952304.0
2019-12-23,0.63,0.646,0.61,0.6296,179915.0
2019-12-20,0.63,0.6457,0.59,0.6257,197395.0
2019-12-19,0.6,0.6379,0.5658,0.619,321121.0
2019-12-18,0.5825,0.61,0.5673,0.595,88079.0
2019-12-17,0.585,0.598,0.565,0.5896,93692.0
2019-12-16,0.57,0.6,0.5575,0.5887,193485.0
2019-12-13,0.5976,0.598,0.56,0.573,177500.0
2019-12-12,0.629,0.63,0.574,0.585,455532.0
2019-12-11,0.58,0.6598,0.565,0.6301,1202024.0
2019-12-10,0.6,0.6179,0.5551,0.58,482867.0
2019-12-09,0.572,0.58,0.54,0.5639,303858.0
2019-12-06,0.6,0.61,0.568,0.5851,495312.0
2019-12-05,0.661,0.689,0.56,0.5694,2294913.0
2019-12-04,0.64,0.7,0.628,0.6301,1042653.0
2019-12-03,0.6401,0.694,0.5801,0.6399,2514381.0
2019-12-02,0.68,0.68,0.6271,0.6736,35462.0
2019-11-29,0.68,0.72,0.646,0.6738,94629.0
2019-11-27,0.6579,0.678,0.638,0.6655,78965.0
2019-11-26,0.7,0.72,0.6468,0.6699,91479.0
2019-11-25,0.7501,0.76,0.6652,0.7,121590.0
2019-11-22,0.7599,0.8,0.7207,0.736,60530.0
2019-11-21,0.75,0.76,0.723,0.76,107169.0
2019-11-20,0.77,0.77,0.7206,0.7356,48783.0
2019-11-19,0.797,0.8,0.7641,0.7641,13016.0
2019-11-18,0.77,0.8,0.7568,0.7677,41486.0
2019-11-15,0.77,0.8161,0.77,0.77,80913.0
2019-11-14,0.82,0.826,0.752,0.8,82378.0
2019-11-13,0.8225,0.8399,0.8151,0.8252,30452.0
2019-11-12,0.8499,0.8499,0.8182,0.848,34982.0
2019-11-11,0.8336,0.85,0.82,0.8238,32537.0
2019-11-08,0.8141,0.8399,0.8141,0.8244,48720.0
2019-11-07,0.8525,0.9,0.8021,0.83,94810.0
2019-11-06,0.91,0.92,0.85,0.8801,24289.0
2019-11-05,0.891,0.9399,0.89,0.91,26759.0
2019-11-04,0.9225,0.95,0.8903,0.901,62631.0
2019-11-01,0.915,0.96,0.9,0.91,132499.0
2019-10-31,0.942,0.96,0.91,0.93,116008.0
2019-10-30,1.0,1.0,0.927,0.9401,37304.0
2019-10-29,1.02,1.02,0.9,0.9804,92416.0
2019-10-28,1.04,1.051,1.005,1.01,86407.0
2019-10-25,1.08,1.08,1.0,1.06,158491.0
2019-10-24,1.24,1.28,1.02,1.04,937181.0
2019-10-23,1.12,1.3,1.0601,1.1,442135.0
2019-10-22,1.399,1.4,1.38,1.38,12398.0
2019-10-21,1.42,1.44,1.38,1.38,15014.0
2019-10-18,1.37,1.42,1.37,1.41,28905.0
2019-10-17,1.39,1.45,1.37,1.37,73564.0
2019-10-16,1.4422,1.5049,1.3668,1.42,155415.0
2019-10-15,1.38,1.4,1.355,1.36,15739.0
2019-10-14,1.33,1.4,1.31,1.38,34505.0
2019-10-11,1.31,1.39,1.31,1.34,34388.0
2019-10-10,1.4,1.4157,1.3,1.31,79359.0
2019-10-09,1.4,1.4772,1.4,1.4,38376.0
2019-10-08,1.42,1.52,1.387,1.4,46023.0
2019-10-07,1.38,1.53,1.3624,1.46,66861.0
2019-10-04,1.36,1.56,1.35,1.36,266740.0
2019-10-03,1.34,1.398,1.29,1.36,167337.0
2019-10-02,1.23,1.7,1.19,1.36,2146518.0
2019-10-01,1.22,1.2917,1.16,1.22,64890.0
2019-09-30,1.22,1.26,1.15,1.2304,79334.0
2019-09-27,1.22,1.2574,1.2,1.24,31850.0
2019-09-26,1.2205,1.25,1.22,1.22,33463.0
2019-09-25,1.2,1.25,1.2,1.2216,52522.0
2019-09-24,1.31,1.3186,1.21,1.22,114679.0
2019-09-23,1.28,1.33,1.21,1.32,190928.0
2019-09-20,1.34,1.7,1.25,1.33,2220783.0
2019-09-19,1.23,1.24,1.18,1.18,83708.0
2019-09-18,1.22,1.25,1.2,1.22,53176.0
2019-09-17,1.25,1.35,1.22,1.22,44714.0
2019-09-16,1.27,1.3295,1.25,1.27,29037.0
2019-09-13,1.24,1.31,1.24,1.25,10672.0
2019-09-12,1.28,1.32,1.24,1.25,44240.0
2019-09-11,1.4,1.43,1.21,1.29,199006.0
2019-09-10,1.3004,1.4,1.2758,1.38,120109.0
2019-09-09,1.25,1.32,1.2401,1.32,25617.0
2019-09-06,1.24,1.255,1.21,1.2474,14501.0
2019-09-05,1.19,1.2639,1.19,1.26,21359.0
2019-09-04,1.24,1.24,1.19,1.2001,28273.0
2019-09-03,1.22,1.24,1.21,1.24,24731.0
2019-08-30,1.25,1.27,1.21,1.24,19864.0
2019-08-29,1.31,1.3101,1.1703,1.25,83496.0
2019-08-28,1.28,1.3,1.27,1.27,8864.0
2019-08-27,1.34,1.36,1.28,1.28,28548.0
2019-08-26,1.32,1.33,1.29,1.317,40597.0
2019-08-23,1.29,1.35,1.27,1.33,95361.0
2019-08-22,1.34,1.3681,1.27,1.29,46442.0
2019-08-21,1.34,1.35,1.291,1.35,29162.0
2019-08-20,1.2583,1.34,1.2583,1.3,28859.0
2019-08-19,1.36,1.39,1.3,1.3,68558.0
2019-08-16,1.22,1.35,1.22,1.3467,97225.0
2019-08-15,1.2,1.35,1.17,1.21,328504.0
2019-08-14,1.31,1.32,1.215,1.24,63034.0
2019-08-13,1.33,1.37,1.26,1.34,97403.0
2019-08-12,1.35,1.41,1.3,1.34,34958.0
2019-08-09,1.41,1.42,1.34,1.36,78191.0
2019-08-08,1.37,1.49,1.33,1.42,107372.0
2019-08-07,1.37,1.4399,1.3123,1.3565,54728.0
2019-08-06,1.38,1.4191,1.3349,1.4,40187.0
2019-08-05,1.42,1.4507,1.33,1.33,81417.0
2019-08-02,1.53,1.5311,1.41,1.47,117002.0
2019-08-01,1.54,1.6343,1.53,1.55,112642.0
2019-07-31,1.63,1.7499,1.52,1.54,193147.0
2019-07-30,1.63,1.8,1.6,1.62,149780.0
2019-07-29,1.7,1.7,1.61,1.63,65722.0
2019-07-26,1.73,1.7999,1.6902,1.7262,81243.0
2019-07-25,1.73,1.75,1.56,1.71,234115.0
2019-07-24,1.51,1.75,1.5079,1.63,279764.0
2019-07-23,1.64,1.6968,1.503,1.53,198860.0
2019-07-22,1.72,1.73,1.56,1.64,708462.0
2019-07-19,2.65,2.72,1.63,1.86,18122441.0
2019-07-18,1.31,1.35,1.2893,1.3,33848.0
2019-07-17,1.3571,1.3571,1.24,1.33,96558.0
2019-07-16,1.42,1.42,1.3501,1.38,23428.0
2019-07-15,1.33,1.42,1.33,1.42,43904.0
