date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,0.524,0.597,0.4771,0.54,272785.0
2020-03-30,0.525,0.78,0.4606,0.571,1843871.0
2020-03-27,0.4664,0.54,0.4511,0.5,270625.0
2020-03-26,0.5,0.5482,0.4534,0.4645,220644.0
2020-03-25,0.43,0.6001,0.4012,0.4792,764698.0
2020-03-24,0.433,0.433,0.4074,0.4201,50014.0
2020-03-23,0.41,0.4411,0.38,0.4,51161.0
2020-03-20,0.5,0.5,0.4,0.4316,125960.0
2020-03-19,0.4725,0.4725,0.4206,0.44,47637.0
2020-03-18,0.5,0.5,0.41,0.45,214644.0
2020-03-17,0.4223,0.4589,0.4223,0.44,86238.0
2020-03-16,0.4256,0.49,0.3901,0.4022,162872.0
2020-03-13,0.44,0.4848,0.3923,0.4099,151817.0
2020-03-12,0.4673,0.48,0.37,0.42,323971.0
2020-03-11,0.4253,0.48,0.41,0.47,305422.0
2020-03-10,0.4368,0.483,0.4042,0.4614,261706.0
2020-03-09,0.4538,0.49,0.361,0.3901,189683.0
2020-03-06,0.5,0.5174,0.4515,0.4626,135940.0
2020-03-05,0.499,0.5469,0.499,0.5099,112986.0
2020-03-04,0.58,0.58,0.5137,0.5184,379755.0
2020-03-03,0.5238,0.9,0.5024,0.5499,2582494.0
2020-03-02,0.4896,0.522,0.482,0.5101,107690.0
2020-02-28,0.4549,0.51,0.4478,0.4722,128309.0
2020-02-27,0.4884,0.4884,0.4201,0.4537,185252.0
2020-02-26,0.4828,0.52,0.48,0.4881,168391.0
2020-02-25,0.53,0.53,0.48,0.4867,137121.0
2020-02-24,0.4837,0.529,0.481,0.5201,202529.0
2020-02-21,0.4922,0.5289,0.4812,0.51,292695.0
2020-02-20,0.5,0.5,0.465,0.4811,193918.0
2020-02-19,0.5385,0.5385,0.4192,0.4995,470880.0
2020-02-18,0.57,0.59,0.51,0.5396,319631.0
2020-02-14,0.609,0.6355,0.556,0.5859,288650.0
2020-02-13,0.65,0.6516,0.5851,0.5941,413988.0
2020-02-12,0.6,0.8,0.58,0.65,2313296.0
2020-02-11,0.628,0.6399,0.575,0.6007,281240.0
2020-02-10,0.6125,0.6399,0.6,0.632,172219.0
2020-02-07,0.6555,0.6824,0.629,0.64,160216.0
2020-02-06,0.73,0.73,0.6,0.6547,959709.0
2020-02-05,0.7721,0.7869,0.75,0.77,216449.0
2020-02-04,0.7857,0.815,0.75,0.78,312646.0
2020-02-03,0.7978,0.85,0.78,0.8199,307591.0
2020-01-31,0.8574,0.9109,0.78,0.795,1033657.0
2020-01-30,0.78,0.84,0.78,0.8223,341357.0
2020-01-29,0.8,0.84,0.76,0.7999,589199.0
2020-01-28,1.0,1.02,0.8521,0.86,521773.0
2020-01-27,1.0,1.0293,0.97,1.0,280566.0
2020-01-24,1.08,1.14,1.08,1.11,527292.0
2020-01-23,1.06,1.13,1.03,1.12,1025289.0
2020-01-22,1.14,1.1499,1.05,1.09,360644.0
2020-01-21,1.21,1.22,1.12,1.1656,496842.0
2020-01-17,1.18,1.24,1.16,1.22,376481.0
2020-01-16,1.16,1.3,1.15,1.2,498013.0
2020-01-15,1.25,1.26,1.13,1.21,678865.0
2020-01-14,1.3715,1.3715,1.25,1.27,974290.0
2020-01-13,1.56,1.56,1.22,1.27,1483835.0
2020-01-10,1.65,1.65,1.5166,1.56,1678963.0
2020-01-09,1.67,1.92,1.64,1.88,2892634.0
2020-01-08,1.62,1.75,1.59,1.68,1094762.0
2020-01-07,1.61,1.74,1.56,1.64,936452.0
2020-01-06,1.59,1.67,1.5,1.61,911625.0
2020-01-03,1.64,1.95,1.62,1.71,748742.0
2020-01-02,1.6,1.76,1.51,1.67,847137.0
2019-12-31,1.58,1.63,1.53,1.56,521042.0
2019-12-30,1.73,1.82,1.56,1.58,698378.0
2019-12-27,1.61,2.19,1.55,1.78,1999933.0
2019-12-26,1.82,1.82,1.51,1.61,855570.0
2019-12-24,1.96,1.97,1.81,1.8223,509146.0
2019-12-23,2.06,2.26,1.91,1.97,970413.0
2019-12-20,1.91,2.8,1.91,2.14,1419500.0
2019-12-19,0.0341,0.0344,0.023,0.0258,160591349.0
2019-12-18,0.0261,0.037,0.026,0.0279,269188782.0
2019-12-17,0.022,0.0285,0.021,0.0242,74014218.0
2019-12-16,0.026,0.026,0.02,0.0229,57916002.0
2019-12-13,0.0271,0.0279,0.026,0.026,29153812.0
2019-12-12,0.0279,0.0283,0.0265,0.0269,33574042.0
2019-12-11,0.029,0.0297,0.027,0.0285,32637650.0
2019-12-10,0.0283,0.0303,0.0274,0.0293,49937689.0
2019-12-09,0.031,0.031,0.0277,0.0296,40223692.0
2019-12-06,0.0321,0.033,0.03,0.0303,36753093.0
2019-12-05,0.0384,0.039,0.0307,0.0313,52340686.0
2019-12-04,0.0306,0.0399,0.03,0.0333,74351811.0
2019-12-03,0.032,0.032,0.0301,0.0305,13765791.0
2019-12-02,0.0334,0.04,0.031,0.032,13662924.0
2019-11-29,0.0333,0.0335,0.0323,0.0328,7260863.0
2019-11-27,0.0334,0.0338,0.0324,0.0333,9957169.0
2019-11-26,0.0335,0.0339,0.0325,0.0328,10054164.0
2019-11-25,0.0335,0.0354,0.0323,0.0332,10643959.0
2019-11-22,0.0363,0.0363,0.032,0.0335,12412886.0
2019-11-21,0.037,0.0371,0.031,0.0348,15779597.0
2019-11-20,0.0383,0.0384,0.037,0.0371,8167780.0
2019-11-19,0.0399,0.0399,0.0354,0.0384,12917267.0
2019-11-18,0.0421,0.0421,0.039,0.0394,10888327.0
2019-11-15,0.0408,0.0428,0.0395,0.0406,12111706.0
2019-11-14,0.0399,0.04,0.039,0.0394,7686786.0
2019-11-13,0.04,0.0405,0.039,0.0398,6742520.0
2019-11-12,0.0404,0.041,0.04,0.0403,6559777.0
2019-11-11,0.041,0.0412,0.0385,0.0404,8452000.0
