date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,9.87,9.93,9.87,9.93,5271.0
2020-04-23,9.9,9.94,9.85,9.94,12300.0
2020-04-22,9.95,9.95,9.95,9.95,5001.0
2020-04-21,9.75,9.92,9.75,9.92,450.0
2020-04-20,9.84,9.84,9.84,9.84,100.0
2020-04-17,9.85,9.85,9.85,9.85,1000.0
2020-04-13,9.9,9.9,9.9,9.9,3012.0
2020-04-09,9.75,9.94,9.75,9.94,1518.0
2020-04-06,9.7002,9.7002,9.7,9.7,751.0
2020-04-02,9.7002,9.7002,9.7002,9.7002,10.0
2020-04-01,9.7002,9.7002,9.7002,9.7002,100.0
2020-03-31,9.7,9.7,9.7,9.7,300.0
2020-03-27,9.7,9.7,9.7,9.7,56.0
2020-03-26,9.61,9.7,9.61,9.7,39302.0
2020-03-25,9.5002,9.65,9.5002,9.65,4215.0
2020-03-24,9.5,9.56,9.475,9.55,9300.0
2020-03-23,9.4329,9.4329,9.36,9.36,5800.0
2020-03-20,9.3996,9.55,9.35,9.37,64000.0
2020-03-19,9.6,9.6,9.3,9.4,297300.0
2020-03-17,9.71,9.71,9.65,9.65,52270.0
2020-03-16,9.82,9.82,9.66,9.71,435400.0
2020-03-13,9.9132,9.9132,9.9,9.9,4200.0
2020-03-12,9.95,9.95,9.95,9.95,100510.0
2020-03-11,9.99,9.99,9.97,9.97,20000.0
2020-03-10,10.0,10.02,9.9776,9.99,361484.0
2020-03-09,10.0,10.1,10.0,10.0,2619.0
2020-03-06,10.025,10.025,10.025,10.025,40.0
2020-03-05,10.02,10.025,10.02,10.025,10052.0
2020-03-04,10.04,10.05,10.04,10.05,6405.0
2020-03-03,10.0502,10.09,10.0468,10.0468,11900.0
2020-03-02,10.09,10.09,10.02,10.09,19425.0
2020-02-28,10.09,10.09,10.09,10.09,157.0
2020-02-27,10.05,10.05,10.05,10.05,402.0
2020-02-26,10.05,10.05,10.05,10.05,5.0
2020-02-25,10.09,10.09,10.02,10.05,5503.0
2020-02-24,10.09,10.09,10.09,10.09,15.0
2020-02-21,10.08,10.09,10.07,10.09,1430.0
2020-02-20,10.06,10.08,10.02,10.04,12906.0
2020-02-19,10.09,10.09,10.06,10.09,21060.0
2020-02-18,10.05,10.09,10.02,10.09,102972.0
2020-02-14,10.02,10.05,10.0,10.05,795099.0
