date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,0.54,0.55,0.517,0.5339,2036759.0
2020-04-08,0.525,0.5589,0.5101,0.54,1749608.0
2020-04-07,0.53,0.57,0.514,0.56,1923685.0
2020-04-06,0.5148,0.55,0.505,0.5257,2883078.0
2020-04-03,0.5301,0.5378,0.505,0.5147,1869101.0
2020-04-02,0.589,0.607,0.5202,0.5293,2554357.0
2020-04-01,0.5734,0.6199,0.501,0.6079,5877654.0
2020-03-31,0.608,0.624,0.56,0.575,1083427.0
2020-03-30,0.616,0.6345,0.5516,0.598,1413181.0
2020-03-27,0.6601,0.6817,0.6,0.6151,2373319.0
2020-03-26,0.737,0.74,0.66,0.6601,1632446.0
2020-03-25,0.59,0.7899,0.5713,0.74,4078358.0
2020-03-24,0.6,0.6,0.5652,0.59,777561.0
2020-03-23,0.6,0.607,0.52,0.5467,770801.0
2020-03-20,0.61,0.61,0.53,0.58,902831.0
2020-03-19,0.53,0.579,0.4975,0.57,2082727.0
2020-03-18,0.579,0.579,0.5,0.5,1378026.0
2020-03-17,0.627,0.627,0.52,0.6019,1236368.0
2020-03-16,0.546,0.6778,0.5,0.6259,3320919.0
2020-03-13,0.825,0.89,0.5101,0.581,9366777.0
2020-03-12,1.02,1.17,1.01,1.02,1767231.0
2020-03-11,1.31,1.31,1.19,1.21,1677344.0
2020-03-10,1.39,1.4099,1.28,1.31,702032.0
2020-03-09,1.45,1.47,1.28,1.34,1242222.0
2020-03-06,1.52,1.5441,1.46,1.53,1095888.0
2020-03-05,1.38,1.54,1.3749,1.54,1320206.0
2020-03-04,1.36,1.44,1.35,1.38,922989.0
2020-03-03,1.38,1.42,1.33,1.35,1139678.0
2020-03-02,1.35,1.62,1.34,1.35,1165113.0
2020-02-28,1.25,1.36,1.22,1.35,1124246.0
2020-02-27,1.39,1.39,1.23,1.29,2003624.0
2020-02-26,1.42,1.43,1.35,1.37,810020.0
2020-02-25,1.46,1.49,1.39,1.41,1260630.0
2020-02-24,1.51,1.55,1.45,1.48,1249176.0
2020-02-21,1.54,1.58,1.52,1.56,538103.0
2020-02-20,1.58,1.6,1.51,1.56,776100.0
2020-02-19,1.56,1.62,1.54,1.59,1017408.0
2020-02-18,1.57,1.6,1.52,1.56,828832.0
2020-02-14,1.51,1.62,1.46,1.55,1388796.0
2020-02-13,1.47,1.51,1.42,1.5,944267.0
