date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,7.66,7.97,7.39,7.73,140559.0
2020-04-23,8.43,8.58,7.64,7.72,123145.0
2020-04-22,8.18,8.58,8.14,8.3,130383.0
2020-04-21,7.93,8.17,7.7034,8.12,150339.0
2020-04-20,8.03,8.352,8.03,8.17,103901.0
2020-04-17,8.64,8.64,8.02,8.17,128261.0
2020-04-16,8.44,8.59,7.88,8.45,289048.0
2020-04-15,8.4,8.57,7.7901,8.45,259467.0
2020-04-14,8.66,8.8499,8.56,8.63,113947.0
2020-04-13,8.29,8.585,8.035,8.48,166617.0
2020-04-09,7.75,8.22,7.63,8.14,135603.0
2020-04-08,7.35,7.76,7.03,7.74,127861.0
2020-04-07,7.03,7.59,7.0,7.25,121029.0
2020-04-06,6.9,7.11,6.75,7.0,103806.0
2020-04-03,6.94,7.09,6.62,6.83,115683.0
2020-04-02,6.75,6.94,6.11,6.88,114930.0
2020-04-01,7.24,7.6,6.6,6.69,267849.0
2020-03-31,7.05,7.6,6.67,7.12,333038.0
2020-03-30,6.7,6.89,6.15,6.23,142868.0
2020-03-27,5.96,6.735,5.96,6.64,169461.0
2020-03-26,5.87,6.1741,5.62,5.86,41612.0
2020-03-25,5.4,5.83,5.21,5.83,72089.0
2020-03-24,5.2,5.29,4.98,5.21,68445.0
2020-03-23,4.86,5.04,4.523,5.02,85973.0
2020-03-20,5.11,5.1399,4.6259,4.77,123482.0
2020-03-19,5.07,5.5,4.869,4.97,103331.0
2020-03-18,5.1,5.26,4.53,5.1,128844.0
2020-03-17,4.95,5.66,4.77,5.27,147573.0
2020-03-16,5.1,5.4199,4.95,4.96,138781.0
2020-03-13,6.15,6.235,5.43,5.71,76555.0
2020-03-12,6.41,6.46,5.4,5.82,179810.0
2020-03-11,7.06,7.16,6.4,7.02,106480.0
2020-03-10,7.39,7.5242,6.85,7.18,44138.0
2020-03-09,7.01,7.45,6.83,7.21,112219.0
2020-03-06,8.4,8.45,7.89,8.02,106218.0
2020-03-05,7.81,8.28,7.6994,8.23,113045.0
2020-03-04,7.73,8.1,7.73,7.97,155183.0
2020-03-03,7.49,7.65,7.075,7.65,38190.0
2020-03-02,7.19,7.49,6.81,7.44,90576.0
2020-02-28,6.51,7.18,6.4108,7.14,112456.0
2020-02-27,7.31,7.368,6.87,6.9,95361.0
2020-02-26,7.43,7.49,6.75,7.33,97779.0
2020-02-25,7.2,7.33,6.75,7.19,109407.0
2020-02-24,7.16,7.5,6.51,7.13,173200.0
2020-02-21,6.95,7.7199,6.92,7.56,218869.0
2020-02-20,6.64,7.05,6.54,7.05,87789.0
2020-02-19,6.56,6.72,6.4353,6.65,25587.0
2020-02-18,6.9,6.9,6.46,6.56,31665.0
2020-02-14,6.6,6.93,6.27,6.84,86092.0
2020-02-13,6.5,6.55,6.42,6.55,20473.0
2020-02-12,6.52,6.75,6.3,6.5,49309.0
2020-02-11,6.45,6.53,6.11,6.5,67834.0
2020-02-10,6.37,6.64,6.3201,6.55,70756.0
2020-02-07,6.05,6.57,6.05,6.28,133618.0
2020-02-06,6.21,6.26,5.5,5.93,369410.0
2020-02-05,6.3,6.3536,6.11,6.23,41695.0
2020-02-04,6.47,6.47,6.09,6.27,45185.0
2020-02-03,6.46,6.54,6.2,6.42,66552.0
2020-01-31,6.51,6.57,6.2179,6.37,38142.0
2020-01-30,6.71,6.8004,6.25,6.35,123656.0
2020-01-29,6.8,6.92,6.63,6.85,62581.0
2020-01-28,6.86,7.0714,6.71,6.84,75752.0
2020-01-27,6.62,7.01,6.57,6.85,53108.0
2020-01-24,6.92,6.98,6.58,6.87,66829.0
