date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,5.7,5.87,5.57,5.74,37545.0
2020-04-08,5.63,5.87,5.17,5.39,111779.0
2020-04-07,5.54,5.55,5.04,5.55,68128.0
2020-04-06,5.06,5.55,5.0,5.3,71393.0
2020-04-03,4.9,5.5201,4.81,5.06,87534.0
2020-04-02,5.3,5.53,4.8601,4.87,96765.0
2020-04-01,5.67,5.67,5.21,5.39,93956.0
2020-03-31,5.36,6.3499,5.36,5.83,78271.0
2020-03-30,5.65,5.8206,5.28,5.5,37686.0
2020-03-27,5.52,5.895,5.38,5.6,86878.0
2020-03-26,5.78,6.58,5.7,6.0,152019.0
2020-03-25,5.29,5.69,5.04,5.69,82369.0
2020-03-24,5.23,5.23,4.8,5.2,70866.0
2020-03-23,5.0,5.0,4.25,4.89,52223.0
2020-03-20,5.14,5.2,4.81,4.89,137904.0
2020-03-19,4.21,5.0,4.21,4.6933,269987.0
2020-03-18,5.07,5.58,4.04,4.31,338450.0
2020-03-17,5.52,5.89,5.41,5.66,131717.0
2020-03-16,4.9,5.836,4.9,5.45,136564.0
2020-03-13,5.81,6.25,5.5,5.75,115911.0
2020-03-12,5.7,6.3291,5.31,5.42,217016.0
2020-03-11,6.76,6.9544,6.02,6.34,156613.0
2020-03-10,7.2,7.2,6.5,6.76,116413.0
2020-03-09,7.07,7.4799,6.5,6.6481,278116.0
2020-03-06,7.82,8.29,7.25,7.97,313667.0
2020-03-05,9.29,9.75,7.55,7.99,604033.0
2020-03-04,8.68,10.5,8.1421,9.05,1347410.0
2020-03-03,6.99,9.07,6.59,7.85,1560288.0
2020-03-02,9.19,10.59,5.65,5.99,1648230.0
2020-02-28,3.81,4.27,3.81,4.11,41891.0
2020-02-27,4.12,4.16,3.82,4.04,37239.0
2020-02-26,4.06,4.511,3.88,4.02,121997.0
2020-02-25,4.63,4.8066,4.01,4.11,38723.0
2020-02-24,4.81,5.0,4.38,4.43,33327.0
2020-02-21,4.82,4.98,4.6089,4.84,21293.0
2020-02-20,5.0,5.18,4.5,4.82,145288.0
2020-02-19,5.05,5.34,5.0,5.0,135669.0
2020-02-18,5.4,5.4,5.0855,5.16,15145.0
2020-02-14,5.2,5.5,5.2,5.47,14911.0
2020-02-13,5.36,5.55,5.2,5.22,28732.0
2020-02-12,5.48,5.62,5.4,5.44,33599.0
2020-02-11,5.33,5.61,5.33,5.45,26283.0
2020-02-10,5.37,5.5041,5.37,5.39,8839.0
2020-02-07,5.5656,5.58,5.3821,5.5,40049.0
2020-02-06,5.5287,5.61,5.49,5.55,12490.0
2020-02-05,5.4,5.64,5.2933,5.53,30880.0
2020-02-04,5.4,5.4033,5.1798,5.32,7854.0
2020-02-03,5.44,5.5,5.33,5.34,24288.0
2020-01-31,5.5637,5.5637,5.185,5.32,34672.0
2020-01-30,5.19,5.6,5.19,5.5,245287.0
2020-01-29,5.24,5.2711,5.1,5.15,17146.0
2020-01-28,5.61,5.61,5.21,5.24,13913.0
2020-01-27,5.06,5.5,5.02,5.5,23673.0
2020-01-24,5.17,5.18,5.01,5.11,50656.0
2020-01-23,5.1,5.18,5.061,5.1,62855.0
2020-01-22,5.2,5.27,5.11,5.1485,48267.0
2020-01-21,5.7,5.98,5.12,5.155,88878.0
2020-01-17,5.46,6.0347,5.25,5.68,150958.0
2020-01-16,5.3,5.47,5.0,5.2467,148389.0
2020-01-15,5.41,5.59,5.18,5.2,33669.0
2020-01-14,5.33,5.41,5.05,5.31,31650.0
2020-01-13,5.05,5.2534,5.05,5.24,16906.0
2020-01-10,5.522,5.522,5.0,5.04,81539.0
2020-01-09,5.38,5.7487,5.36,5.36,11525.0
2020-01-08,5.58,5.957,5.3,5.38,24620.0
2020-01-07,5.7,5.96,5.7,5.7,18403.0
2020-01-06,6.1,6.1,5.47,5.65,33192.0
2020-01-03,5.91,6.25,5.85,5.98,20186.0
2020-01-02,5.93,6.27,5.8113,5.9001,55853.0
2019-12-31,5.57,6.2609,5.57,6.1,42068.0
2019-12-30,6.2,6.35,5.51,5.65,36227.0
2019-12-27,6.37,6.37,6.0552,6.2,11630.0
2019-12-26,6.32,6.37,6.2411,6.37,18437.0
2019-12-24,5.92,6.1999,5.92,6.13,8723.0
2019-12-23,6.12,6.3528,5.9,5.98,43175.0
2019-12-20,6.48,6.64,6.1,6.1,41551.0
2019-12-19,6.33,6.6388,6.25,6.52,19757.0
2019-12-18,6.61,6.61,5.8101,6.38,55109.0
2019-12-17,6.73,6.73,6.3273,6.47,33233.0
2019-12-16,7.26,7.4237,6.41,6.41,64372.0
2019-12-13,8.03,8.11,7.06,7.25,107455.0
2019-12-12,7.82,8.16,7.77,7.89,65894.0
2019-12-11,7.25,8.2,7.2,7.75,140087.0
2019-12-10,7.09,7.4,7.08,7.18,54659.0
2019-12-09,6.89,7.4,6.8843,7.23,39627.0
2019-12-06,6.8619,7.27,6.75,7.03,36431.0
2019-12-05,6.56,7.15,6.5,6.86,21908.0
2019-12-04,7.42,7.42,6.5,6.73,184139.0
2019-12-03,7.89,8.28,6.92,7.44,110407.0
2019-12-02,8.69,9.5434,7.92,8.005,88276.0
2019-11-29,8.32,8.68,8.16,8.48,15987.0
2019-11-27,8.0,8.35,7.82,8.15,72050.0
2019-11-26,8.1,8.1,7.75,8.05,73955.0
2019-11-25,7.46,8.16,7.46,8.05,60381.0
2019-11-22,6.83,7.2181,6.55,7.1,37952.0
2019-11-21,6.89,6.9098,6.58,6.69,20156.0
2019-11-20,6.45,6.96,6.31,6.79,9839.0
2019-11-19,6.78,6.8565,6.31,6.76,21066.0
2019-11-18,7.19,7.45,6.1205,6.49,36162.0
2019-11-15,5.41,6.0,5.41,5.99,48722.0
2019-11-14,5.06,6.07,5.06,5.55,60686.0
2019-11-13,6.09,6.17,5.81,5.83,42467.0
2019-11-12,6.4,6.5,6.09,6.09,41682.0
2019-11-11,6.59,6.79,6.53,6.54,28171.0
2019-11-08,6.55,6.85,6.51,6.73,37993.0
2019-11-07,6.91,7.07,6.4,6.73,58801.0
2019-11-06,7.06,7.42,6.8,6.94,116140.0
2019-11-05,7.1,7.34,7.09,7.12,13097.0
2019-11-04,7.13,7.48,7.09,7.15,31620.0
2019-11-01,6.99,7.3,6.88,7.17,20984.0
2019-10-31,7.82,7.82,6.88,7.02,54424.0
2019-10-30,7.03,7.22,6.7,7.11,242031.0
2019-10-29,7.38,7.61,6.89,7.11,162681.0
2019-10-28,6.9,7.64,6.9,7.5,71540.0
2019-10-25,7.35,8.0,6.71,6.9,133494.0
2019-10-24,7.3127,7.4939,6.91,7.18,62819.0
2019-10-23,6.99,7.32,6.7569,7.25,45762.0
2019-10-22,7.0,7.25,6.8527,7.0,28154.0
2019-10-21,6.8,7.0,6.7,6.885,57764.0
2019-10-18,6.98,7.14,6.5,6.8,88203.0
2019-10-17,6.4317,6.65,6.255,6.65,55275.0
2019-10-16,6.44,7.08,6.1,6.29,28833.0
2019-10-15,6.01,7.3599,6.01,6.39,19942.0
2019-10-14,6.18,6.22,5.85,6.04,37749.0
2019-10-11,5.99,6.54,5.99,6.15,40000.0
2019-10-10,6.02,6.3139,5.8,5.8,11733.0
2019-10-09,7.04,7.19,5.95,6.0,93859.0
2019-10-08,6.75,6.75,6.25,6.44,103549.0
2019-10-07,6.53,6.75,6.32,6.57,22444.0
2019-10-04,6.66,7.0,6.33,6.57,35353.0
2019-10-03,6.22,6.5,6.01,6.36,121065.0
2019-10-02,6.4333,6.99,6.31,6.4,121149.0
2019-10-01,7.05,7.12,6.61,6.93,89997.0
2019-09-30,7.245,7.49,6.89,7.24,29313.0
2019-09-27,7.25,7.33,7.03,7.25,39896.0
2019-09-26,7.1,7.57,6.81,7.09,48893.0
2019-09-25,7.39,7.6,7.01,7.01,11224.0
2019-09-24,7.5,7.94,7.37,7.37,11518.0
2019-09-23,8.06,8.225,7.34,7.83,30493.0
2019-09-20,7.84,8.0,7.6,8.0,17972.0
2019-09-19,7.74,7.99,7.64,7.7,4273.0
2019-09-18,7.65,8.5,7.54,7.87,73735.0
2019-09-17,8.51,8.7122,7.56,7.61,57315.0
2019-09-16,8.87,9.7,8.26,8.385,62655.0
2019-09-13,9.0,9.0,8.442,8.7,13637.0
2019-09-12,9.49,10.29,8.59,8.99,28774.0
2019-09-11,9.91,10.55,9.18,9.47,47634.0
2019-09-10,10.0,10.386,9.04,9.62,43291.0
2019-09-09,10.47,10.72,9.215,10.0,1903791.0
2019-09-06,10.8,10.81,10.2301,10.54,15275.0
2019-09-05,10.0,10.94,10.0,10.71,8672.0
2019-09-04,9.1,10.35,9.1,9.91,33184.0
2019-09-03,8.98,9.13,8.47,9.08,16190.0
2019-08-30,8.61,9.25,7.91,9.08,385204.0
2019-08-29,7.85,8.69,7.65,8.59,171245.0
2019-08-28,7.71,8.0,7.2,8.0,55264.0
2019-08-27,7.77,8.0,7.56,7.77,21143.0
2019-08-26,7.63,7.99,7.52,7.83,5351.0
2019-08-23,7.33,7.94,7.25,7.65,93277.0
2019-08-22,7.66,7.95,7.11,7.57,57197.0
2019-08-21,7.575,7.86,6.665,7.75,173400.0
2019-08-20,6.72,9.15,4.01,8.0,845116.0
2019-08-19,7.25,8.0,7.12,7.32,104757.0
2019-08-16,8.47,8.65,6.8,6.95,50888.0
2019-08-15,8.95,9.155,8.6,8.6,28988.0
2019-08-14,9.05,9.05,8.6185,8.97,5774.0
2019-08-13,8.98,9.3,8.63,9.09,32910.0
2019-08-12,9.52,9.55,9.02,9.1,13016.0
2019-08-09,9.96,9.96,9.5,9.5,2223.0
2019-08-08,9.2,10.2,9.17,9.5,3915.0
2019-08-07,9.0567,9.34,9.0567,9.2,4044.0
2019-08-06,9.1,9.413,9.1,9.27,2920.0
2019-08-05,8.95,9.2483,8.79,9.0,7841.0
