date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.13,0.13,0.0999,0.12,17000.0
2020-04-21,0.128,0.128,0.128,0.128,111.0
2020-04-20,0.091,0.15,0.091,0.1495,1210.0
2020-04-16,0.2,0.2,0.1999,0.1999,502.0
2020-04-14,0.16,0.2,0.16,0.2,1117.0
2020-04-13,0.13,0.13,0.13,0.13,300.0
2020-04-08,0.2,0.2,0.2,0.2,101.0
2020-04-07,0.1113,0.1214,0.1108,0.1214,42390.0
2020-04-06,0.12,0.12,0.12,0.12,750.0
2020-04-03,0.15,0.15,0.1194,0.12,19141.0
2020-04-02,0.13,0.1989,0.13,0.15,2812.0
2020-03-31,0.2,0.2,0.1994,0.1994,10000.0
2020-03-30,0.24,0.2411,0.1944,0.1944,2448.0
2020-03-27,0.2389,0.2389,0.2389,0.2389,34.0
2020-03-26,0.2389,0.2389,0.2389,0.2389,5.0
2020-03-25,0.2389,0.2389,0.2389,0.2389,5.0
2020-03-24,0.18,0.24,0.18,0.2389,2900.0
2020-03-23,0.24,0.24,0.2,0.2,7800.0
2020-03-19,0.2,0.2,0.1993,0.2,5240.0
2020-03-18,0.245,0.245,0.245,0.245,100.0
2020-03-17,0.1294,0.2533,0.122,0.2533,25365.0
2020-03-16,0.1113,0.2,0.1113,0.2,3450.0
2020-03-11,0.26,0.315,0.26,0.315,3800.0
2020-03-09,0.35,0.35,0.35,0.35,100.0
2020-03-03,0.35,0.35,0.35,0.35,300.0
2020-03-02,0.35,0.35,0.35,0.35,100.0
2020-02-26,0.2441,0.312,0.2399,0.312,9117.0
2020-02-25,0.35,0.35,0.35,0.35,167.0
2020-02-24,0.3015,0.35,0.28,0.3486,5372.0
2020-02-19,0.35,0.35,0.2903,0.35,6142.0
2020-02-18,0.35,0.35,0.3365,0.341,2437.0
2020-02-12,0.35,0.35,0.3495,0.3495,200.0
2020-02-11,0.35,0.35,0.3485,0.3485,600.0
2020-02-10,0.3,0.3,0.3,0.3,1000.0
2020-02-07,0.28,0.28,0.28,0.28,100.0
2020-02-06,0.35,0.35,0.3484,0.3484,2030.0
2020-02-05,0.35,0.35,0.2975,0.35,4515.0
2020-02-04,0.35,0.35,0.35,0.35,2100.0
2020-02-03,0.4,0.4,0.28,0.3201,3086.0
2020-01-31,0.35,0.35,0.3182,0.3182,12592.0
2020-01-30,0.35,0.35,0.35,0.35,200.0
2020-01-28,0.3978,0.4,0.3779,0.3779,3699.0
2020-01-23,0.5,0.5,0.5,0.5,102.0
2020-01-21,0.4,0.402,0.39,0.39,3632.0
2020-01-16,0.4027,0.4027,0.4,0.4008,2300.0
2020-01-15,0.3901,0.3901,0.3801,0.3801,2749.0
2020-01-14,0.41,0.41,0.41,0.41,200.0
2020-01-13,0.4,0.4,0.3409,0.3801,22539.0
2020-01-10,0.32,0.41,0.32,0.38,12900.0
2020-01-09,0.4022,0.4022,0.4,0.4001,7000.0
2020-01-07,0.41,0.41,0.3649,0.3649,1180.0
2020-01-06,0.6,0.6,0.4,0.4585,5160.0
2020-01-03,0.5,0.5,0.5,0.5,20.0
2020-01-02,0.47,0.5,0.47,0.5,2705.0
2019-12-31,0.25,0.5516,0.2366,0.32,34775.0
2019-12-30,0.44,0.572,0.202,0.202,3586.0
2019-12-27,0.51,0.5125,0.48,0.48,1199.0
2019-12-26,0.325,0.6,0.325,0.3268,1903.0
2019-12-24,0.3131,0.3131,0.3131,0.3131,84.0
2019-12-20,0.3131,0.3131,0.3131,0.3131,306.0
2019-12-19,0.3339,0.4,0.3131,0.3131,17235.0
2019-12-18,0.33,0.33,0.3286,0.3286,724.0
2019-12-17,0.25,0.25,0.2497,0.25,9522.0
2019-12-16,0.3339,0.3339,0.3333,0.3333,600.0
2019-12-13,0.4,0.4,0.3999,0.3999,1203.0
2019-12-11,0.44,0.44,0.44,0.44,100.0
2019-12-09,0.37,0.4,0.37,0.4,1400.0
2019-12-06,0.55,0.55,0.39,0.39,300.0
2019-12-05,0.585,0.585,0.4,0.4,650.0
2019-12-04,0.375,0.375,0.3387,0.3387,1610.0
2019-12-03,0.2095,0.29,0.2095,0.275,11837.0
2019-12-02,0.21,0.21,0.2,0.2,2500.0
2019-11-29,0.21,0.21,0.21,0.21,8429.0
2019-11-27,0.2101,0.2101,0.2101,0.2101,5000.0
2019-11-26,0.25,0.25,0.2264,0.24,1567.0
2019-11-25,0.245,0.245,0.241,0.244,1675.0
2019-11-22,0.15,0.23,0.15,0.23,6455.0
2019-11-20,0.25,0.25,0.2,0.2,1646.0
2019-11-19,0.26,0.3,0.138,0.1997,85261.0
2019-11-18,0.26,0.27,0.26,0.26,4000.0
2019-11-15,0.27,0.3,0.26,0.3,1243.0
2019-11-14,0.3644,0.38,0.3644,0.38,389.0
2019-11-13,0.38,0.38,0.3787,0.38,3690.0
2019-11-12,0.3078,0.38,0.3078,0.3787,2000.0
2019-11-11,0.399,0.399,0.3709,0.3709,400.0
2019-11-08,0.3101,0.3101,0.276,0.2795,10265.0
2019-11-06,0.4,0.4,0.3994,0.4,1566.0
2019-10-30,0.5849,0.5849,0.5849,0.5849,100.0
2019-10-29,0.45,0.45,0.32,0.4,1401.0
2019-10-28,0.44,0.5,0.44,0.5,1202.0
2019-10-25,0.31,0.38,0.3005,0.38,2000.0
2019-10-24,0.3,0.33,0.25,0.3287,10060.0
2019-10-23,0.3125,0.34,0.31,0.34,2930.0
2019-10-22,0.1704,0.36,0.15,0.34,27868.0
2019-10-21,0.4999,0.4999,0.4999,0.4999,3.0
2019-10-18,0.5478,0.5478,0.4499,0.4999,2553.0
2019-10-17,0.5479,0.5479,0.5478,0.5478,2000.0
2019-10-15,0.55,0.55,0.5479,0.5479,1007.0
2019-10-11,0.48,0.585,0.351,0.585,11650.0
2019-10-10,0.4202,0.49,0.42,0.4893,3400.0
2019-10-07,0.4515,0.5,0.4515,0.5,1699.0
2019-10-04,0.4565,0.4565,0.4565,0.4565,139.0
2019-10-03,0.4,0.4,0.28,0.3985,3703.0
2019-10-02,0.45,0.59,0.4493,0.49,1000.0
2019-09-27,0.5976,0.5976,0.5976,0.5976,240.0
2019-09-26,0.5976,0.5976,0.5976,0.5976,1164.0
2019-09-25,0.6,0.6,0.5976,0.5976,6600.0
2019-09-24,0.6,0.6,0.6,0.6,1789.0
2019-09-23,0.67,0.67,0.4753,0.6476,7400.0
2019-09-20,0.61,0.6401,0.6,0.6375,16210.0
2019-09-19,0.6321,0.68,0.6,0.68,7452.0
2019-09-18,0.61,0.67,0.61,0.67,18270.0
2019-09-17,0.7,0.7,0.61,0.6482,9680.0
2019-09-16,0.67,0.71,0.5081,0.7,92577.0
2019-09-13,0.7,0.71,0.6699,0.71,8006.0
2019-09-12,0.7,0.7,0.7,0.7,10135.0
2019-09-11,0.68,0.68,0.6792,0.68,3100.0
2019-09-10,0.675,0.68,0.6749,0.68,3776.0
2019-09-09,0.67,0.67,0.653,0.655,2200.0
2019-09-06,0.6771,0.6771,0.5622,0.6771,8919.0
2019-09-05,0.6771,0.6771,0.61,0.6196,9435.0
2019-09-04,0.65,0.66,0.6494,0.6543,1976.0
2019-09-03,0.65,0.65,0.575,0.6485,2750.0
2019-08-30,0.62,0.65,0.5262,0.65,8450.0
2019-08-29,0.6,0.62,0.6,0.62,12391.0
2019-08-28,0.7,0.7,0.6482,0.65,4700.0
2019-08-27,0.6,0.6,0.6,0.6,500.0
2019-08-26,0.7,0.7,0.7,0.7,5.0
2019-08-22,0.47,0.7,0.47,0.7,25179.0
2019-08-21,0.65,0.65,0.5982,0.5982,2000.0
2019-08-19,0.88,0.88,0.878,0.878,200.0
2019-08-16,0.5,0.5,0.5,0.5,2000.0
2019-08-15,0.55,0.55,0.41,0.4512,3254.0
2019-08-14,0.55,0.55,0.55,0.55,230.0
2019-08-12,0.45,0.7,0.4499,0.5,5005.0
2019-08-08,0.7,0.7,0.7,0.7,3286.0
2019-08-07,0.7,0.7,0.7,0.7,300.0
2019-08-05,0.69,0.7,0.66,0.7,10100.0
2019-08-02,0.64,0.715,0.6,0.7,28070.0
2019-08-01,0.611,0.64,0.601,0.64,18968.0
2019-07-30,0.64,0.64,0.64,0.64,10000.0
2019-07-26,0.6,0.65,0.6,0.64,47817.0
2019-07-23,0.6,0.7479,0.6,0.66,10175.0
2019-07-22,0.6,0.65,0.6,0.65,4700.0
2019-07-18,0.6,0.6,0.6,0.6,550.0
2019-07-17,0.7371,0.8399,0.6,0.7469,2440.0
2019-07-16,0.7274,0.8799,0.7274,0.8799,600.0
2019-07-15,0.8999,0.8999,0.6,0.6,2180.0
2019-07-12,0.75,1.1,0.59,0.84,11595.0
2019-07-11,0.58,0.98,0.53,0.55,5209.0
