date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,20.01,21.8595,20.01,21.5077,8719.0
2020-03-30,19.5,20.822,17.5,20.0,9378.0
2020-03-27,21.0,21.3,19.5,20.5,26656.0
2020-03-26,20.98,21.15,19.5,19.98,5735.0
2020-03-25,17.8431,22.0,17.0,18.0,36781.0
2020-03-24,15.21,17.06,15.21,16.25,10528.0
2020-03-23,16.8,17.99,14.2,15.52,16310.0
2020-03-20,17.0,18.0,16.0,18.0,140749.0
2020-03-19,16.75,17.5,14.18,17.5,18899.0
2020-03-18,21.7,21.7,16.4,18.25,5107.0
2020-03-17,22.0,22.0,21.0,21.65,3224.0
2020-03-16,23.23,23.5,20.555,23.4,11344.0
2020-03-13,24.15,24.15,23.0,24.15,3210.0
2020-03-12,25.96,25.96,16.31,22.8487,18763.0
2020-03-11,25.5,26.2556,25.5,25.7591,2626.0
2020-03-10,25.96,26.15,25.55,25.56,4460.0
2020-03-09,26.5,26.6489,25.905,26.36,17301.0
2020-03-06,26.74,26.76,26.5,26.754,79649.0
2020-03-05,26.09,26.9,26.09,26.79,9341.0
2020-03-04,26.0,26.1,25.8,25.9787,6676.0
2020-03-03,25.8,25.95,25.8,25.9,4617.0
2020-03-02,26.1,26.1,25.75,26.1,2549.0
2020-02-28,25.75,26.25,25.6,26.1366,14006.0
2020-02-27,26.0724,26.7,25.93,26.29,11243.0
2020-02-26,26.45,26.78,26.34,26.4714,7181.0
2020-02-25,25.94,27.74,25.94,26.45,17957.0
2020-02-24,25.9402,26.14,25.94,25.94,4896.0
2020-02-21,26.08,26.13,26.0609,26.13,1134.0
2020-02-20,25.99,26.09,25.94,26.04,5063.0
2020-02-19,25.95,25.99,25.95,25.99,1805.0
2020-02-18,26.05,26.05,25.94,25.94,602.0
2020-02-14,25.95,26.0869,25.9492,26.06,2725.0
2020-02-13,25.84,25.95,25.84,25.9017,4424.0
2020-02-12,25.75,25.8894,25.75,25.76,7904.0
2020-02-11,25.86,25.88,25.75,25.85,7548.0
2020-02-10,26.0146,26.0146,25.83,25.96,18787.0
2020-02-07,26.11,26.1274,26.11,26.12,1158.0
2020-02-06,26.16,26.16,26.0,26.16,1843.0
2020-02-05,26.17,26.17,26.006,26.006,2261.0
2020-02-04,26.07,26.229,26.027,26.229,1986.0
2020-02-03,26.09,26.09,25.94,26.07,3966.0
2020-01-31,26.02,26.02,25.93,25.93,3140.0
2020-01-30,26.12,26.12,26.0364,26.0734,938.0
2020-01-29,26.26,26.27,25.9,26.125,4156.0
2020-01-28,26.0,26.35,26.0,26.3338,14283.0
2020-01-27,25.9332,25.996,25.9086,25.965,4929.0
2020-01-24,25.93,26.1079,25.92,26.1,3721.0
2020-01-23,26.0056,26.24,26.0056,26.24,2505.0
2020-01-22,26.01,26.1,25.9,26.025,3106.0
2020-01-21,26.24,26.24,26.0226,26.1,5012.0
2020-01-17,26.04,26.5,25.946,26.25,18926.0
2020-01-16,26.04,26.04,25.965,25.965,5612.0
2020-01-15,25.95,26.0483,25.95,25.965,1278.0
2020-01-14,26.0,26.0,25.85,25.954,5990.0
2020-01-13,26.48,26.48,26.319,26.4498,1119.0
2020-01-10,26.21,26.45,26.2,26.45,1755.0
2020-01-09,26.44,26.44,26.33,26.3515,1885.0
2020-01-08,26.2,26.2,26.0928,26.19,2649.0
2020-01-07,26.35,26.5,26.03,26.3518,4947.0
2020-01-06,26.1942,26.32,26.01,26.01,1870.0
2020-01-03,26.1,26.3498,26.0881,26.17,3207.0
2020-01-02,25.99,26.01,25.9732,25.99,3354.0
2019-12-31,25.95,26.05,25.9399,25.9399,2242.0
2019-12-30,25.88,25.88,25.88,25.88,131.0
2019-12-27,25.92,25.93,25.88,25.88,2775.0
2019-12-26,25.74,25.91,25.72,25.85,2501.0
2019-12-24,25.83,25.84,25.82,25.82,897.0
2019-12-23,25.74,25.88,25.74,25.8,1656.0
2019-12-20,25.93,25.93,25.6818,25.8369,5042.0
2019-12-19,25.75,25.948,25.75,25.85,1903.0
2019-12-18,25.9739,25.9739,25.85,25.85,888.0
2019-12-17,25.78,25.85,25.78,25.85,4202.0
2019-12-16,25.77,25.77,25.76,25.76,1002.0
2019-12-13,25.97,26.07,25.9183,26.07,2331.0
2019-12-12,25.81,25.81,25.81,25.81,300.0
2019-12-11,25.85,25.902,25.801,25.801,2956.0
2019-12-10,26.0616,26.0616,25.79,25.8935,4070.0
2019-12-09,26.15,26.15,26.15,26.15,119.0
2019-12-06,25.75,25.95,25.75,25.95,1406.0
2019-12-05,25.8,25.8,25.7647,25.7647,837.0
2019-12-04,25.7152,25.7152,25.7152,25.7152,839.0
2019-12-03,25.86,25.9493,25.81,25.88,2945.0
2019-12-02,25.71,25.89,25.7,25.89,1278.0
2019-11-29,25.744,25.9,25.744,25.75,489.0
2019-11-27,25.85,25.85,25.73,25.8,1252.0
2019-11-26,25.88,25.9,25.85,25.8688,912.0
2019-11-25,25.7895,25.7895,25.7895,25.7895,166.0
2019-11-22,25.8,25.8,25.8,25.8,27.0
2019-11-21,25.79,25.8,25.79,25.8,2059.0
2019-11-20,25.84,25.84,25.775,25.7876,1751.0
2019-11-19,25.85,25.874,25.7,25.874,1714.0
2019-11-18,25.76,25.7887,25.76,25.7887,1491.0
2019-11-15,25.72,25.81,25.72,25.7508,1798.0
2019-11-14,25.701,25.78,25.69,25.78,2090.0
2019-11-13,25.85,25.87,25.6,25.61,8974.0
2019-11-12,25.7,25.8202,25.69,25.8202,3446.0
2019-11-11,25.884,25.884,25.884,25.884,240.0
2019-11-08,25.8,25.884,25.8,25.884,1299.0
2019-11-07,25.8458,25.95,25.732,25.95,2552.0
2019-11-06,25.94,25.94,25.7502,25.8161,526.0
2019-11-05,25.85,25.8785,25.8049,25.8785,729.0
2019-11-04,25.8554,25.8554,25.8554,25.8554,290.0
2019-11-01,25.8,25.8,25.8,25.8,14.0
2019-10-31,25.8,25.8,25.8,25.8,143.0
2019-10-30,25.99,25.99,25.66,25.8,5592.0
2019-10-29,25.81,25.8627,25.81,25.85,1874.0
2019-10-28,25.95,26.05,25.81,25.81,4676.0
2019-10-25,25.9499,25.9499,25.9499,25.9499,600.0
2019-10-24,25.99,25.99,25.88,25.88,2100.0
2019-10-23,25.89,25.99,25.8,25.99,7212.0
2019-10-22,25.91,25.91,25.8,25.8,20197.0
2019-10-21,25.75,25.8,25.75,25.8,49800.0
2019-10-18,25.8,25.8,25.6868,25.7685,3832.0
2019-10-17,25.6999,25.8,25.677,25.8,1810.0
2019-10-16,25.99,25.99,25.64,25.6925,2194.0
2019-10-15,25.9,25.9365,25.9,25.9365,5214.0
2019-10-14,25.83,25.96,25.83,25.9,2351.0
2019-10-11,25.82,25.939,25.7,25.9,82601.0
2019-10-10,25.79,26.02,25.79,25.98,4654.0
2019-10-09,25.89,26.0,25.85,25.885,22456.0
2019-10-08,25.85,25.85,25.85,25.85,415.0
2019-10-07,25.92,25.95,25.92,25.92,1800.0
