date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,24.56,24.64,23.9,24.3164,2091.0
2020-04-23,25.18,25.22,24.45,24.45,3726.0
2020-04-22,24.5,24.78,24.3,24.4049,1190.0
2020-04-21,23.96,23.96,23.635,23.67,30706.0
2020-04-20,24.8,24.8,24.8,24.8,142.0
2020-04-17,25.035,25.035,24.72,24.9319,374.0
2020-04-16,24.18,24.3298,24.12,24.3298,628.0
2020-04-15,24.3,24.3,23.9616,24.0736,779.0
2020-04-14,25.22,25.22,24.9759,24.9759,232.0
2020-04-13,24.6,24.6,24.4,24.4,570.0
2020-04-09,24.91,24.91,24.2999,24.2999,555.0
2020-04-08,23.94,23.995,23.94,23.995,367.0
2020-04-07,23.86,23.86,23.2073,23.2073,474.0
2020-04-06,21.92,21.92,21.92,21.92,150.0
2020-04-03,21.415,21.415,21.415,21.415,830.0
2020-04-02,21.43,21.595,21.41,21.595,18817.0
2020-04-01,22.655,22.655,22.655,22.655,137.0
2020-03-31,22.56,22.8417,22.56,22.6925,2500.0
2020-03-30,22.09,22.41,21.9807,22.3744,1469.0
2020-03-27,22.7,22.73,21.96,22.2211,4903.0
2020-03-26,23.52,23.6352,23.14,23.6352,5281.0
2020-03-25,22.0,22.5,22.0,22.189,4211.0
2020-03-24,21.47,21.53,20.4416,21.2425,2429.0
2020-03-23,22.06,22.06,20.5692,20.5692,3691.0
2020-03-20,23.46,23.93,22.8106,22.8106,1528.0
2020-03-19,22.76,22.86,22.6317,22.6317,1382.0
2020-03-18,23.98,23.98,23.22,23.4501,1660.0
2020-03-17,25.74,26.2389,25.705,26.2389,879.0
2020-03-16,24.9999,24.9999,24.645,24.6455,2361.0
2020-03-13,26.53,26.53,26.53,26.53,733.0
2020-03-12,25.66,25.66,24.3,24.577,3608.0
2020-03-11,28.5299,28.5299,28.1484,28.1484,2492.0
2020-03-10,29.2399,29.34,29.235,29.34,600.0
2020-03-09,28.5,28.5,28.2104,28.4293,2611.0
2020-03-06,29.7479,29.7479,29.545,29.685,1948.0
2020-03-05,30.91,30.91,29.915,29.9341,3753.0
2020-03-04,31.0,31.1003,30.79,31.0271,664.0
2020-03-03,30.74,30.74,30.74,30.74,41.0
