date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,20.0,20.99,19.6501,20.67,39528.0
2020-04-08,20.19,20.23,19.27,20.0604,23460.0
2020-04-07,20.25,20.25,19.0,19.18,21192.0
2020-04-06,16.6517,18.4,16.6517,18.37,27166.0
2020-04-03,16.75,17.0837,16.105,16.3,20243.0
2020-04-02,15.76,17.25,15.76,17.25,15147.0
2020-04-01,17.5,18.24,15.16,16.25,27170.0
2020-03-31,18.91,18.91,17.9912,18.43,12263.0
2020-03-30,20.07,20.07,17.5,19.31,24987.0
2020-03-27,20.66,20.66,19.5988,20.15,31115.0
2020-03-26,18.76,20.49,18.21,20.48,46607.0
2020-03-25,16.73,18.73,14.36,18.46,73814.0
2020-03-24,13.9263,16.5777,13.86,16.23,37925.0
2020-03-23,11.92,13.8,11.5,13.8,72903.0
2020-03-20,14.49,15.84,13.01,13.2,103666.0
2020-03-19,9.8,14.5174,9.2,14.48,114376.0
2020-03-18,16.47,17.63,7.7588,10.12,109548.0
2020-03-17,19.0,19.08,16.19,18.3,73028.0
2020-03-16,12.5,20.78,12.5,18.8,66070.0
2020-03-13,20.99,23.1346,20.53,22.75,27511.0
2020-03-12,22.05,22.4999,17.9,20.49,49912.0
2020-03-11,23.48,24.15,21.84,22.8,29276.0
2020-03-10,23.99,24.6658,23.89,24.3739,50322.0
2020-03-09,24.31,24.31,20.1,22.79,33839.0
2020-03-06,24.95,25.12,24.745,24.9275,27457.0
2020-03-05,25.24,25.38,24.952,25.0,20526.0
2020-03-04,25.1384,25.4,25.1384,25.32,8729.0
2020-03-03,25.13,25.41,25.05,25.26,36068.0
2020-03-02,24.26,25.01,24.25,24.98,29880.0
2020-02-28,24.49,24.96,24.21,24.47,49738.0
2020-02-27,25.09,25.15,24.74,25.05,43994.0
2020-02-26,24.94,25.32,24.94,25.21,17149.0
2020-02-25,25.37,25.37,24.89,24.99,27766.0
2020-02-24,25.26,25.39,25.15,25.162,14797.0
2020-02-21,25.39,25.4,25.35,25.3753,9570.0
2020-02-20,25.3621,25.4,25.36,25.4,6836.0
2020-02-19,25.4,25.45,25.26,25.3735,14410.0
2020-02-18,25.4064,25.44,25.3,25.4031,13015.0
2020-02-14,25.34,25.41,25.22,25.4,20936.0
2020-02-13,25.37,25.39,25.24,25.2699,22806.0
2020-02-12,25.35,25.4984,25.34,25.36,22318.0
2020-02-11,25.44,25.5,25.4117,25.44,8112.0
2020-02-10,25.35,25.49,25.33,25.33,19052.0
2020-02-07,25.27,25.395,25.27,25.389,17865.0
2020-02-06,25.22,25.38,25.22,25.29,17371.0
2020-02-05,25.2442,25.37,25.2434,25.3,7773.0
2020-02-04,25.27,25.37,25.24,25.34,15061.0
