date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,0.6757,0.7058,0.554,0.6994,143730.0
2020-04-08,0.5775,0.644,0.5301,0.5882,174686.0
2020-04-07,0.625,0.625,0.54,0.5451,224102.0
2020-04-06,0.6225,0.65,0.6,0.625,42094.0
2020-04-03,0.6,0.63,0.6,0.6101,36195.0
2020-04-02,0.7001,0.7317,0.6057,0.6127,83610.0
2020-04-01,0.708,0.72,0.7,0.7,29844.0
2020-03-31,0.81,0.81,0.7,0.7101,36187.0
2020-03-30,0.73,0.8031,0.68,0.7526,130730.0
2020-03-27,0.8,0.82,0.7223,0.7417,211597.0
2020-03-26,0.7,0.83,0.7,0.79,70303.0
2020-03-25,0.63,0.7237,0.63,0.7,155970.0
2020-03-24,0.7449,0.76,0.6,0.63,38061.0
2020-03-23,0.62,0.735,0.6,0.6998,11853.0
2020-03-20,0.8,0.81,0.6011,0.6599,106072.0
2020-03-19,0.7313,0.8,0.69,0.7111,47347.0
2020-03-18,0.77,0.8035,0.5852,0.69,91799.0
2020-03-17,0.9799,0.98,0.7445,0.85,20191.0
2020-03-16,0.82,0.9546,0.716,0.716,45757.0
2020-03-13,1.0,1.0,0.922,0.9819,18558.0
2020-03-12,0.9,0.9903,0.8206,0.9399,15688.0
2020-03-11,1.05,1.08,0.9001,0.94,94450.0
2020-03-10,1.1,1.1,0.93,1.0,81182.0
2020-03-09,1.0,1.11,0.8736,1.11,117205.0
2020-03-06,1.1228,1.18,1.07,1.1009,86132.0
2020-03-05,1.21,1.21,1.12,1.12,187088.0
2020-03-04,1.17,1.2389,1.11,1.11,90812.0
2020-03-03,1.18,1.2,1.11,1.11,159361.0
2020-03-02,1.18,1.2224,1.12,1.14,128762.0
2020-02-28,1.14,1.19,1.12,1.14,73206.0
2020-02-27,1.15,1.16,1.11,1.1485,51720.0
2020-02-26,1.18,1.21,1.1,1.13,39687.0
2020-02-25,1.2248,1.2248,1.15,1.15,67152.0
2020-02-24,1.24,1.255,1.17,1.2,166596.0
2020-02-21,1.3,1.3343,1.269,1.2899,88019.0
2020-02-20,1.3,1.4548,1.29,1.3,146575.0
2020-02-19,1.3319,1.358,1.26,1.26,98421.0
2020-02-18,1.39,1.39,1.33,1.33,121897.0
2020-02-14,1.39,1.4699,1.3632,1.38,74503.0
2020-02-13,1.39,1.46,1.3731,1.3781,123803.0
2020-02-12,1.39,1.483,1.39,1.46,75596.0
2020-02-11,1.4,1.475,1.38,1.39,151111.0
2020-02-10,1.5,1.54,1.385,1.395,178966.0
2020-02-07,1.58,1.5879,1.42,1.47,170599.0
2020-02-06,1.63,1.63,1.57,1.58,154915.0
2020-02-05,1.74,1.74,1.6385,1.65,56829.0
2020-02-04,1.69,1.73,1.66,1.7201,81474.0
