date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,6.0,6.11,4.62,4.89,91376.0
2020-04-08,5.43,5.98,5.11,5.98,5684.0
2020-04-07,5.81,5.81,5.4,5.6,2985.0
2020-04-06,5.83,5.83,5.26,5.345,15441.0
2020-04-03,5.83,5.83,5.2,5.44,3227.0
2020-04-02,6.44,6.44,5.83,5.99,14108.0
2020-04-01,6.53,7.1,6.0,6.2,52313.0
2020-03-31,5.55,5.94,5.55,5.86,5257.0
2020-03-30,5.7,5.89,4.83,5.89,6295.0
2020-03-27,5.9,5.91,5.4446,5.52,1822.0
2020-03-26,5.65,5.8973,5.3447,5.763,6689.0
2020-03-25,5.29,5.9683,5.2,5.94,12545.0
2020-03-24,6.2,6.2,5.0,5.02,25486.0
2020-03-23,6.4181,6.663,5.851,5.89,18682.0
2020-03-20,6.8694,6.8694,5.5,6.2,16536.0
2020-03-19,6.98,7.09,6.2,6.35,10746.0
2020-03-18,6.5,7.15,6.5,6.8008,38560.0
2020-03-17,6.35,6.89,6.2,6.51,9842.0
2020-03-16,7.25,8.5,6.32,6.32,19693.0
2020-03-13,6.2601,7.225,6.2601,6.75,11031.0
2020-03-12,6.2,6.35,6.11,6.21,16203.0
2020-03-11,6.39,6.522,6.2,6.28,13833.0
2020-03-10,6.87,7.2508,6.5,6.5,21051.0
2020-03-09,7.0,7.42,6.5,6.85,14934.0
2020-03-06,6.52,8.3706,6.52,7.18,48264.0
2020-03-05,7.49,7.49,6.75,7.1,16732.0
2020-03-04,6.65,7.9,6.65,7.5,23860.0
2020-03-03,8.3,9.1402,7.5,7.5038,92238.0
2020-03-02,5.98,8.6999,5.6,8.0,111173.0
2020-02-28,6.15,6.66,5.25,5.45,65704.0
2020-02-27,8.45,8.46,6.35,6.7,125664.0
2020-02-26,8.0,10.4,6.5,6.94,779849.0
2020-02-25,3.361,8.44,3.3,5.8,430946.0
2020-02-24,3.32,3.3475,3.28,3.29,4858.0
2020-02-21,3.1338,3.2408,3.1338,3.14,872.0
2020-02-20,3.25,3.38,3.1,3.26,2987.0
2020-02-19,3.02,3.3,3.02,3.2423,4085.0
2020-02-18,3.13,3.13,3.02,3.09,2413.0
2020-02-14,3.16,3.16,3.1387,3.1387,721.0
2020-02-13,3.243,3.371,3.18,3.2823,6995.0
2020-02-12,3.2087,3.2087,3.02,3.0888,761.0
2020-02-11,3.19,3.19,3.0,3.0,1644.0
2020-02-10,3.2036,3.2065,3.01,3.0955,1586.0
2020-02-07,3.39,3.4,3.0,3.1137,3031.0
2020-02-06,3.1485,3.2584,3.1485,3.2584,906.0
2020-02-05,3.2999,3.2999,3.21,3.237,4398.0
2020-02-04,3.41,3.41,3.1495,3.17,2315.0
2020-02-03,3.27,3.35,3.1888,3.35,2367.0
2020-01-31,2.97,3.3,2.97,3.18,12566.0
2020-01-30,2.85,3.0,2.85,2.9669,1958.0
2020-01-29,2.9413,2.9413,2.9413,2.9413,233.0
2020-01-28,2.8699,2.9109,2.76,2.9109,5380.0
2020-01-27,3.15,3.18,2.5,2.85,8721.0
2020-01-24,3.32,3.53,3.11,3.21,4258.0
2020-01-23,3.38,3.5509,3.35,3.35,3014.0
2020-01-22,3.5652,3.5652,3.46,3.46,1870.0
2020-01-21,3.71,3.71,3.45,3.45,3781.0
2020-01-17,3.5698,3.62,3.5,3.6021,5590.0
2020-01-16,3.49,3.556,3.4704,3.5,5308.0
2020-01-15,3.38,3.7452,3.38,3.5941,14866.0
2020-01-14,3.6047,3.6047,3.47,3.47,2534.0
2020-01-13,3.5,3.661,3.5,3.6,6346.0
2020-01-10,3.3871,3.88,3.3871,3.66,7668.0
2020-01-09,3.57,3.8,3.5175,3.682,19253.0
2020-01-08,3.6718,3.6718,3.45,3.4625,1288.0
2020-01-07,3.85,3.85,3.39,3.6423,5422.0
2020-01-06,3.4918,3.56,3.3999,3.465,10549.0
2020-01-03,3.46,3.6026,3.45,3.59,4133.0
2020-01-02,3.55,3.663,3.45,3.46,12485.0
2019-12-31,3.45,3.5557,3.45,3.5,9989.0
2019-12-30,3.63,3.88,3.34,3.58,27705.0
2019-12-27,3.38,3.8257,3.3797,3.63,13248.0
2019-12-26,3.25,3.49,3.24,3.3531,25383.0
2019-12-24,3.23,3.473,3.23,3.38,4364.0
2019-12-23,3.52,3.8893,3.31,3.31,15062.0
2019-12-20,3.4,3.6287,3.39,3.52,11990.0
2019-12-19,3.74,3.7837,3.22,3.34,24450.0
2019-12-18,4.15,4.15,3.75,3.7805,8516.0
2019-12-17,4.2681,4.32,3.9439,4.0,16823.0
2019-12-16,4.4761,4.4761,4.2761,4.4,4064.0
2019-12-13,4.44,4.44,4.1217,4.38,8275.0
2019-12-12,4.764,4.91,4.0631,4.49,11184.0
2019-12-11,4.6355,5.0,4.6301,4.86,12508.0
2019-12-10,4.6,5.0,4.5678,4.9,3739.0
2019-12-09,5.18,5.2198,4.4144,4.5933,10442.0
2019-12-06,5.25,5.65,5.0,5.1354,17760.0
2019-12-05,5.07,5.84,4.75,5.0,19354.0
2019-12-04,0.57,0.6229,0.5628,0.6083,284505.0
2019-12-03,0.53,0.6,0.53,0.5942,11242.0
2019-12-02,0.55,0.5999,0.53,0.534,67408.0
2019-11-29,0.61,0.61,0.545,0.57,15092.0
2019-11-27,0.55,0.615,0.53,0.5402,108089.0
2019-11-26,0.6191,0.65,0.383,0.5395,164154.0
2019-11-25,0.7,0.7,0.6162,0.6374,22904.0
2019-11-22,0.6432,0.685,0.64,0.685,5573.0
2019-11-21,0.6501,0.67,0.602,0.67,24762.0
2019-11-20,0.62,0.6934,0.62,0.67,8663.0
2019-11-19,0.62,0.625,0.5952,0.625,11689.0
2019-11-18,0.6,0.625,0.5628,0.625,25690.0
2019-11-15,0.63,0.63,0.5402,0.5889,36880.0
2019-11-14,0.67,0.68,0.62,0.6249,17722.0
2019-11-13,0.6369,0.64,0.6025,0.64,23532.0
2019-11-12,0.61,0.64,0.61,0.63,64447.0
