date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,8.03,8.67,7.5,7.6,13013.0
2020-04-08,7.24,8.472,7.24,7.46,21306.0
2020-04-07,6.51,9.24,6.51,7.02,76883.0
2020-04-06,7.28,7.39,6.6,6.72,50249.0
2020-04-03,6.41,6.82,6.18,6.73,13403.0
2020-04-02,7.0,7.04,6.2901,6.34,13183.0
2020-04-01,7.04,7.3,6.324,6.87,12828.0
2020-03-31,7.44,7.45,6.835,7.4,53139.0
2020-03-30,6.6,7.48,6.6,6.96,2618.0
2020-03-27,6.98,7.29,6.51,7.27,22905.0
2020-03-26,7.4,7.49,6.39,7.0,21587.0
2020-03-25,6.5,7.55,6.36,6.81,38308.0
2020-03-24,6.6,7.0,6.48,6.7,13464.0
2020-03-23,7.0,7.0,5.71,5.71,10950.0
2020-03-20,7.14,7.19,5.8732,7.0,19049.0
2020-03-19,6.23,7.6,6.2,6.95,22364.0
2020-03-18,6.34,6.75,4.695,6.75,15831.0
2020-03-17,6.9,6.99,5.6,6.78,31244.0
2020-03-16,8.5,8.5,6.2,6.58,16787.0
2020-03-13,10.38,10.38,8.5,8.5,8887.0
2020-03-12,8.44,9.12,8.44,9.1,2641.0
2020-03-11,9.46,9.55,8.73,9.4815,3978.0
2020-03-10,10.2,10.2,9.4,9.66,3336.0
2020-03-09,10.13,11.01,9.94,9.94,6008.0
2020-03-06,10.5,10.75,10.4,10.5,5392.0
2020-03-05,10.5,10.99,10.4101,10.99,11741.0
2020-03-04,12.0815,12.0815,10.7425,10.7425,8780.0
2020-03-03,11.12,11.64,10.76,11.33,7536.0
2020-03-02,11.28,11.95,11.0,11.11,13461.0
2020-02-28,10.92,12.6608,10.92,11.46,36384.0
2020-02-27,12.38,13.2759,10.76,11.22,37021.0
2020-02-26,13.14,13.14,12.4666,12.55,6981.0
2020-02-25,13.73,13.73,12.76,13.075,11190.0
2020-02-24,12.81,13.705,12.6,13.495,14526.0
2020-02-21,13.8011,13.8011,13.0347,13.48,5265.0
2020-02-20,13.5882,13.5882,13.0015,13.56,12143.0
2020-02-19,12.56,13.9246,12.56,13.45,41838.0
2020-02-18,13.3,13.36,12.5,12.82,35659.0
2020-02-14,13.6,13.83,13.16,13.36,12900.0
2020-02-13,13.81,13.89,13.45,13.63,6680.0
2020-02-12,13.605,14.32,13.46,13.99,28453.0
2020-02-11,14.0,14.04,13.46,14.0,16361.0
2020-02-10,14.22,14.4,13.8954,14.1,25282.0
2020-02-07,14.09,14.36,14.09,14.28,18127.0
2020-02-06,14.0014,14.17,14.0,14.17,4334.0
2020-02-05,14.02,14.15,14.0,14.05,7172.0
2020-02-04,14.35,14.395,14.035,14.15,2588.0
2020-02-03,14.53,14.645,14.35,14.41,25551.0
2020-01-31,14.7,14.7,13.97,14.4519,28328.0
2020-01-30,14.669,14.79,14.55,14.55,8744.0
2020-01-29,14.75,14.75,14.5,14.56,11685.0
2020-01-28,14.55,14.85,14.25,14.83,9252.0
2020-01-27,14.2,14.58,14.0,14.51,5154.0
2020-01-24,14.33,14.6,14.24,14.6,8509.0
2020-01-23,14.3051,14.6,13.9663,14.32,6394.0
2020-01-22,14.0,14.6,13.79,14.55,11194.0
2020-01-21,14.0,14.59,14.0,14.35,7581.0
2020-01-17,14.5618,14.6118,14.5618,14.6118,931.0
2020-01-16,14.0503,14.3,14.0503,14.25,5003.0
2020-01-15,13.93,14.09,13.34,13.93,16288.0
2020-01-14,14.0,14.15,13.6925,13.86,4108.0
2020-01-13,13.5293,14.23,13.5293,14.1,7019.0
2020-01-10,13.8196,14.24,13.8196,14.15,10972.0
2020-01-09,14.26,14.26,13.9471,14.15,4355.0
2020-01-08,14.29,14.36,14.0,14.26,10995.0
2020-01-07,14.2,14.53,13.14,14.36,64109.0
2020-01-06,13.7,14.88,13.4657,14.29,68874.0
2020-01-03,13.5,14.0,13.4343,13.62,16336.0
2020-01-02,14.45,14.45,13.51,13.78,21516.0
2019-12-31,13.82,14.5,13.42,14.06,19724.0
2019-12-30,13.65,13.93,13.58,13.58,1983.0
2019-12-27,13.63,14.0,13.6,14.0,6122.0
2019-12-26,14.0,14.25,13.85,13.85,3675.0
2019-12-24,14.25,14.28,13.79,14.27,2189.0
2019-12-23,14.25,14.5,13.82,14.46,17971.0
2019-12-20,13.76,14.4,13.1456,14.4,22221.0
2019-12-19,13.35,14.67,13.25,13.89,25065.0
2019-12-18,13.32,13.59,13.08,13.46,8345.0
2019-12-17,13.6685,13.71,13.3143,13.37,3486.0
2019-12-16,13.6685,13.94,13.6685,13.71,3401.0
2019-12-13,13.995,13.995,13.6619,13.85,4417.0
2019-12-12,14.1499,14.1499,13.75,13.8335,2368.0
2019-12-11,12.1206,14.0,12.1206,13.85,33345.0
2019-12-10,13.5,14.0,12.9,13.12,8425.0
2019-12-09,13.2608,13.85,12.95,13.85,10803.0
2019-12-06,13.43,13.7,13.25,13.47,1806.0
2019-12-05,12.58,13.57,12.4,13.39,33613.0
2019-12-04,12.05,12.6,11.98,12.51,54421.0
2019-12-03,11.94,12.17,11.9,12.01,4619.0
2019-12-02,12.25,12.31,11.98,12.2,19197.0
2019-11-29,12.0,12.25,11.855,12.11,2120.0
2019-11-27,12.1,12.1,11.895,11.895,2722.0
2019-11-26,12.0,12.2,11.93,12.2,7361.0
2019-11-25,12.1,12.15,11.961,12.15,13446.0
2019-11-22,11.79,11.96,11.74,11.95,10899.0
2019-11-21,11.81,12.11,11.715,11.77,13033.0
2019-11-20,12.16,12.19,11.81,11.81,16909.0
2019-11-19,12.07,12.19,11.96,12.19,34306.0
2019-11-18,12.25,12.25,11.905,12.08,17935.0
2019-11-15,12.15,12.15,11.88,11.8837,3619.0
2019-11-14,11.95,12.3,11.95,12.0325,6968.0
2019-11-13,11.85,12.3399,11.85,12.02,1842.0
2019-11-12,12.2311,12.2311,11.77,11.77,3317.0
2019-11-11,11.85,12.2272,11.75,11.75,6135.0
2019-11-08,12.17,12.3,11.88,11.95,5239.0
2019-11-07,11.955,12.2,11.95,12.07,4395.0
2019-11-06,12.1,12.2,12.1,12.2,1112.0
2019-11-05,12.14,12.23,12.0,12.2,817.0
2019-11-04,12.07,12.5,11.92,12.02,7812.0
2019-11-01,12.24,12.28,11.95,11.96,9518.0
2019-10-31,12.15,12.48,11.89,12.48,4341.0
2019-10-30,12.21,12.3,12.1201,12.1201,2120.0
2019-10-29,12.1,12.28,11.88,12.12,3425.0
2019-10-28,11.965,12.25,11.965,12.25,1801.0
2019-10-25,12.2,12.3,12.13,12.295,3272.0
2019-10-24,12.3,12.48,12.1926,12.3,11539.0
2019-10-23,12.13,12.43,12.01,12.31,14455.0
2019-10-22,12.01,12.17,12.01,12.17,3880.0
2019-10-21,12.14,12.14,11.81,12.0,4966.0
2019-10-18,11.8487,12.09,11.8487,12.07,2392.0
2019-10-17,11.95,11.95,11.95,11.95,105.0
2019-10-16,11.82,11.95,11.82,11.95,337.0
2019-10-15,11.85,12.29,11.85,12.12,714.0
2019-10-14,12.22,12.22,11.91,11.91,1632.0
2019-10-11,12.3,12.3,12.3,12.3,297.0
2019-10-10,12.1,12.4,11.84,11.9,12039.0
2019-10-09,12.33,12.34,12.1,12.1207,2520.0
2019-10-08,12.37,12.54,12.3,12.33,15179.0
2019-10-07,12.14,12.47,12.0,12.44,9419.0
2019-10-04,12.35,12.35,12.0501,12.3074,6301.0
2019-10-03,12.35,12.5569,12.2,12.35,4626.0
2019-10-02,12.3,12.57,12.25,12.25,3171.0
2019-10-01,12.56,12.6,12.2624,12.41,12602.0
2019-09-30,12.25,12.42,12.25,12.265,5755.0
2019-09-27,12.1,12.7826,12.1,12.21,9425.0
2019-09-26,12.145,12.3,12.145,12.3,28840.0
2019-09-25,12.2,12.25,12.0,12.03,6404.0
2019-09-24,12.1,12.12,12.0,12.01,5049.0
2019-09-23,12.15,12.15,11.8,12.04,3227.0
2019-09-20,12.14,12.26,11.78,12.26,10980.0
2019-09-19,12.0,12.24,12.0,12.01,8104.0
2019-09-18,11.9,12.29,11.9,12.01,5167.0
2019-09-17,12.2,12.61,11.71,11.71,32603.0
2019-09-16,12.21,12.285,11.7648,12.24,11739.0
2019-09-13,11.78,12.3788,11.78,12.33,9229.0
