date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,36.16,36.8816,35.51,36.51,100371.0
2020-04-23,36.65,38.095,35.71,36.1,204013.0
2020-04-22,36.61,37.64,35.5283,36.35,371738.0
2020-04-21,35.87,38.27,35.2865,36.16,266508.0
2020-04-20,36.62,38.74,36.2,36.81,239756.0
2020-04-17,35.79,37.4,35.05,37.15,301234.0
2020-04-16,35.48,36.34,33.945,34.7,180265.0
2020-04-15,38.14,38.14,34.88,34.88,178766.0
2020-04-14,36.65,38.9993,35.63,38.18,304951.0
2020-04-13,37.36,38.25,34.75,36.01,316485.0
2020-04-09,35.68,40.9402,35.68,40.2,395340.0
2020-04-08,34.14,36.65,33.76,36.18,191430.0
2020-04-07,38.4,38.4,33.58,33.75,261192.0
2020-04-06,36.68,39.08,35.53,37.5,222383.0
2020-04-03,35.82,36.53,34.73,35.0,134558.0
2020-04-02,34.41,38.19,34.295,35.88,254040.0
2020-04-01,35.41,36.3587,33.17,34.99,241286.0
2020-03-31,36.73,38.67,35.44,37.07,149742.0
2020-03-30,36.54,38.0,35.4469,36.94,125909.0
2020-03-27,36.23,38.6965,34.0,36.61,202543.0
2020-03-26,34.02,39.75,34.02,37.42,219972.0
2020-03-25,33.09,36.4999,32.34,33.94,220573.0
2020-03-24,34.49,35.95,31.01,33.27,191825.0
2020-03-23,32.59,33.35,30.02,32.32,185730.0
2020-03-20,34.37,35.02,31.48,32.51,192553.0
2020-03-19,35.64,37.0,33.91,34.41,211096.0
2020-03-18,37.35,40.0,34.9155,35.77,178664.0
2020-03-17,36.59,41.87,33.99,39.75,301581.0
2020-03-16,29.76,36.94,28.29,35.47,264816.0
2020-03-13,34.24,36.78,29.0,33.51,248810.0
2020-03-12,35.38,35.9484,31.58,32.74,366967.0
2020-03-11,39.87,40.99,37.05,38.22,213335.0
2020-03-10,40.86,41.79,37.51,41.18,229261.0
2020-03-09,40.03,41.68,38.61,39.47,358733.0
2020-03-06,42.5,43.6233,41.53,42.49,246343.0
2020-03-05,42.25,44.71,42.25,43.36,180159.0
2020-03-04,42.02,43.72,41.6,43.43,201933.0
2020-03-03,42.84,45.15,38.86,41.09,275724.0
2020-03-02,42.53,42.98,40.41,42.86,195657.0
2020-02-28,40.2,42.4,40.0,41.76,266972.0
2020-02-27,43.49,44.23,41.0,41.02,156363.0
2020-02-26,45.23,46.78,43.4,44.52,205913.0
2020-02-25,48.0,48.1765,44.43,45.0,316434.0
2020-02-24,47.28,49.16,47.06,48.5,137828.0
2020-02-21,49.15,49.39,47.0275,49.22,161460.0
2020-02-20,48.58,49.0,45.27,48.6,119756.0
2020-02-19,48.33,50.76,48.2,48.76,139830.0
2020-02-18,46.31,48.48,46.237,48.27,70558.0
2020-02-14,47.96,48.04,46.2665,46.75,188780.0
2020-02-13,44.81,48.18,44.81,47.92,168625.0
2020-02-12,46.69,46.81,44.7,45.15,148222.0
2020-02-11,44.67,46.92,43.87,46.46,199194.0
2020-02-10,45.08,46.275,43.54,44.47,290047.0
2020-02-07,44.72,45.65,44.39,45.23,274017.0
2020-02-06,45.44,46.01,43.49,44.72,334869.0
2020-02-05,46.17,47.21,44.7551,45.2,300453.0
2020-02-04,44.07,46.09,42.8282,45.78,335244.0
2020-02-03,42.93,44.0,42.1,43.54,215242.0
2020-01-31,43.18,44.0,42.3,42.75,143727.0
2020-01-30,42.77,43.695,42.0,43.5,276310.0
2020-01-29,43.24,44.0,42.5,43.25,185565.0
2020-01-28,44.94,45.63,42.19,43.28,541464.0
2020-01-27,43.33,45.32,42.5,44.6,139869.0
2020-01-24,47.15,47.8,42.56,44.51,284762.0
2020-01-23,47.41,47.61,44.77,47.1,385781.0
2020-01-22,49.96,50.32,47.25,47.66,232191.0
2020-01-21,49.97,51.33,49.0,49.88,244326.0
2020-01-17,53.32,53.7,49.9,50.12,231263.0
2020-01-16,51.62,54.95,50.98,52.9,211774.0
2020-01-15,52.87,54.8,52.51,53.28,233190.0
2020-01-14,51.32,54.95,48.52,53.23,271883.0
2020-01-13,57.3,57.3,51.24,52.0,466589.0
2020-01-10,58.55,58.77,56.3,56.7,266768.0
2020-01-09,57.89,61.0,57.57,58.37,184668.0
2020-01-08,56.41,58.36,55.525,57.86,250719.0
2020-01-07,55.7,57.21,54.02,56.76,257522.0
2020-01-06,54.33,57.11,52.38,56.57,264008.0
2020-01-03,54.75,55.64,53.0,54.65,333395.0
2020-01-02,56.25,56.3,53.41,55.68,212857.0
2019-12-31,53.29,57.4,52.35,56.33,385890.0
2019-12-30,58.56,59.0694,52.63,53.2,312318.0
2019-12-27,62.97,64.0969,55.93,58.71,289461.0
2019-12-26,63.01,65.65,61.03,62.62,176581.0
2019-12-24,66.32,70.98,60.8,62.7,246635.0
2019-12-23,59.64,67.8336,57.06,66.0,499915.0
2019-12-20,55.06,60.0,54.348,58.55,1937897.0
2019-12-19,50.39,55.5548,49.3,55.02,202160.0
2019-12-18,52.19,52.6,50.0,50.12,140163.0
2019-12-17,51.83,52.96,50.69,52.49,387775.0
2019-12-16,51.89,52.2,50.015,51.69,227800.0
2019-12-13,51.07,52.38,48.7,51.92,245209.0
2019-12-12,51.34,52.38,49.65,51.24,191205.0
2019-12-11,53.7,54.7277,49.62,51.55,395987.0
2019-12-10,52.0,55.85,52.0,53.12,210677.0
2019-12-09,52.78,55.34,50.0,52.23,368685.0
2019-12-06,49.65,51.695,49.65,50.27,303080.0
2019-12-05,52.43,52.72,49.51,49.92,457680.0
2019-12-04,47.31,51.74,45.75,51.01,580827.0
2019-12-03,42.17,48.12,42.0501,47.2,470838.0
2019-12-02,48.3,48.8599,42.7,43.59,632355.0
2019-11-29,40.97,49.17,40.97,47.81,733983.0
2019-11-27,40.2,42.2495,39.8024,40.94,485882.0
2019-11-26,40.8,41.0,39.0,39.94,544549.0
2019-11-25,36.75,41.73,36.75,39.84,1100753.0
2019-11-22,36.59,37.51,36.2492,36.81,462996.0
2019-11-21,36.2,37.26,35.94,36.34,535951.0
2019-11-20,36.6,36.7,35.64,36.5,389124.0
2019-11-19,36.69,36.93,35.22,36.0,474065.0
2019-11-18,36.14,37.3,35.95,36.35,365429.0
2019-11-15,37.86,38.64,34.41,36.05,2106619.0
2019-11-14,37.65,38.6,36.31,38.55,480478.0
2019-11-13,35.51,38.428,34.69,37.75,576100.0
2019-11-12,38.99,40.48,36.23,37.41,705175.0
2019-11-11,37.53,43.99,37.05,39.02,3106338.0
2019-11-08,77.12,86.0,75.47,82.89,628226.0
2019-11-07,65.42,81.795,65.205,79.41,622398.0
2019-11-06,87.5,89.0,61.5201,67.01,2575145.0
2019-11-05,25.5,109.0,25.5,92.22,7993334.0
2019-11-04,27.3,28.5,26.03,26.43,111771.0
2019-11-01,25.22,27.66,25.22,27.35,236107.0
2019-10-31,26.2,26.366,24.9,25.0,117124.0
2019-10-30,26.73,28.2227,25.61,25.87,89647.0
2019-10-29,26.0,28.07,25.0,26.98,82175.0
2019-10-28,27.34,27.8,25.63,26.11,108890.0
2019-10-25,25.49,27.3848,25.49,26.78,80403.0
2019-10-24,26.13,26.4837,25.34,25.79,72889.0
2019-10-23,27.22,28.05,25.64,25.98,107404.0
2019-10-22,27.29,27.5,26.55,27.23,55623.0
2019-10-21,27.3,27.8,26.19,27.31,38602.0
2019-10-18,26.67,27.87,26.67,27.12,85772.0
2019-10-17,26.69,27.55,25.795,26.85,169135.0
2019-10-16,26.99,27.65,25.5,26.7,55317.0
2019-10-15,26.35,27.795,26.0,27.14,53625.0
2019-10-14,27.15,28.76,26.09,26.18,32887.0
2019-10-11,26.3,28.55,26.12,27.2,163969.0
2019-10-10,25.5,27.11,25.5,25.98,120357.0
2019-10-09,28.9,29.8,25.4,25.54,218129.0
2019-10-08,29.56,29.7184,28.15,28.5,56944.0
2019-10-07,31.0,31.4,29.46,29.82,85339.0
2019-10-04,31.1,32.22,30.54,31.0,53372.0
2019-10-03,29.99,33.74,29.99,31.01,148601.0
2019-10-02,30.84,31.58,29.72,30.17,208438.0
2019-10-01,30.7,32.19,30.6,31.2,140901.0
2019-09-30,32.7,32.7,29.66,30.85,195051.0
2019-09-27,35.47,35.47,30.7932,32.75,164469.0
2019-09-26,38.83,39.78,35.02,35.69,97503.0
2019-09-25,38.23,40.2,37.45,38.83,100964.0
2019-09-24,37.07,38.55,36.15,38.22,84868.0
2019-09-23,39.08,39.08,37.155,37.78,132833.0
2019-09-20,39.74,40.0,37.0,38.68,131508.0
2019-09-19,39.3746,40.48,39.01,39.61,52628.0
2019-09-18,40.03,41.7343,38.77,39.53,130531.0
2019-09-17,37.05,41.68,36.4885,40.04,107781.0
2019-09-16,36.71,38.08,36.525,37.13,29081.0
2019-09-13,37.68,37.69,36.54,37.05,43754.0
2019-09-12,37.0,38.25,36.933,37.68,29658.0
2019-09-11,36.81,37.53,35.55,36.8,50819.0
2019-09-10,36.28,37.4994,35.62,36.76,46790.0
2019-09-09,34.6,38.342,34.5001,35.32,95207.0
2019-09-06,43.39,43.39,33.12,34.34,243444.0
2019-09-05,40.49,44.69,40.21,41.6,145535.0
2019-09-04,37.49,39.52,37.0645,39.43,63039.0
