date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,7.35,7.94,7.345,7.94,52333.0
2020-04-23,7.25,7.46,6.8,7.42,34924.0
2020-04-22,7.33,7.3661,6.99,7.06,27816.0
2020-04-21,7.54,7.54,6.8,7.07,25260.0
2020-04-20,7.0,7.5794,7.0,7.53,34454.0
2020-04-17,7.53,7.92,6.6,7.12,73275.0
2020-04-16,7.1,7.97,7.08,7.5,105343.0
2020-04-15,6.88,7.2921,6.57,7.1,24018.0
2020-04-14,6.98,8.5,6.75,7.28,152577.0
2020-04-13,6.99,7.165,6.6,6.77,191049.0
2020-04-09,7.43,7.4955,6.51,6.76,91461.0
2020-04-08,7.1,7.5,6.5,7.41,93980.0
2020-04-07,6.35,7.46,6.0,7.28,88320.0
2020-04-06,5.75,6.35,5.55,6.33,71405.0
2020-04-03,6.0,6.04,5.19,5.92,142379.0
2020-04-02,6.09,6.45,5.87,6.07,64825.0
2020-04-01,6.36,6.4,5.91,6.16,53537.0
2020-03-31,6.23,7.65,6.13,7.65,41957.0
2020-03-30,6.14,6.35,5.75,6.3,81470.0
2020-03-27,7.0,7.0,6.1106,6.16,28825.0
2020-03-26,6.6,7.1,6.3728,7.0,109778.0
2020-03-25,6.91,7.57,6.07,6.6,47515.0
2020-03-24,4.98,7.84,4.98,6.61,58031.0
2020-03-23,5.5,5.95,4.51,5.02,100726.0
2020-03-20,5.2,7.1,5.1,5.2,373109.0
2020-03-19,3.99,5.41,3.78,5.01,109799.0
2020-03-18,5.78,5.99,3.41,4.01,207127.0
2020-03-17,6.45,7.19,5.595,6.12,117933.0
2020-03-16,8.0,8.0,6.15,6.49,149339.0
2020-03-13,7.72,9.81,7.27,8.42,138602.0
2020-03-12,8.55,10.02,7.52,7.71,172588.0
2020-03-11,9.6,10.36,8.59,9.13,180614.0
2020-03-10,10.77,10.785,8.0,10.02,281094.0
2020-03-09,11.25,11.9,8.5001,9.63,327032.0
2020-03-06,12.55,13.05,11.04,11.85,213407.0
2020-03-05,13.78,13.78,11.76,12.67,244977.0
2020-03-04,14.15,14.495,13.31,13.9,183777.0
2020-03-03,16.07,16.07,12.7601,13.65,465856.0
2020-03-02,16.0,16.0,15.0,15.8,111865.0
2020-02-28,15.72,16.14,15.01,16.01,159631.0
2020-02-27,16.6,16.99,15.64,16.0,76069.0
2020-02-26,16.2,16.791,15.25,16.09,122431.0
2020-02-25,16.68,17.48,16.07,16.12,60803.0
2020-02-24,17.68,17.68,16.25,16.72,75476.0
2020-02-21,17.94,18.08,17.5,17.86,47201.0
2020-02-20,17.57,18.4,17.5,18.0,98435.0
2020-02-19,17.21,18.015,16.85,17.66,111729.0
2020-02-18,17.98,18.0,17.05,17.3,134986.0
2020-02-14,17.19,17.6,16.17,17.5,260802.0
2020-02-13,15.05,17.4,15.0261,17.4,187952.0
2020-02-12,14.94,15.11,14.78,15.11,92654.0
2020-02-11,14.59,15.2,14.59,14.98,276910.0
2020-02-10,15.0,15.25,14.61,14.61,256617.0
2020-02-07,15.02,16.0,14.5,15.14,1431044.0
