date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,2.7,2.7,2.35,2.55,1130878.0
2020-03-30,3.02,3.2886,2.66,2.7,2768478.0
2020-03-27,2.87,2.99,2.79,2.94,1335977.0
2020-03-26,2.7,3.05,2.66,2.76,1977817.0
2020-03-25,3.09,3.09,2.66,2.72,1342716.0
2020-03-24,3.19,3.25,2.8,2.99,1654454.0
2020-03-23,2.97,3.2,2.9,3.13,1469089.0
2020-03-20,2.98,3.22,2.72,2.98,1998260.0
2020-03-19,2.7,3.3,2.7,2.855,2026199.0
2020-03-18,2.97,3.12,2.4,2.66,3274752.0
2020-03-17,3.88,4.88,2.83,3.19,11313442.0
2020-03-16,3.42,5.76,2.93,4.04,51919409.0
2020-03-13,1.98,2.15,1.75,2.01,969716.0
2020-03-12,1.75,2.01,1.52,1.91,1322416.0
2020-03-11,2.15,2.2975,2.0501,2.07,1329927.0
2020-03-10,3.15,3.59,2.08,2.28,5537595.0
2020-03-09,3.15,3.15,2.49,2.68,1428498.0
2020-03-06,3.15,3.19,2.77,3.04,1936177.0
2020-03-05,3.31,3.34,3.07,3.15,1822710.0
2020-03-04,3.65,3.8,3.115,3.21,3119478.0
2020-03-03,3.29,4.0,2.46,3.92,4684576.0
2020-03-02,3.63,3.83,3.06,3.41,4532976.0
2020-02-28,3.15,4.2,2.65,3.39,17771039.0
2020-02-27,1.75,2.1,1.52,2.04,8005958.0
2020-02-26,1.46,1.56,1.45,1.4861,424932.0
2020-02-25,1.65,1.65,1.45,1.49,454887.0
2020-02-24,1.6,1.72,1.54,1.64,623157.0
2020-02-21,1.81,1.81,1.55,1.62,557846.0
2020-02-20,1.86,1.9,1.64,1.7,1496450.0
2020-02-19,1.7,1.77,1.66,1.75,1568715.0
2020-02-18,1.74,1.74,1.61,1.7,215463.0
2020-02-14,1.67,1.684,1.61,1.63,202979.0
2020-02-13,1.67,1.7204,1.65,1.67,196510.0
2020-02-12,1.76,1.8,1.67,1.7,582706.0
2020-02-11,1.77,1.85,1.76,1.78,214059.0
2020-02-10,1.88,1.9,1.74,1.76,350812.0
2020-02-07,1.72,1.87,1.7,1.82,573879.0
2020-02-06,1.8,1.83,1.7,1.72,699655.0
2020-02-05,1.81,2.0291,1.81,1.91,1060222.0
2020-02-04,2.19,2.23,1.77,1.8,2660067.0
2020-02-03,1.66,2.83,1.6,2.27,15289952.0
2020-01-31,1.65,1.68,1.53,1.57,768025.0
2020-01-30,1.54,1.62,1.41,1.52,1382221.0
2020-01-29,1.48,1.49,1.39,1.42,230887.0
2020-01-28,1.54,1.54,1.42,1.5,1130819.0
2020-01-27,1.8,1.816,1.6,1.67,438595.0
2020-01-24,1.54,1.75,1.51,1.71,737557.0
2020-01-23,1.63,1.65,1.53,1.54,792610.0
2020-01-22,1.75,1.79,1.64,1.7,531755.0
2020-01-21,1.96,2.051,1.57,1.76,2187967.0
2020-01-17,1.8,2.13,1.67,1.91,5043504.0
2020-01-16,1.56,1.7,1.5,1.65,2108075.0
2020-01-15,1.67,1.69,1.53,1.56,564228.0
2020-01-14,1.43,1.63,1.36,1.62,1523774.0
2020-01-13,1.36,1.7,1.34,1.52,4025581.0
2020-01-10,1.28,1.375,1.25,1.36,598608.0
2020-01-09,1.35,1.4,1.28,1.3,554628.0
2020-01-08,1.2,1.34,1.17,1.32,838172.0
2020-01-07,1.27,1.28,1.2,1.23,192694.0
2020-01-06,1.13,1.3,1.13,1.27,542742.0
2020-01-03,1.15,1.1699,1.11,1.14,230229.0
2020-01-02,1.15,1.194,1.12,1.1565,261901.0
2019-12-31,1.16,1.16,1.02,1.13,932954.0
2019-12-30,1.29,1.31,1.0603,1.175,1357855.0
2019-12-27,1.31,1.32,1.23,1.31,262185.0
2019-12-26,1.33,1.37,1.26,1.32,232322.0
2019-12-24,1.36,1.39,1.3,1.33,290350.0
2019-12-23,1.39,1.58,1.39,1.393,1968524.0
2019-12-20,1.41,1.44,1.37,1.44,256370.0
2019-12-19,1.44,1.46,1.36,1.4,625447.0
2019-12-18,1.31,1.4327,1.26,1.4,913452.0
2019-12-17,1.21,1.34,1.18,1.32,762746.0
2019-12-16,1.25,1.25,1.18,1.19,146046.0
2019-12-13,1.2,1.2499,1.13,1.23,208377.0
2019-12-12,1.17,1.19,1.16,1.1774,68022.0
2019-12-11,1.151,1.2,1.151,1.17,63609.0
2019-12-10,1.14,1.17,1.14,1.14,55328.0
2019-12-09,1.19,1.1937,1.1,1.17,112064.0
2019-12-06,1.2,1.22,1.1,1.17,207012.0
2019-12-05,1.27,1.33,1.16,1.19,218033.0
2019-12-04,1.25,1.34,1.15,1.26,495090.0
2019-12-03,1.24,1.2499,1.1583,1.23,173052.0
2019-12-02,1.25,1.2709,1.19,1.25,381541.0
2019-11-29,1.2,1.24,1.1609,1.21,128403.0
2019-11-27,1.15,1.26,1.14,1.22,379456.0
2019-11-26,1.25,1.25,1.14,1.15,186631.0
2019-11-25,1.29,1.29,1.16,1.24,406678.0
2019-11-22,1.04,1.31,1.0251,1.27,1243706.0
2019-11-21,1.0,1.07,0.96,1.04,140896.0
2019-11-20,1.0,1.06,0.97,1.02,182479.0
2019-11-19,1.13,1.1301,1.02,1.06,232092.0
2019-11-18,1.09,1.15,1.04,1.105,384142.0
2019-11-15,1.05,1.07,0.92,1.07,633705.0
2019-11-14,1.12,1.12,1.0,1.03,409055.0
2019-11-13,1.18,1.2099,1.105,1.12,378453.0
2019-11-12,1.32,1.45,1.21,1.23,955250.0
2019-11-11,1.26,1.42,1.2,1.32,790228.0
2019-11-08,1.23,1.3212,1.23,1.26,195401.0
2019-11-07,1.19,1.38,1.15,1.32,971316.0
2019-11-06,1.28,1.33,1.25,1.32,447093.0
2019-11-05,1.35,1.35,1.26,1.27,433202.0
2019-11-04,1.4,1.42,1.33,1.36,397889.0
2019-11-01,1.37,1.43,1.32,1.36,401812.0
2019-10-31,1.36,1.474,1.26,1.32,776580.0
2019-10-30,1.45,1.49,1.35,1.36,544181.0
2019-10-29,1.61,1.63,1.4301,1.4845,690660.0
2019-10-28,1.55,1.69,1.48,1.61,1003261.0
2019-10-25,1.67,1.68,1.35,1.545,1093868.0
2019-10-24,1.65,1.78,1.6,1.64,7283188.0
2019-10-23,5.39,7.05,3.26,3.66,4624022.0
2019-10-22,6.12,6.77,5.55,5.9,165758.0
2019-10-21,6.39,7.285,6.02,6.25,111421.0
2019-10-18,5.94,6.34,5.85,6.315,16585.0
2019-10-17,6.19,6.28,5.55,5.83,59914.0
2019-10-16,6.31,6.7493,5.87,5.99,78633.0
2019-10-15,6.85,7.3,6.0906,6.2,241508.0
2019-10-14,6.71,8.33,6.01,7.185,90976.0
2019-10-11,6.59,6.8,6.01,6.77,29505.0
2019-10-10,6.51,6.54,6.1515,6.52,17389.0
2019-10-09,6.6,6.8811,6.44,6.5465,9408.0
2019-10-08,6.69,6.7397,6.44,6.63,3349.0
2019-10-07,6.91,7.2901,6.56,6.69,29505.0
2019-10-04,6.64,7.03,6.55,6.9,4824.0
2019-10-03,6.89,7.27,6.89,7.07,4727.0
2019-10-02,7.1087,7.2,6.83,6.84,8438.0
2019-10-01,7.02,7.37,6.9462,7.02,4302.0
2019-09-30,7.18,7.39,7.03,7.08,13836.0
2019-09-27,6.83,7.66,6.8256,7.24,26162.0
2019-09-26,7.39,7.51,6.74,6.89,18833.0
2019-09-25,7.0,7.5435,6.8844,7.252,17071.0
2019-09-24,7.4105,7.6492,6.83,7.64,58493.0
2019-09-23,7.23,7.72,6.44,7.3,102532.0
2019-09-20,6.73,6.91,6.39,6.88,107550.0
2019-09-19,6.97,7.28,6.67,6.7,22260.0
2019-09-18,7.23,7.6,6.9,6.91,59458.0
2019-09-17,7.06,7.41,6.793,7.06,33596.0
2019-09-16,7.94,8.4599,7.075,7.09,128559.0
2019-09-13,6.64,9.12,6.64,8.0,601320.0
2019-09-12,7.74,7.74,6.48,6.59,34021.0
2019-09-11,6.25,7.31,6.25,7.18,76055.0
2019-09-10,6.54,6.55,6.0,6.29,78822.0
2019-09-09,7.26,7.35,6.5,6.64,120457.0
2019-09-06,7.5,7.8,6.71,7.0,289926.0
2019-09-05,7.9,8.8,7.3,7.68,839890.0
2019-09-04,10.3,12.8,7.83,8.02,11986587.0
2019-09-03,6.71,7.14,6.45,6.52,224660.0
2019-08-30,6.32,8.68,6.28,7.3001,1702161.0
2019-08-29,6.0,6.8271,5.26,6.18,87860.0
2019-08-28,0.2401,0.29,0.2401,0.2799,341660.0
2019-08-27,0.27,0.275,0.2362,0.249,167975.0
2019-08-26,0.2877,0.2877,0.2411,0.2647,51101.0
2019-08-23,0.2704,0.2899,0.26,0.2873,22292.0
2019-08-22,0.26,0.29,0.26,0.285,144665.0
2019-08-21,0.27,0.27,0.245,0.27,46165.0
2019-08-20,0.251,0.274,0.2402,0.2738,108750.0
2019-08-19,0.2684,0.2684,0.251,0.2572,51723.0
2019-08-16,0.267,0.2885,0.243,0.264,278688.0
2019-08-15,0.2689,0.28,0.267,0.268,59863.0
2019-08-14,0.3048,0.3048,0.267,0.2715,180368.0
2019-08-13,0.29,0.29,0.27,0.2702,48492.0
2019-08-12,0.274,0.2975,0.267,0.2875,123408.0
2019-08-09,0.249,0.3098,0.245,0.2732,319913.0
2019-08-08,0.315,0.33,0.2102,0.245,698708.0
2019-08-07,0.3485,0.3485,0.31,0.325,75622.0
2019-08-06,0.3306,0.3306,0.3108,0.3108,24079.0
2019-08-05,0.3165,0.35,0.301,0.33,169494.0
2019-08-02,0.3183,0.333,0.31,0.3165,31500.0
2019-08-01,0.3502,0.3583,0.3084,0.313,247096.0
2019-07-31,0.3765,0.3765,0.3307,0.3502,104466.0
2019-07-30,0.3609,0.3627,0.345,0.3451,61221.0
2019-07-29,0.375,0.39,0.3372,0.3589,65710.0
2019-07-26,0.349,0.377,0.3454,0.368,160706.0
2019-07-25,0.3264,0.3489,0.3227,0.3472,47796.0
2019-07-24,0.32,0.33,0.32,0.33,96337.0
2019-07-23,0.322,0.339,0.321,0.3334,57660.0
2019-07-22,0.3379,0.3386,0.3203,0.3265,102645.0
2019-07-19,0.329,0.349,0.318,0.3379,101459.0
2019-07-18,0.3222,0.33,0.316,0.329,136587.0
2019-07-17,0.335,0.336,0.319,0.3204,150686.0
2019-07-16,0.3476,0.3476,0.321,0.3324,178491.0
2019-07-15,0.368,0.378,0.325,0.3477,162117.0
2019-07-12,0.3602,0.37,0.36,0.36,59150.0
2019-07-11,0.38,0.38,0.351,0.3665,56804.0
2019-07-10,0.3501,0.379,0.3501,0.3675,110054.0
2019-07-09,0.369,0.369,0.36,0.3662,51395.0
2019-07-08,0.38,0.38,0.3657,0.3723,140889.0
2019-07-05,0.35,0.38,0.35,0.3766,412852.0
2019-07-03,0.38,0.38,0.3452,0.3524,423978.0
