date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,15.13,22.0,15.13,22.0,1293.0
2020-04-23,11.64,11.64,11.64,11.64,520.0
2020-04-22,146.4001,146.4001,146.4001,146.4001,98.0
2020-04-21,146.4001,146.4001,146.4001,146.4001,33.0
2020-04-20,146.4001,146.4001,146.4001,146.4001,133.0
2020-04-17,146.4001,146.4001,146.4001,146.4001,267.0
2020-04-16,13.04,146.4001,13.04,146.4001,450.0
2020-04-15,6.2174,6.2174,6.2174,6.2174,13.0
2020-04-14,6.2174,6.2174,6.2174,6.2174,212.0
2020-04-13,6.2174,6.2174,6.2174,6.2174,106.0
2020-04-09,9.21,9.21,6.2174,6.2174,478.0
2020-04-08,13.67,13.67,13.67,13.67,31.0
2020-04-07,13.67,13.67,13.67,13.67,37.0
2020-04-06,13.67,13.67,13.67,13.67,26.0
2020-04-03,14.2,14.2,13.67,13.67,446.0
2020-04-02,19.52,19.52,19.52,19.52,157.0
2020-04-01,21.4905,21.4905,21.4905,21.4905,36.0
2020-03-31,21.4905,21.4905,21.4905,21.4905,122.0
2020-03-30,21.4905,21.4905,21.4905,21.4905,765.0
2020-03-27,18.0,18.0,18.0,18.0,481.0
2020-03-26,18.77,18.77,18.77,18.77,332.0
2020-03-25,19.01,19.01,19.01,19.01,210.0
2020-03-24,49.9999,64.9999,11.7199,18.0001,2668.0
2020-03-23,8.8,28.11,5.16,17.0,5144.0
2020-03-20,5.85,11.0,5.85,11.0,741.0
2020-03-19,5.87,5.87,5.87,5.87,276.0
2020-03-18,6.0,6.0,5.87,5.87,384.0
2020-03-17,10.5,10.5,4.8793,6.59,4749.0
2020-03-16,5.103,24.28,4.5523,8.55,9728.0
2020-03-13,3.47,3.47,3.47,3.47,1.0
2020-03-12,2.86,8.3568,2.86,3.47,1214.0
2020-03-11,5.0,5.0,5.0,5.0,104.0
2020-03-10,5.0,5.0,5.0,5.0,1.0
2020-03-09,5.0,5.0,5.0,5.0,128.0
2020-03-06,5.0,5.0,5.0,5.0,75.0
2020-03-05,7.0,7.0,5.0,5.0,202.0
2020-03-04,5.02,5.02,5.02,5.02,3.0
2020-03-02,5.02,5.02,5.02,5.02,2.0
2020-02-28,5.25,16.9899,1.5001,5.02,2383.0
2020-02-27,5.0,5.0,5.0,5.0,2.0
2020-02-26,5.0,5.0,5.0,5.0,25.0
2020-02-25,5.0,5.0,5.0,5.0,39.0
2020-02-24,5.0,5.0,5.0,5.0,11.0
2020-02-20,5.0,5.0,5.0,5.0,114.0
2020-02-19,4.95,4.95,4.95,4.95,6.0
2020-02-18,4.95,4.95,4.95,4.95,190.0
2020-02-14,4.95,4.95,4.95,4.95,303.0
2020-02-12,1.7,1.7,1.7,1.7,64.0
2020-02-11,1.7,1.7,1.7,1.7,166.0
2020-02-10,1.7,1.7,1.7,1.7,201.0
2020-02-07,2.4425,2.4425,2.4425,2.4425,6.0
2020-02-03,2.4425,2.4425,2.4425,2.4425,19.0
2020-01-29,2.4425,2.4425,2.4425,2.4425,1.0
2020-01-10,2.4425,2.4425,2.4425,2.4425,99.0
2020-01-08,2.4425,2.4425,2.4425,2.4425,35.0
2020-01-06,2.4425,2.4425,2.4425,2.4425,1.0
2020-01-03,2.4425,2.4425,2.4425,2.4425,6.0
2019-12-31,2.4425,2.4425,2.4425,2.4425,32.0
2019-12-24,2.4425,2.4425,2.4425,2.4425,78.0
2019-12-23,2.4425,2.4425,2.4425,2.4425,128.0
2019-12-19,2.4425,2.4425,2.4425,2.4425,201.0
2019-12-17,2.4425,2.4425,2.4425,2.4425,169.0
2019-12-16,2.28,2.28,2.28,2.28,11.0
2019-12-11,2.28,2.28,2.28,2.28,4.0
2019-12-10,2.28,2.28,2.28,2.28,1.0
2019-12-09,2.28,2.28,2.28,2.28,80.0
2019-12-05,2.28,2.28,2.28,2.28,25.0
2019-12-02,2.2801,2.2801,2.28,2.28,230.0
2019-11-29,2.27,2.27,2.27,2.27,3.0
2019-11-27,2.27,2.27,2.27,2.27,100.0
