date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,3.72,3.8,3.5148,3.67,34637.0
2020-04-23,3.36,3.7,3.33,3.62,61374.0
2020-04-22,3.27,3.43,3.22,3.36,38997.0
2020-04-21,3.22,3.48,3.0601,3.27,26340.0
2020-04-20,3.42,3.53,3.1217,3.29,69762.0
2020-04-17,2.9,3.32,2.9,3.22,75191.0
2020-04-16,3.08,3.2,2.86,2.9,42430.0
2020-04-15,3.17,3.37,2.97,3.07,47553.0
2020-04-14,3.49,3.6,3.31,3.36,33043.0
2020-04-13,3.37,3.5,3.337,3.46,30626.0
2020-04-09,3.48,3.48,3.15,3.31,63970.0
2020-04-08,3.15,3.24,2.94,3.22,39194.0
2020-04-07,3.13,3.3,3.0,3.1,39673.0
2020-04-06,3.02,3.2,2.79,2.99,72220.0
2020-04-03,2.94,3.1892,2.86,2.96,49779.0
2020-04-02,2.89,3.14,2.81,2.97,46717.0
2020-04-01,3.23,3.2461,2.74,2.86,62608.0
2020-03-31,3.41,3.5,3.06,3.23,38453.0
2020-03-30,3.3,3.39,3.09,3.39,28022.0
2020-03-27,3.5,3.5,3.11,3.36,43777.0
2020-03-26,3.37,3.54,2.91,3.54,117630.0
2020-03-25,3.54,3.54,3.13,3.42,43687.0
2020-03-24,2.92,3.54,2.8565,3.54,51168.0
2020-03-23,2.92,3.04,2.69,2.92,55494.0
2020-03-20,3.0,3.25,2.92,3.03,96368.0
2020-03-19,2.9,3.22,2.61,2.94,131372.0
2020-03-18,3.23,3.625,2.4722,2.92,86841.0
2020-03-17,3.77,3.79,3.1052,3.6,100295.0
2020-03-16,3.92,4.29,3.65,3.92,220090.0
2020-03-13,4.16,4.47,4.0,4.45,456008.0
2020-03-12,2.99,4.86,2.99,3.97,1414779.0
2020-03-11,2.87,3.21,2.8,2.98,76985.0
2020-03-10,3.64,3.64,2.85,2.94,105720.0
2020-03-09,3.5,3.5,3.0,3.09,91906.0
2020-03-06,3.7,3.745,3.5,3.51,28722.0
2020-03-05,3.88,3.9925,3.55,3.67,33172.0
2020-03-04,3.75,4.02,3.75,3.94,30983.0
2020-03-03,4.19,4.19,3.59,3.71,37624.0
2020-03-02,4.11,4.11,3.92,4.04,28963.0
2020-02-28,3.86,4.11,3.81,3.92,53307.0
2020-02-27,4.28,4.28,3.8,3.9,77811.0
2020-02-26,4.53,4.53,4.2,4.28,30972.0
2020-02-25,4.67,4.671,4.34,4.35,68115.0
2020-02-24,4.72,4.72,4.44,4.475,94042.0
2020-02-21,4.91,4.99,4.73,4.83,56280.0
2020-02-20,4.99,5.05,4.91,4.91,47666.0
2020-02-19,4.61,4.9896,4.6,4.91,34413.0
2020-02-18,4.55,4.65,4.5,4.6,45965.0
2020-02-14,4.98,4.98,4.54,4.55,52993.0
2020-02-13,4.77,4.9,4.64,4.89,13578.0
2020-02-12,4.91,4.91,4.71,4.82,25792.0
2020-02-11,4.88,4.9539,4.7295,4.8,11783.0
2020-02-10,4.66,4.97,4.63,4.91,29375.0
2020-02-07,4.73,4.75,4.49,4.7,30902.0
2020-02-06,4.79,4.79,4.65,4.69,21912.0
2020-02-05,4.65,4.7899,4.65,4.7,18285.0
2020-02-04,4.76,4.8,4.47,4.64,15053.0
2020-02-03,4.62,4.6659,4.51,4.62,25613.0
2020-01-31,4.653,4.7,4.24,4.47,104266.0
2020-01-30,4.71,4.88,4.55,4.71,27416.0
2020-01-29,4.78,4.82,4.66,4.73,26555.0
2020-01-28,4.7,4.8,4.61,4.75,48414.0
2020-01-27,4.74,4.79,4.65,4.67,48294.0
2020-01-24,4.98,4.98,4.82,4.84,39291.0
2020-01-23,5.0637,5.09,4.92,4.96,26832.0
