date,1. open,2. high,3. low,4. close,5. volume
2020-04-15,10.1,10.1,10.1,10.1,10125.0
2020-04-14,10.21,10.22,10.21,10.22,1195.0
2020-04-13,10.1,10.1,10.1,10.1,140.0
2020-04-01,10.226,10.226,10.226,10.226,120.0
2020-03-31,10.2,10.2,10.2,10.2,78.0
2020-03-30,10.0,10.2,10.0,10.2,19940.0
2020-03-27,9.99,10.0,9.99,10.0,5290.0
2020-03-26,9.85,10.0,9.85,9.9507,58044.0
2020-03-25,9.9,9.9,9.809,9.8511,24800.0
2020-03-23,9.5,9.5,9.5,9.5,100.0
2020-03-16,9.74,9.74,9.68,9.68,245.0
2020-03-12,10.14,10.15,10.14,10.15,3200.0
2020-03-11,10.303,10.303,10.2,10.2,400.0
2020-03-10,10.16,10.24,10.16,10.24,81410.0
2020-03-09,10.2,10.2136,10.1227,10.1227,680.0
2020-03-06,10.21,10.21,10.1527,10.2,17290.0
2020-03-03,10.21,10.21,10.21,10.21,110.0
2020-03-02,10.21,10.21,10.21,10.21,200.0
2020-02-26,10.325,10.325,10.325,10.325,4868.0
2020-02-21,10.325,10.325,10.325,10.325,115.0
2020-02-20,10.2293,10.2293,10.2293,10.2293,115.0
2020-02-18,10.261,10.261,10.261,10.261,200.0
2020-02-12,10.2795,10.2795,10.2795,10.2795,535.0
2020-02-11,10.3023,10.3023,10.3023,10.3023,110.0
2020-02-05,10.2,10.3499,10.2,10.3499,44169.0
2020-02-04,10.286,10.286,10.286,10.286,250.0
2020-01-24,10.1978,10.1978,10.1978,10.1978,234.0
2020-01-23,10.2653,10.2653,10.2653,10.2653,60.0
2020-01-22,10.2653,10.2653,10.2653,10.2653,100.0
2020-01-21,10.2,10.25,10.2,10.25,52100.0
2020-01-16,10.18,10.18,10.18,10.18,2000.0
2020-01-15,10.1502,10.1502,10.1502,10.1502,110.0
2020-01-09,10.15,10.15,10.15,10.15,115793.0
2020-01-07,10.15,10.15,10.15,10.15,120.0
2020-01-06,10.15,10.15,10.15,10.15,126.0
2020-01-02,10.2802,10.2802,10.2802,10.2802,100.0
2019-12-30,10.1501,10.1501,10.1501,10.1501,7.0
2019-12-26,10.1501,10.1501,10.1501,10.1501,250.0
2019-12-17,10.24,10.24,10.13,10.24,56021.0
2019-12-16,10.3575,10.3575,10.3575,10.3575,125.0
2019-12-13,10.14,10.14,10.12,10.12,14100.0
2019-12-12,10.2065,10.2065,10.14,10.14,1415.0
2019-12-11,10.1,10.1,10.1,10.1,300.0
2019-12-06,10.12,10.12,10.08,10.08,10900.0
2019-12-05,10.08,10.12,10.08,10.12,2070.0
2019-12-04,10.115,10.115,10.1065,10.1065,210.0
2019-12-03,10.08,10.08,10.08,10.08,816.0
2019-11-27,10.08,10.1,10.08,10.1,950.0
2019-11-26,10.08,10.08,10.08,10.08,1000.0
2019-11-25,10.1,10.1,10.1,10.1,2000.0
2019-11-22,10.08,10.11,10.08,10.0926,71650.0
2019-11-21,10.0948,10.0948,10.0948,10.0948,2100.0
2019-11-20,10.06,10.12,10.06,10.0999,37120.0
2019-11-19,10.06,10.06,10.06,10.06,660.0
2019-11-18,10.05,10.12,10.05,10.07,1546.0
2019-11-15,10.0777,10.0777,10.0752,10.0752,260.0
2019-11-14,10.06,10.12,10.06,10.12,6467.0
2019-11-13,10.05,10.1,10.05,10.0502,101967.0
2019-11-12,10.05,10.1404,10.05,10.1,27623.0
2019-11-11,10.05,10.05,10.05,10.05,1650.0
2019-11-08,10.1,10.1,10.06,10.1,1967.0
2019-11-07,10.05,10.4156,10.04,10.1,385542.0
2019-11-06,10.05,10.08,10.05,10.057,16033.0
2019-11-01,10.01,10.0487,10.01,10.0487,256.0
2019-10-31,10.025,10.07,10.025,10.07,3720.0
2019-10-29,10.0,10.05,10.0,10.05,450.0
2019-10-28,10.05,10.05,10.05,10.05,330.0
2019-10-24,10.03,10.03,10.03,10.03,2000.0
2019-10-23,10.0,10.0,10.0,10.0,650.0
2019-10-22,10.02,10.03,10.02,10.03,1235.0
2019-10-21,10.0,10.0,10.0,10.0,129.0
2019-10-18,10.0027,10.01,10.0,10.0,850.0
2019-10-17,9.99,10.01,9.95,10.0,18650.0
2019-10-16,9.99,10.01,9.99,10.01,20270.0
2019-10-15,10.0,10.0,10.0,10.0,4000.0
2019-10-03,9.9901,9.9901,9.9901,9.9901,275.0
2019-10-02,10.0,10.0,10.0,10.0,108891.0
2019-10-01,10.0,10.05,10.0,10.0,26500.0
2019-09-30,10.0,10.0,10.0,10.0,15200.0
2019-09-26,10.03,10.03,10.0,10.0,3050.0
2019-09-25,10.0316,10.0316,10.0316,10.0316,100.0
2019-09-24,10.0341,10.05,10.0,10.0016,38780.0
2019-09-23,10.01,10.01,9.99,9.99,23620.0
2019-09-20,10.03,10.03,10.03,10.03,1500.0
2019-09-18,10.03,10.03,10.03,10.03,2050.0
2019-09-13,10.05,10.05,10.05,10.05,20.0
2019-09-11,10.05,10.05,10.05,10.05,300.0
2019-09-10,10.01,10.01,10.01,10.01,300.0
2019-09-09,10.039,10.0399,10.022,10.0399,350.0
2019-09-06,10.0399,10.04,10.028,10.028,2350.0
2019-09-05,10.04,10.04,10.0303,10.0303,650.0
2019-08-30,10.04,10.04,10.04,10.04,1218.0
2019-08-23,10.02,10.02,10.01,10.01,3491.0
