date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.8387,0.87,0.82,0.83,6285.0
2020-04-23,0.87,0.87,0.82,0.82,3108.0
2020-04-22,0.8783,0.8783,0.79,0.8001,1738.0
2020-04-21,0.8784,0.8784,0.78,0.78,8456.0
2020-04-20,0.7822,0.946,0.78,0.8784,7108.0
2020-04-17,1.0,1.03,0.8442,0.8442,4277.0
2020-04-16,0.97,1.0403,0.88,0.9586,32274.0
2020-04-15,0.8,1.0881,0.78,0.8999,87596.0
2020-04-14,0.81,0.845,0.78,0.84,17406.0
2020-04-13,0.85,0.85,0.82,0.82,396.0
2020-04-09,0.7901,0.7901,0.785,0.79,7190.0
2020-04-08,0.79,0.79,0.79,0.79,386.0
2020-04-07,0.8492,0.8492,0.8063,0.81,663.0
2020-04-06,0.8415,0.8415,0.79,0.79,2399.0
2020-04-03,0.8791,0.8791,0.7801,0.7801,403.0
2020-04-02,0.766,0.8792,0.766,0.8792,1149.0
2020-04-01,0.8731,0.8731,0.8731,0.8731,283.0
2020-03-31,0.8731,0.8731,0.8731,0.8731,2523.0
2020-03-30,0.7508,0.809,0.7508,0.809,1139.0
2020-03-27,0.85,0.8699,0.78,0.7839,6081.0
2020-03-26,0.8875,0.8875,0.78,0.79,6456.0
2020-03-25,0.8783,0.89,0.85,0.8842,2746.0
2020-03-24,0.85,0.8543,0.85,0.85,2197.0
2020-03-23,0.7425,0.8101,0.74,0.74,19882.0
2020-03-20,0.96,0.96,0.74,0.74,29298.0
2020-03-19,0.93,1.0,0.8209,0.96,13399.0
2020-03-18,1.01,1.1,1.0,1.0,1974.0
2020-03-17,1.0534,1.161,1.0534,1.14,5148.0
2020-03-16,1.06,1.25,1.05,1.1002,2670.0
2020-03-13,1.08,1.2295,1.06,1.1359,9295.0
2020-03-12,1.05,1.15,1.0,1.14,2278.0
2020-03-11,1.2134,1.3202,1.0832,1.0832,15192.0
2020-03-10,1.1865,1.4,1.16,1.271,39085.0
2020-03-09,1.22,1.22,1.1636,1.2,21202.0
2020-03-06,1.2653,1.27,1.25,1.25,6228.0
2020-03-05,1.3816,1.3816,1.21,1.315,5945.0
2020-03-04,1.18,1.4472,1.15,1.37,5046.0
2020-03-03,1.34,1.5,1.2632,1.5,10861.0
2020-03-02,1.03,1.53,1.03,1.2965,10392.0
2020-02-28,1.46,1.562,1.27,1.39,5744.0
2020-02-27,1.35,1.5599,1.35,1.41,18048.0
2020-02-26,1.41,1.5656,1.352,1.3595,6273.0
2020-02-25,1.44,1.75,1.35,1.44,12886.0
2020-02-24,1.47,1.72,1.15,1.47,95285.0
2020-02-21,1.26,1.86,1.23,1.5,387900.0
2020-02-20,1.26,1.27,1.2201,1.26,11527.0
2020-02-19,1.1789,1.24,1.1059,1.22,14330.0
2020-02-18,1.23,1.27,1.19,1.25,12842.0
2020-02-14,1.2103,1.29,1.14,1.28,64813.0
2020-02-13,1.2,1.26,1.1296,1.1379,11016.0
2020-02-12,1.15,1.2784,1.1,1.26,76296.0
2020-02-11,1.33,1.33,1.16,1.18,41300.0
2020-02-10,1.13,1.37,1.08,1.2069,142468.0
2020-02-07,1.0362,1.72,1.01,1.105,817530.0
2020-02-06,1.0,1.0152,1.0,1.0152,2514.0
2020-02-05,1.0,1.0,0.9634,0.9634,1719.0
2020-02-04,1.0481,1.0481,1.0092,1.0092,2314.0
2020-02-03,0.8801,1.0,0.8801,1.0,4053.0
2020-01-31,0.92,0.9275,0.92,0.9275,2413.0
2020-01-30,1.09,1.09,0.91,0.952,2192.0
2020-01-29,1.06,1.07,1.04,1.07,15444.0
2020-01-28,1.02,1.07,1.02,1.07,4111.0
2020-01-27,1.07,1.08,1.06,1.07,6994.0
2020-01-24,1.08,1.1,1.08,1.09,24917.0
2020-01-23,1.0308,1.0903,1.0308,1.04,2755.0
2020-01-22,1.02,1.1,0.8632,1.0201,7759.0
2020-01-21,1.005,1.0305,0.9762,1.02,12392.0
2020-01-17,1.089,1.1,0.98,0.99,10950.0
2020-01-16,0.99,1.01,0.94,1.0,17892.0
