date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,18.98,20.39,18.97,19.49,25695.0
2020-04-08,18.5,19.0,18.38,18.99,13795.0
2020-04-07,18.0,18.5,17.66,18.05,9989.0
2020-04-06,17.405,18.02,17.27,17.9198,16734.0
2020-04-03,17.79,17.8,17.25,17.54,5379.0
2020-04-02,18.07,18.37,17.8,17.8,2204.0
2020-04-01,18.5,18.9157,18.5,18.5,5412.0
2020-03-31,18.52,19.3961,18.5,18.52,8410.0
2020-03-30,17.2,19.0,16.75,19.0,3725.0
2020-03-27,18.75,18.7945,18.1,18.49,7214.0
2020-03-26,18.6902,20.69,18.26,20.69,7048.0
2020-03-25,17.5,18.5,17.5,18.5,3788.0
2020-03-24,18.5002,18.98,16.73,16.73,11817.0
2020-03-23,18.71,18.71,17.0501,17.5048,32219.0
2020-03-20,18.0,18.5,18.0,18.5,15539.0
2020-03-19,12.5,17.9,11.73,17.9,16599.0
2020-03-18,18.82,18.82,11.64,11.72,82643.0
2020-03-17,22.43,22.43,21.6,21.6019,15096.0
2020-03-16,22.36,22.46,21.6526,21.85,15972.0
2020-03-13,22.01,24.35,22.01,22.75,8847.0
2020-03-12,24.6,24.6,22.01,22.01,21207.0
2020-03-11,24.8,24.8163,24.65,24.6846,4472.0
2020-03-10,24.95,25.2,24.74,24.74,13126.0
2020-03-09,24.9,24.98,24.82,24.88,5710.0
2020-03-06,25.04,25.12,24.8137,25.1023,16012.0
2020-03-05,25.11,25.11,25.05,25.0989,3117.0
2020-03-04,25.1363,25.17,25.1,25.1,13498.0
2020-03-03,25.34,25.34,25.0,25.12,18421.0
2020-03-02,25.2,25.3663,25.2,25.3663,8650.0
2020-02-28,25.3,25.35,25.005,25.1,9663.0
2020-02-27,25.45,25.45,25.35,25.3826,5784.0
2020-02-26,25.43,25.48,25.3682,25.4,1598.0
2020-02-25,25.3999,25.442,25.3999,25.4,2283.0
2020-02-24,25.55,25.55,25.36,25.47,7481.0
2020-02-21,25.56,25.5765,25.55,25.5505,1718.0
2020-02-20,25.6,25.6,25.59,25.6,1351.0
2020-02-19,25.6,25.6,25.5,25.6,2579.0
2020-02-18,25.6,25.6,25.6,25.6,591.0
2020-02-14,25.63,25.73,25.575,25.65,7175.0
2020-02-13,25.56,25.64,25.5,25.5544,8492.0
2020-02-12,25.673,25.73,25.673,25.73,623.0
2020-02-11,25.643,25.73,25.643,25.73,583.0
2020-02-10,25.62,25.8122,25.53,25.53,2360.0
2020-02-07,25.65,25.65,25.65,25.65,306.0
2020-02-06,25.7298,25.75,25.65,25.6512,4050.0
2020-02-05,25.7,25.76,25.52,25.75,4766.0
2020-02-04,25.7,25.8301,25.7,25.82,2378.0
2020-02-03,25.7202,25.79,25.7,25.79,491.0
2020-01-31,25.5,25.718,25.5,25.718,684.0
2020-01-30,25.7068,25.75,25.55,25.75,830.0
2020-01-29,25.57,25.77,25.55,25.6982,3755.0
2020-01-28,25.5,25.75,25.5,25.75,1051.0
2020-01-27,25.71,25.71,25.71,25.71,15.0
2020-01-24,25.51,25.71,25.51,25.71,550.0
2020-01-23,25.79,25.79,25.52,25.69,2922.0
2020-01-22,25.6,25.7839,25.6,25.7839,560.0
2020-01-21,25.65,25.6502,25.5145,25.6,3860.0
2020-01-17,25.5977,25.7851,25.52,25.65,2996.0
2020-01-16,25.75,25.77,25.53,25.72,891.0
2020-01-15,25.708,25.708,25.67,25.67,1120.0
2020-01-14,25.54,25.8399,25.54,25.8399,2400.0
2020-01-13,25.665,25.665,25.665,25.665,606.0
2020-01-10,25.68,25.68,25.68,25.68,9555.0
2020-01-09,25.87,25.87,25.87,25.87,367.0
2020-01-08,25.68,25.7,25.68,25.7,1572.0
2020-01-07,25.7822,25.7822,25.7454,25.75,1283.0
2020-01-06,25.8,25.8,25.68,25.68,1250.0
2020-01-03,25.75,25.7922,25.7,25.79,8344.0
2020-01-02,25.63,25.75,25.6,25.75,4735.0
2019-12-31,25.6,25.6,25.498,25.4999,1786.0
2019-12-30,25.6497,25.6942,25.51,25.51,3250.0
2019-12-27,25.45,25.5616,25.45,25.55,1874.0
2019-12-26,25.43,25.43,25.43,25.43,50.0
2019-12-24,25.43,25.43,25.43,25.43,100.0
2019-12-23,25.56,25.56,25.45,25.45,810.0
2019-12-20,25.45,25.65,25.4,25.56,11199.0
2019-12-19,25.72,25.75,25.5,25.5,2433.0
2019-12-18,25.5398,25.54,25.45,25.53,3311.0
2019-12-17,25.55,25.55,25.45,25.54,3166.0
2019-12-16,25.5777,25.7,25.55,25.57,2401.0
2019-12-13,25.6,25.6523,25.6,25.6,2524.0
2019-12-12,25.65,25.75,25.6,25.6156,4650.0
2019-12-11,25.6804,25.75,25.48,25.65,3281.0
2019-12-10,25.68,25.7405,25.68,25.7405,4231.0
2019-12-09,25.63,25.63,25.63,25.63,1633.0
2019-12-06,25.4502,25.63,25.4502,25.63,884.0
2019-12-05,25.5,25.61,25.4685,25.59,1200.0
