date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,19.7,20.8,19.7,20.35,4966.0
2020-03-30,19.49,19.68,19.09,19.67,14867.0
2020-03-27,19.5,19.5,18.28,19.31,26420.0
2020-03-26,19.4,20.31,19.25,19.51,43536.0
2020-03-25,18.52,19.26,18.32,19.18,8080.0
2020-03-24,18.1989,19.48,18.1989,18.2,10458.0
2020-03-23,19.74,19.74,17.3138,17.5,34090.0
2020-03-20,19.95,20.0452,19.0,19.75,19379.0
2020-03-19,15.89,19.95,14.5,19.95,40768.0
2020-03-18,22.5339,22.5339,16.13,16.31,50030.0
2020-03-17,23.3,23.3,22.0301,22.4495,31765.0
2020-03-16,23.5,23.5,21.21,23.16,38585.0
2020-03-13,24.69,24.69,23.53,24.1,17906.0
2020-03-12,24.56,24.598,22.4811,23.2,34126.0
2020-03-11,25.001,25.04,24.5415,24.89,22786.0
2020-03-10,25.13,25.13,24.92,25.0,13091.0
2020-03-09,25.0,25.1252,24.88,24.88,18055.0
2020-03-06,25.21,25.2985,25.0576,25.2985,9435.0
2020-03-05,25.35,25.35,25.25,25.25,4322.0
2020-03-04,25.2255,25.3,25.1915,25.2672,9511.0
2020-03-03,25.2698,25.29,25.17,25.17,7612.0
2020-03-02,25.01,25.1896,25.01,25.144,8450.0
2020-02-28,25.21,25.2799,25.0,25.109,7276.0
2020-02-27,25.2854,25.2854,25.11,25.138,17902.0
2020-02-26,25.2028,25.3297,25.15,25.32,9439.0
2020-02-25,25.31,25.31,25.17,25.25,12474.0
2020-02-24,25.39,25.39,25.27,25.3459,11040.0
2020-02-21,25.335,25.42,25.335,25.4194,10859.0
2020-02-20,25.36,25.36,25.32,25.3311,4252.0
2020-02-19,25.353,25.3626,25.3335,25.3335,4130.0
2020-02-18,25.29,25.34,25.29,25.33,9438.0
2020-02-14,25.31,25.343,25.28,25.3,12639.0
2020-02-13,25.17,25.335,25.17,25.33,24914.0
2020-02-12,25.23,25.4,25.16,25.35,65472.0
2020-02-11,25.37,25.3798,25.3205,25.3386,17649.0
2020-02-10,25.2999,25.34,25.28,25.34,15086.0
2020-02-07,25.252,25.2733,25.24,25.26,18179.0
2020-02-06,25.19,25.2865,25.16,25.2844,30378.0
2020-02-05,25.4,25.4,25.18,25.19,133981.0
2020-02-04,25.7,25.71,25.6513,25.6601,8368.0
2020-02-03,25.5629,25.61,25.53,25.61,6783.0
2020-01-31,25.59,25.59,25.54,25.5899,5427.0
2020-01-30,25.5464,25.5875,25.5464,25.5647,1592.0
2020-01-29,25.5395,25.5395,25.535,25.535,754.0
2020-01-28,25.55,25.55,25.53,25.53,3335.0
2020-01-27,25.47,25.5315,25.46,25.5196,4513.0
2020-01-24,25.55,25.55,25.46,25.54,5335.0
2020-01-23,25.5689,25.5689,25.46,25.47,1419.0
2020-01-22,25.49,25.52,25.44,25.5,5830.0
2020-01-21,25.58,25.58,25.42,25.44,14448.0
2020-01-17,25.51,25.5746,25.43,25.5,5074.0
2020-01-16,25.58,25.58,25.4,25.5,10202.0
2020-01-15,25.57,25.6,25.545,25.6,10877.0
2020-01-14,25.566,25.57,25.5506,25.565,12871.0
2020-01-13,25.57,25.57,25.504,25.54,4510.0
2020-01-10,25.54,25.59,25.45,25.5501,8469.0
2020-01-09,25.56,25.59,25.471,25.5575,14678.0
2020-01-08,25.56,25.57,25.522,25.5247,4163.0
2020-01-07,25.545,25.55,25.54,25.55,4466.0
2020-01-06,25.52,25.5458,25.5193,25.5458,2645.0
2020-01-03,25.514,25.514,25.47,25.4877,4508.0
2020-01-02,25.32,25.52,25.32,25.468,6766.0
