date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,9.32,9.32,8.3,9.0101,24043.0
2020-04-23,9.7136,9.7136,9.7136,9.7136,11.0
2020-04-22,9.62,9.7136,9.3,9.7136,1823.0
2020-04-21,9.64,9.64,9.5429,9.5429,630.0
2020-04-20,9.97,9.97,9.38,9.38,2165.0
2020-04-17,9.99,9.99,9.36,9.36,2989.0
2020-04-16,9.4,9.4,9.4,9.4,215.0
2020-04-15,9.8668,9.8668,9.8668,9.8668,41.0
2020-04-14,9.43,9.9762,9.43,9.8668,3459.0
2020-04-13,10.3284,10.3284,10.0,10.0,880.0
2020-04-09,9.56,10.5,9.54,10.5,5109.0
2020-04-08,9.41,9.809,9.34,9.8088,7606.0
2020-04-07,10.18,10.18,9.94,9.96,3215.0
2020-04-06,9.96,10.0,9.37,9.37,2924.0
2020-04-03,10.82,10.82,9.33,9.34,4081.0
2020-04-02,9.3123,10.25,9.3123,10.25,2292.0
2020-04-01,9.25,9.25,9.25,9.25,133.0
2020-03-31,9.25,9.25,9.25,9.25,570.0
2020-03-30,10.0,10.035,9.51,10.035,929.0
2020-03-27,9.51,9.51,9.51,9.51,132.0
2020-03-26,9.6648,9.98,9.6648,9.88,1970.0
2020-03-25,10.5,10.5,9.64,10.01,3217.0
2020-03-24,10.98,10.98,10.06,10.06,1345.0
2020-03-23,8.41,10.081,8.31,10.0,15454.0
2020-03-20,8.38,9.82,8.36,8.61,6077.0
2020-03-19,9.42,9.42,8.986,9.27,6116.0
2020-03-18,10.2,10.35,9.3001,9.3001,4674.0
2020-03-17,10.05,11.22,10.05,10.38,2660.0
2020-03-16,10.0,14.63,10.0,10.01,4824.0
2020-03-13,11.97,12.32,11.48,11.48,8421.0
2020-03-12,11.21,11.98,11.21,11.68,6821.0
2020-03-11,11.5649,12.4661,11.4215,12.01,3485.0
2020-03-10,11.2005,12.3113,11.2005,11.62,19434.0
2020-03-09,11.55,11.85,11.3,11.3007,7786.0
2020-03-06,11.15,12.0689,11.15,11.62,8677.0
2020-03-05,12.25,12.27,11.5601,11.6496,3651.0
2020-03-04,12.0656,12.0656,12.0656,12.0656,97.0
2020-03-03,11.87,12.12,11.7195,12.0656,3750.0
2020-03-02,12.2,12.8901,11.8,11.8775,8803.0
2020-02-28,12.78,13.062,12.2,12.2,12681.0
2020-02-27,12.25,12.41,12.25,12.25,2181.0
2020-02-26,12.28,12.35,12.28,12.35,602.0
2020-02-25,12.95,12.95,12.26,12.3818,2572.0
2020-02-24,12.25,12.4977,12.25,12.4977,5162.0
2020-02-21,12.54,12.8,12.26,12.26,1159.0
2020-02-20,12.5303,12.5303,12.05,12.5,15547.0
2020-02-19,12.26,12.515,12.26,12.3,848.0
2020-02-18,12.41,12.56,12.3,12.325,2601.0
2020-02-14,12.45,12.45,12.15,12.32,1843.0
2020-02-13,12.55,12.695,12.55,12.695,455.0
2020-02-12,12.45,13.32,12.4,12.91,1594.0
2020-02-11,12.7,12.805,12.7,12.71,973.0
2020-02-10,12.62,12.62,12.62,12.62,266.0
2020-02-07,13.2352,13.4405,12.44,12.62,9106.0
2020-02-06,13.5,13.69,13.09,13.67,11192.0
2020-02-05,12.8938,13.24,12.8479,13.2,14431.0
2020-02-04,12.423,12.98,12.2612,12.53,10854.0
2020-02-03,12.0754,12.35,11.81,12.28,3675.0
2020-01-31,12.09,12.09,11.81,12.09,23628.0
2020-01-30,12.72,12.75,11.2168,12.09,71237.0
2020-01-29,13.931,13.931,12.75,12.99,18059.0
2020-01-28,14.24,14.24,13.535,13.535,12279.0
2020-01-27,13.9,14.0,13.6,13.6,9630.0
2020-01-24,14.2573,14.2928,13.97,14.02,6916.0
2020-01-23,14.51,14.51,14.13,14.26,21149.0
2020-01-22,14.98,14.98,14.6117,14.62,3516.0
2020-01-21,15.0,15.0,14.5,14.72,32102.0
2020-01-17,14.75,15.1278,14.74,15.0,25707.0
2020-01-16,14.3,14.95,14.15,14.75,40400.0
2020-01-15,15.35,15.82,12.6221,14.5,79611.0
2020-01-14,16.1,16.1,14.7856,15.35,143147.0
2020-01-13,20.05,20.5,19.25,19.25,141235.0
2020-01-10,20.99,21.1,19.6752,19.8968,99708.0
2020-01-09,20.49,21.26,20.4589,20.51,54472.0
2020-01-08,20.25,20.58,20.005,20.2496,17778.0
2020-01-07,20.9573,20.9573,19.95,20.14,19110.0
2020-01-06,20.055,20.5,20.05,20.3,19195.0
