date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,2.48,2.5,2.13,2.48,44013.0
2020-03-30,2.5,2.5,2.1965,2.34,35989.0
2020-03-27,2.5599,2.5599,2.2,2.405,21039.0
2020-03-26,2.4527,2.56,2.3,2.55,13402.0
2020-03-25,2.3356,2.6,2.29,2.35,20061.0
2020-03-24,2.1204,2.435,2.1204,2.27,11568.0
2020-03-23,1.83,2.14,1.83,2.07,31668.0
2020-03-20,2.0,2.2,2.0,2.14,6396.0
2020-03-19,1.8458,2.21,1.8458,2.11,21012.0
2020-03-18,1.84,2.28,1.84,2.06,33529.0
2020-03-17,2.0,2.28,1.8983,2.205,8286.0
2020-03-16,2.38,2.38,1.83,2.2143,4560.0
2020-03-13,2.5912,2.7,2.3632,2.389,2045.0
2020-03-12,2.62,2.7,2.3,2.3307,3937.0
2020-03-11,2.6216,2.76,2.57,2.721,4177.0
2020-03-10,2.6527,2.77,2.59,2.6856,7993.0
2020-03-09,2.8878,2.8916,2.6562,2.6562,4868.0
2020-03-06,2.71,2.84,2.67,2.7071,4970.0
2020-03-05,2.88,2.88,2.67,2.69,3567.0
2020-03-04,2.8914,2.8914,2.88,2.88,294.0
2020-03-03,3.0,3.0,2.65,2.66,4525.0
2020-03-02,2.8211,2.8706,2.6,2.6,3614.0
2020-02-28,3.0087,3.0087,2.78,2.78,5535.0
2020-02-27,3.07,3.07,2.86,2.86,11263.0
2020-02-26,2.96,3.09,2.96,3.0147,5072.0
2020-02-25,3.0202,3.1281,2.91,3.04,7836.0
2020-02-24,3.1,3.1049,2.91,3.0931,7211.0
2020-02-21,3.13,3.15,2.96,3.13,17857.0
2020-02-20,3.13,3.21,3.05,3.15,16178.0
2020-02-19,3.13,3.21,2.93,3.1081,24796.0
2020-02-18,3.12,3.2099,3.02,3.11,9152.0
2020-02-14,3.1,3.15,3.01,3.15,10709.0
2020-02-13,3.14,3.14,3.0273,3.09,9300.0
2020-02-12,2.96,3.1748,2.93,2.93,4796.0
2020-02-11,3.08,3.2,2.9501,3.0,14056.0
2020-02-10,3.4,3.4102,2.91,2.91,21059.0
2020-02-07,3.3,3.44,3.17,3.32,6045.0
2020-02-06,3.16,3.38,3.11,3.11,19947.0
2020-02-05,3.4204,3.525,3.07,3.33,25140.0
2020-02-04,3.22,3.3467,3.1814,3.2225,13393.0
2020-02-03,3.33,3.52,3.25,3.28,17696.0
2020-01-31,3.61,3.74,3.35,3.35,16883.0
2020-01-30,3.6038,3.82,3.6,3.61,4906.0
2020-01-29,3.68,3.79,3.6,3.76,11303.0
2020-01-28,3.67,4.0,3.63,3.86,13435.0
2020-01-27,3.58,3.82,3.5,3.7999,13154.0
2020-01-24,3.6332,3.91,3.6,3.74,15941.0
2020-01-23,3.82,3.85,3.56,3.79,15806.0
2020-01-22,3.8996,3.8996,3.5382,3.82,7929.0
2020-01-21,3.7,3.96,3.7,3.8,14476.0
2020-01-17,3.8473,3.85,3.6438,3.7965,13322.0
2020-01-16,3.77,3.8,3.71,3.79,26011.0
2020-01-15,3.71,3.8,3.63,3.77,40701.0
2020-01-14,3.7965,3.7965,3.57,3.7,4131.0
2020-01-13,3.88,4.0,3.51,3.7681,20156.0
2020-01-10,3.55,3.73,3.3184,3.69,21689.0
2020-01-09,3.26,3.54,3.24,3.54,22253.0
2020-01-08,3.3696,3.65,3.05,3.4,46385.0
2020-01-07,2.95,3.42,2.92,3.42,25180.0
2020-01-06,2.9865,3.12,2.95,3.0,38507.0
2020-01-03,2.8,2.84,2.62,2.84,18201.0
2020-01-02,2.66,2.7998,2.62,2.71,8227.0
2019-12-31,2.79,2.7998,2.62,2.7,12386.0
2019-12-30,2.75,2.8399,2.65,2.7323,14195.0
2019-12-27,2.83,2.87,2.72,2.8,21445.0
2019-12-26,2.82,2.85,2.72,2.85,9645.0
2019-12-24,2.86,3.0,2.65,2.9406,16894.0
2019-12-23,3.0146,3.025,2.85,2.86,7568.0
2019-12-20,2.9635,3.1397,2.95,2.95,29540.0
2019-12-19,3.07,3.14,2.95,3.09,21066.0
2019-12-18,2.9503,3.08,2.95,3.08,11560.0
2019-12-17,3.1,3.1473,2.95,2.96,17451.0
2019-12-16,3.1065,3.12,2.9435,3.0898,11950.0
2019-12-13,3.0999,3.1198,2.96,3.05,10659.0
2019-12-12,2.99,3.1,2.96,3.03,11199.0
2019-12-11,3.08,3.12,2.9098,3.0,14394.0
2019-12-10,3.1193,3.15,2.94,2.95,8807.0
2019-12-09,2.91,3.11,2.86,2.93,6931.0
2019-12-06,2.8835,3.1397,2.88,3.0,9065.0
2019-12-05,3.0557,3.09,2.88,2.9618,6857.0
2019-12-04,2.96,3.1781,2.93,3.01,7972.0
2019-12-03,2.98,3.04,2.92,3.03,9375.0
2019-12-02,3.13,3.1362,2.91,3.02,12298.0
2019-11-29,3.05,3.05,2.9849,2.9849,1210.0
2019-11-27,3.1681,3.1696,3.0,3.05,10049.0
2019-11-26,2.98,3.1198,2.95,3.06,10731.0
2019-11-25,3.0465,3.14,2.91,2.91,17453.0
2019-11-22,2.79,3.0789,2.79,2.82,42245.0
2019-11-21,2.78,3.15,2.75,2.87,10029.0
2019-11-20,2.8,2.84,2.63,2.74,17467.0
2019-11-19,2.8365,2.85,2.75,2.75,14803.0
2019-11-18,2.95,3.0,2.7905,2.8,16998.0
2019-11-15,2.96,3.1,2.95,2.99,21050.0
2019-11-14,3.08,3.1699,3.0,3.0,19542.0
2019-11-13,3.15,3.17,3.08,3.17,5383.0
2019-11-12,3.03,3.1744,3.03,3.13,26407.0
2019-11-11,3.09,3.1899,3.0801,3.1799,7966.0
2019-11-08,3.12,3.1999,3.1,3.17,23039.0
2019-11-07,3.3746,3.42,3.02,3.17,56638.0
2019-11-06,3.31,3.39,3.2745,3.37,8981.0
2019-11-05,3.4095,3.57,3.29,3.4201,29400.0
2019-11-04,3.62,3.63,3.4044,3.43,37994.0
2019-11-01,3.4,3.64,3.361,3.5822,24247.0
2019-10-31,3.49,3.6995,3.49,3.55,51579.0
2019-10-30,3.35,3.47,3.27,3.46,32981.0
2019-10-29,3.38,3.49,3.25,3.35,92464.0
2019-10-28,5.26,5.45,3.3,3.46,2250410.0
2019-10-25,3.61,4.15,3.5931,3.7838,111364.0
2019-10-24,3.78,3.83,3.26,3.65,9094.0
2019-10-23,3.67,3.83,3.65,3.7,10630.0
2019-10-22,3.712,3.83,3.7,3.7,12244.0
2019-10-21,3.8,3.8,3.7017,3.7756,9163.0
2019-10-18,3.68,3.8289,3.62,3.775,6929.0
2019-10-17,3.68,3.68,3.5911,3.66,3036.0
2019-10-16,3.35,3.7,3.35,3.59,8268.0
2019-10-15,3.63,3.65,3.3182,3.41,5996.0
2019-10-14,3.55,3.6489,3.54,3.6489,1994.0
2019-10-11,3.33,3.55,3.32,3.55,7296.0
2019-10-10,3.57,3.64,3.24,3.25,8065.0
2019-10-09,3.5,3.63,3.5,3.6273,1898.0
2019-10-08,3.4965,3.53,3.45,3.5,3480.0
2019-10-07,3.61,3.67,3.42,3.45,5615.0
2019-10-04,3.55,3.6965,3.3401,3.5748,13949.0
2019-10-03,3.426,3.7,3.33,3.51,11655.0
2019-10-02,3.45,3.49,3.3536,3.48,3208.0
2019-10-01,3.3036,3.3465,3.09,3.27,2060.0
2019-09-30,3.03,3.3365,3.03,3.28,5882.0
2019-09-27,3.43,3.54,3.0268,3.1327,58755.0
2019-09-26,3.73,3.97,3.4041,3.41,16137.0
2019-09-25,3.65,3.7789,3.53,3.7,7534.0
2019-09-24,3.81,3.8465,3.62,3.62,16592.0
2019-09-23,3.5772,3.89,3.5772,3.62,29380.0
2019-09-20,3.57,3.77,3.52,3.73,6300.0
2019-09-19,3.74,3.89,3.25,3.71,41527.0
2019-09-18,3.7,3.8888,3.6,3.77,16469.0
2019-09-17,4.4465,4.4465,3.66,3.66,66393.0
2019-09-16,4.42,4.578,4.3,4.45,12345.0
2019-09-13,4.43,4.6,4.3,4.5504,13153.0
2019-09-12,4.4616,4.4965,4.2813,4.426,11961.0
2019-09-11,4.56,4.56,4.2601,4.4448,15271.0
2019-09-10,4.69,4.899,4.6,4.65,34668.0
2019-09-09,4.07,4.83,4.04,4.69,125284.0
2019-09-06,4.16,4.16,3.91,4.06,11760.0
2019-09-05,4.2,4.43,4.03,4.2,51835.0
2019-09-04,3.64,4.25,3.6301,4.2,109915.0
2019-09-03,3.4,3.8037,3.36,3.7165,35424.0
2019-08-30,3.31,3.41,3.31,3.38,14587.0
2019-08-29,3.28,3.57,3.27,3.38,36840.0
2019-08-28,3.18,3.3,3.18,3.28,27010.0
2019-08-27,3.21,3.3,3.2,3.26,22588.0
2019-08-26,3.2499,3.29,2.9246,2.9246,15197.0
2019-08-23,3.25,3.3,3.2,3.25,15282.0
2019-08-22,3.23,3.29,3.21,3.29,12229.0
2019-08-21,3.3,3.33,3.1563,3.3,6963.0
2019-08-20,3.3,3.33,3.14,3.33,16183.0
2019-08-19,3.32,3.32,3.25,3.3,8165.0
2019-08-16,3.28,3.34,3.19,3.32,11486.0
2019-08-15,3.35,3.4,3.1356,3.17,9174.0
2019-08-14,3.3,3.45,2.875,3.38,16822.0
2019-08-13,3.43,3.48,3.27,3.3,12511.0
2019-08-12,3.4,3.48,3.35,3.35,15824.0
2019-08-09,3.4873,3.4873,3.38,3.39,12870.0
2019-08-08,3.46,3.54,3.41,3.46,15025.0
2019-08-07,3.6,3.7,3.35,3.38,17546.0
2019-08-06,3.48,3.68,3.25,3.65,21966.0
2019-08-05,3.49,3.5,3.2,3.5,12585.0
2019-08-02,3.4,3.5,3.31,3.5,15505.0
2019-08-01,3.49,3.57,3.3,3.4,15007.0
2019-07-31,3.3489,3.55,3.32,3.48,15655.0
2019-07-30,3.3,3.36,3.2,3.3475,14134.0
2019-07-29,3.36,3.54,3.1,3.1,30484.0
2019-07-26,3.35,3.56,3.35,3.434,28445.0
2019-07-25,3.68,3.68,3.3,3.342,29658.0
2019-07-24,3.69,3.7,3.5159,3.6,11660.0
2019-07-23,3.53,3.7,3.52,3.54,24484.0
2019-07-22,3.52,3.8,3.52,3.69,12401.0
2019-07-19,3.3,3.65,3.3,3.62,47947.0
2019-07-18,3.4,3.4,3.2,3.2,12509.0
2019-07-17,3.44,3.479,3.21,3.23,22684.0
2019-07-16,3.43,3.5478,3.2,3.29,45535.0
2019-07-15,3.86,3.8975,3.54,3.55,10307.0
2019-07-12,3.69,3.9,3.69,3.85,14018.0
2019-07-11,3.86,4.15,3.69,3.7,21499.0
2019-07-10,3.75,3.8989,3.6,3.7001,9602.0
2019-07-09,3.77,3.78,3.5301,3.67,13402.0
2019-07-08,3.72,3.75,3.5577,3.71,12087.0
2019-07-05,3.54,3.66,3.52,3.64,23021.0
2019-07-03,3.69,3.8,3.51,3.51,5110.0
2019-07-02,3.6696,3.7824,3.5649,3.74,6070.0
2019-07-01,3.66,3.7,3.4401,3.7,14543.0
2019-06-28,3.75,3.8689,3.4,3.58,26542.0
2019-06-27,3.92,3.92,3.4,3.79,26158.0
2019-06-26,3.5,4.4995,3.5,3.84,264983.0
2019-06-25,3.52,3.64,3.35,3.49,10578.0
2019-06-24,3.298,3.4865,3.15,3.33,24148.0
2019-06-21,3.74,3.795,3.2,3.21,17048.0
2019-06-20,3.5975,3.6,3.45,3.55,6414.0
2019-06-19,3.5265,3.69,3.45,3.61,4719.0
2019-06-18,3.6289,3.6289,3.25,3.53,25352.0
2019-06-17,3.63,3.7389,3.515,3.63,4860.0
2019-06-14,3.61,3.89,3.3964,3.55,5044.0
2019-06-13,3.81,3.85,3.51,3.8,6018.0
2019-06-12,3.71,3.89,3.6,3.71,8600.0
2019-06-11,3.9,3.95,3.7,3.85,6100.0
2019-06-10,3.91,3.91,3.63,3.9,7453.0
2019-06-07,3.73,3.95,3.43,3.9,42699.0
2019-06-06,4.07,4.08,3.7,3.91,12262.0
2019-06-05,3.91,4.09,3.87,4.0,10962.0
2019-06-04,3.64,3.97,3.64,3.91,9253.0
2019-06-03,3.95,4.04,3.63,3.63,4874.0
2019-05-31,4.1,4.1,3.65,3.81,22492.0
2019-05-30,4.07,4.19,3.9396,4.0,10870.0
2019-05-29,3.93,4.17,3.73,4.11,40508.0
2019-05-28,3.9,4.11,3.72,3.73,19666.0
2019-05-24,4.0,4.12,3.871,3.871,7661.0
2019-05-23,4.17,4.26,3.9,3.9,10082.0
2019-05-22,3.79,4.33,3.71,4.32,42570.0
2019-05-21,3.72,3.93,3.5,3.8,42102.0
2019-05-20,4.42,4.42,3.07,3.7799,186246.0
2019-05-17,4.7,4.78,4.34,4.38,48837.0
2019-05-16,5.011,5.08,4.65,4.75,14378.0
2019-05-15,5.0,5.0,4.81,4.88,10153.0
2019-05-14,4.9,5.0,4.7,4.91,11020.0
2019-05-13,5.05,5.0936,4.7001,4.81,17280.0
2019-05-10,5.12,5.12,4.81,5.0,41928.0
2019-05-09,5.34,5.34,4.9,5.095,76099.0
2019-05-08,5.38,5.445,5.1601,5.28,55195.0
2019-05-07,4.99,5.58,4.99,5.38,130493.0
2019-05-06,4.93,5.14,4.76,5.03,40240.0
2019-05-03,4.8887,5.16,4.8501,5.16,28588.0
2019-05-02,4.89,5.1,4.7,5.07,30836.0
2019-05-01,4.84,4.9989,4.65,4.84,32723.0
2019-04-30,4.69,4.9,4.6,4.85,81025.0
2019-04-29,4.77,4.8,4.61,4.745,68063.0
2019-04-26,4.83,4.9,4.6,4.76,100439.0
2019-04-25,5.29,5.29,4.67,4.83,101732.0
2019-04-24,5.17,5.3716,5.0,5.13,81331.0
2019-04-23,5.18,5.47,5.11,5.19,175461.0
2019-04-22,5.07,5.5,5.07,5.17,95146.0
2019-04-18,4.81,5.5,4.7431,5.29,246069.0
2019-04-17,4.97,5.2,4.65,4.85,211925.0
2019-04-16,5.4,5.609,4.28,4.94,269616.0
2019-04-15,5.52,5.72,5.4,5.4,96608.0
2019-04-12,5.87,6.0,5.44,5.72,269959.0
2019-04-11,5.7,6.0,5.55,5.61,141153.0
2019-04-10,6.4,6.4572,5.68,5.71,225893.0
2019-04-09,6.2,6.7499,6.2,6.38,144369.0
2019-04-08,6.36,6.8,6.15,6.39,298141.0
2019-04-05,5.99,6.87,5.99,6.18,509012.0
2019-04-04,7.25,7.5,5.85,5.88,682860.0
2019-04-03,5.34,7.85,5.2001,7.18,1811589.0
2019-04-02,5.5,5.89,5.1,5.14,736307.0
