date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,8.0,8.28,7.9,8.28,6200.0
2020-04-23,8.06,8.485,7.9,7.97,13248.0
2020-04-22,7.82,8.38,7.82,8.23,42018.0
2020-04-21,7.85,8.32,7.85,8.01,11200.0
2020-04-20,8.69,9.72,8.0,8.22,14224.0
2020-04-17,8.56,9.03,8.56,8.98,20337.0
2020-04-16,8.21,8.2768,7.65,8.16,28075.0
2020-04-15,8.92,9.02,8.25,8.3,24833.0
2020-04-14,9.51,9.5281,8.8196,9.02,19244.0
2020-04-13,9.23,9.43,9.05,9.11,14540.0
2020-04-09,9.0,9.44,9.0,9.42,19448.0
2020-04-08,8.94,9.1059,8.9386,9.0,22215.0
2020-04-07,9.03,9.03,8.65,8.66,26279.0
2020-04-06,9.0,9.02,8.78,9.02,27127.0
2020-04-03,8.41,8.98,7.71,8.35,47829.0
2020-04-02,9.36,9.7,8.0,8.64,55238.0
2020-04-01,9.96,9.96,8.57,8.59,26030.0
2020-03-31,9.3,10.48,9.3,9.78,51314.0
2020-03-30,9.02,9.73,8.61,9.73,18029.0
2020-03-27,8.8401,10.17,8.8401,9.11,16924.0
2020-03-26,9.67,10.2,8.84,10.14,38817.0
2020-03-25,8.88,9.73,8.75,9.69,16925.0
2020-03-24,8.96,9.17,7.31,8.95,51548.0
2020-03-23,9.77,9.77,8.64,8.65,25497.0
2020-03-20,9.86,9.86,8.5401,9.73,47360.0
2020-03-19,9.7,10.07,9.21,9.97,39228.0
2020-03-18,10.67,10.67,9.3,9.64,51854.0
2020-03-17,9.925,11.33,9.66,11.32,56372.0
2020-03-16,9.8684,10.37,9.86,9.86,34844.0
2020-03-13,9.98,10.99,9.73,10.93,36858.0
2020-03-12,10.38,11.0,9.36,9.73,29182.0
2020-03-11,11.0,11.44,10.63,11.32,22935.0
2020-03-10,11.42,11.605,10.68,11.44,26434.0
2020-03-09,12.17,12.78,10.6,11.01,17317.0
2020-03-06,12.46,13.08,12.2,12.48,17443.0
2020-03-05,13.83,14.13,12.495,13.08,31223.0
2020-03-04,13.65,14.575,13.65,14.2,34540.0
2020-03-03,14.17,15.5,13.53,13.63,32558.0
2020-03-02,13.95,14.7682,13.95,14.32,31872.0
