date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,2.15,2.15,2.15,2.15,265.0
2020-03-30,2.0,2.13,2.0,2.13,593.0
2020-03-27,2.18,2.18,2.18,2.18,121.0
2020-03-26,2.18,2.18,2.18,2.18,37.0
2020-03-25,2.18,2.18,2.18,2.18,178.0
2020-03-24,2.01,2.14,2.0,2.14,1565.0
2020-03-23,2.1,2.1,2.1,2.1,470.0
2020-03-20,2.02,2.1,2.0,2.1,2482.0
2020-03-19,2.26,2.26,2.26,2.26,0.0
2020-03-18,2.26,2.26,2.26,2.26,24.0
2020-03-17,2.26,2.26,2.26,2.26,20.0
2020-03-16,2.26,2.26,2.26,2.26,266.0
2020-03-13,2.26,2.26,2.26,2.26,210.0
2020-03-12,2.2,2.2,2.2,2.2,11.0
2020-03-11,2.2,2.2,2.2,2.2,442.0
2020-03-10,2.1,2.1,1.815,2.1,4966.0
2020-03-09,2.22,2.22,2.22,2.22,5.0
2020-03-06,2.22,2.22,2.22,2.22,0.0
2020-03-05,2.06,2.22,1.8,2.22,3504.0
2020-03-04,2.24,2.24,2.24,2.24,57.0
2020-03-03,2.54,2.54,2.03,2.24,1207.0
2020-03-02,2.56,2.56,2.56,2.56,3.0
2020-02-28,2.56,2.56,2.56,2.56,38.0
2020-02-27,2.56,2.56,2.56,2.56,38.0
2020-02-26,2.56,2.56,2.56,2.56,0.0
2020-02-25,2.56,2.56,2.56,2.56,80.0
2020-02-24,2.56,2.56,2.56,2.56,0.0
2020-02-21,2.56,2.56,2.56,2.56,11.0
2020-02-20,2.56,2.56,2.56,2.56,24.0
2020-02-19,2.56,2.56,2.56,2.56,27.0
2020-02-18,2.44,2.56,2.44,2.56,286.0
2020-02-14,2.11,2.3618,2.11,2.3618,432.0
2020-02-13,2.4525,2.4525,2.4525,2.4525,20.0
2020-02-12,2.4525,2.4525,2.4525,2.4525,80.0
2020-02-11,2.24,2.4525,2.24,2.4525,794.0
2020-02-10,2.19,2.19,2.04,2.1585,637.0
2020-02-07,2.04,2.18,1.975,2.18,3656.0
2020-02-06,2.025,2.32,2.02,2.1,1495.0
2020-02-05,2.27,2.27,2.27,2.27,263.0
2020-02-04,2.21,2.21,2.21,2.21,26.0
2020-02-03,2.21,2.21,2.21,2.21,83.0
2020-01-31,2.21,2.21,2.21,2.21,159.0
2020-01-30,2.17,2.17,2.17,2.17,50.0
2020-01-29,2.17,2.17,2.17,2.17,158.0
2020-01-28,2.17,2.17,2.17,2.17,152.0
2020-01-27,2.0,2.17,2.0,2.17,709.0
2020-01-24,2.1899,2.1899,2.1899,2.1899,111.0
2020-01-23,2.1022,2.1899,2.1022,2.1899,638.0
2020-01-22,2.2,2.2,2.2,2.2,190.0
2020-01-21,2.2,2.2,2.2,2.2,165.0
2020-01-17,2.0528,2.16,2.03,2.16,1946.0
2020-01-16,2.22,2.22,2.22,2.22,117.0
2020-01-15,2.22,2.22,2.22,2.22,1550.0
2020-01-14,2.12,2.23,2.12,2.2,954.0
2020-01-13,2.08,2.08,2.0624,2.0724,1470.0
2020-01-10,2.0,2.0562,2.0,2.0562,12766.0
2020-01-09,2.01,2.0962,2.0,2.0962,638.0
2020-01-08,2.1362,2.14,2.1362,2.14,415.0
2020-01-07,2.12,2.12,2.1197,2.1197,509.0
2020-01-06,2.09,2.09,2.0,2.0873,3425.0
2020-01-03,2.12,2.12,2.0,2.0,1220.0
