date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,5.05,5.6,5.0,5.35,52134.0
2020-03-30,5.42,6.0,5.0,5.19,220752.0
2020-03-27,6.2,6.25,5.65,5.81,86737.0
2020-03-26,6.14,7.5994,5.31,6.72,323242.0
2020-03-25,5.74,6.57,5.2506,6.49,176437.0
2020-03-24,6.11,6.26,4.72,5.74,187470.0
2020-03-23,6.63,7.02,6.11,6.63,88614.0
2020-03-20,11.0,11.4625,6.24,6.68,517265.0
2020-03-19,12.5,12.96,6.9,9.3,715926.0
2020-03-18,5.25,16.93,4.64,9.05,1078244.0
2020-03-17,4.6599,5.3,4.58,4.76,38422.0
2020-03-16,3.63,4.7326,3.5383,4.66,51313.0
2020-03-13,4.02,4.7899,3.21,4.11,25983.0
2020-03-12,5.66,5.745,4.02,4.16,25284.0
2020-03-11,5.63,5.7687,5.43,5.6101,3357.0
2020-03-10,5.9,6.2499,5.9,6.21,9299.0
2020-03-09,7.0,7.0,5.86,6.06,9037.0
2020-03-06,6.6158,6.84,6.5101,6.6,3932.0
2020-03-05,6.72,7.1476,6.65,6.67,5656.0
2020-03-04,6.81,7.2226,6.7255,6.9523,4708.0
2020-03-03,6.87,7.35,6.81,6.81,5259.0
2020-03-02,7.13,7.1641,6.7336,7.0,2793.0
2020-02-28,6.86,7.33,6.66,7.33,28878.0
2020-02-27,6.5,7.5826,6.19,7.52,17388.0
2020-02-26,7.62,7.85,6.9215,7.2153,23804.0
2020-02-25,8.099,8.099,7.6,7.62,13821.0
2020-02-24,8.3,8.3855,8.0,8.0,19939.0
2020-02-21,8.88,8.88,8.4,8.43,16117.0
2020-02-20,8.5732,8.8,8.5732,8.7,11880.0
2020-02-19,8.92,9.1697,8.7,8.9204,6815.0
2020-02-18,8.71,9.25,8.57,9.0,42836.0
2020-02-14,8.31,9.34,8.2991,8.96,58511.0
2020-02-13,8.7,8.7,8.3,8.4,19570.0
2020-02-12,8.89,9.0899,8.3,8.41,27991.0
2020-02-11,8.63,9.2,8.54,9.06,24807.0
2020-02-10,8.27,9.49,8.27,8.66,43956.0
2020-02-07,9.2,10.5,8.53,8.53,166518.0
2020-02-06,8.01,9.17,8.01,9.15,129863.0
2020-02-05,8.32,8.44,7.94,8.33,25415.0
2020-02-04,8.27,9.67,7.5247,8.4999,142012.0
2020-02-03,8.2775,9.2,8.01,8.27,63659.0
2020-01-31,7.81,8.2442,7.5,7.9131,42305.0
2020-01-30,8.32,8.4899,7.8128,7.9694,34878.0
2020-01-29,8.76,8.9,8.275,8.4625,30853.0
2020-01-28,8.7766,9.8501,8.5,9.0,54800.0
2020-01-27,9.24,9.41,8.59,8.82,57562.0
2020-01-24,13.54,13.54,9.2286,9.82,256334.0
2020-01-23,14.02,14.6,12.75,12.75,26691.0
2020-01-22,15.15,15.4,14.01,14.16,30237.0
2020-01-21,15.5,15.94,14.5624,15.505,20286.0
2020-01-17,15.35,16.1,14.5361,15.61,15476.0
2020-01-16,14.57,17.0,14.56,15.35,75961.0
2020-01-15,14.23,15.19,14.01,14.29,35952.0
2020-01-14,15.1,15.29,14.02,14.2407,28571.0
2020-01-13,14.95,15.3166,13.45,15.02,50497.0
2020-01-10,17.29,17.7141,14.76,15.23,70806.0
2020-01-09,17.59,21.2,16.1,17.29,220172.0
2020-01-08,24.51,27.5,17.8,19.25,1720101.0
2020-01-07,7.8914,8.07,7.44,8.07,153295.0
2020-01-06,7.7,8.1,7.7,8.06,9413.0
2020-01-03,8.07,8.4,7.675,8.09,33284.0
2020-01-02,8.9712,8.9712,8.08,8.1434,12222.0
2019-12-31,8.7,8.7,8.44,8.64,15580.0
2019-12-30,9.0609,9.0609,8.75,8.75,9626.0
2019-12-27,8.64,9.25,8.4001,8.98,49790.0
2019-12-26,8.6332,9.0453,8.07,8.54,25428.0
2019-12-24,8.205,10.44,8.02,8.54,110355.0
2019-12-23,7.79,8.4483,7.5035,8.05,30384.0
2019-12-20,8.1601,8.2331,7.4818,7.7901,32029.0
2019-12-19,8.06,8.8507,7.4294,8.2814,69170.0
2019-12-18,7.27,7.9886,7.03,7.9886,30183.0
2019-12-17,7.21,8.5,7.05,7.3351,40250.0
2019-12-16,7.5947,7.89,7.1701,7.46,8606.0
2019-12-13,0.2173,0.2173,0.2025,0.2055,161126.0
2019-12-12,0.235,0.235,0.2001,0.2067,208525.0
2019-12-11,0.23,0.232,0.2205,0.2231,49948.0
2019-12-10,0.23,0.24,0.23,0.2317,46206.0
2019-12-09,0.245,0.2675,0.22,0.2313,318961.0
2019-12-06,0.23,0.3,0.23,0.2301,737825.0
2019-12-05,0.23,0.269,0.23,0.2567,276335.0
2019-12-04,0.24,0.24,0.2225,0.23,79637.0
2019-12-03,0.2305,0.2352,0.22,0.2351,121220.0
2019-12-02,0.2315,0.24,0.2315,0.2376,33676.0
2019-11-29,0.25,0.269,0.2362,0.255,27116.0
2019-11-27,0.2577,0.269,0.244,0.255,63585.0
2019-11-26,0.25,0.267,0.245,0.2649,51680.0
2019-11-25,0.26,0.269,0.244,0.2501,131841.0
2019-11-22,0.2623,0.2623,0.242,0.2598,45585.0
2019-11-21,0.2402,0.2796,0.24,0.25,154210.0
2019-11-20,0.26,0.28,0.2369,0.26,101044.0
2019-11-19,0.25,0.25,0.23,0.2489,51709.0
2019-11-18,0.23,0.25,0.23,0.2391,83339.0
2019-11-15,0.27,0.28,0.2356,0.2604,209197.0
2019-11-14,0.28,0.287,0.228,0.2602,358314.0
2019-11-13,0.282,0.3,0.2411,0.268,302620.0
2019-11-12,0.319,0.3218,0.2814,0.29,190567.0
2019-11-11,0.33,0.36,0.3122,0.314,204184.0
2019-11-08,0.3722,0.3732,0.3564,0.36,19208.0
2019-11-07,0.3571,0.38,0.356,0.3562,55176.0
2019-11-06,0.3802,0.3832,0.355,0.356,91461.0
2019-11-05,0.395,0.4025,0.3702,0.3898,19206.0
2019-11-04,0.3904,0.4138,0.3904,0.3922,62695.0
2019-11-01,0.3937,0.4,0.3501,0.3719,179015.0
2019-10-31,0.41,0.4177,0.38,0.383,89225.0
2019-10-30,0.44,0.44,0.4025,0.4102,24674.0
2019-10-29,0.44,0.44,0.4,0.4025,26722.0
2019-10-28,0.41,0.4482,0.4,0.4182,15589.0
2019-10-25,0.402,0.42,0.4,0.41,17112.0
2019-10-24,0.43,0.46,0.4,0.406,102542.0
2019-10-23,0.44,0.44,0.4001,0.43,20512.0
2019-10-22,0.426,0.436,0.4,0.42,72828.0
2019-10-21,0.42,0.436,0.42,0.43,80556.0
2019-10-18,0.43,0.43,0.4203,0.423,11068.0
2019-10-17,0.43,0.43,0.4225,0.43,44739.0
2019-10-16,0.421,0.45,0.4201,0.4252,27346.0
2019-10-15,0.449,0.449,0.42,0.42,62896.0
2019-10-14,0.45,0.45,0.43,0.449,16155.0
2019-10-11,0.45,0.45,0.4242,0.45,12904.0
2019-10-10,0.45,0.45,0.4291,0.4314,42711.0
2019-10-09,0.4472,0.45,0.4336,0.442,28854.0
2019-10-08,0.4549,0.4585,0.4365,0.45,14695.0
2019-10-07,0.434,0.4699,0.434,0.4598,20076.0
2019-10-04,0.4391,0.47,0.4344,0.4672,39961.0
2019-10-03,0.42,0.4934,0.42,0.4499,176957.0
2019-10-02,0.4322,0.45,0.4,0.4101,76823.0
2019-10-01,0.4671,0.4748,0.43,0.43,109769.0
2019-09-30,0.47,0.4935,0.47,0.47,48038.0
2019-09-27,0.499,0.499,0.47,0.47,52889.0
2019-09-26,0.4951,0.4951,0.47,0.4799,25242.0
2019-09-25,0.47,0.49,0.47,0.4715,34077.0
2019-09-24,0.4701,0.49,0.47,0.4774,99146.0
2019-09-23,0.47,0.508,0.47,0.4701,205040.0
2019-09-20,0.4833,0.508,0.48,0.48,37679.0
2019-09-19,0.49,0.508,0.4808,0.4808,90178.0
2019-09-18,0.499,0.52,0.4808,0.4899,26550.0
2019-09-17,0.5086,0.5086,0.4851,0.49,23077.0
2019-09-16,0.49,0.51,0.485,0.485,89577.0
2019-09-13,0.4975,0.4975,0.4703,0.49,18989.0
2019-09-12,0.4882,0.4989,0.47,0.4825,29578.0
2019-09-11,0.47,0.499,0.47,0.4856,47222.0
2019-09-10,0.48,0.4977,0.48,0.4801,18924.0
2019-09-09,0.49,0.5,0.47,0.4701,53700.0
2019-09-06,0.5,0.5216,0.49,0.5,105254.0
2019-09-05,0.4898,0.5101,0.48,0.5,39793.0
2019-09-04,0.5,0.5,0.46,0.469,51559.0
2019-09-03,0.5,0.5,0.465,0.49,19452.0
2019-08-30,0.486,0.5,0.46,0.4757,63028.0
2019-08-29,0.5,0.545,0.4735,0.5,57563.0
2019-08-28,0.5026,0.5383,0.487,0.4989,58464.0
2019-08-27,0.5,0.53,0.485,0.5,26139.0
2019-08-26,0.5202,0.54,0.5,0.5,33848.0
2019-08-23,0.52,0.5397,0.512,0.526,21686.0
2019-08-22,0.5301,0.5354,0.5,0.512,12500.0
2019-08-21,0.51,0.54,0.51,0.5299,17942.0
2019-08-20,0.5,0.55,0.5,0.5,166125.0
2019-08-19,0.47,0.51,0.47,0.5,102850.0
2019-08-16,0.45,0.51,0.45,0.47,174729.0
2019-08-15,0.498,0.498,0.44,0.4687,23499.0
2019-08-14,0.441,0.464,0.4323,0.464,22582.0
2019-08-13,0.4387,0.48,0.43,0.465,125017.0
