date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,12.58,12.6723,12.09,12.29,14926.0
2020-04-23,12.62,13.05,12.34,12.52,30567.0
2020-04-22,12.2173,13.1,11.73,12.76,20972.0
2020-04-21,10.79,11.65,10.79,11.24,30446.0
2020-04-20,12.2,12.6,10.65,11.37,45261.0
2020-04-17,12.25,12.79,12.1,12.57,25012.0
2020-04-16,12.29,12.3966,11.45,11.75,31406.0
2020-04-15,12.84,13.04,12.06,12.36,37563.0
2020-04-14,12.73,13.49,12.73,13.4,35220.0
2020-04-13,13.11,14.1259,12.15,12.15,18278.0
2020-04-09,11.51,13.5,11.51,13.225,37935.0
2020-04-08,11.38,11.675,10.83,11.67,23972.0
2020-04-07,11.31,11.7,11.25,11.38,29746.0
2020-04-06,10.71,11.145,10.2601,11.025,33199.0
2020-04-03,11.27,11.46,10.0,10.09,42485.0
2020-04-02,11.56,12.24,10.52,11.44,55256.0
2020-04-01,13.09,13.09,11.56,11.67,35988.0
2020-03-31,12.98,13.8,12.11,13.49,65807.0
2020-03-30,14.75,14.81,12.4922,13.18,51806.0
2020-03-27,14.83,15.56,13.85,14.83,33541.0
2020-03-26,12.99,15.56,12.8332,15.56,53115.0
2020-03-25,12.17,13.0,11.7347,12.98,49124.0
2020-03-24,11.19,12.02,11.19,12.02,27304.0
2020-03-23,10.71,11.3,10.08,10.81,33522.0
2020-03-20,11.7,12.2029,10.1,10.65,76772.0
2020-03-19,10.48,11.8,9.05,11.8,325371.0
2020-03-18,11.99,12.3,10.23,10.58,42495.0
2020-03-17,12.65,13.0,11.915,12.75,68486.0
2020-03-16,12.98,13.81,12.3,12.5,61637.0
2020-03-13,13.26,14.3913,13.26,14.15,42103.0
2020-03-12,14.59,15.85,13.4,13.41,49927.0
2020-03-11,16.01,16.43,15.805,16.01,24625.0
2020-03-10,17.02,17.5,16.28,16.59,26009.0
2020-03-09,16.24,16.9684,16.1131,16.55,28336.0
2020-03-06,17.93,19.38,17.316,17.85,17692.0
2020-03-05,18.87,19.39,17.735,18.33,23558.0
2020-03-04,18.76,19.44,18.622,19.18,12803.0
2020-03-03,18.87,19.2,18.42,18.51,24445.0
2020-03-02,18.52,18.91,18.51,18.84,17685.0
2020-02-28,18.56,18.76,18.06,18.5,39186.0
2020-02-27,19.3351,19.64,19.04,19.04,16888.0
2020-02-26,19.71,20.17,19.6998,19.81,9341.0
2020-02-25,20.87,20.94,19.39,19.51,19002.0
2020-02-24,21.8,21.8,20.59,20.62,23097.0
2020-02-21,22.52,22.8,22.05,22.11,17970.0
2020-02-20,22.07,22.47,21.5898,22.47,13041.0
2020-02-19,22.19,22.3,21.84,22.22,19711.0
2020-02-18,21.69,22.25,21.5,22.25,21053.0
2020-02-14,21.74,22.58,21.394,21.51,28168.0
2020-02-13,23.29,23.46,23.28,23.4,18216.0
2020-02-12,23.55,23.6,23.14,23.21,17043.0
2020-02-11,23.4,23.62,23.34,23.38,15152.0
2020-02-10,23.23,23.475,23.0,23.13,12742.0
2020-02-07,23.41,23.41,23.05,23.06,13887.0
2020-02-06,23.78,24.0,23.0626,23.34,37632.0
2020-02-05,23.0,23.8,22.75,23.65,20776.0
2020-02-04,22.12,22.94,21.89,22.79,31986.0
2020-02-03,21.68,21.87,21.37,21.695,18853.0
2020-01-31,22.06,22.1,21.3021,21.52,25868.0
2020-01-30,21.84,22.0,21.66,21.79,27278.0
2020-01-29,22.69,22.69,21.66,21.94,21846.0
2020-01-28,23.135,23.3119,22.494,22.7,25551.0
2020-01-27,23.31,23.99,23.3,23.3,16662.0
2020-01-24,23.55,23.59,23.25,23.31,21342.0
2020-01-23,24.55,24.55,23.15,23.48,33778.0
2020-01-22,24.54,24.7025,24.4,24.5,21645.0
2020-01-21,24.54,24.751,24.287,24.4,28330.0
2020-01-17,24.9,24.9,24.54,24.54,9988.0
2020-01-16,24.5,24.88,24.5,24.73,5030.0
2020-01-15,24.44,24.67,24.161,24.5,15384.0
2020-01-14,24.65,24.75,24.32,24.38,18404.0
2020-01-13,24.44,24.85,24.3,24.56,14844.0
2020-01-10,24.4,24.58,24.22,24.47,22999.0
2020-01-09,24.61,24.69,24.25,24.39,6834.0
2020-01-08,24.69,24.9,24.57,24.83,8659.0
2020-01-07,24.56,24.7391,24.45,24.56,8914.0
2020-01-06,24.56,24.81,24.1535,24.66,21922.0
2020-01-03,24.83,24.83,24.5507,24.6,6709.0
2020-01-02,25.39,25.39,24.8,24.88,32240.0
2019-12-31,25.18,25.39,25.11,25.39,20241.0
2019-12-30,24.93,25.2,24.93,25.16,6429.0
2019-12-27,25.19,25.2,24.93,25.15,7119.0
2019-12-26,25.14,25.15,24.935,25.06,10957.0
2019-12-24,25.0838,25.0838,24.91,25.0,4121.0
2019-12-23,25.2416,25.2416,24.85,25.01,22373.0
2019-12-20,25.26,25.26,24.44,25.2,50118.0
2019-12-19,25.3001,25.3001,25.17,25.25,27058.0
2019-12-18,25.45,25.45,24.96,25.17,19051.0
2019-12-17,25.05,25.45,25.0299,25.16,29868.0
2019-12-16,24.49,25.15,24.25,25.1,21091.0
2019-12-13,23.97,24.49,23.9,24.41,24979.0
2019-12-12,24.09,24.48,24.08,24.17,34134.0
2019-12-11,24.03,24.19,23.75,24.09,36941.0
2019-12-10,23.79,24.2028,23.71,24.09,30564.0
2019-12-09,23.3,23.999,23.3,23.7,35657.0
2019-12-06,23.38,23.38,23.12,23.19,38985.0
2019-12-05,23.18,23.33,23.14,23.18,21421.0
2019-12-04,23.32,23.52,23.09,23.09,32285.0
2019-12-03,23.31,23.645,23.31,23.35,4260.0
2019-12-02,23.7208,23.87,23.525,23.65,6340.0
2019-11-29,23.78,23.95,23.78,23.93,3293.0
2019-11-27,23.5682,23.79,23.5682,23.76,3921.0
2019-11-26,23.72,23.72,23.53,23.54,6476.0
2019-11-25,23.4,23.85,23.36,23.63,21664.0
2019-11-22,23.235,23.37,23.235,23.37,5741.0
2019-11-21,23.34,23.35,23.137,23.19,7362.0
2019-11-20,23.27,23.49,23.21,23.21,13442.0
2019-11-19,23.34,23.54,23.34,23.41,26077.0
2019-11-18,23.06,23.38,23.06,23.34,9782.0
2019-11-15,23.56,23.56,22.1864,23.01,29365.0
2019-11-14,23.485,23.67,23.41,23.41,16331.0
2019-11-13,23.83,23.84,23.27,23.62,15103.0
2019-11-12,24.06,24.16,23.9,24.0,6831.0
2019-11-11,23.79,23.99,23.79,23.99,5770.0
2019-11-08,23.9,24.04,23.625,24.02,10333.0
2019-11-07,24.1,24.1,23.93,23.98,11829.0
2019-11-06,24.39,24.39,23.96,23.96,9278.0
2019-11-05,24.2,24.49,24.15,24.34,6304.0
2019-11-04,24.22,24.5,24.18,24.29,15804.0
2019-11-01,23.95,24.2,23.94,24.2,12297.0
2019-10-31,24.08,24.08,23.8,24.04,14032.0
2019-10-30,24.1,24.16,23.51,23.99,9576.0
2019-10-29,24.08,24.2,24.08,24.14,6629.0
2019-10-28,24.3,24.4,24.02,24.22,7155.0
2019-10-25,24.04,24.25,23.94,24.08,6620.0
2019-10-24,23.9169,24.3,23.6679,24.28,11930.0
2019-10-23,22.95,23.63,22.95,23.63,12197.0
2019-10-22,23.23,23.37,23.1,23.12,8096.0
2019-10-21,22.88,23.25,22.88,23.24,5751.0
2019-10-18,22.79,22.93,22.79,22.8,3510.0
2019-10-17,23.25,23.25,22.92,22.92,4895.0
2019-10-16,22.83,23.4,22.83,23.25,6267.0
2019-10-15,22.69,23.0,22.69,23.0,13073.0
2019-10-14,22.22,22.75,22.0,22.74,5317.0
2019-10-11,22.44,22.7,21.7,22.42,17755.0
2019-10-10,21.6895,22.56,21.14,22.18,19228.0
2019-10-09,22.01,22.375,22.01,22.03,4363.0
2019-10-08,22.07,22.07,21.7976,21.93,2975.0
2019-10-07,21.9651,22.21,21.9651,22.1,6475.0
2019-10-04,21.6647,21.83,21.6,21.76,5090.0
2019-10-03,21.38,21.45,21.17,21.45,23935.0
2019-10-02,21.66,21.66,21.27,21.28,6612.0
2019-10-01,21.81,22.18,21.65,21.68,7259.0
2019-09-30,22.48,22.48,22.21,22.22,5979.0
2019-09-27,22.55,22.55,22.38,22.38,2992.0
2019-09-26,22.33,22.69,22.15,22.16,5781.0
2019-09-25,22.13,22.75,22.13,22.54,8926.0
2019-09-24,22.7,22.75,22.21,22.21,14178.0
2019-09-23,22.05,22.93,22.05,22.65,31463.0
2019-09-20,22.67,22.99,22.0142,22.75,33340.0
2019-09-19,23.5,23.5,22.75,22.75,7244.0
2019-09-18,23.3,23.69,23.01,23.41,14639.0
2019-09-17,23.42,23.7,23.085,23.2,26751.0
2019-09-16,24.14,24.14,23.23,23.24,16569.0
2019-09-13,23.07,24.315,22.96,24.3,19066.0
2019-09-12,21.88,22.88,21.88,22.88,14402.0
2019-09-11,21.69,22.25,21.19,22.25,8106.0
2019-09-10,21.11,21.63,20.93,21.51,5268.0
2019-09-09,21.99,22.22,20.1,21.28,21068.0
2019-09-06,22.66,22.66,21.72,21.72,8784.0
2019-09-05,22.22,22.7,22.05,22.69,3925.0
2019-09-04,22.3,22.56,21.65,21.78,5408.0
2019-09-03,22.75,22.75,22.12,22.24,5542.0
2019-08-30,22.68,22.77,22.3,22.77,7345.0
2019-08-29,21.75,22.63,21.165,22.47,13473.0
2019-08-28,21.4,21.86,21.155,21.86,5099.0
2019-08-27,21.11,21.48,20.92,21.45,9702.0
2019-08-26,20.71,21.093,20.71,20.99,4964.0
2019-08-23,21.53,21.53,20.3,20.6,7450.0
2019-08-22,21.64,21.64,21.6,21.6,3753.0
2019-08-21,21.99,22.2,21.61,21.86,6328.0
2019-08-20,21.94,21.94,21.5,21.88,3847.0
2019-08-19,22.19,22.29,21.4642,21.96,8687.0
2019-08-16,21.26,22.17,21.17,22.07,15909.0
2019-08-15,21.0,21.3513,21.0,21.14,4937.0
2019-08-14,21.61,21.61,21.05,21.15,6903.0
2019-08-13,21.8348,22.23,21.3,21.93,35710.0
2019-08-12,21.48,21.69,21.12,21.12,3448.0
2019-08-09,21.8925,21.97,21.5,21.51,6284.0
2019-08-08,21.6578,22.3,21.6578,21.76,7896.0
2019-08-07,21.65,21.76,21.31,21.5,9019.0
2019-08-06,22.0563,22.16,21.81,21.81,6246.0
2019-08-05,22.55,22.55,21.85,21.85,10967.0
2019-08-02,22.98,22.98,22.68,22.74,5898.0
2019-08-01,24.05,24.0999,23.15,23.18,18530.0
2019-07-31,23.89,24.2,23.855,23.97,17616.0
2019-07-30,23.72,24.05,23.72,23.85,9694.0
2019-07-29,23.88,24.1,23.76,23.76,13248.0
2019-07-26,23.7,24.19,23.7,23.85,18260.0
2019-07-25,23.92,23.92,23.7,23.7,6722.0
2019-07-24,23.82,24.15,23.82,23.92,6928.0
2019-07-23,23.7452,24.25,23.7452,23.82,21510.0
2019-07-22,23.9,23.96,23.35,23.96,9951.0
2019-07-19,23.62,23.96,23.55,23.77,9599.0
