date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,54.55,56.98,53.79,56.64,150303.0
2020-04-08,50.55,56.53,50.55,53.61,169810.0
2020-04-07,53.86,54.9899,49.67,50.42,225560.0
2020-04-06,50.56,54.23,48.9255,52.55,266654.0
2020-04-03,54.44,54.44,47.16,48.99,223507.0
2020-04-02,54.23,58.0,50.33,54.46,244601.0
2020-04-01,55.63,57.26,53.15,54.72,217506.0
2020-03-31,58.5,60.2,56.8568,58.16,221970.0
2020-03-30,56.23,59.58,54.69,59.26,287710.0
2020-03-27,54.69,58.315,54.64,55.54,380731.0
2020-03-26,50.97,58.48,50.97,56.3,277114.0
2020-03-25,49.22,52.9573,48.2864,50.84,224639.0
2020-03-24,48.01,54.72,46.905,50.99,255431.0
2020-03-23,48.0,48.64,43.01,46.15,305531.0
2020-03-20,44.47,51.94,44.47,47.93,1095603.0
2020-03-19,42.25,47.445,39.98,43.61,296872.0
2020-03-18,45.18,46.0,39.4208,42.61,232249.0
2020-03-17,42.5,47.975,41.39,47.25,354533.0
2020-03-16,40.83,43.355,39.21,41.96,346664.0
2020-03-13,44.43,47.48,40.9,47.11,409505.0
2020-03-12,44.92,45.835,41.91,42.51,249727.0
2020-03-11,49.85,51.82,47.2,47.51,229062.0
2020-03-10,51.99,52.96,48.52,51.12,267074.0
2020-03-09,50.65,53.0,48.02,50.93,461285.0
2020-03-06,53.89,55.11,53.12,54.36,216495.0
2020-03-05,54.85,56.52,54.14,55.81,372682.0
2020-03-04,55.35,56.47,54.25,55.92,235046.0
2020-03-03,53.25,55.97,52.55,54.07,235497.0
2020-03-02,51.75,53.5385,51.384,52.64,240506.0
2020-02-28,50.1,51.2,49.0292,50.81,291583.0
2020-02-27,51.25,54.0,50.1,51.78,302064.0
2020-02-26,54.54,55.4199,52.04,53.04,252459.0
2020-02-25,57.92,58.79,52.84,54.62,456896.0
2020-02-24,58.1,59.62,56.0,57.85,238387.0
2020-02-21,61.1,61.4153,57.76,60.02,211853.0
2020-02-20,59.37,62.96,59.0752,61.48,466311.0
2020-02-19,52.59,59.86,52.0,57.62,593496.0
2020-02-18,58.41,60.21,55.61,56.62,445697.0
2020-02-14,59.26,60.055,57.57,57.83,249326.0
2020-02-13,57.81,59.1581,56.9,58.87,112786.0
2020-02-12,58.16,58.744,57.51,58.06,155832.0
2020-02-11,59.42,59.8797,56.8501,58.09,203690.0
2020-02-10,54.25,58.48,54.25,58.28,285607.0
2020-02-07,53.48,54.18,52.0,53.95,286170.0
2020-02-06,54.44,55.31,53.13,53.61,193561.0
2020-02-05,55.19,56.376,53.71,54.25,179223.0
