date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,6.035,6.09,6.03,6.081,3034.0
2020-04-08,5.5,5.9556,5.5,5.9556,368.0
2020-04-07,5.1,6.0,5.1,6.0,428.0
2020-04-06,4.8,5.3,4.75,5.3,3743.0
2020-04-03,6.02,6.02,3.83,4.43,13494.0
2020-04-02,6.12,6.12,6.12,6.12,97.0
2020-04-01,6.12,6.12,6.12,6.12,325.0
2020-03-31,6.62,6.62,6.62,6.62,8.0
2020-03-30,6.8913,6.8913,6.62,6.62,2521.0
2020-03-27,7.38,7.38,7.38,7.38,36.0
2020-03-26,7.0,7.38,6.95,7.38,2601.0
2020-03-25,6.27,6.633,6.27,6.633,574.0
2020-03-24,6.38,7.2477,6.07,6.77,2146.0
2020-03-23,6.6917,6.6917,6.6917,6.6917,5.0
2020-03-20,6.688,6.6917,6.355,6.6917,483.0
2020-03-19,6.4,6.75,6.4,6.7,1996.0
2020-03-18,6.62,6.62,6.37,6.4019,2593.0
2020-03-17,6.76,6.76,6.76,6.76,1080.0
2020-03-16,6.91,6.91,6.331,6.6304,784.0
2020-03-13,8.61,8.61,8.6,8.6,601.0
2020-03-12,8.51,8.51,8.5,8.5,1186.0
2020-03-11,10.87,10.87,8.04,8.21,7673.0
2020-03-10,11.61,11.61,10.87,10.87,2078.0
2020-03-09,12.5,12.5,10.83,10.83,2379.0
2020-03-06,6.77,12.61,6.77,12.61,1028.0
2020-03-05,12.7,12.7,12.7,12.7,345.0
2020-03-04,12.73,13.52,12.73,13.52,2989.0
2020-03-03,13.5,13.5,13.5,13.5,97.0
2020-03-02,13.5,13.5,13.5,13.5,2435.0
2020-02-28,13.61,13.664,13.52,13.664,4970.0
2020-02-27,13.75,13.75,13.75,13.75,100.0
2020-02-26,13.9068,13.9068,13.9029,13.9029,1108.0
2020-02-25,13.83,13.83,13.83,13.83,0.0
2020-02-24,13.83,13.83,13.83,13.83,0.0
2020-02-21,13.83,13.83,13.83,13.83,0.0
