date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,124.99,128.5,124.99,125.75,52300.0
2020-03-30,123.01,125.83,122.34,125.83,110865.0
2020-03-27,123.82,125.18,122.0125,122.5203,32315.0
2020-03-26,123.1,126.8701,123.0,126.87,45594.0
2020-03-25,123.26,126.58,120.4754,121.85,54405.0
2020-03-24,121.4,122.42,119.3414,121.85,38906.0
2020-03-23,113.46,116.172,110.9869,115.32,117171.0
2020-03-20,118.92,120.0,113.315,113.67,38107.0
2020-03-19,112.38,118.785,110.638,115.5871,43204.0
2020-03-18,111.17,114.93,108.12,112.95,30920.0
2020-03-17,114.32,119.5586,109.9369,117.16,45423.0
2020-03-16,114.21,119.62,111.6191,111.99,61263.0
2020-03-13,123.42,124.88,118.06,124.7453,38937.0
2020-03-12,119.63,123.1,115.0,117.95,79698.0
2020-03-11,131.77,133.335,127.85,129.58,42741.0
2020-03-10,133.74,135.74,130.33,135.74,38244.0
2020-03-09,128.01,134.105,128.0,130.32,64413.0
2020-03-06,137.15,139.555,135.6695,138.71,21580.0
2020-03-05,141.58,144.3293,140.9672,142.09,12670.0
2020-03-04,142.54,145.06,141.9,145.0229,13003.0
2020-03-03,144.83,145.45,138.51,140.27,28082.0
2020-03-02,140.75,143.94,138.6934,143.94,27172.0
2020-02-28,133.65,139.0643,133.65,138.83,44133.0
2020-02-27,140.38,144.2265,139.21,139.4324,43277.0
2020-02-26,144.55,147.24,143.56,144.5356,16023.0
2020-02-25,149.12,149.12,143.44,143.8748,22143.0
2020-02-24,146.13,148.167,145.97,147.4,37414.0
2020-02-21,154.0321,154.3497,153.04,153.32,17365.0
2020-02-20,157.5,157.8014,155.1936,156.33,8770.0
2020-02-19,156.95,157.8368,156.95,157.431,5280.0
2020-02-18,155.75,156.7629,155.6996,156.4619,7300.0
2020-02-14,155.79,156.3536,155.6384,155.97,4078.0
2020-02-13,154.5,156.0889,154.5,155.36,6909.0
2020-02-12,153.45,155.72,153.45,155.64,14898.0
2020-02-11,153.23,153.9812,152.37,152.64,9379.0
2020-02-10,150.4,152.04,150.4,152.0,3814.0
2020-02-07,151.9,152.005,151.1252,151.4,5694.0
2020-02-06,153.0,153.3299,152.48,152.73,9169.0
2020-02-05,153.81,153.81,150.29,150.86,15050.0
2020-02-04,150.25,152.66,150.25,152.66,14314.0
2020-02-03,147.04,149.0,147.04,149.0,31419.0
2020-01-31,147.93,147.93,145.42,145.809,15405.0
2020-01-30,146.26,147.8,145.8966,147.8,7628.0
2020-01-29,149.25,149.8587,148.096,148.9,12259.0
2020-01-28,147.68,149.105,147.68,148.9,16187.0
2020-01-27,145.26,147.25,144.14,146.5,15592.0
2020-01-24,151.59,152.1999,148.5901,149.6,11271.0
2020-01-23,150.37,151.2299,149.752,151.2299,7143.0
2020-01-22,151.9,152.3736,151.0027,151.0027,6050.0
2020-01-21,151.47,151.54,150.53,151.33,29377.0
2020-01-17,152.86,152.86,151.87,152.6,15865.0
2020-01-16,152.6,152.6,151.2551,152.0,14247.0
2020-01-15,150.78,152.05,150.75,151.12,13185.0
2020-01-14,152.13,152.13,150.4604,150.92,11760.0
2020-01-13,150.92,152.259,150.49,152.0454,60673.0
2020-01-10,149.61,150.2844,149.16,149.5929,43706.0
2020-01-09,149.05,149.56,148.6799,149.3461,19105.0
2020-01-08,146.09,148.7,146.09,147.92,21899.0
2020-01-07,146.31,147.1385,145.8,146.81,20561.0
2020-01-06,143.29,146.1418,143.29,146.11,39281.0
2020-01-03,143.31,145.4511,143.03,144.79,99485.0
2020-01-02,142.82,145.78,142.82,145.78,35905.0
2019-12-31,140.58,141.55,140.58,141.42,28417.0
2019-12-30,143.34,143.34,141.29,141.35,20211.0
2019-12-27,144.0,144.29,142.9099,143.22,23473.0
2019-12-26,142.41,143.6933,142.41,143.5226,20898.0
2019-12-24,142.37,142.5,142.1649,142.21,9205.0
2019-12-23,142.69,142.69,142.18,142.4,25942.0
2019-12-20,141.83,142.19,141.1,141.99,31308.0
2019-12-19,139.49,141.2,139.49,141.11,25311.0
2019-12-18,138.92,140.0279,138.92,139.6168,16667.0
2019-12-17,138.53,138.96,138.42,138.89,45285.0
2019-12-16,138.21,138.8338,137.96,138.49,148103.0
2019-12-13,136.39,137.5,136.39,136.8,31424.0
2019-12-12,135.99,137.52,135.9021,136.5347,36164.0
2019-12-11,135.7,136.4355,135.66,136.4117,21587.0
2019-12-10,136.0358,136.14,135.444,135.444,31466.0
2019-12-09,136.57,137.2929,136.0,136.0,19682.0
2019-12-06,136.53,136.97,136.53,136.76,20008.0
2019-12-05,135.94,136.0288,135.42,135.88,15779.0
2019-12-04,136.04,136.16,135.2201,135.23,16227.0
2019-12-03,133.2,135.1559,133.0204,135.1559,22780.0
2019-12-02,137.65,137.65,134.5,135.56,26650.0
2019-11-29,138.01,138.18,137.61,137.7653,5753.0
2019-11-27,137.43,138.45,137.43,138.45,12886.0
2019-11-26,136.46,137.32,136.46,137.24,23249.0
2019-11-25,135.42,136.55,135.42,136.41,41044.0
2019-11-22,134.22,134.7005,133.5663,134.69,29436.0
2019-11-21,133.47,134.14,133.4,133.77,65829.0
2019-11-20,133.47,134.2098,132.5001,133.2016,15706.0
2019-11-19,134.33,134.33,133.34,134.0136,19246.0
2019-11-18,133.3,134.2904,133.3,133.77,16498.0
2019-11-15,132.62,133.4,132.62,133.0559,10743.0
2019-11-14,131.03,131.99,131.03,131.99,21202.0
2019-11-13,132.0,132.2335,131.2068,131.5085,7126.0
2019-11-12,132.74,132.9351,132.32,132.69,7593.0
2019-11-11,131.33,132.4339,131.33,132.4339,8805.0
2019-11-08,132.0,132.7604,131.99,132.37,19367.0
2019-11-07,132.58,133.0558,131.6265,131.8804,6355.0
2019-11-06,132.69,132.69,131.64,131.97,10147.0
2019-11-05,133.4,133.56,132.46,132.62,11564.0
2019-11-04,132.3,133.65,132.3,133.33,20715.0
2019-11-01,131.7468,131.9999,131.01,131.47,9018.0
2019-10-31,132.93,132.93,131.292,131.61,10046.0
2019-10-30,131.91,132.86,131.7154,132.62,9427.0
2019-10-29,132.86,133.0,131.64,131.9009,6693.0
2019-10-28,132.4437,133.6799,132.4437,133.6,15228.0
2019-10-25,130.36,132.26,130.3252,131.9808,12450.0
2019-10-24,130.37,130.86,130.0564,130.8599,15588.0
2019-10-23,130.0,131.14,129.73,131.14,5787.0
2019-10-22,132.63,132.63,131.028,131.06,4870.0
2019-10-21,131.09,132.6899,131.09,132.6899,9084.0
2019-10-18,133.96,133.96,130.26,130.6967,6224.0
2019-10-17,135.14,135.1594,133.8644,134.06,4197.0
2019-10-16,133.5,133.8409,133.228,133.6937,14963.0
2019-10-15,132.0183,134.07,132.0183,133.87,20070.0
2019-10-14,131.99,132.11,131.53,131.71,6865.0
2019-10-11,131.2,133.1785,131.2,132.19,8751.0
2019-10-10,128.59,130.195,128.59,129.6003,5062.0
2019-10-09,128.85,129.2499,127.9849,128.79,6346.0
2019-10-08,129.45,129.45,127.74,127.74,26255.0
2019-10-07,130.0,131.3007,129.913,130.45,13474.0
2019-10-04,130.0815,130.88,129.6903,130.7903,7740.0
2019-10-03,127.23,129.549,126.43,129.4006,21990.0
2019-10-02,128.01,128.01,127.0226,127.6883,14487.0
2019-10-01,130.65,130.9104,128.9995,129.3,10178.0
2019-09-30,129.66,130.26,129.2874,130.06,10680.0
2019-09-27,132.35,132.35,127.86,129.04,11395.0
2019-09-26,132.62,132.62,131.23,132.14,5535.0
2019-09-25,130.37,133.06,129.8001,132.91,29567.0
2019-09-24,134.17,134.17,130.4757,130.65,12620.0
2019-09-23,134.61,134.9012,133.72,134.01,9080.0
2019-09-20,136.8621,136.97,134.6,135.4099,7798.0
2019-09-19,136.37,137.37,136.2594,136.34,12588.0
2019-09-18,136.6494,136.6494,134.97,136.38,6821.0
2019-09-17,135.4,136.9388,135.4,136.9388,6032.0
2019-09-16,134.86,136.02,134.86,135.87,11458.0
2019-09-13,137.07,137.07,136.35,136.38,13491.0
2019-09-12,136.98,137.12,136.51,136.535,12518.0
2019-09-11,134.69,136.0071,134.69,135.82,4650.0
2019-09-10,134.37,134.69,133.5107,134.6,9420.0
2019-09-09,136.75,136.75,134.9822,135.78,4440.0
2019-09-06,136.51,136.852,136.14,136.16,10302.0
2019-09-05,135.4,136.9174,135.4,136.87,44077.0
2019-09-04,134.19,134.4504,133.95,134.31,6678.0
2019-09-03,133.19,134.0,132.25,132.62,7531.0
2019-08-30,134.82,135.176,133.6701,134.42,51705.0
2019-08-29,133.96,134.7762,133.96,134.41,8800.0
2019-08-28,131.22,132.68,130.81,132.44,7311.0
2019-08-27,133.02,133.4731,131.29,132.1,14085.0
2019-08-26,132.15,132.37,131.3,132.21,8803.0
2019-08-23,133.15,134.32,130.6,130.82,13135.0
2019-08-22,135.77,135.77,133.486,134.48,5916.0
2019-08-21,135.9901,136.46,135.6025,135.79,14044.0
2019-08-20,135.67,135.83,135.1415,135.18,6164.0
2019-08-19,135.46,136.28,135.45,135.92,28498.0
2019-08-16,132.7051,133.9568,132.47,133.73,11630.0
2019-08-15,131.88,131.91,130.25,131.34,42834.0
2019-08-14,132.41,132.41,130.3011,130.57,21786.0
2019-08-13,131.73,135.83,131.73,134.975,13694.0
2019-08-12,132.28,132.9,132.0,132.0,4519.0
2019-08-09,134.9,135.05,133.51,134.08,8885.0
2019-08-08,133.74,135.93,133.343,135.93,20119.0
2019-08-07,129.85,132.1,129.44,132.1,8934.0
2019-08-06,130.99,131.65,130.3982,131.25,19852.0
2019-08-05,131.14,131.49,128.3114,129.44,46060.0
2019-08-02,136.15,136.39,134.87,135.41,14462.0
2019-08-01,139.86,141.7,137.2,137.75,22629.0
2019-07-31,141.0,141.0,137.93,139.315,10392.0
2019-07-30,140.31,141.0588,140.31,140.47,5310.0
2019-07-29,142.83,143.0,141.1486,141.97,12209.0
2019-07-26,142.97,143.54,142.95,143.33,14625.0
2019-07-25,142.5,142.5,140.85,141.11,8766.0
2019-07-24,139.63,142.3699,139.63,142.35,9077.0
2019-07-23,139.82,140.3032,139.0,140.29,7014.0
2019-07-22,138.84,139.62,138.57,139.35,4614.0
2019-07-19,140.9,140.9,138.57,138.61,8569.0
2019-07-18,139.13,140.06,138.5674,139.49,9491.0
2019-07-17,141.53,141.6486,140.81,140.81,33223.0
2019-07-16,141.58,142.319,141.19,141.59,20456.0
2019-07-15,141.9,142.3,141.69,142.14,7538.0
2019-07-12,141.58,141.82,141.07,141.76,12666.0
2019-07-11,141.88,141.91,140.4974,140.92,9393.0
2019-07-10,141.35,142.0,140.49,141.23,14683.0
2019-07-09,138.62,140.78,138.62,140.71,19198.0
2019-07-08,139.61,139.61,138.9399,139.03,12936.0
2019-07-05,139.54,140.89,139.28,140.65,11720.0
2019-07-03,140.49,140.83,140.15,140.83,55036.0
2019-07-02,139.15,139.95,138.797,139.95,18414.0
2019-07-01,139.57,140.0597,138.7,138.93,27689.0
2019-06-28,136.98,137.0,136.19,136.86,9648.0
2019-06-27,135.84,137.0175,135.84,136.71,9219.0
2019-06-26,135.12,135.978,135.07,135.39,6534.0
2019-06-25,137.52,137.52,134.26,134.45,24374.0
2019-06-24,137.89,138.1896,137.4529,137.58,8431.0
2019-06-21,137.3,138.64,137.3,137.7,14082.0
2019-06-20,139.03,139.43,137.13,138.06,16296.0
2019-06-19,136.51,137.34,135.8908,137.33,15569.0
2019-06-18,136.12,137.91,136.12,136.39,29469.0
2019-06-17,133.64,134.7429,133.62,134.47,8016.0
2019-06-14,133.58,133.58,132.64,133.07,10397.0
2019-06-13,134.03,134.03,133.6187,133.9,13770.0
2019-06-12,133.63,133.63,132.7743,133.42,8537.0
2019-06-11,135.15,135.65,133.5008,133.93,30047.0
2019-06-10,133.19,135.5591,133.19,133.46,32308.0
2019-06-07,129.99,132.4202,129.99,132.01,23658.0
2019-06-06,128.66,129.93,128.35,129.6493,7170.0
2019-06-05,129.54,129.54,126.9358,128.93,10576.0
2019-06-04,125.8,128.4899,125.8,128.4899,28991.0
2019-06-03,127.9,127.9187,123.7516,124.53,21935.0
2019-05-31,128.69,129.1534,128.06,128.39,9274.0
2019-05-30,130.17,130.5023,129.81,130.27,4754.0
2019-05-29,130.45,130.45,129.0,129.9,17534.0
2019-05-28,131.45,132.6939,131.1294,131.33,11663.0
2019-05-24,131.72,132.43,131.13,131.15,21145.0
2019-05-23,131.44,131.7924,130.23,131.06,26799.0
2019-05-22,133.47,135.0,133.47,133.76,11331.0
2019-05-21,133.07,134.46,133.07,134.03,8883.0
2019-05-20,132.82,133.11,131.86,132.33,11906.0
2019-05-17,136.36,136.8137,134.75,134.96,21630.0
2019-05-16,136.47,139.05,136.47,138.05,33344.0
2019-05-15,133.14,136.8671,133.14,136.4,11450.0
2019-05-14,133.45,134.865,132.5051,134.19,23704.0
2019-05-13,133.57,133.76,131.972,132.31,29923.0
2019-05-10,137.35,137.58,134.66,137.2,19053.0
2019-05-09,136.47,138.0,134.93,137.48,26142.0
2019-05-08,138.34,138.96,137.4604,138.19,28069.0
2019-05-07,141.17,141.5202,137.75,138.78,31284.0
2019-05-06,140.04,142.7108,139.99,142.34,50928.0
2019-05-03,142.47,144.17,142.23,144.17,12959.0
2019-05-02,141.93,142.6518,140.15,141.49,21293.0
2019-05-01,143.02,143.7152,142.09,142.09,12625.0
2019-04-30,142.66,143.16,141.56,142.49,13863.0
2019-04-29,143.17,143.8575,142.979,143.68,19269.0
2019-04-26,142.16,142.9749,141.63,142.88,12903.0
2019-04-25,142.35,142.4245,140.94,141.89,14868.0
2019-04-24,142.61,142.8077,141.55,141.55,14012.0
2019-04-23,140.19,142.7,140.19,142.48,17112.0
2019-04-22,138.24,139.87,138.05,139.86,14837.0
2019-04-18,138.81,138.81,137.7768,138.66,12921.0
2019-04-17,139.99,140.0,138.37,138.65,13692.0
2019-04-16,139.65,139.69,138.87,139.16,15621.0
2019-04-15,138.98,138.98,137.4483,138.65,13615.0
2019-04-12,139.75,139.79,138.86,139.1882,10234.0
2019-04-11,139.2,139.2,138.6171,138.91,8685.0
2019-04-10,139.07,139.3199,138.5701,139.16,10684.0
