date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,17.91,19.59,17.57,19.07,97476.0
2020-04-08,16.39,19.71,15.5,17.32,117685.0
2020-04-07,16.71,17.81,15.35,16.23,150732.0
2020-04-06,15.77,17.06,15.45,16.45,97458.0
2020-04-03,14.23,15.82,14.23,15.0,158468.0
2020-04-02,13.99,14.655,13.67,14.26,137810.0
2020-04-01,13.2,14.18,12.45,13.89,112254.0
2020-03-31,15.22,15.87,13.54,14.16,185262.0
2020-03-30,15.13,16.6,14.78,15.51,91149.0
2020-03-27,15.85,16.66,14.7,15.09,100856.0
2020-03-26,15.06,16.65,14.42,16.55,163674.0
2020-03-25,15.86,16.6,13.75,14.72,172045.0
2020-03-24,15.47,16.6,14.78,15.86,189828.0
2020-03-23,15.01,15.45,13.48,14.32,121095.0
2020-03-20,12.6,14.52,12.37,13.49,342037.0
2020-03-19,10.19,13.92,10.16,12.68,239430.0
2020-03-18,13.16,13.16,9.4,10.13,262593.0
2020-03-17,12.61,14.725,12.21,13.5,266932.0
2020-03-16,13.88,15.26,12.58,12.6,173012.0
2020-03-13,15.46,17.01,15.0842,15.4,399438.0
2020-03-12,16.8,19.49,15.04,15.17,254609.0
2020-03-11,21.07,21.1639,17.665,18.22,293843.0
2020-03-10,22.8,23.83,20.36,21.71,343875.0
2020-03-09,25.59,25.59,22.33,23.01,386128.0
2020-03-06,24.57,28.05,24.57,27.57,163363.0
2020-03-05,26.32,27.7514,21.8,25.76,341807.0
2020-03-04,27.09,28.46,26.915,28.0,100654.0
2020-03-03,26.95,28.0069,26.07,26.65,97203.0
2020-03-02,26.5,28.27,26.46,26.905,83690.0
2020-02-28,30.37,31.1,25.855,27.17,193892.0
2020-02-27,30.87,32.5,27.8303,31.41,87872.0
2020-02-26,30.64,32.495,30.24,31.53,87407.0
2020-02-25,31.84,32.5,30.14,30.86,66830.0
2020-02-24,30.91,32.96,30.6,31.75,95883.0
2020-02-21,31.9,32.97,30.9,31.89,45544.0
2020-02-20,31.3,32.61,29.85,31.79,103711.0
2020-02-19,30.66,31.549,29.715,31.49,127576.0
2020-02-18,30.56,31.86,30.02,30.66,42290.0
2020-02-14,32.2,33.006,30.01,30.69,88456.0
2020-02-13,32.31,33.13,32.07,32.3,81435.0
2020-02-12,31.36,32.95,30.7,32.49,123277.0
2020-02-11,30.48,33.0,30.2,31.09,158983.0
2020-02-10,27.96,31.25,27.95,30.5,181805.0
2020-02-07,27.6,28.11,27.14,27.97,265328.0
2020-02-06,28.25,28.38,27.33,27.73,56911.0
2020-02-05,28.53,28.6,27.28,28.11,164352.0
2020-02-04,26.56,28.85,26.56,28.2,150832.0
2020-02-03,26.79,26.885,25.61,26.2,101269.0
2020-01-31,26.31,27.24,26.08,26.4,162090.0
2020-01-30,25.05,27.105,24.09,26.61,195702.0
2020-01-29,26.48,26.6,25.0604,25.36,71006.0
2020-01-28,27.07,27.2775,26.56,26.68,94625.0
2020-01-27,26.56,27.19,26.3,26.96,93964.0
2020-01-24,28.71,28.98,26.15,26.97,116291.0
2020-01-23,27.33,29.25,27.33,28.98,171930.0
2020-01-22,27.16,27.82,26.18,27.33,264356.0
2020-01-21,26.77,27.22,26.57,27.11,90229.0
2020-01-17,27.36,27.63,26.89,27.13,126229.0
2020-01-16,27.32,28.24,26.89,27.34,107017.0
2020-01-15,25.74,27.91,25.1701,27.45,122471.0
2020-01-14,28.13,28.24,26.66,26.95,175876.0
2020-01-13,29.57,30.0,27.51,28.34,152532.0
2020-01-10,30.18,30.3,29.49,29.62,101012.0
2020-01-09,31.72,31.8,29.85,30.24,86056.0
2020-01-08,31.89,32.22,31.375,31.52,61326.0
2020-01-07,31.88,32.4058,31.73,31.91,74786.0
2020-01-06,31.7,32.58,31.7,31.99,128130.0
2020-01-03,31.64,32.71,31.37,32.315,166123.0
2020-01-02,33.02,33.135,31.47,32.16,184334.0
2019-12-31,31.61,33.21,31.0,33.07,113433.0
2019-12-30,32.15,32.15,29.83,31.69,153684.0
2019-12-27,34.81,34.87,28.76,32.18,272486.0
2019-12-26,34.5,35.7472,34.4666,34.78,69237.0
