date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,2.9577,2.9577,2.68,2.88,7276.0
2020-03-30,3.2,3.4799,2.65,2.9,32495.0
2020-03-27,3.14,3.14,2.8,3.13,26000.0
2020-03-26,2.89,3.19,2.89,3.15,61780.0
2020-03-25,2.8,3.2905,2.8,3.05,25783.0
2020-03-24,2.63,2.8239,2.63,2.73,65725.0
2020-03-23,2.62,2.902,2.62,2.63,12019.0
2020-03-20,3.05,3.36,2.62,2.63,41184.0
2020-03-19,2.34,2.9999,2.34,2.7,30296.0
2020-03-18,2.5955,2.78,2.34,2.4,23639.0
2020-03-17,3.04,3.13,2.52,2.68,72811.0
2020-03-16,3.13,3.45,3.12,3.13,29430.0
2020-03-13,3.7,3.78,3.41,3.5,39098.0
2020-03-12,3.76,3.82,3.6,3.61,24051.0
2020-03-11,4.13,4.24,4.023,4.09,7295.0
2020-03-10,3.91,4.2655,3.91,4.04,19090.0
2020-03-09,3.5,3.9899,3.5,3.86,26061.0
2020-03-06,4.08,4.08,3.995,4.0,5475.0
2020-03-05,4.4,4.4565,4.08,4.08,7821.0
2020-03-04,4.5,4.55,4.35,4.42,25043.0
2020-03-03,4.56,4.59,4.28,4.5,10992.0
2020-03-02,4.97,4.97,4.54,4.57,14668.0
2020-02-28,4.84,5.23,4.7351,4.97,16176.0
2020-02-27,5.0,5.21,4.7809,5.2,18755.0
2020-02-26,5.21,5.25,4.76,5.22,20456.0
2020-02-25,5.61,5.61,5.2194,5.22,50026.0
2020-02-24,5.29,5.64,5.24,5.64,12008.0
2020-02-21,5.6,5.65,5.38,5.38,15062.0
2020-02-20,5.6,5.68,5.469,5.5832,45308.0
2020-02-19,5.27,5.7985,5.27,5.51,22443.0
2020-02-18,5.28,5.37,5.085,5.15,16316.0
2020-02-14,5.23,5.39,5.0444,5.16,21624.0
2020-02-13,5.05,5.21,4.8441,5.17,20127.0
2020-02-12,5.05,5.19,4.77,5.06,31018.0
2020-02-11,5.75,5.7988,4.75,5.18,121801.0
2020-02-10,6.03,6.1499,5.76,5.76,20313.0
2020-02-07,6.0019,6.14,6.0,6.03,18863.0
2020-02-06,6.12,6.12,6.01,6.03,22567.0
2020-02-05,6.02,6.05,5.94,6.03,13023.0
2020-02-04,6.08,6.1691,5.8,6.01,35611.0
2020-02-03,6.0115,6.1293,6.0,6.0,16921.0
2020-01-31,6.1,6.21,6.0,6.14,11345.0
2020-01-30,6.02,6.1,6.02,6.1,5072.0
2020-01-29,6.07,6.3,6.01,6.11,12137.0
2020-01-28,6.05,6.205,5.91,6.205,9551.0
2020-01-27,5.81,6.11,5.81,6.03,14934.0
2020-01-24,6.44,6.44,6.06,6.06,12449.0
2020-01-23,6.44,6.44,6.03,6.42,10142.0
2020-01-22,5.98,6.42,5.98,6.42,22090.0
2020-01-21,6.0,6.09,5.5685,6.09,10853.0
2020-01-17,6.09,6.1,6.0,6.0402,23228.0
2020-01-16,6.0405,6.08,6.03,6.08,4740.0
2020-01-15,6.16,6.16,6.02,6.02,5288.0
2020-01-14,6.064,6.24,6.04,6.12,13001.0
2020-01-13,6.4,6.4892,6.0,6.02,20391.0
2020-01-10,6.06,6.36,6.06,6.35,15782.0
2020-01-09,5.95,6.1128,5.9435,6.02,35758.0
2020-01-08,5.76,5.89,5.73,5.854,49551.0
2020-01-07,5.65,5.8883,5.65,5.79,25585.0
2020-01-06,5.66,5.73,5.6,5.65,17322.0
2020-01-03,5.73,5.8,5.6146,5.72,19501.0
2020-01-02,5.56,5.7809,5.5179,5.77,8723.0
2019-12-31,5.43,5.7,5.28,5.5,53253.0
2019-12-30,5.55,5.63,5.385,5.4991,24219.0
2019-12-27,5.57,5.6,5.12,5.5,12431.0
2019-12-26,5.54,5.54,5.37,5.53,16908.0
2019-12-24,5.35,5.5069,5.335,5.5069,19673.0
2019-12-23,5.44,5.4896,5.3199,5.39,11333.0
2019-12-20,5.25,5.43,5.116,5.43,11576.0
2019-12-19,5.19,5.23,5.09,5.23,11441.0
2019-12-18,5.18,5.2343,5.0001,5.2,17258.0
2019-12-17,5.02,5.22,5.02,5.1222,11774.0
2019-12-16,5.02,5.1,4.98,5.1,24395.0
2019-12-13,4.99,5.1595,4.87,4.87,18022.0
2019-12-12,4.98,5.05,4.9011,5.05,7384.0
2019-12-11,4.9,4.9976,4.85,4.97,28667.0
2019-12-10,4.84,4.945,4.84,4.945,13938.0
2019-12-09,4.82,4.92,4.82,4.8921,10972.0
2019-12-06,4.77,4.89,4.765,4.78,27790.0
2019-12-05,4.68,4.75,4.68,4.72,12652.0
2019-12-04,4.7187,4.75,4.6,4.6,15173.0
2019-12-03,4.51,4.63,4.3688,4.6,52766.0
2019-12-02,4.48,4.54,4.43,4.5,16306.0
2019-11-29,4.53,4.53,4.47,4.47,608.0
2019-11-27,4.7412,4.7412,4.4359,4.54,19962.0
2019-11-26,4.8,4.8,4.62,4.62,17962.0
2019-11-25,4.69,4.8,4.6776,4.8,10852.0
2019-11-22,4.61,4.79,4.61,4.65,11040.0
2019-11-21,4.78,4.8,4.6,4.62,23954.0
2019-11-20,4.63,4.79,4.63,4.73,15175.0
2019-11-19,4.95,5.04,4.74,4.74,26659.0
2019-11-18,5.04,5.11,4.96,4.96,10189.0
2019-11-15,4.9,5.24,4.9,5.135,11803.0
2019-11-14,4.94,5.1,4.85,4.96,13091.0
2019-11-13,4.72,5.02,4.6545,4.9,31166.0
2019-11-12,4.56,4.8,4.56,4.75,35808.0
2019-11-11,4.74,4.74,4.56,4.56,13271.0
2019-11-08,4.59,4.77,4.51,4.77,4437.0
2019-11-07,4.5,4.6,4.5,4.55,36786.0
2019-11-06,4.53,4.55,4.29,4.5,17137.0
2019-11-05,4.5,4.71,4.49,4.57,13624.0
2019-11-04,4.6331,4.7156,4.5,4.53,44675.0
2019-11-01,4.58,4.6004,4.475,4.6,48015.0
2019-10-31,4.57,4.61,4.49,4.535,4104.0
2019-10-30,4.56,4.56,4.54,4.55,6369.0
2019-10-29,4.58,4.63,4.5101,4.55,2767.0
2019-10-28,4.62,4.62,4.5,4.57,38663.0
2019-10-25,4.7,4.7,4.53,4.53,18459.0
2019-10-24,4.71,4.75,4.6315,4.67,44506.0
2019-10-23,4.71,4.71,4.62,4.63,6620.0
2019-10-22,4.71,4.71,4.634,4.71,13711.0
2019-10-21,4.72,4.75,4.6601,4.71,21927.0
2019-10-18,4.67,4.75,4.66,4.69,14471.0
2019-10-17,4.75,4.75,4.68,4.75,16093.0
2019-10-16,4.74,4.77,4.7,4.74,7415.0
2019-10-15,4.79,4.79,4.689,4.69,9619.0
2019-10-14,4.66,4.78,4.5902,4.67,21687.0
2019-10-11,4.73,4.79,4.5802,4.75,20520.0
2019-10-10,4.46,4.78,4.3848,4.6,16299.0
2019-10-09,4.39,4.4662,4.3,4.4,23279.0
2019-10-08,4.49,4.49,4.25,4.27,45307.0
2019-10-07,4.45,4.45,4.3,4.37,12881.0
2019-10-04,4.5,4.57,4.4,4.4,18818.0
2019-10-03,4.55,4.619,4.45,4.45,40268.0
2019-10-02,4.73,4.78,4.58,4.6,18541.0
2019-10-01,4.8,4.8,4.61,4.64,22040.0
2019-09-30,4.77,4.8,4.6521,4.7916,23432.0
2019-09-27,4.8,4.8,4.6265,4.75,12508.0
2019-09-26,4.64,4.8,4.62,4.8,8707.0
2019-09-25,4.83,4.94,4.63,4.63,15828.0
2019-09-24,4.87,4.99,4.6132,4.8,24979.0
2019-09-23,5.0,5.0,4.75,4.8,25857.0
2019-09-20,5.01,5.0607,4.95,5.0,70939.0
2019-09-19,5.1858,5.31,4.85,5.12,16600.0
2019-09-18,5.42,5.45,5.04,5.17,25954.0
2019-09-17,5.44,5.5,5.31,5.425,26483.0
2019-09-16,5.26,5.49,5.1901,5.44,47995.0
2019-09-13,5.12,5.2595,5.01,5.2,32430.0
2019-09-12,5.0,5.2,4.8825,5.0,17000.0
2019-09-11,4.9,5.0,4.85,5.0,27770.0
2019-09-10,4.71,4.9,4.71,4.89,31983.0
2019-09-09,4.75,4.75,4.6112,4.75,41643.0
2019-09-06,4.46,4.7,4.46,4.7,94621.0
2019-09-05,4.45,4.96,4.36,4.46,197118.0
2019-09-04,4.63,4.6566,4.4,4.4,27024.0
2019-09-03,4.63,4.6975,4.5,4.5,12915.0
2019-08-30,4.7,4.73,4.471,4.63,7201.0
2019-08-29,4.59,4.82,4.49,4.65,18344.0
2019-08-28,4.6014,4.6014,4.4622,4.4973,8110.0
2019-08-27,4.58,4.6,4.47,4.6,12548.0
2019-08-26,4.54,4.635,4.33,4.4568,28808.0
2019-08-23,4.6875,4.6875,4.51,4.54,11438.0
2019-08-22,4.8,4.9472,4.42,4.62,27585.0
2019-08-21,4.7,4.7,4.3984,4.6,7688.0
2019-08-20,4.65,4.65,4.3201,4.58,15090.0
2019-08-19,4.31,4.75,4.3,4.59,20301.0
2019-08-16,4.69,4.69,4.25,4.25,11951.0
2019-08-15,4.75,4.98,4.4027,4.71,25150.0
2019-08-14,4.65,4.83,4.5,4.69,53986.0
2019-08-13,4.71,4.71,4.6,4.61,21688.0
2019-08-12,4.95,4.95,4.61,4.71,34522.0
2019-08-09,5.3,5.34,4.91,4.95,34342.0
2019-08-08,5.25,5.6399,5.25,5.25,30047.0
2019-08-07,4.96,5.3,4.9007,5.24,67399.0
2019-08-06,4.67,5.0,4.67,4.94,42484.0
2019-08-05,4.75,4.98,4.6,4.6688,47681.0
2019-08-02,4.47,4.75,4.33,4.75,54415.0
2019-08-01,4.3,4.7,4.2042,4.39,90956.0
2019-07-31,4.24,4.42,4.1,4.19,29690.0
2019-07-30,4.07,4.34,3.9,4.1673,58744.0
2019-07-29,4.1,4.1,3.8,3.8,34420.0
2019-07-26,3.78,4.08,3.78,4.0,46462.0
2019-07-25,4.0,4.0,3.76,3.8,38295.0
2019-07-24,4.01,4.01,3.85,3.95,48952.0
2019-07-23,3.9,4.0,3.8,3.89,93656.0
2019-07-22,3.7367,3.7367,3.56,3.61,44487.0
2019-07-19,3.72,3.75,3.6734,3.68,41573.0
2019-07-18,3.78,3.7839,3.6,3.7,60893.0
2019-07-17,3.8,3.9,3.71,3.75,90478.0
2019-07-16,3.76,3.833,3.56,3.8,495664.0
2019-07-15,4.06,4.06,3.7,3.75,230810.0
2019-07-12,4.18,4.22,4.043,4.06,28576.0
2019-07-11,4.11,4.22,4.03,4.145,85002.0
2019-07-10,4.11,4.1566,4.07,4.14,21924.0
2019-07-09,4.1671,4.19,4.1,4.11,13919.0
2019-07-08,4.23,4.3292,4.151,4.2,3319.0
2019-07-05,4.16,4.26,4.16,4.17,3191.0
2019-07-03,4.12,4.29,4.1,4.1,31175.0
2019-07-02,4.37,4.4425,4.12,4.16,46739.0
2019-07-01,4.55,4.66,4.33,4.43,27304.0
2019-06-28,4.65,4.65,4.4,4.45,39301.0
2019-06-27,4.56,4.65,4.56,4.635,1699.0
2019-06-26,4.72,4.75,4.4,4.48,21390.0
2019-06-25,4.78,4.8039,4.7664,4.79,6482.0
2019-06-24,4.8,4.95,4.8,4.8162,7110.0
2019-06-21,4.8857,4.8999,4.7881,4.83,4519.0
2019-06-20,4.976,5.0,4.5974,4.895,23331.0
2019-06-19,4.6801,4.79,4.6,4.72,26878.0
2019-06-18,4.4,4.7,4.4,4.7,16851.0
2019-06-17,4.48,4.48,4.363,4.46,3324.0
2019-06-14,4.45,4.48,4.34,4.46,55042.0
2019-06-13,4.34,4.4797,4.335,4.4797,20949.0
2019-06-12,4.325,4.48,4.325,4.48,9282.0
2019-06-11,4.4,4.41,4.3,4.35,16520.0
2019-06-10,4.3154,4.45,4.3154,4.41,1897.0
2019-06-07,4.3888,4.4,4.31,4.38,18036.0
2019-06-06,4.5225,4.64,4.4,4.4,20703.0
2019-06-05,4.52,4.59,4.3525,4.43,13524.0
2019-06-04,4.55,4.72,4.45,4.64,9390.0
2019-06-03,4.3,4.47,4.2842,4.47,16120.0
2019-05-31,4.3601,4.39,4.3,4.3,2420.0
2019-05-30,4.35,4.39,4.3,4.3,22136.0
2019-05-29,4.53,4.569,4.36,4.4,11434.0
2019-05-28,4.86,4.86,4.52,4.52,5213.0
2019-05-24,4.5871,4.86,4.5871,4.86,2101.0
2019-05-23,4.48,4.7077,4.48,4.59,1578.0
2019-05-22,4.6,4.61,4.48,4.53,23255.0
2019-05-21,4.62,4.764,4.59,4.67,11967.0
2019-05-20,4.65,4.785,4.5822,4.59,21285.0
2019-05-17,4.8,4.8,4.39,4.65,106459.0
2019-05-16,4.85,4.9,4.77,4.86,37571.0
2019-05-15,4.9975,5.04,4.77,4.9,99352.0
2019-05-14,5.14,5.1645,4.86,4.99,29946.0
2019-05-13,5.46,5.46,5.06,5.19,10533.0
2019-05-10,6.49,6.49,5.155,5.34,52556.0
2019-05-09,7.3,7.34,7.06,7.07,18448.0
2019-05-08,7.38,7.38,7.37,7.37,438.0
2019-05-07,7.32,7.43,7.32,7.39,4465.0
