date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,14.98,15.101,13.85,13.97,98821.0
2020-04-08,12.36,13.845,12.25,13.73,67847.0
2020-04-07,12.81,13.1785,12.14,12.36,144318.0
2020-04-06,12.68,13.84,12.3,12.67,144729.0
2020-04-03,12.06,12.6,11.91,12.35,89944.0
2020-04-02,11.57,12.32,11.5,12.11,48603.0
2020-04-01,11.96,12.35,11.56,11.56,74382.0
2020-03-31,11.7,12.48,11.62,12.19,137112.0
2020-03-30,11.93,12.47,11.27,11.71,222895.0
2020-03-27,11.9,12.28,11.2,11.72,244157.0
2020-03-26,12.1,12.33,11.75,12.0,167418.0
2020-03-25,12.41,13.1,11.22,11.74,183604.0
2020-03-24,12.42,12.955,12.03,12.26,198964.0
2020-03-23,12.65,13.34,11.7,11.87,134240.0
2020-03-20,12.84,13.42,12.02,12.3,1162618.0
2020-03-19,11.01,12.93,11.01,12.35,189058.0
2020-03-18,11.15,12.4,10.51,10.75,281193.0
2020-03-17,11.1,12.16,11.0,11.14,234877.0
2020-03-16,14.0,14.0,11.1,11.19,150760.0
2020-03-13,12.31,14.8,11.0,14.31,362361.0
2020-03-12,11.7,12.29,9.02,11.19,198121.0
2020-03-11,13.63,13.91,12.25,12.54,103553.0
2020-03-10,15.23,15.335,12.62,13.79,141880.0
2020-03-09,14.72,15.34,14.4,14.76,98337.0
2020-03-06,16.04,16.145,15.51,15.85,102878.0
2020-03-05,16.72,16.84,15.93,16.23,90767.0
2020-03-04,16.18,17.21,15.6,16.55,154018.0
2020-03-03,14.75,15.91,14.29,15.7,181630.0
2020-03-02,12.89,14.765,12.89,14.67,228283.0
2020-02-28,14.55,15.38,12.1,12.78,312110.0
2020-02-27,16.11,16.11,14.8,14.98,64138.0
2020-02-26,16.29,16.46,15.91,16.2,344084.0
2020-02-25,15.8,16.92,15.66,16.23,173576.0
2020-02-24,16.64,16.7806,15.21,16.01,107227.0
2020-02-21,17.11,17.11,16.54,16.98,90297.0
2020-02-20,16.9,17.25,16.64,17.01,91547.0
2020-02-19,17.74,17.89,16.725,16.91,121655.0
2020-02-18,17.45,17.68,16.88,16.94,68223.0
2020-02-14,17.75,18.1,16.61,17.4,153445.0
2020-02-13,18.92,19.07,17.58,17.75,62036.0
2020-02-12,19.09,19.25,18.35,18.91,110254.0
2020-02-11,18.62,19.1143,18.41,18.94,242919.0
2020-02-10,18.45,18.64,18.4,18.49,133865.0
2020-02-07,18.42,18.615,18.13,18.47,77317.0
2020-02-06,18.54,18.7,17.68,18.45,199690.0
2020-02-05,19.0,19.0,18.41,18.48,85042.0
2020-02-04,18.65,19.2,18.38,18.98,103331.0
2020-02-03,18.95,18.975,18.3631,18.6,54332.0
2020-01-31,18.6,19.09,18.6,18.9,93535.0
2020-01-30,18.46,18.75,18.1,18.56,56594.0
2020-01-29,18.25,18.87,18.0,18.61,53254.0
2020-01-28,18.31,18.77,17.71,18.22,50567.0
2020-01-27,18.0,18.29,17.3759,17.87,86404.0
2020-01-24,18.0,18.52,17.74,18.12,72811.0
2020-01-23,18.49,18.6,17.6,18.09,137813.0
2020-01-22,18.27,19.24,18.01,18.5,225778.0
2020-01-21,18.41,18.85,17.99,18.29,125486.0
2020-01-17,18.08,18.7,17.69,18.53,178251.0
2020-01-16,17.0,18.08,16.9,18.0,213677.0
2020-01-15,17.69,17.97,16.67,17.04,171537.0
2020-01-14,17.85,18.18,17.2494,17.64,151634.0
2020-01-13,17.83,18.05,17.31,17.85,126335.0
2020-01-10,16.94,17.955,16.6574,17.88,105332.0
2020-01-09,16.58,17.82,16.22,16.98,70648.0
