date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,2.16,2.24,2.135,2.19,23704.0
2020-03-30,2.18,2.18,2.03,2.12,126182.0
2020-03-27,2.22,2.2745,2.15,2.21,91507.0
2020-03-26,2.4,2.45,2.25,2.29,186120.0
2020-03-25,2.48,2.5,2.248,2.4,251878.0
2020-03-24,2.38,2.4,2.24,2.33,65318.0
2020-03-23,2.25,2.34,2.1962,2.24,29036.0
2020-03-20,2.49,2.54,2.25,2.26,111713.0
2020-03-19,2.2,2.32,2.14,2.32,82948.0
2020-03-18,2.3,2.35,2.12,2.16,176518.0
2020-03-17,2.45,2.5,2.3701,2.47,131071.0
2020-03-16,2.6,2.66,2.3238,2.5222,114959.0
2020-03-13,2.39,2.63,2.215,2.56,93145.0
2020-03-12,2.21,2.44,2.11,2.15,277164.0
2020-03-11,2.57,2.61,2.33,2.37,56407.0
2020-03-10,2.9,2.906,2.4188,2.6,104683.0
2020-03-09,3.3,3.3,2.54,2.54,318697.0
2020-03-06,4.02,4.0301,3.67,3.69,129127.0
2020-03-05,4.43,4.43,4.12,4.19,47413.0
2020-03-04,4.52,4.54,4.3511,4.48,29020.0
2020-03-03,4.75,4.75,4.3727,4.5,255781.0
2020-03-02,4.77,4.77,4.465,4.66,56494.0
2020-02-28,4.25,4.68,4.25,4.68,83342.0
2020-02-27,4.56,4.6668,4.3,4.46,316470.0
2020-02-26,4.89,4.99,4.7,4.75,55766.0
2020-02-25,5.2,5.2224,4.85,4.87,54235.0
2020-02-24,5.38,5.38,5.12,5.16,70692.0
2020-02-21,5.65,5.65,5.49,5.5348,34540.0
2020-02-20,5.84,5.87,5.7684,5.8,22549.0
2020-02-19,5.63,5.787,5.63,5.7729,24992.0
2020-02-18,5.62,5.62,5.5,5.61,25245.0
2020-02-14,5.75,5.7578,5.601,5.65,10064.0
2020-02-13,5.63,5.759,5.61,5.65,36670.0
2020-02-12,5.77,5.86,5.6344,5.7,35891.0
2020-02-11,5.68,5.6885,5.5911,5.6,27780.0
2020-02-10,5.7,5.7,5.5158,5.53,86283.0
2020-02-07,5.84,5.84,5.6601,5.72,27251.0
2020-02-06,6.04,6.04,5.9,5.91,5993.0
2020-02-05,5.8,6.05,5.8,6.04,51955.0
2020-02-04,5.85,5.86,5.724,5.76,17620.0
2020-02-03,5.78,5.8289,5.6827,5.6992,27564.0
2020-01-31,5.84,5.84,5.6491,5.75,39558.0
2020-01-30,5.82,5.94,5.72,5.94,30071.0
2020-01-29,5.99,5.99,5.84,5.9,40546.0
2020-01-28,5.84,5.95,5.81,5.89,35411.0
2020-01-27,5.82,5.8999,5.79,5.81,42740.0
2020-01-24,6.15,6.16,5.9,6.01,111966.0
2020-01-23,6.25,6.25,6.0609,6.21,59952.0
2020-01-22,6.41,6.41,6.2774,6.29,79234.0
