date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,19.13,19.13,19.13,19.13,138.0
2020-04-23,16.47,16.47,16.47,16.47,1.0
2020-04-22,17.358,17.358,17.358,17.358,0.0
2020-04-21,17.358,17.358,17.358,17.358,0.0
2020-04-20,17.358,17.358,17.358,17.358,0.0
2020-04-17,16.47,16.47,16.47,16.47,1.0
2020-04-16,16.47,16.47,16.47,16.47,2.0
2020-04-15,16.47,16.47,16.47,16.47,1.0
2020-04-14,17.358,17.358,17.358,17.358,0.0
2020-04-13,17.358,17.358,17.358,17.358,0.0
2020-04-09,17.358,17.358,17.358,17.358,0.0
2020-04-08,17.358,17.358,17.358,17.358,0.0
2020-04-07,17.358,17.358,17.358,17.358,0.0
2020-04-06,16.47,16.47,16.47,16.47,10102.0
2020-04-03,16.47,16.47,16.47,16.47,5003.0
2020-04-02,16.47,17.3575,16.47,17.3575,170.0
2020-04-01,17.39,17.39,17.39,17.39,147.0
2020-03-31,18.22,18.22,18.22,18.22,2.0
2020-03-30,18.22,18.22,18.22,18.22,1.0
2020-03-27,18.2524,18.2524,18.22,18.22,375.0
2020-03-26,16.75,16.75,16.75,16.75,0.0
2020-03-25,16.75,16.75,16.75,16.75,0.0
2020-03-24,16.75,16.75,16.75,16.75,234.0
2020-03-23,15.4413,15.4413,15.3328,15.3328,1961.0
2020-03-20,16.97,16.97,16.97,16.97,5.0
2020-03-19,16.97,16.97,16.97,16.97,700.0
2020-03-18,15.7999,15.8647,15.4378,15.8647,300.0
2020-03-17,17.38,17.606,17.38,17.606,100.0
2020-03-16,17.36,17.5,17.0001,17.0339,2907.0
2020-03-13,21.2307,21.2307,21.2307,21.2307,5.0
2020-03-12,21.2307,21.2307,21.2307,21.2307,20.0
2020-03-11,21.2307,21.2307,21.2307,21.2307,1.0
2020-03-10,21.2307,21.9768,21.2307,21.9768,101.0
2020-03-09,23.7021,23.7021,23.7021,23.7021,10.0
2020-03-06,23.7021,23.7021,23.7021,23.7021,2.0
2020-03-05,23.7021,23.7021,23.7021,23.7021,90.0
2020-03-04,23.608,23.608,23.608,23.608,0.0
2020-03-03,23.7021,23.7021,23.7021,23.7021,3.0
2020-03-02,23.7021,23.7021,23.7021,23.7021,7.0
2020-02-28,23.7021,23.7021,23.6081,23.6081,100.0
2020-02-27,26.67,26.67,26.67,26.67,7.0
2020-02-26,26.67,26.67,26.67,26.67,1.0
2020-02-25,26.748,26.748,26.748,26.748,0.0
2020-02-24,26.67,26.67,26.67,26.67,1.0
2020-02-21,26.748,26.748,26.748,26.748,0.0
2020-02-20,26.748,26.748,26.748,26.748,0.0
2020-02-19,26.67,26.67,26.67,26.67,1.0
2020-02-18,26.748,26.748,26.748,26.748,0.0
2020-02-14,26.748,26.748,26.748,26.748,0.0
2020-02-13,26.748,26.748,26.748,26.748,0.0
2020-02-12,26.748,26.748,26.748,26.748,0.0
2020-02-11,26.748,26.748,26.748,26.748,0.0
2020-02-10,26.748,26.748,26.748,26.748,0.0
2020-02-07,26.67,26.67,26.67,26.67,1.0
2020-02-06,26.67,26.67,26.67,26.67,2.0
2020-02-05,26.67,26.67,26.67,26.67,2.0
2020-02-04,26.748,26.748,26.748,26.748,0.0
2020-02-03,26.67,26.67,26.67,26.67,10.0
2020-01-31,26.748,26.748,26.748,26.748,0.0
2020-01-30,26.67,26.67,26.67,26.67,1.0
2020-01-29,26.67,26.67,26.67,26.67,3.0
2020-01-28,26.7,26.7478,26.67,26.7478,200.0
2020-01-27,26.43,26.43,26.43,26.43,6.0
2020-01-24,26.43,26.43,26.43,26.43,10.0
2020-01-23,26.43,26.43,26.43,26.43,10.0
2020-01-22,26.398,26.398,26.398,26.398,0.0
2020-01-21,26.398,26.398,26.398,26.398,0.0
2020-01-17,26.398,26.398,26.398,26.398,0.0
2020-01-16,26.398,26.398,26.398,26.398,0.0
2020-01-15,26.398,26.398,26.398,26.398,0.0
2020-01-14,26.398,26.398,26.398,26.398,0.0
2020-01-13,26.43,26.43,26.43,26.43,4.0
2020-01-10,26.398,26.398,26.398,26.398,0.0
2020-01-09,26.43,26.43,26.43,26.43,2.0
2020-01-08,26.43,26.43,26.43,26.43,1.0
2020-01-07,26.398,26.398,26.398,26.398,0.0
2020-01-06,26.43,26.43,26.43,26.43,1.0
2020-01-03,26.43,26.43,26.43,26.43,18.0
2020-01-02,26.43,26.43,26.43,26.43,3.0
2019-12-31,26.43,26.43,26.43,26.43,1.0
2019-12-30,26.43,26.43,26.398,26.398,202.0
2019-12-27,26.4925,26.4925,26.4925,26.4925,0.0
2019-12-26,26.85,26.85,26.62,26.6406,1131.0
2019-12-24,26.16,26.16,26.16,26.16,0.0
2019-12-23,26.16,26.16,26.16,26.16,0.0
2019-12-20,26.16,26.16,26.16,26.16,0.0
2019-12-19,26.16,26.16,26.16,26.16,3.0
2019-12-18,26.16,26.16,26.16,26.16,4.0
2019-12-17,26.16,26.16,26.16,26.16,0.0
2019-12-16,26.16,26.16,26.16,26.16,4.0
2019-12-13,26.16,26.16,26.16,26.16,0.0
2019-12-12,26.16,26.16,26.16,26.16,0.0
2019-12-11,26.16,26.16,26.16,26.16,3.0
2019-12-10,26.16,26.16,26.16,26.16,3.0
