date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,3.55,3.66,3.325,3.39,334944.0
2020-04-08,3.45,3.525,3.36,3.49,348329.0
2020-04-07,3.28,3.49,2.96,3.45,500464.0
2020-04-06,2.89,3.26,2.8897,3.24,294932.0
2020-04-03,2.67,2.81,2.67,2.8,235023.0
2020-04-02,2.65,2.71,2.61,2.7,270003.0
2020-04-01,2.72,2.79,2.64,2.69,193305.0
2020-03-31,2.76,2.94,2.75,2.85,206697.0
2020-03-30,2.92,2.9225,2.7,2.81,214318.0
2020-03-27,2.95,3.0425,2.83,2.88,174974.0
2020-03-26,3.01,3.165,3.0,3.07,294112.0
2020-03-25,2.95,3.11,2.83,3.03,387318.0
2020-03-24,2.79,2.97,2.75,2.96,438302.0
2020-03-23,2.55,2.65,2.37,2.64,272042.0
2020-03-20,2.57,2.79,2.47,2.49,482058.0
2020-03-19,2.19,2.55,2.19,2.52,611780.0
2020-03-18,2.27,2.52,2.13,2.2,401694.0
2020-03-17,2.4,2.5681,2.06,2.39,593317.0
2020-03-16,2.8,2.8,2.26,2.29,573497.0
2020-03-13,3.25,3.47,2.9045,2.97,465040.0
2020-03-12,3.43,3.4857,3.0,3.05,784267.0
2020-03-11,3.75,3.84,3.595,3.63,349280.0
2020-03-10,3.85,3.945,3.77,3.84,294681.0
2020-03-09,3.9,4.06,3.72,3.74,360977.0
2020-03-06,4.04,4.1899,3.98,4.08,391490.0
2020-03-05,4.25,4.39,4.04,4.06,330024.0
2020-03-04,4.24,4.33,4.1,4.32,325261.0
2020-03-03,4.21,4.35,4.1,4.2,353357.0
2020-03-02,4.25,4.35,4.12,4.2,270940.0
2020-02-28,4.24,4.33,4.16,4.26,466107.0
2020-02-27,4.31,4.45,4.22,4.37,348807.0
2020-02-26,4.71,4.75,4.41,4.42,436979.0
2020-02-25,4.8,4.85,4.62,4.7,503105.0
2020-02-24,4.9,4.94,4.74,4.76,542761.0
2020-02-21,5.05,5.065,4.91,5.01,341163.0
2020-02-20,5.12,5.1661,4.8902,5.09,338296.0
2020-02-19,4.91,5.23,4.9,5.1,604204.0
2020-02-18,4.9,4.92,4.63,4.85,906295.0
2020-02-14,4.65,4.89,4.5793,4.86,545159.0
2020-02-13,4.52,4.63,4.47,4.56,346396.0
2020-02-12,4.27,4.53,4.2584,4.48,403969.0
2020-02-11,4.4,4.435,4.22,4.24,330543.0
2020-02-10,4.44,4.64,4.4,4.41,392450.0
2020-02-07,4.37,4.64,4.22,4.43,963281.0
2020-02-06,4.15,4.19,4.1,4.18,369190.0
2020-02-05,4.09,4.17,3.985,4.15,258106.0
2020-02-04,4.16,4.17,4.01,4.07,348374.0
2020-02-03,4.06,4.115,3.925,4.1,271668.0
2020-01-31,4.08,4.1,3.98,4.0,341789.0
2020-01-30,4.16,4.26,4.02,4.08,264058.0
2020-01-29,4.26,4.3,4.16,4.2,188776.0
2020-01-28,4.27,4.37,4.18,4.25,277568.0
2020-01-27,4.17,4.32,4.05,4.27,227738.0
2020-01-24,4.34,4.39,4.22,4.24,282764.0
2020-01-23,4.22,4.44,4.21,4.31,337237.0
2020-01-22,4.2,4.27,4.1601,4.25,248163.0
2020-01-21,4.24,4.33,4.17,4.22,319595.0
2020-01-17,4.06,4.26,4.0569,4.25,290120.0
2020-01-16,3.98,4.11,3.92,4.06,378019.0
2020-01-15,3.98,4.04,3.9392,4.0,254521.0
2020-01-14,4.09,4.1,3.93,3.98,243203.0
2020-01-13,4.26,4.35,3.96,4.09,1008164.0
2020-01-10,3.78,4.08,3.71,4.02,777373.0
2020-01-09,3.7,3.84,3.57,3.77,352173.0
2020-01-08,3.75,3.79,3.655,3.69,323571.0
2020-01-07,3.63,3.85,3.63,3.84,209393.0
2020-01-06,3.66,3.71,3.59,3.64,250942.0
2020-01-03,3.75,3.805,3.65,3.69,258092.0
2020-01-02,3.95,3.95,3.61,3.85,466981.0
2019-12-31,3.45,3.98,3.44,3.92,1048548.0
2019-12-30,3.37,3.56,3.3,3.47,361621.0
2019-12-27,3.19,3.4,3.18,3.39,368496.0
2019-12-26,3.21,3.24,3.18,3.18,198801.0
2019-12-24,3.13,3.24,3.11,3.22,148742.0
2019-12-23,3.04,3.15,3.01,3.12,361763.0
2019-12-20,3.1,3.15,3.03,3.06,106241.0
2019-12-19,3.08,3.13,3.035,3.11,164307.0
2019-12-18,3.16,3.17,3.07,3.07,180480.0
2019-12-17,3.03,3.2,3.03,3.16,381418.0
2019-12-16,3.02,3.08,3.02,3.02,271777.0
2019-12-13,3.02,3.05,2.97,2.99,173700.0
2019-12-12,3.0,3.05,2.98,3.0,266548.0
2019-12-11,2.95,3.05,2.87,3.0,290711.0
2019-12-10,2.94,2.96,2.905,2.93,187771.0
2019-12-09,3.0,3.03,2.87,2.94,304186.0
2019-12-06,3.13,3.2,2.975,2.98,463653.0
2019-12-05,3.22,3.24,3.01,3.12,528076.0
2019-12-04,3.22,3.25,3.1025,3.2,205638.0
2019-12-03,3.16,3.2,3.145,3.2,140188.0
2019-12-02,3.38,3.3961,3.21,3.22,230065.0
2019-11-29,3.32,3.4,3.28,3.37,96634.0
2019-11-27,3.3,3.41,3.3,3.32,224063.0
2019-11-26,3.26,3.33,3.24,3.29,181871.0
2019-11-25,3.11,3.261,3.11,3.25,321556.0
2019-11-22,3.0,3.09,3.0,3.08,142381.0
2019-11-21,2.98,3.01,2.94,2.99,166210.0
2019-11-20,3.01,3.01,2.95,2.96,271450.0
2019-11-19,2.98,3.04,2.915,2.98,233267.0
2019-11-18,3.13,3.13,2.95,2.98,473099.0
2019-11-15,3.2,3.24,3.11,3.13,129345.0
2019-11-14,3.21,3.2675,3.15,3.18,239674.0
2019-11-13,3.27,3.29,3.16,3.21,250362.0
2019-11-12,3.21,3.35,3.21,3.28,200396.0
2019-11-11,3.18,3.22,3.14,3.21,113315.0
2019-11-08,3.2,3.2,3.13,3.18,158822.0
2019-11-07,3.18,3.2,3.13,3.2,130318.0
2019-11-06,3.16,3.21,3.14,3.16,158675.0
2019-11-05,3.22,3.3,3.13,3.16,341809.0
2019-11-04,3.43,3.45,3.05,3.29,626449.0
2019-11-01,3.7,3.7,3.27,3.37,1241676.0
2019-10-31,3.79,3.92,3.7,3.89,384944.0
2019-10-30,3.8,3.94,3.68,3.85,492863.0
2019-10-29,4.12,4.13,3.71,3.91,473085.0
2019-10-28,4.09,4.1681,4.07,4.14,505097.0
2019-10-25,4.07,4.12,4.05,4.11,112901.0
2019-10-24,4.16,4.17,4.04,4.09,195542.0
2019-10-23,4.28,4.28,4.02,4.12,366527.0
2019-10-22,4.33,4.33,4.18,4.26,258853.0
2019-10-21,4.28,4.38,4.25,4.29,276078.0
2019-10-18,4.11,4.25,4.01,4.23,319938.0
2019-10-17,3.94,4.15,3.88,4.12,347093.0
2019-10-16,3.77,3.94,3.77,3.92,205685.0
2019-10-15,3.79,3.83,3.75,3.78,82611.0
2019-10-14,3.81,3.85,3.72,3.78,115984.0
2019-10-11,3.65,3.84,3.62,3.79,220855.0
2019-10-10,3.51,3.595,3.46,3.58,104968.0
2019-10-09,3.51,3.547,3.48,3.49,103127.0
2019-10-08,3.6,3.64,3.48,3.48,174140.0
2019-10-07,3.57,3.65,3.57,3.64,112381.0
2019-10-04,3.56,3.62,3.5,3.57,317400.0
2019-10-03,3.52,3.56,3.47,3.56,177896.0
2019-10-02,3.49,3.57,3.44,3.52,186841.0
2019-10-01,3.7328,3.74,3.51,3.52,214233.0
2019-09-30,3.56,3.72,3.44,3.7,483300.0
2019-09-27,3.63,3.64,3.5,3.53,167134.0
2019-09-26,3.67,3.69,3.585,3.65,106998.0
2019-09-25,3.7,3.705,3.61,3.66,105467.0
2019-09-24,3.75,3.75,3.6,3.69,163078.0
2019-09-23,3.64,3.73,3.64,3.73,115555.0
2019-09-20,3.73,3.73,3.65,3.69,99145.0
2019-09-19,3.74,3.82,3.69,3.71,82691.0
2019-09-18,3.85,3.85,3.7,3.75,143800.0
2019-09-17,3.91,3.99,3.83,3.85,298806.0
2019-09-16,3.86,4.0,3.82,3.87,365437.0
2019-09-13,3.72,3.84,3.6901,3.8,347717.0
2019-09-12,3.83,3.83,3.7,3.74,201645.0
2019-09-11,3.73,3.8,3.6499,3.73,561469.0
2019-09-10,3.55,3.75,3.52,3.67,245578.0
2019-09-09,3.42,3.63,3.42,3.54,256473.0
2019-09-06,3.35,3.5,3.33,3.42,176187.0
2019-09-05,3.24,3.38,3.23,3.34,248306.0
2019-09-04,3.18,3.23,3.13,3.19,95362.0
2019-09-03,3.11,3.15,3.08,3.13,74408.0
2019-08-30,3.06,3.25,3.06,3.15,200497.0
2019-08-29,3.03,3.14,3.03,3.06,197144.0
