date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,17.64,17.64,16.18,17.19,22236.0
2020-04-08,16.4,17.2945,15.64,16.51,23038.0
2020-04-07,17.55,18.01,15.65,15.65,31869.0
2020-04-06,18.31,19.92,16.59,16.91,37519.0
2020-04-03,19.13,20.846,17.0008,17.69,32097.0
2020-04-02,16.3,19.41,16.2651,18.68,49374.0
2020-04-01,20.24,21.07,14.52,15.41,46441.0
2020-03-31,20.12,21.74,19.06,21.27,26935.0
2020-03-30,19.56,19.92,17.55,19.92,41188.0
2020-03-27,18.59,20.535,17.5005,19.56,46896.0
2020-03-26,16.85,19.6,16.54,19.18,55929.0
2020-03-25,16.43,17.5,15.21,16.66,48517.0
2020-03-24,16.39,18.95,14.67,16.34,98299.0
2020-03-23,14.7,15.76,13.47,15.76,29999.0
2020-03-20,13.27,15.15,12.7557,15.1,95732.0
2020-03-19,11.8,13.4431,10.74,13.26,112461.0
2020-03-18,12.91,14.19,10.52,11.86,73809.0
2020-03-17,14.91,14.91,12.37,13.85,122551.0
2020-03-16,13.56,14.8394,12.45,14.65,116312.0
2020-03-13,16.39,18.88,14.6,15.75,51533.0
2020-03-12,15.19,15.67,12.01,15.67,140494.0
2020-03-11,19.16,19.16,15.44,15.73,159460.0
2020-03-10,19.87,19.98,17.9821,19.74,72575.0
2020-03-09,18.5,19.71,17.0006,19.5,106584.0
2020-03-06,20.46,20.46,18.6,19.42,133046.0
2020-03-05,21.89,22.87,20.5,21.17,88611.0
2020-03-04,19.09,22.79,18.805,22.26,193073.0
2020-03-03,18.01,20.0,17.77,18.74,114346.0
2020-03-02,19.87,20.1756,17.165,18.1,140272.0
2020-02-28,20.48,21.49,18.5,19.77,155585.0
2020-02-27,23.3,24.115,20.51,21.59,108317.0
2020-02-26,27.96,28.4,23.45,24.12,139041.0
2020-02-25,28.66,28.9,27.93,28.19,87832.0
2020-02-24,30.0,30.3,27.97,28.5,91226.0
2020-02-21,30.94,31.31,29.95,30.0,277173.0
2020-02-20,31.2,31.63,30.21,31.14,66615.0
2020-02-19,31.28,31.79,30.63,31.3,97242.0
2020-02-18,30.3,31.85,30.3,31.14,78042.0
2020-02-14,30.14,30.785,30.0,30.27,66320.0
2020-02-13,30.0,30.6,30.0,30.14,55259.0
2020-02-12,31.42,31.42,29.6,30.07,304194.0
2020-02-11,32.38,33.24,30.13,31.14,94826.0
2020-02-10,30.27,33.6437,30.0,31.29,135419.0
2020-02-07,31.15,31.4,29.775,30.01,1074906.0
2020-02-06,34.16,34.55,27.86,33.61,106785.0
2020-02-05,40.0,40.0,31.17,32.0,144144.0
2020-02-04,42.52,44.995,42.0,42.36,16504.0
2020-02-03,44.0,44.496,41.8765,43.05,22696.0
2020-01-31,43.46,46.44,43.2501,44.29,20240.0
2020-01-30,44.75,46.49,43.29,44.66,35117.0
2020-01-29,45.45,46.24,44.1,45.19,44499.0
2020-01-28,50.28,51.2095,44.55,45.65,56678.0
2020-01-27,41.02,49.2,40.1201,48.86,53126.0
