date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,9.14,9.28,8.85,9.09,1511046.0
2020-03-30,8.91,9.22,8.8,9.18,918924.0
2020-03-27,9.12,9.38,8.71,8.86,1433519.0
2020-03-26,9.09,10.06,9.08,9.42,1453128.0
2020-03-25,9.12,9.52,8.89,9.05,1604025.0
2020-03-24,9.16,9.5,8.93,9.15,1434787.0
2020-03-23,8.78,9.16,8.17,8.74,1750315.0
2020-03-20,9.2,9.22,8.6278,8.85,2535834.0
2020-03-19,7.7,9.31,7.27,9.07,1825917.0
2020-03-18,8.26,9.1,7.335,7.57,2659167.0
2020-03-17,8.11,9.75,7.12,9.16,3638345.0
2020-03-16,9.58,9.58,7.96,8.02,1316142.0
2020-03-13,9.91,10.26,9.27,10.24,1241137.0
2020-03-12,9.45,10.21,9.0,9.51,1537981.0
2020-03-11,10.76,10.93,10.0,10.16,1253710.0
2020-03-10,11.53,11.53,10.325,11.16,1186432.0
2020-03-09,11.57,11.7499,11.05,11.24,1267765.0
2020-03-06,12.52,12.7,12.06,12.37,1228580.0
2020-03-05,12.57,12.9,12.49,12.86,1326061.0
2020-03-04,12.5,12.88,12.4872,12.85,527854.0
2020-03-03,12.62,13.13,12.2,12.36,775872.0
2020-03-02,12.38,12.65,12.05,12.6,925817.0
2020-02-28,12.02,12.39,11.84,12.28,1009093.0
2020-02-27,12.9,12.95,12.29,12.46,1331122.0
2020-02-26,13.13,13.36,13.0,13.09,691782.0
2020-02-25,13.53,13.54,12.9,13.085,1189878.0
2020-02-24,13.67,13.67,13.12,13.395,1030314.0
2020-02-21,13.3,13.97,13.3,13.91,1919552.0
2020-02-20,13.0,13.65,12.68,13.28,1670373.0
2020-02-19,13.48,13.78,13.42,13.62,1397825.0
2020-02-18,13.2,13.47,13.02,13.46,913337.0
2020-02-14,13.69,13.69,13.225,13.26,769663.0
2020-02-13,13.5,13.88,13.4,13.72,720622.0
2020-02-12,13.34,13.655,13.29,13.56,929207.0
