date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,27.51,27.85,27.2359,27.79,154951.0
2020-04-23,27.43,27.825,27.3,27.34,204861.0
2020-04-22,27.36,27.4695,27.1,27.34,358798.0
2020-04-21,26.92,27.217,26.6,26.6,392666.0
2020-04-20,27.51,28.04,27.47,27.62,438796.0
2020-04-17,27.95,28.1791,27.6669,28.08,531016.0
2020-04-16,27.13,27.2403,26.744,27.09,520886.0
2020-04-15,27.26,27.27,26.78,27.055,793643.0
2020-04-14,28.13,28.28,27.67,28.04,448531.0
2020-04-13,27.81,27.81,27.09,27.49,741792.0
2020-04-09,28.04,28.46,27.6211,27.89,381529.0
2020-04-08,26.71,27.59,26.4212,27.41,312596.0
2020-04-07,27.33,27.375,26.24,26.24,721277.0
2020-04-06,25.05,26.2097,25.05,26.1121,274312.0
2020-04-03,24.48,24.65,23.69,23.99,310312.0
2020-04-02,23.99,24.84,23.93,24.5,297188.0
2020-04-01,24.48,24.85,23.9,24.13,826034.0
2020-03-31,26.11,26.3896,25.52,25.63,1366322.0
2020-03-30,25.39,26.21,25.1903,26.16,604611.0
2020-03-27,25.49,26.13,25.2,25.44,1108035.0
2020-03-26,25.18,26.6885,25.18,26.6,909151.0
2020-03-25,24.82,26.16,24.15,25.08,1033659.0
2020-03-24,22.99,24.41,22.9601,24.371,793783.0
2020-03-23,22.23,22.365,21.33,21.813,830375.0
2020-03-20,23.68,24.097,22.2574,22.3214,428236.0
2020-03-19,22.94,23.95,22.335,23.46,1756588.0
2020-03-18,23.41,24.11,22.0101,23.0401,497311.0
2020-03-17,24.36,25.47,23.5001,25.15,940192.0
2020-03-16,23.0,25.7378,23.0,23.81,570078.0
2020-03-13,26.43,27.65,25.1501,27.3831,607019.0
2020-03-12,25.75,26.728,21.5,24.81,1284965.0
2020-03-11,28.65,28.84,27.54,27.8694,564326.0
2020-03-10,29.1,29.55,27.9325,29.55,1065751.0
2020-03-09,28.06,28.9399,27.11,27.94,1040736.0
2020-03-06,30.28,31.0518,30.0471,30.68,420483.0
2020-03-05,31.77,32.1097,31.2286,31.49,311321.0
2020-03-04,32.12,32.7653,31.7305,32.73,583829.0
2020-03-03,32.66,33.069,31.2029,31.49,396586.0
2020-03-02,31.76,32.65,31.0267,32.65,1261752.0
2020-02-28,30.55,31.5336,30.42,31.53,1061166.0
2020-02-27,32.36,32.9964,31.7,31.73,1158955.0
2020-02-26,33.56,33.9,33.0658,33.18,404038.0
2020-02-25,34.81,34.81,33.2255,33.35,577569.0
2020-02-24,34.73,34.96,34.48,34.6304,637027.0
2020-02-21,36.31,36.31,35.8865,36.01,257158.0
2020-02-20,36.52,36.7,36.15,36.5,393263.0
2020-02-19,36.42,36.65,36.42,36.62,328364.0
2020-02-18,36.32,36.44,36.0633,36.245,195404.0
2020-02-14,36.78,36.79,36.43,36.58,319668.0
2020-02-13,36.57,36.8,36.53,36.6991,374864.0
2020-02-12,36.58,36.8,36.51,36.72,285591.0
2020-02-11,36.21,36.475,36.21,36.3093,202296.0
2020-02-10,35.64,36.005,35.54,35.9969,222351.0
2020-02-07,36.0,36.0,35.715,35.75,214658.0
2020-02-06,36.23,36.25,36.059,36.16,221626.0
2020-02-05,35.8,36.125,35.7732,36.07,340341.0
2020-02-04,35.24,35.485,35.24,35.34,371522.0
2020-02-03,34.49,34.93,34.49,34.67,308149.0
2020-01-31,35.02,35.04,34.26,34.4,388823.0
2020-01-30,35.02,35.28,34.7721,35.2634,285951.0
2020-01-29,35.43,35.495,35.1518,35.1518,236275.0
2020-01-28,35.04,35.425,34.9431,35.3,282787.0
2020-01-27,34.95,35.0466,34.78,34.85,287879.0
2020-01-24,36.35,36.35,35.42,35.68,478459.0
2020-01-23,36.28,36.4,36.0,36.39,628033.0
2020-01-22,36.45,36.53,36.3012,36.345,208724.0
2020-01-21,36.46,36.54,36.26,36.26,218029.0
2020-01-17,36.66,36.675,36.5273,36.62,271688.0
2020-01-16,36.37,36.52,36.37,36.52,198108.0
2020-01-15,36.18,36.29,36.0437,36.18,815909.0
2020-01-14,36.25,36.493,36.2219,36.28,292542.0
2020-01-13,36.13,36.21,36.02,36.2013,224548.0
2020-01-10,36.32,36.32,35.95,36.0,239088.0
