date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,20.73,20.98,19.6943,20.48,20659.0
2020-04-08,18.19,19.77,18.18,19.29,19201.0
2020-04-07,18.46,18.5,18.0,18.1397,6647.0
2020-04-06,16.2,17.74,16.2,17.08,21662.0
2020-04-03,16.47,16.6,16.07,16.14,13404.0
2020-04-02,16.66,17.0,16.5,16.82,10725.0
2020-04-01,17.5,19.459,15.63,16.14,53120.0
2020-03-31,18.64,18.9913,18.13,18.7,7600.0
2020-03-30,18.3,18.69,17.83,18.6354,26242.0
2020-03-27,17.21,18.5249,16.95,18.185,19330.0
2020-03-26,15.13,17.89,15.13,17.1,23242.0
2020-03-25,14.6802,15.95,14.5,15.03,61843.0
2020-03-24,13.7721,15.0,13.7721,14.0,47506.0
2020-03-23,14.0,14.14,13.0,13.0084,16605.0
2020-03-20,13.49,16.5,13.404,15.0,49615.0
2020-03-19,10.81,14.0,8.63,12.75,91529.0
2020-03-18,17.38,17.38,10.3007,10.51,70680.0
2020-03-17,17.5,17.994,17.5,17.6,21279.0
2020-03-16,18.11,18.82,17.5,17.6,33186.0
2020-03-13,19.51,19.59,18.8,19.295,26813.0
2020-03-12,22.01,22.11,15.27,18.65,55501.0
2020-03-11,23.5266,23.7933,22.66,22.7065,12210.0
2020-03-10,24.26,24.38,23.426,23.79,17311.0
2020-03-09,24.5,24.5,22.5,23.25,32259.0
2020-03-06,25.143,25.2641,24.8,24.97,10333.0
2020-03-05,25.32,25.32,25.13,25.17,6266.0
2020-03-04,25.08,25.3273,24.75,25.3273,10764.0
2020-03-03,24.99,25.18,24.99,25.13,9489.0
2020-03-02,24.26,25.0,24.19,24.99,21646.0
2020-02-28,25.0,25.0221,24.19,24.19,48799.0
2020-02-27,25.162,25.2604,25.0349,25.0349,20425.0
2020-02-26,25.32,25.46,25.25,25.2625,10799.0
2020-02-25,25.6392,25.6392,25.25,25.255,13630.0
2020-02-24,25.6,25.64,25.5,25.58,3902.0
2020-02-21,25.6742,25.7703,25.6693,25.77,6947.0
2020-02-20,25.7,25.78,25.52,25.7469,14596.0
2020-02-19,25.73,25.7472,25.71,25.7111,7638.0
2020-02-18,25.8,25.8,25.7297,25.73,12015.0
2020-02-14,25.7,25.76,25.7,25.76,6662.0
2020-02-13,25.83,25.83,25.7,25.7,7655.0
2020-02-12,25.7108,25.8,25.7108,25.8,1961.0
2020-02-11,25.75,25.79,25.6794,25.79,16134.0
2020-02-10,25.71,25.812,25.5619,25.69,23037.0
2020-02-07,25.6318,25.75,25.6318,25.72,1670.0
2020-02-06,25.53,25.66,25.52,25.66,12731.0
2020-02-05,25.4927,25.57,25.45,25.54,10457.0
2020-02-04,25.4,25.53,25.39,25.53,12782.0
2020-02-03,25.4297,25.43,25.39,25.42,3055.0
2020-01-31,25.38,25.4,25.365,25.4,9882.0
2020-01-30,25.38,25.4,25.3632,25.3632,7175.0
2020-01-29,25.4387,25.44,25.33,25.3895,11314.0
2020-01-28,25.4001,25.4337,25.33,25.3899,12022.0
2020-01-27,25.4,25.4336,25.38,25.4,5521.0
2020-01-24,25.46,25.5,25.4,25.4,17472.0
