date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,20.99,21.161,20.99,21.161,5000.0
2020-04-23,20.85,20.85,20.85,20.85,160.0
2020-04-22,21.1,21.1109,20.77,20.77,4778.0
2020-04-21,21.29,21.4,21.105,21.245,2608.0
2020-04-20,20.51,21.3,20.51,21.2499,3663.0
2020-04-17,21.18,21.18,20.8702,21.18,20615.0
2020-04-16,20.86,21.3262,20.52,21.18,3994.0
2020-04-15,20.87,21.98,20.74,20.9999,11334.0
2020-04-14,21.6,21.6,21.5,21.5,1197.0
2020-04-13,22.1,22.217,20.37,21.447,12779.0
2020-04-09,21.45,23.22,21.45,22.05,6447.0
2020-04-08,20.0586,21.98,20.0586,21.3256,3740.0
2020-04-07,19.7815,19.7815,18.18,19.75,43472.0
2020-04-06,18.32,19.15,17.6064,18.07,65010.0
2020-04-03,18.49,18.5,18.49,18.5,626.0
2020-04-02,19.0698,19.07,18.81,18.81,2067.0
2020-04-01,20.51,20.51,19.0,19.0,6233.0
2020-03-31,19.95,21.91,19.95,21.13,2256.0
2020-03-30,20.17,20.18,19.7901,20.14,4866.0
2020-03-27,20.0,21.05,19.5,19.75,4391.0
2020-03-26,18.4199,20.8799,18.4199,19.99,10155.0
2020-03-25,18.15,18.6,16.86,17.16,17359.0
2020-03-24,16.75,18.5,16.1067,18.5,7067.0
2020-03-23,16.64,16.881,15.2,16.0238,10779.0
2020-03-20,20.0,20.0,15.8,16.6461,4953.0
2020-03-19,14.28,18.39,11.9,18.39,19855.0
2020-03-18,18.81,18.81,13.05,15.4487,21098.0
2020-03-17,18.9949,20.25,18.9949,19.37,12940.0
2020-03-16,20.5,20.66,18.18,18.42,10090.0
2020-03-13,21.4,22.29,20.6299,20.8102,6297.0
2020-03-12,23.88,23.88,19.5619,20.5749,25863.0
2020-03-11,24.5,24.5,23.81,23.8995,5538.0
2020-03-10,23.81,24.55,23.8,24.55,2744.0
2020-03-09,24.35,24.49,23.0,24.04,27867.0
2020-03-06,24.8499,25.015,24.5994,24.82,10178.0
2020-03-05,25.05,25.05,25.05,25.05,530.0
2020-03-04,25.08,25.297,24.9001,25.05,56846.0
2020-03-03,24.9,25.18,24.9,24.96,11048.0
2020-03-02,24.22,25.2015,24.22,25.18,11001.0
2020-02-28,25.0,25.3387,24.49,24.75,4477.0
2020-02-27,25.2,25.2,24.81,25.15,4544.0
2020-02-26,25.27,25.4753,25.0986,25.2,7390.0
2020-02-25,25.52,25.5922,25.1775,25.31,11521.0
2020-02-24,25.4146,25.54,25.4,25.45,6961.0
2020-02-21,25.6,25.6,25.57,25.5941,3032.0
2020-02-20,25.64,25.65,25.6,25.6,5615.0
2020-02-19,25.66,25.67,25.63,25.6471,3350.0
2020-02-18,25.68,25.68,25.65,25.6584,1577.0
2020-02-14,25.6301,25.6675,25.6301,25.6596,3391.0
2020-02-13,25.62,25.67,25.61,25.655,6197.0
2020-02-12,25.65,25.65,25.59,25.65,1223.0
2020-02-11,25.58,25.65,25.5259,25.65,4550.0
2020-02-10,25.64,25.64,25.41,25.59,12079.0
2020-02-07,25.48,25.66,25.48,25.66,3330.0
2020-02-06,25.47,25.48,25.4304,25.4743,4247.0
2020-02-05,25.42,25.46,25.42,25.46,5258.0
2020-02-04,25.325,25.42,25.27,25.38,17254.0
2020-02-03,25.3788,25.44,25.25,25.25,13355.0
2020-01-31,25.31,25.385,25.3,25.35,423310.0
2020-01-30,25.3374,25.3374,25.31,25.31,6724.0
2020-01-29,25.3,25.3703,25.3,25.3,8858.0
2020-01-28,25.3,25.3772,25.3,25.3,11176.0
2020-01-27,25.31,25.4088,25.29,25.3629,1517.0
2020-01-24,25.38,25.42,25.32,25.39,24835.0
2020-01-23,25.4,25.44,25.32,25.42,4793.0
2020-01-22,25.469,25.469,25.36,25.4,3337.0
2020-01-21,25.42,25.45,25.39,25.4,14939.0
2020-01-17,25.4399,25.44,25.4,25.4,2132.0
2020-01-16,25.4329,25.4991,25.39,25.4,7436.0
2020-01-15,25.4201,25.49,25.36,25.41,7453.0
2020-01-14,25.37,25.42,25.3615,25.42,8445.0
2020-01-13,25.7,25.7334,25.7,25.7,11404.0
2020-01-10,25.7,25.76,25.7,25.7,16073.0
2020-01-09,25.755,25.79,25.7,25.7,23934.0
2020-01-08,25.78,25.78,25.7399,25.77,2784.0
2020-01-07,25.77,25.7977,25.7662,25.78,3909.0
2020-01-06,25.78,25.7903,25.77,25.77,1837.0
2020-01-03,25.7,25.8,25.7,25.8,9468.0
2020-01-02,25.7,25.72,25.6873,25.7,14223.0
2019-12-31,25.6433,25.7,25.625,25.63,1370.0
2019-12-30,25.6373,25.6604,25.55,25.57,2544.0
2019-12-27,25.61,25.7,25.6,25.7,1182.0
2019-12-26,25.68,25.68,25.68,25.68,0.0
2019-12-24,25.68,25.68,25.68,25.68,276.0
2019-12-23,25.7,25.7,25.7,25.7,500.0
2019-12-20,25.6657,25.6729,25.6478,25.6729,3419.0
2019-12-19,25.695,25.695,25.63,25.67,1673.0
2019-12-18,25.56,25.66,25.56,25.66,2390.0
2019-12-17,25.6824,25.6824,25.6824,25.6824,130.0
2019-12-16,25.719,25.719,25.6,25.6824,6336.0
2019-12-13,25.7,25.724,25.6,25.67,3216.0
2019-12-12,25.79,25.79,25.6,25.6,8865.0
2019-12-11,25.66,25.7,25.65,25.7,4490.0
2019-12-10,25.7017,25.753,25.65,25.65,4290.0
2019-12-09,25.67,25.67,25.6,25.6504,861.0
2019-12-06,25.78,25.84,25.66,25.66,7128.0
2019-12-05,25.7,25.708,25.7,25.7,1957.0
2019-12-04,25.74,25.81,25.5734,25.81,6039.0
2019-12-03,25.73,25.92,25.73,25.74,2073.0
2019-12-02,25.836,25.98,25.836,25.98,1194.0
2019-11-29,25.91,26.02,25.82,25.98,9408.0
2019-11-27,25.99,25.99,25.91,25.91,3329.0
2019-11-26,26.0285,26.06,25.85,25.98,4682.0
2019-11-25,25.88,25.89,25.87,25.87,1255.0
2019-11-22,25.86,26.25,25.85,26.23,1956.0
2019-11-21,25.9701,25.9701,25.9701,25.9701,142.0
2019-11-20,26.15,26.15,25.97,25.9701,1577.0
2019-11-19,25.8401,26.23,25.8401,26.23,672.0
2019-11-18,25.97,26.28,25.97,26.27,1200.0
2019-11-15,25.87,25.88,25.87,25.88,681.0
2019-11-14,25.86,25.86,25.8,25.825,2434.0
2019-11-13,25.77,25.85,25.77,25.85,1246.0
2019-11-12,25.801,25.85,25.801,25.85,1311.0
2019-11-11,25.7,25.87,25.7,25.87,955.0
2019-11-08,25.77,25.77,25.67,25.67,1546.0
2019-11-07,25.7206,25.75,25.7206,25.75,3006.0
2019-11-06,25.66,25.74,25.66,25.74,819.0
2019-11-05,25.71,25.71,25.71,25.71,506.0
2019-11-04,25.66,25.66,25.66,25.66,134.0
2019-11-01,25.71,25.7299,25.66,25.66,2227.0
2019-10-31,25.6,25.7259,25.58,25.72,37783.0
2019-10-30,25.7,25.75,25.59,25.6,13186.0
2019-10-29,25.82,25.82,25.58,25.63,27420.0
2019-10-28,25.75,25.8,25.75,25.8,5002.0
2019-10-25,25.75,25.84,25.75,25.75,2252.0
2019-10-24,25.86,25.86,25.61,25.61,965.0
2019-10-23,25.65,25.78,25.55,25.61,1583.0
2019-10-22,25.6,25.68,25.5613,25.5613,32249.0
2019-10-21,25.65,25.65,25.57,25.57,653.0
2019-10-18,25.71,25.71,25.58,25.58,3339.0
2019-10-17,25.52,25.71,25.52,25.52,1296.0
2019-10-16,25.54,25.58,25.47,25.55,4626.0
2019-10-15,25.59,25.59,25.4708,25.54,4307.0
2019-10-14,25.68,25.68,25.5301,25.56,2646.0
2019-10-11,25.74,25.74,25.45,25.6749,7137.0
2019-10-10,25.9528,25.9528,25.8778,25.9,9007.0
2019-10-09,25.9,26.04,25.9,26.04,6958.0
2019-10-08,25.98,26.1,25.9215,26.1,3760.0
2019-10-07,26.04,26.04,26.038,26.038,708.0
2019-10-04,25.9383,25.9383,25.9,25.9,2046.0
2019-10-03,25.9249,26.04,25.86,25.86,4743.0
2019-10-02,26.03,26.1487,25.82,25.87,5557.0
2019-10-01,26.1,26.29,26.1,26.29,713.0
2019-09-30,26.24,26.24,26.08,26.08,4678.0
2019-09-27,26.2,26.2,26.2,26.2,126.0
2019-09-26,26.2,26.2,26.2,26.2,472.0
2019-09-25,26.2174,26.4,26.2174,26.36,1851.0
2019-09-24,26.2,26.4,26.1841,26.365,3522.0
2019-09-23,26.34,26.34,26.31,26.31,1653.0
2019-09-20,26.244,26.34,26.24,26.31,1662.0
2019-09-19,25.92,26.265,25.92,26.265,4478.0
2019-09-18,25.89,25.89,25.7501,25.89,6126.0
2019-09-17,25.8,25.8,25.8,25.8,0.0
2019-09-16,25.8,25.8,25.8,25.8,32.0
2019-09-13,26.08,26.08,25.8,25.8,878.0
2019-09-12,25.8909,25.8909,25.8909,25.8909,456.0
2019-09-11,26.08,26.08,25.78,25.83,6055.0
2019-09-10,26.04,26.08,25.84,26.0,3032.0
2019-09-09,26.09,26.09,26.06,26.09,1797.0
2019-09-06,25.98,26.08,25.98,26.08,772.0
2019-09-05,25.935,25.9835,25.935,25.9835,701.0
2019-09-04,25.9201,25.99,25.9201,25.99,1286.0
2019-09-03,25.88,25.88,25.88,25.88,1238.0
2019-08-30,25.8221,26.03,25.8221,26.0,16502.0
2019-08-29,25.8,26.03,25.8,26.0,5386.0
2019-08-28,26.1,26.1,25.76,25.76,2581.0
2019-08-27,26.02,26.02,26.02,26.02,522.0
2019-08-26,25.96,26.0871,25.7,26.0871,61383.0
2019-08-23,26.18,26.19,26.02,26.1,2945.0
2019-08-22,26.23,26.23,26.08,26.2,1904.0
2019-08-21,26.21,26.21,26.115,26.2,667.0
2019-08-20,26.15,26.2,26.11,26.2,469.0
2019-08-19,26.05,26.14,26.05,26.14,531.0
2019-08-16,26.08,26.183,25.87,26.12,11056.0
2019-08-15,26.2,26.2,26.15,26.195,3369.0
2019-08-14,26.29,26.3,26.21,26.21,13531.0
2019-08-13,26.2501,26.3,26.2,26.3,3952.0
2019-08-12,26.28,26.28,26.28,26.28,3354.0
2019-08-09,26.3,26.35,26.3,26.3,4616.0
2019-08-08,26.1501,26.35,26.1501,26.35,375.0
2019-08-07,26.14,26.2897,26.14,26.2897,1274.0
2019-08-06,26.38,26.45,26.3017,26.45,8158.0
2019-08-05,26.0396,26.135,26.0396,26.135,370.0
2019-08-02,26.3795,26.38,26.32,26.38,1731.0
2019-08-01,26.1137,26.1137,26.1137,26.1137,1254.0
2019-07-31,26.12,26.31,26.0601,26.31,25598.0
2019-07-30,26.1275,26.13,26.12,26.13,6662.0
2019-07-29,26.04,26.15,26.04,26.09,8767.0
2019-07-26,25.76,26.161,25.76,26.15,2483.0
2019-07-25,26.0,26.23,26.0,26.23,1908.0
2019-07-24,26.03,26.05,26.03,26.05,668.0
2019-07-23,25.9,26.04,25.82,25.99,3054.0
2019-07-22,25.87,25.97,25.71,25.96,6289.0
2019-07-19,25.61,25.87,25.61,25.87,3707.0
2019-07-18,25.77,25.87,25.769,25.87,4097.0
2019-07-17,25.8586,25.87,25.71,25.77,5533.0
2019-07-16,25.89,25.89,25.89,25.89,451.0
2019-07-15,25.4077,25.64,25.384,25.64,15820.0
2019-07-12,25.45,25.45,25.4,25.4163,3998.0
2019-07-11,25.872,25.872,25.7661,25.79,2005.0
2019-07-10,25.87,25.87,25.8464,25.8464,1308.0
2019-07-09,25.7925,25.825,25.79,25.79,2122.0
2019-07-08,25.77,25.82,25.72,25.79,5860.0
2019-07-05,25.78,25.78,25.78,25.78,171.0
2019-07-03,25.64,25.8,25.6249,25.78,2668.0
2019-07-02,25.53,25.7,25.53,25.7,5398.0
2019-07-01,25.7,25.7,25.6671,25.6671,1376.0
2019-06-28,25.51,25.75,25.51,25.7,18142.0
2019-06-27,25.6593,25.6593,25.5,25.53,8898.0
2019-06-26,25.58,25.58,25.53,25.54,4730.0
2019-06-25,25.5587,25.56,25.43,25.49,996.0
2019-06-24,25.46,25.5,25.45,25.49,5945.0
2019-06-21,25.47,25.55,25.4511,25.5,5960.0
2019-06-20,25.48,25.49,25.42,25.47,12899.0
2019-06-19,25.47,25.48,25.44,25.47,25576.0
2019-06-18,25.5,25.5,25.38,25.47,19702.0
2019-06-17,25.43,25.47,25.4,25.44,3053.0
2019-06-14,25.375,25.4199,25.375,25.41,2325.0
2019-06-13,25.42,25.44,25.36,25.36,1464.0
2019-06-12,25.45,25.47,25.363,25.41,16886.0
2019-06-11,25.5,25.5255,25.3867,25.45,15458.0
2019-06-10,25.5,25.57,25.5,25.53,31156.0
2019-06-07,25.45,25.49,25.4,25.45,8988.0
2019-06-06,25.42,25.42,25.42,25.42,320.0
2019-06-05,25.3435,25.4199,25.32,25.32,1673.0
2019-06-04,25.28,25.4199,25.28,25.4199,1561.0
2019-06-03,25.3,25.525,25.25,25.25,4878.0
2019-05-31,25.3642,25.4,25.2601,25.39,16444.0
2019-05-30,25.39,25.4,25.2601,25.2601,10949.0
2019-05-29,25.32,25.39,25.25,25.3,6100.0
2019-05-28,25.37,25.39,25.32,25.39,3195.0
2019-05-24,25.364,25.364,25.32,25.35,4381.0
2019-05-23,25.3201,25.41,25.3201,25.41,4777.0
2019-05-22,25.39,25.39,25.35,25.39,3258.0
2019-05-21,25.3712,25.39,25.36,25.39,1896.0
2019-05-20,25.42,25.42,25.42,25.42,100.0
2019-05-17,25.42,25.42,25.3993,25.42,619.0
2019-05-16,25.42,25.42,25.42,25.42,769.0
2019-05-15,25.41,25.42,25.378,25.42,5373.0
2019-05-14,25.33,25.42,25.33,25.41,6840.0
2019-05-13,25.33,25.39,25.33,25.3351,3697.0
2019-05-10,25.43,25.43,25.39,25.39,1169.0
2019-05-09,25.33,25.38,25.33,25.37,4889.0
2019-05-08,25.44,25.44,25.39,25.43,5682.0
2019-05-07,25.38,25.44,25.33,25.43,6427.0
2019-05-06,25.36,25.39,25.36,25.3708,4474.0
2019-05-03,25.3301,25.449,25.33,25.39,4134.0
2019-05-02,25.38,25.4,25.3,25.33,41374.0
2019-05-01,25.39,25.5,25.3525,25.5,2346.0
2019-04-30,25.47,25.6,25.3967,25.6,27143.0
2019-04-29,25.3433,25.47,25.3433,25.47,1436.0
