date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,22.11,24.32,20.3,21.91,358133.0
2020-03-30,22.7,24.22,20.995,22.33,169779.0
2020-03-27,24.0,25.29,22.4506,22.48,194918.0
2020-03-26,26.13,28.4798,22.5,25.22,458519.0
2020-03-25,24.24,26.31,22.01,25.96,295060.0
2020-03-24,22.88,24.74,22.2,24.35,302641.0
2020-03-23,23.44,23.56,19.0,22.68,302444.0
2020-03-20,23.48,26.29,22.29,23.24,2146107.0
2020-03-19,20.23,23.0,19.8363,22.63,119234.0
2020-03-18,19.81,21.65,17.62,20.16,153193.0
2020-03-17,19.97,24.49,17.345,20.34,489384.0
2020-03-16,21.83,21.83,19.26,20.0,260932.0
2020-03-13,24.93,25.71,20.01,24.78,362227.0
2020-03-12,28.32,28.53,24.53,24.54,716034.0
2020-03-11,28.6,30.57,28.29,29.67,521135.0
2020-03-10,32.31,33.475,28.32,29.01,398303.0
2020-03-09,30.32,36.0,30.0,31.83,423919.0
2020-03-06,32.45,33.01,30.14,31.96,229330.0
2020-03-05,33.21,35.4,32.32,32.98,270947.0
2020-03-04,33.46,37.08,33.1029,34.08,361518.0
2020-03-03,32.78,33.4,32.3,33.13,315835.0
2020-03-02,31.39,32.91,31.05,32.84,490496.0
2020-02-28,31.64,32.5099,30.4569,31.27,399349.0
2020-02-27,32.9,33.76,31.1,32.16,341762.0
2020-02-26,32.16,33.98,30.75,33.17,525623.0
2020-02-25,30.44,32.49,29.91,32.07,676675.0
2020-02-24,28.63,30.95,28.05,30.7,548416.0
2020-02-21,30.81,31.3206,29.82,30.42,302105.0
2020-02-20,30.34,33.3,29.0,31.0,1595805.0
2020-02-19,29.12,31.4037,29.1,30.38,917543.0
2020-02-18,28.01,29.69,27.15,29.05,764900.0
2020-02-14,29.35,29.65,27.5,28.31,1234248.0
2020-02-13,28.21,32.49,28.0,28.9,7317175.0
