date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,120.5,125.615,117.08,123.32,713529.0
2020-03-30,120.35,123.04,117.73,122.17,496193.0
2020-03-27,121.52,124.765,115.94,119.0,377697.0
2020-03-26,130.58,130.58,120.155,124.98,541688.0
2020-03-25,135.98,141.69,128.95,130.88,738934.0
2020-03-24,134.74,139.8,129.9135,136.68,544322.0
2020-03-23,127.5,131.41,118.61,129.98,423270.0
2020-03-20,129.2,135.26,123.63,127.47,679565.0
2020-03-19,108.55,131.95,106.6483,126.72,506717.0
2020-03-18,113.65,121.94,107.5111,110.5,660010.0
2020-03-17,107.17,120.47,107.17,118.25,839543.0
2020-03-16,108.01,112.6129,102.13,106.58,800908.0
2020-03-13,117.55,121.65,110.14,120.47,414629.0
2020-03-12,115.78,120.395,110.21,112.58,771656.0
2020-03-11,128.81,130.595,117.2,123.5,592597.0
2020-03-10,130.32,133.63,125.975,132.05,677320.0
2020-03-09,124.48,133.41,123.85,130.04,765783.0
2020-03-06,124.23,130.85,123.54,130.09,745592.0
2020-03-05,122.32,127.11,122.32,126.23,606838.0
2020-03-04,123.0,126.35,120.94,125.46,558172.0
2020-03-03,123.98,125.7,118.22,121.25,759504.0
2020-03-02,122.01,125.91,118.54,124.48,737970.0
2020-02-28,122.22,127.09,117.17,123.56,1077421.0
2020-02-27,121.06,134.67,121.06,124.43,952108.0
2020-02-26,131.42,132.95,125.7,126.06,570840.0
2020-02-25,132.82,135.57,129.51,130.42,505348.0
2020-02-24,131.91,134.48,130.76,133.78,441111.0
2020-02-21,133.96,135.78,132.88,135.38,392626.0
2020-02-20,134.6,135.44,132.475,134.64,220601.0
2020-02-19,136.0,137.44,133.67,134.61,319502.0
2020-02-18,139.38,139.7,134.91,135.38,555231.0
2020-02-14,140.58,141.08,138.21,139.55,341547.0
2020-02-13,135.87,140.84,135.56,140.56,331443.0
2020-02-12,138.07,138.64,135.76,136.76,299768.0
2020-02-11,139.99,143.1714,136.245,136.89,285422.0
2020-02-10,136.3,140.07,135.73,139.93,344878.0
2020-02-07,134.53,137.27,134.53,136.21,306525.0
2020-02-06,134.99,136.57,128.04,135.79,495951.0
2020-02-05,143.46,145.1975,136.0,136.5,466364.0
2020-02-04,140.64,143.44,140.23,142.98,452570.0
2020-02-03,138.74,142.65,138.29,138.82,447514.0
2020-01-31,141.24,142.83,137.05,137.69,501899.0
2020-01-30,139.83,142.04,138.54,141.93,531700.0
2020-01-29,143.56,143.56,137.48,140.46,934875.0
2020-01-28,144.76,146.97,143.43,143.71,328465.0
2020-01-27,149.25,151.49,144.4,144.71,344715.0
2020-01-24,153.15,153.15,147.66,151.09,541383.0
2020-01-23,152.69,154.16,150.26,153.32,458568.0
2020-01-22,153.19,156.5,152.2,152.98,399574.0
2020-01-21,159.59,159.72,150.19,152.74,514679.0
2020-01-17,162.05,162.05,156.26,158.31,582217.0
2020-01-16,162.25,164.89,160.35,161.09,372146.0
2020-01-15,170.0,170.69,161.29,162.77,503212.0
2020-01-14,174.11,175.65,168.65,169.12,378709.0
2020-01-13,172.21,175.32,171.72,174.03,389801.0
2020-01-10,169.34,172.65,168.58,171.53,213905.0
2020-01-09,172.32,173.53,166.65,168.7,349641.0
2020-01-08,171.74,173.98,169.825,171.92,305680.0
2020-01-07,173.2,174.72,171.695,172.24,238356.0
2020-01-06,174.19,175.775,172.0,173.95,293358.0
2020-01-03,173.11,175.65,172.5,175.16,268315.0
2020-01-02,176.95,177.3112,173.45,174.21,300044.0
2019-12-31,175.03,176.66,174.3175,176.22,250523.0
2019-12-30,175.2,175.49,173.27,175.02,293646.0
2019-12-27,175.13,176.94,173.31,175.17,297220.0
2019-12-26,175.7,178.23,174.195,175.84,195825.0
2019-12-24,176.57,176.96,174.3031,175.7,121712.0
2019-12-23,177.56,178.05,172.795,175.5,583862.0
2019-12-20,171.56,177.99,171.24,175.98,1027741.0
2019-12-19,169.99,179.45,169.99,171.74,1026565.0
2019-12-18,168.5,169.24,165.5,167.13,333948.0
2019-12-17,166.72,168.04,165.98,168.03,233536.0
2019-12-16,167.63,169.39,166.35,167.02,267486.0
2019-12-13,169.0,169.5,165.2,166.07,304280.0
2019-12-12,164.04,167.185,163.425,166.55,239903.0
2019-12-11,163.93,167.31,162.96,164.18,282367.0
2019-12-10,164.64,166.415,164.0,164.25,261835.0
2019-12-09,167.85,169.17,164.23,165.56,338887.0
2019-12-06,169.8,171.8,165.73,167.61,387582.0
2019-12-05,168.3,169.395,166.2,167.55,296561.0
2019-12-04,164.14,167.2,163.54,167.09,277804.0
2019-12-03,163.78,164.19,161.77,163.97,239965.0
2019-12-02,165.35,165.64,162.28,164.63,208301.0
2019-11-29,167.64,168.0,164.61,165.58,101863.0
2019-11-27,166.86,168.56,164.8,167.75,155884.0
2019-11-26,166.42,167.44,163.84,166.76,208477.0
2019-11-25,159.61,166.9,159.0,166.41,383440.0
2019-11-22,162.68,163.13,158.32,158.95,299370.0
2019-11-21,165.51,165.99,160.6,162.84,276612.0
2019-11-20,165.25,167.0,164.2,165.71,332124.0
2019-11-19,163.54,165.14,161.12,164.32,259189.0
2019-11-18,165.69,166.4,161.05,163.36,394487.0
2019-11-15,165.9,166.22,164.27,165.13,294535.0
2019-11-14,167.85,170.38,164.7538,165.75,801997.0
2019-11-13,161.6,162.31,157.91,159.87,308976.0
2019-11-12,156.42,162.44,156.0,161.8,478471.0
2019-11-11,156.8,157.3,154.515,156.61,242430.0
2019-11-08,155.86,157.5,152.74,157.32,244752.0
2019-11-07,157.0,159.42,154.24,155.44,270688.0
2019-11-06,152.81,154.17,150.96,154.04,136443.0
2019-11-05,153.39,155.11,151.67,152.03,259332.0
2019-11-04,159.27,159.313,152.8901,153.5,312358.0
2019-11-01,154.85,160.69,154.0,159.76,493960.0
2019-10-31,151.84,155.46,151.57,154.81,311584.0
2019-10-30,152.23,152.31,149.18,151.56,309913.0
2019-10-29,154.92,156.65,151.45,152.19,554976.0
2019-10-28,141.06,156.42,140.745,155.71,1437751.0
2019-10-25,130.94,135.085,130.165,134.51,366892.0
2019-10-24,134.49,134.59,132.8446,132.99,281845.0
2019-10-23,133.71,135.355,132.11,134.41,377494.0
2019-10-22,134.44,134.82,131.1,133.6,393726.0
2019-10-21,141.67,142.605,134.0,134.52,616677.0
2019-10-18,143.32,143.7156,141.08,141.72,274267.0
2019-10-17,144.74,146.065,137.31,143.92,306463.0
2019-10-16,149.61,150.255,143.23,145.54,257996.0
2019-10-15,149.98,151.48,149.11,149.84,193329.0
2019-10-14,149.54,150.35,148.19,149.14,252289.0
2019-10-11,148.29,150.61,147.395,149.83,290381.0
2019-10-10,143.73,147.66,143.31,147.26,304371.0
2019-10-09,142.63,144.87,141.57,143.93,278154.0
2019-10-08,144.61,144.61,140.66,141.67,250532.0
2019-10-07,145.19,146.57,143.99,144.92,207512.0
2019-10-04,143.39,145.385,139.93,145.01,282324.0
2019-10-03,146.76,146.76,141.72,143.06,490286.0
2019-10-02,148.2,149.17,146.16,146.6,297881.0
2019-10-01,152.18,152.74,148.47,148.72,243783.0
2019-09-30,149.42,152.81,149.42,151.33,236175.0
2019-09-27,154.51,155.39,148.455,149.94,383186.0
2019-09-26,154.94,157.5,154.67,154.95,272146.0
2019-09-25,156.16,156.19,154.49,154.96,380236.0
2019-09-24,155.05,156.46,154.73,156.0,280843.0
2019-09-23,154.77,156.9,153.78,154.09,256016.0
2019-09-20,155.75,156.33,152.45,155.15,380535.0
2019-09-19,154.4,156.42,153.0,155.31,335130.0
2019-09-18,155.91,157.47,153.2,154.6,272752.0
